Mouse gene name,Gene name
,
,
Ssxb15,SSX4B
Ssxb16,SSX4B
Ssxb6,SSX4B
Ssxb2,SSX4B
Ssxb3,SSX4B
Ssxb14,SSX4B
Ssxa1,SSX4B
Ssxb10,SSX4B
Ssxb8,SSX4B
Ssxb9,SSX4B
Ssxb1,SSX4B
Ssxb13,SSX4B
Ssxb5,SSX4B
,
,
,LILRP1
,GTF3AP2
,KIR2DS2
,HNRNPUP1
,
,RPL9P6
,YBX1P1
,
,
,
,RPL21P8
,KIR2DL4
Slc35f4,SLC35F4
,
,
,CT47A1
,
Gm4984,MPC1L
Mettl4,METTL4
Gm22953,MIR1282
,
,TARM1
,
,DMRTC1B
,SNORD13E
,MIR4511
,
,
,VSTM1
,
,
,HNRNPA1P44
,
Pds5b,PDS5B
,
,U6
,FTH1P13
,Y_RNA
,
,
Gm23947,RNU6-18P
,
,RPL21P11
,
,
,
,
,OR7E159P
,DNM1P31
,
,
,KIR2DS5
,
,RN7SL185P
,
,
,
,EIF3LP1
,
,ARHGAP27
,
,
,COILP1
,
,TRAJ50
,LILRP2
,
,KRT8P4
,U8
,
Golga2,GOLGA8O
,
,LILRP2
,RPL32P4
,FKBP1BP1
,
,
Ly6d,LY6D
,CAP2P1
,
,RPS19P3
,
,RAB42P1
,
,ENSAP2
,MIR6089
,LINC00102
,UBA52P3
,
,CYB5AP5
,LINC01639
,XG
Clec14a,CLEC14A
,
,KIR3DL3
,VSTM1
Tg,TG
,
,
Ska1,SKA1
,LINC02939
,LINC01271
,
,
,
,
,
,
,
,
,
,
,RN7SL539P
,
,
,
,GOLGA6L23P
,
Nkx2-4,NKX2-4
,ZNRF3-AS1
,
,
,
,NLRP2
,
,
Rgs6,RGS6
,RN7SL214P
,
,
,SNORA63
,LINC01399
,RN7SKP140
,
,
,
,KIR2DL3
,RPL5P3
,HMGB1P6
,
,CSPG4P11
,GSTM3P1
,
Nkx2-2,NKX2-2
,
,
,
,KIR2DP1
,NKX2-2-AS1
,RN7SL331P
,UBE2Q2P8
,KIR2DL1
,RN7SL417P
,
,CSPG4P5
,LINC01727
,UBE2Q2P11
,GP6
,Metazoa_SRP
,Y_RNA
,LINC02885
,PIN4P1
,POTEB
4930503L19Rik,C18orf54
,LINC01634
,
,
,MRPL32P2
H2bw2,H2BW1
,
Pcdh11x,PCDH11X
,TARM1
,
,
,OSCAR
,H3P29
,
Rcl1,RCL1
,
,
,
Snx33,SNX33
,LINC01643
,
,
Catsper2,CATSPER2
,KIR3DP1
,BETALINC1
,KIR2DL4
,
,LINC01726
,
,
,RPS9
,NDUFA3
,
,
,
,
,
,TFPT
,
,
,Y_RNA
,Metazoa_SRP
,
,KRT18P4
Gm24268,RNU6-147P
Gm25257,RNU6-147P
Snai1,SNAI1
Pnma3,PNMA3
,SCREEM1
,PRPF31
,RDH13
,KANSL1
,DMRTC1
,
,TRERNA1
,
,NLRP7
,
,
,
,TRABD-AS1
,
,
,
,
,
,
,
F9,F9
,LINC01311
,CNOT3
,HNRNPA1P41
,
,
,RPS29P33
,JKAMPP1
,LINC01638
,PABPC1P11
Brd10,BRD10
,
,MBOAT7
,
,KIR3DL1
,
,
,NCF4-AS1
,
,
,
,LINC00656
,
,
,
,EPIC1
,TSEN34
,
Haus1,HAUS1
,
,
,
,RPS27AP14
,
,AKAP8P1
,LINC03125
,LENG1
,FTH1P12
,KANSL1-AS1
Dmrta1,DMRTA1
,
,TMC4
,
,
,RPL31P42
,LRRC37A
,MTCO3P30
,TFPT
,LINC01242
,
,RNU6ATAC23P
,
,RPSAP60
,CLIC4P1
,DEPDC1P1
,TPMTP3
,SAMM50P1
,
,
,
,
,RPL32P2
,SNORA11E
,SNORA11D
,
,PGBD4
,
,HMGB3P23
,
,
,RNU6-203P
,RPS24P19
,Y_RNA
,
,CNOT3
,RPSAP63
,ACTG1P15
,GPC3-AS1
,MIR1233-1
,RPS26P2
,
,
,CHCHD4P3
,TIMM8BP2
,MBOAT7
,
Lurap1l,LURAP1L
,LARP1BP3
,FLICR
,
,
,
,RNU7-195P
,HMGB1P8
,
,
,
,LINC01627
,FMR1-IT1
,
,MIR6766
,
Fmr1nb,FMR1NB
,HMGN2P16
,
Mir9-3,MIR9-3
,
,BOLA3P4
,ASS1P12
,SLC4A1APP1
,TSEN34
,KCTD9P3
,RBPJP6
,
,
,RNA5SP524
,FTH1P8
,
,FTLP4
,ATP5F1AP1
,
,ATP5F1AP10
,
Magea8,MAGEA10
Magea1,MAGEA10
Magea4,MAGEA10
Magea3,MAGEA10
Magea9,MAGEA10
Magea14,MAGEA10
Magea10,MAGEA10
Magea5,MAGEA10
Magea6,MAGEA10
Magea2,MAGEA10
,FKBP4P7
,RPS9
,
,LRRC37A3
,
Gml2,GML
Gml,GML
,PRPF31
,KIR2DS4
,LILRA3
Pax5,PAX5
,
,TMX1P2
,
,H2AZP7
,
Cd93,CD93
,
Slc12a6,SLC12A6
,
,XAGE3
,LILRP2
Lypd2,LYPD2
,
,LILRP2
,BBLNP1
,
,FRG1EP
,
,
,
,ZNHIT1P1
,LILRA5
,
Frmd7,FRMD7
,RPL21P78
Slurp1,SLURP1
,OSCAR
,RPS27AP2
,
,
,
,FRG1DP
,
,
,
Proser1,PROSER1
,
,LYNX1-SLURP2
,MXRA5
,MLLT10P1
,
,
,SPPL2C
,FRG1BP
,
,
,MAPT-AS1
,MAPK6P1
,LILRA4
,ASS1P4
,GAGE12D
,
,FRG1BP
,ARL17B
,
,
,KNOP1P5
,
,LENG1
,
,GAGE12E
,U6
,TMC4
,PSLNR
Csmd3,CSMD3
,LAIR1
,LINC00898
,GAGE12G
,NDUFA3
,
,KIR2DS4
,
,HSFY1P1
,KIR3DL2
Rbbp8,RBBP8
,
,RARRES2P11
,
,PIEZO1P2
,GAGE12H
,
,NSF
,
,RPS10P5
,
,VN1R108P
,GAGE1
,
,
,
,
,
,LINC00895
,GAGE10
,
,
,GAGE12J
,
Cdk8,CDK8
,
,
,FAM182B
Ndufv3,NDUFV3
Gabrq,GABRQ
,MAPK8IP1P1
,RDM1P2
,
,NSFP1
,STH
,
,
,
,
,5S_rRNA
,
,Metazoa_SRP
,MAGEA6-DT
,Metazoa_SRP
,Metazoa_SRP
,CRHR1
,
Pnma5,PNMA5
Kcne1,KCNE1
,
,
,PPIAP91
,MORF4L1P5
,PRXL2CP1
Nhs,NHS
,
,
,
,KIR2DL4
,
,LINC01315
,RPL7P54
,NT5DC1P2
,RPL36AP54
Mir450b,MIR450B
Mir450-1,MIR450A1
,
Mir450-2,MIR450A2
Mir542,MIR542
,MIR503
Mir322,MIR424
,
,RPL21P133
,LINC02925
,RPS7P12
,RNU4-44P
Vps26c,VPS26C
,MRPS18CP7
,RNA5SP505
Fam120c,FAM120C
,HDHD5-AS1
,KIR2DL1
,
,
,
,KIR3DP1
,
,NUP50-DT
,KIR2DL4
,SIRPB3P
,RPL37P24
,CRYBB2P1
,RPL7AP71
,
Tmem185a,TMEM185A
,
,KRT18P40
,
,ZNF430
,
Dach2,DACH2
,MTCO1P2
,
,LINC00520
,
,
,FAM182A
,ZNF85
,Y_RNA
,Y_RNA
,Metazoa_SRP
,WNT3
,
,
,MTCYBP27
,EEF1A1P2
,
,YWHAQP1
,
,KIR3DS1
,
,
,FOXN3-AS1
,
,MTND4P33
,OR7K1P
,
,
,DNAJC19P9
,
,KIR3DL1
,
,
,
,
Ccdc85c,CCDC85C
Sntb1,SNTB1
Atxn3,ATXN3L
,VCX3B
Impa2,IMPA2
,
,BNIP3P24
,
,
,ZNF66
Arhgef7,ARHGEF7
,GRK3-AS1
Brcc3,BRCC3
Brcc3dc,BRCC3
Dop1b,DOP1B
,KRTAP9-10P
,KRTAP29-1
,KRTAP9-2
,KRTAP9-3
,
,DNAJC8P3
,KRTAP9-4
,
,KRTAP9-9
,
,
,
,RFPL4AP5
,NCAPGP1
,KIR2DL5A
,RPL21P79
,
,FOXN3-AS4
,
,
,RPL19P14
,
,MTCO1P47
,MTND5P35
,
Has2,HAS2
,
,
,CHORDC2P
,SLC35F4-AS1
,
,
,
,RPL35AP19
,
,YWHAH-AS1
,
,RN7SKP159
,RN7SL318P
,RPL23AP10
,SNORA70
,RNA5SP251
,IGHVIII-16-1
,RN7SL474P
,IGHV3-23
,
,RNU7-153P
,Y_RNA
,RNU6-397P
,IGHVIII-22-2
,
,MIR383
,RNU4-71P
,IGHV4-34
,MIR3148
,RN7SL621P
Gm23199,RNU6-1218P
,KIR2DS5
,RNA5SP260
,IGHV1-12
,SNORA70
,IGHVII-30-1
,
,MIR548H4
,IGHVII-15-1
,RNA5SP258
,
,
,RN7SL457P
,
,RNU6-528P
,
,RNU6-533P
,KIR2DS1
,IGHGP
,SNORD65B
,
Gm24537,RNU6-295P
,
,RN7SKP32
,KIR3DL2
,IGHV3-38
,RNU6-356P
,
,SNORD13
,FAM47A
,IGHV3-22
,RNA5SP531
,
,XIAP-AS1
,RN7SKP294
,
,LINC01716
,
,
Gm25792,RNU6-122P
,MIR548AO
,PARD6BP1
,IGHV3-37
,ZNF43
,RNU6-895P
,
,ZIK1P1
,IGHV4-28
,RNU6-819P
,KIR2DS4
,RNA5SP267
,
,RNU6-596P
,HSPA8P20
,IGHV7-34-1
Gm24641,RNU6-13P
Tex13d,TEX13D
Tex13c1,TEX13D
,IGHVIII-11-1
,RN7SL675P
,IGHV3-21
,Y_RNA
,
,NPM1P34
Gm23735,RNU1-101P
,Y_RNA
,
,ZNF100
,RNA5SP266
Cnga2,CNGA2
,
,IGHVII-26-2
,RN7SKP29
,IGHV3-64D
,Metazoa_SRP
Mir124a-2,MIR124-2
,LILRP2
,RN7SL19P
,IGHVII-30-21
,RPS4XP3
,RNU6-656P
,IGHV1-17
,RNU6-1146P
,RN7SL203P
,PEBP1P1
,RN7SL170P
B4galt6,B4GALT6
,Y_RNA
,PTMAP6
,Metazoa_SRP
,RNA5SP271
,LILRP2
,FABP5P13
,IGHV3-35
,
,
,KRT18P53
,RNA5SP269
,
,RNA5SP270
Ighv7-1,IGHV3-15
Ighv7-4,IGHV3-15
Ighv7-2,IGHV3-15
Ighv7-3,IGHV3-15
,SHOX
Gm24037,RNU2-54P
,
,RNA5SP272
,LINC00896
,MIR8084
,MIR5708
,RNY3P14
,ELK2AP
,RNU6-1040P
,CCNYL6
,RNU6-690P
,IGHV7-27
Gm54396,MIR378D2
,RN7SL685P
,
,IGHV3-36
Gm54971,RNU6-1220P
,IGHV3-25
,VN1R84P
,RPL32P21
,RNU6-703P
,MTDHP4
,SNORD3H
,
Clba1,CLBA1
,RNA5SP274
,BRI3BPP1
,CDCA7P2
,RNU6-748P
,RN7SL41P
,
,CCNYL6
,
,TCEA1P4
Gm24523,SNORA72
,RPL21P84
,Y_RNA
,
,Y_RNA
,
,LINC02891
,SNORD77B
,
,RNU6ATAC8P
,HSPA8P17
,Y_RNA
,
,
,RNU6-914P
,RPS27AP17
,RNU6-1224P
,
,
,Y_RNA
,MIR4767
,
,MIR5680
,
,
,Metazoa_SRP
,RNA5SP275
,
Chic1,CHIC1
,RNA5SP276
Gm22821,RNU6-12P
,
,RNU7-67P
,RN7SL228P
,
,RN7SL826P
,MIR2053
,
,MIR548AZ
Gm24061,SNORA72
,FKBP4P6
,
,RNU4-83P
Slc28a3,SLC28A3
,
,SNHG17
,RNU4-37P
,
,MIR7848
,MIR3149
,MIR1302-7
Gm24905,RNU6-442P
Gm24646,RNU6-442P
,
,
Npbwr1,NPBWR1
,
,
,RNF5P1
,Y_RNA
,C8orf17
,
,MIR1205
Gm23330,RNVU1-32
,MIR1206
,
,
,CT47B1
,IGHV1-14
,RNU4-25P
,
Gm715,HAPSTR2
,MIR1207
,LINC02912
,IGHV3-20
,U6
,BLK-AS1
Ssxb15,SSX2
Ssxb16,SSX2
Ssxb6,SSX2
Ssxb2,SSX2
Ssxb3,SSX2
Ssxb14,SSX2
Ssxa1,SSX2
Ssxb10,SSX2
Ssxb8,SSX2
Ssxb9,SSX2
Ssxb1,SSX2
Ssxb13,SSX2
Ssxb5,SSX2
,IGHV3-33-2
,FCAR
,GLRXP2
Ahnak2,AHNAK2
,LINC00208
,
,RNA5SP264
,
,
,
,LINC02886
,
,HIGD1AP6
,LILRP2
,PKMP4
,IGHVIII-25-1
Ighv1-18,IGHV1-24
Ighv1-78,IGHV1-24
Ighv15-2,IGHV1-24
Ighv1-22,IGHV1-24
Ighv1-39,IGHV1-24
Ighv1-76,IGHV1-24
Ighv1-72,IGHV1-24
Ighv1-64,IGHV1-24
Ighv1-34,IGHV1-24
Ighv1-67,IGHV1-24
Ighv1-80,IGHV1-24
Ighv1-77,IGHV1-24
Ighv1-26,IGHV1-24
Ighv1-53,IGHV1-24
Ighv1-5,IGHV1-24
Ighv1-9,IGHV1-24
Ighv14-4,IGHV1-24
Ighv1-62-1,IGHV1-24
Ighv1-4,IGHV1-24
Ighv1-63,IGHV1-24
Ighv1-19,IGHV1-24
Ighv1-82,IGHV1-24
Ighv1-71,IGHV1-24
Ighv1-49,IGHV1-24
Ighv1-62-2,IGHV1-24
Ighv1-55,IGHV1-24
Ighv1-61,IGHV1-24
Ighv1-24,IGHV1-24
Ighv1-42,IGHV1-24
Ighv1-52,IGHV1-24
Ighv1-84,IGHV1-24
Ighv1-31,IGHV1-24
Ighv14-1,IGHV1-24
Ighv1-11,IGHV1-24
Ighv1-15,IGHV1-24
Ighv1-69,IGHV1-24
Ighv1-43,IGHV1-24
Ighv1-56,IGHV1-24
Ighv1-59,IGHV1-24
Ighv1-37,IGHV1-24
Ighv1-81,IGHV1-24
Ighv1-20,IGHV1-24
Ighv1-66,IGHV1-24
Ighv1-75,IGHV1-24
Ighv1-7,IGHV1-24
Ighv1-62-3,IGHV1-24
Ighv1-23,IGHV1-24
Ighv1-36,IGHV1-24
Ighv1-12,IGHV1-24
Ighv14-3,IGHV1-24
Ighv1-16,IGHV1-24
Ighv1-47,IGHV1-24
Ighv1-54,IGHV1-24
Ighv1-85,IGHV1-24
Ighv1-58,IGHV1-24
Ighv1-74,IGHV1-24
Ighv1-50,IGHV1-24
Ighv14-2,IGHV1-24
,
Ccn4,CCN4
,IGHV3-33
,
,VSTM1
,IGHVIII-38-1
,SDR42E1P2
,
,IGHV3-30
,
,
,
,
,
,OR7E105P
,
,SLC20A1P2
,MTCO3P40
,IGHV5-10-1
,HNRNPA1P14
,
,LINC02312
,
Trappc8,TRAPPC8
,
,IGHV3-32
,IGHVII-33-1
,
Ighv8-8,IGHV2-26
Ighv8-5,IGHV2-26
Ighv8-12,IGHV2-26
Ighv8-11,IGHV2-26
Ighv8-4,IGHV2-26
Ighv8-9,IGHV2-26
Ighv8-2,IGHV2-26
Ighv8-13,IGHV2-26
Ighv8-6,IGHV2-26
,SLC28A3-AS1
,
,
,RPS20P25
,IGHVIII-13-1
,VCX
Ighv1-18,IGHV1-18
Ighv1-78,IGHV1-18
Ighv15-2,IGHV1-18
Ighv1-22,IGHV1-18
Ighv1-39,IGHV1-18
Ighv1-76,IGHV1-18
Ighv1-72,IGHV1-18
Ighv1-64,IGHV1-18
Ighv1-34,IGHV1-18
Ighv1-67,IGHV1-18
Ighv1-80,IGHV1-18
Ighv1-77,IGHV1-18
Ighv1-26,IGHV1-18
Ighv1-53,IGHV1-18
Ighv1-5,IGHV1-18
Ighv1-9,IGHV1-18
Ighv14-4,IGHV1-18
Ighv1-62-1,IGHV1-18
Ighv1-4,IGHV1-18
Ighv1-63,IGHV1-18
Ighv1-19,IGHV1-18
Ighv1-82,IGHV1-18
Ighv1-71,IGHV1-18
Ighv1-49,IGHV1-18
Ighv1-62-2,IGHV1-18
Ighv1-55,IGHV1-18
Ighv1-61,IGHV1-18
Ighv1-24,IGHV1-18
Ighv1-42,IGHV1-18
Ighv1-52,IGHV1-18
Ighv1-84,IGHV1-18
Ighv1-31,IGHV1-18
Ighv14-1,IGHV1-18
Ighv1-11,IGHV1-18
Ighv1-15,IGHV1-18
Ighv1-69,IGHV1-18
Ighv1-43,IGHV1-18
Ighv1-56,IGHV1-18
Ighv1-59,IGHV1-18
Ighv1-37,IGHV1-18
Ighv1-81,IGHV1-18
Ighv1-20,IGHV1-18
Ighv1-66,IGHV1-18
Ighv1-75,IGHV1-18
Ighv1-7,IGHV1-18
Ighv1-62-3,IGHV1-18
Ighv1-23,IGHV1-18
Ighv1-36,IGHV1-18
Ighv1-12,IGHV1-18
Ighv14-3,IGHV1-18
Ighv1-16,IGHV1-18
Ighv1-47,IGHV1-18
Ighv1-54,IGHV1-18
Ighv1-85,IGHV1-18
Ighv1-58,IGHV1-18
Ighv1-74,IGHV1-18
Ighv1-50,IGHV1-18
Ighv14-2,IGHV1-18
Tyrp1,TYRP1
,HOMER2P2
,RPL32P20
,IGHV3-19
,IGHV4-31
,DPPA3P7
,Y_RNA
Rpl10l,RPL10L
,MIR5681A
,MIR5681B
,PCBP2P2
,MIR2052
,
,LINC00226
,
,ABRAXAS1P2
,IGHV3-29
,MTND4LP26
,FOXN3-AS2
,
,IGHV3-13
,
,
,
Sertm2,SERTM2
,
,
,CEACAM4
,IGHV3-30-2
,NCR1
,
,IGHVII-22-1
,XRCC6P4
,RNU6-1189P
,IGHVIII-26-1
Gm56207,RNU12-2P
Gm55022,RNU12-2P
,IGHV3-16
,SRPK2P
,ITPK1P1
,
,INE1
,
,GTF3C6P2
,
,IGHV3-11
,Y_RNA
,TARDBPP4
,MYCLP1
,IGHVII-28-1
,TRAJ46
,
,DNAJA1P3
Gm54867,5_8S_rRNA
Gm55073,5_8S_rRNA
,RN7SL135P
,RNU6-458P
Pi15,PI15
,RNU1-27P
,RN7SL660P
Gm23296,RNU6-8
Gm24859,RNU6-8
,
,
,MIR3171
,PLEKHA3P1
Gm26257,RNU6-1261P
,RNA5SP385
,DNAJC19P2
Gm23296,RNU6-7
Gm24859,RNU6-7
,CEACAM21
Gm22443,RNU6-301P
,Metazoa_SRP
,MIR5580
,SNORA70
,Y_RNA
Atp7a,ATP7A
,MIR4708
,RN7SL598P
Gna14,GNA14
,RN7SKP99
,MIR5586
,SNORD56B
,RN7SL683P
,RNU1-28P
Gm25793,RNU6-552P
,Metazoa_SRP
,Y_RNA
Gm56393,Y_RNA
,MIR625
,RNU6-976P
,RNU6ATAC28P
,MIR4709
,RNU7-30P
,SNORA11B
,RN7SKP107
,Y_RNA
,TARM1
,RN7SKP255
,Y_RNA
,RN7SL714P
,RNU2-33P
Gm23379,RNU6-91P
,TRAJ44
,OSCAR
Tspear,TSPEAR
,TRAJ43
,
,
,TRAJ42
,
,
,TRAJ41
,MIR6841
Foxd4,FOXD4L3
,
,KIR2DL1
,TRAJ40
Gm54519,RN7SKP206
,
,MIR3686
,MTRF1LP2
,
,TRAJ39
,KIR2DS3
,TRAJ37
,TRAJ36
,MIR7112
,ATP5F1AP7
,
,KIR2DL4
,FAM74A7
,MIR6848
,TRAJ35
Scrt1,SCRT1
,TRAJ34
,RPL21P85
,TRAJ33
,
,TRAJ32
,
,TRAJ31
,
,
,RPL21P83
,TRAJ30
,GNA14-AS1
,TRAJ29
,
,DNAJC19P3
,
,MIR939
,TRAJ28
,TPM3P5
,MIR1234
,MIR6849
,
,
,MTCO1P51
,TRAJ27
,
,
Slc39a4,SLC39A4
,TRAJ26
,LINC01480
,TRAJ25
,CDRT15P7
,
,TRAJ24
,
,TRAJ23
,CEACAM7
,
,
,TRAJ22
,SDR42E1P4
,ASS1P3
,
,TRAJ21
,PA2G4P6
,
,OR7E31P
,TRAJ20
,NDUFA3
,SDR42E1P3
,
,TRAJ19
,
,TRAJ18
,MTND3P4
,TRAJ17
,TFPT
,TRAJ16
,
,
,TRAJ14
,LINC00583
,CEACAMP3
,TRAJ13
,
,
,
,TRAJ12
,IL6RP1
,TRAJ11
,
,TRAJ10
,RBPJP2
,PRPF31
,TRAJ9
,
,
,TRAJ8
,TRAJ7
Grin3a,GRIN3A
,NLRP7
,TRAJ6
Slx9,SLX9
,TRAJ5
,TRAJ4
,TRAJ3
,TRAJ2
,TRAJ1
,TRAC
,
,
,
,
,
,OR6E1P
,
,
Gm25506,
,
,Y_RNA
,
,
,KIAA1671-AS1
,
,
Psmb11,PSMB11
,
,
,
,
,
,
,CNOT3
,
,
Thtpa,THTPA
,RPL7AP46
,
,NATP
,
Cylc2,CYLC2
,
,
,
,NHIP
,
,
,NLRP2
,
,MYO18B-AS1
,
,
,FCAR
,
,SLC45A4-AS1
,SLC45A4-AS2
,
Gm24299,
,
,HNRNPA1P38
,OR7E116P
,
,RN7SL798P
,RN7SL323P
Barx1,BARX1
,
,BRD7P1
Gm24016,SNORD54
,
,NPM1P21
,RN7SKP205
,GP6
,SNORA71
,
,SNORA71B
Mos,MOS
Gm26003,SNORA71A
Gm55920,SNORA71A
,SNORA71C
,SNORA71D
,
Gm23925,SNORA71
Gm25539,
Gm22673,
Gm56083,
,LINC00596
,
,
,TRAJ38
,
,Y_RNA
Tcl1,TCL1A
,
,FAM230A
,
,LINC02578
,GAPDHP26
,MTND2P9
,
,TUBB4BP6
,
,ARL2BPP7
,LENG1
,SLC25A6P2
,BNIP3P4
,SNHG11
,IGKV1OR-2
,
,KRT18P66
Cxadr,CXADR
Gm1123,CXADR
,
,FAM230D
Ndrg1,NDRG1
,RDH13
,
,TMC4
,
,VSTM1
,
,LINC02287
,CYB5AP3
,
Vps13a,VPS13A
,
,
,FAM230J
,
,RPL36AP4
,COX6CP11
,RPL21P10
Sall3,SALL3
,ZMYND19P1
,Y_RNA
,
,LINC02914
,
,
,ZSCAN30
,SBNO2
,
,
,Y_RNA
,
,
,
,SNRPGP1
,
,
,RN7SL452P
,
,LINC00229
,ZFP64P1
,
,
,
,
,
,METTL5P1
,
,
,
,
,RNU6-689P
,MORC2-AS1
,HIF1AP1
,RNU4ATAC14P
,
,NLRP2
,
,
,RPSAP4
,GSC-DT
,RPL15P2
,
,
,
,EFCAB6-AS1
,ADIPOR1P2
,PCGF7P
,
,ZNF729
,RNU6ATAC9P
,MIR4308
,ZNF676
,FDPSP3
,MBOAT7
,
,RPSAP13
,
,OR4U1P
,
Or4l15,OR4L1
Or4l1,OR4L1
Tgif1,TGIF1
,
,
,
,RNA5SP380
,
,CNOT3
,OR4T1P
,ZNF92P2
,
,PSMB7P1
,
,GTF2IP22
,KIR2DS2
,MTDHP5
,OR11G1P
,VN1R85P
,BNIP3P31
,OR11P1P
Or11h6,OR11H6
,
,
,BNIP3P30
Or11h7,OR11H7
Or11h23,OR11H7
,LINC02554
,
,KIR3DL3
,
Mrps31,MRPS31
,SNORA79B
,SNORD126
,RPPH1
,
,
,RNA5SP382
Klhl33,KLHL33
,GJA6P
Rs1,RS1
,
,
,PTCD2P1
,BLOC1S6P1
,PRAMENP
,HAUS1P2
,SETP1
,PHKA2-AS1
,
,RN7SL48P
Gm61616,SUPT20HL1
Gm61617,SUPT20HL1
,RNASE11-AS1
,RNU6-1056P
,LENG1
,
Glod5,GLOD5
,NDUFA3
,LINC01665
,
,RNU6-29P
Eras,ERAS
,NCR1
Or6s1,OR6S1
,Y_RNA
,
,LINC02559
,
,
Gm24086,RNU6-722P
,RANBP20P
,
Gm24595,SNORA11G
Gm24907,SNORA11G
Prmt2,PRMT2
Gm61616,SUPT20HL2
Gm61617,SUPT20HL2
,
,EDDM3DP
,SNRPEP9
,PRKCIP1
Eddm3b,EDDM3A
,ARMCX3-AS1
,
Gm26054,RNU6-30P
,PDXP-DT
,
Eddm3b,EDDM3B
,RNU6-587P
Armcx4,ARMCX4
,
,
,
Ear14,RNASE2
Ear1,RNASE2
Ear10,RNASE2
Ear2,RNASE2
Rnase2b,RNASE2
Rnase2a,RNASE2
Ear6,RNASE2
,
,
,TSEN34
Stard13,STARD13
,
,
,RN7SL189P
,TMC4
,
Slc39a2,SLC39A2
,LIF-AS1
,
,
,
,EIF5P1
,HMGN1P33
,Y_RNA
Frmpd4,FRMPD4
,RDH13
,MIR6717
,FAM230G
Tppp2,TPPP2
,TSEN34
,RPS9
,
,
,RPS26P56
,LINC02063
,RNA5SP513
,
,
,SNORA36A
,
,
,
,MIR664B
,SNORA56
Smim9,SMIM9
Rnase13,RNASE13
,RPS9
Ice1,ICE1
,
,MIR1184-1
,ARL5AP1
,RNASE7
Gm14569,KIAA1210
,MBOAT7
,RNASE8
,CKAP2P1
,RNU6-252P
Or5au1,OR5AU1
,NLRP7
Timm21,TIMM21
,CXorf51A
,KIR3DL2
Spaca5,SPACA5
,SMARCE1P3
,
Ct45a,CT45A7
,LINC00641
,SNORD9
,HMGB3P26
,RPSAP5
,RPL10AP1
,RNU7-160P
,
Lage3,LAGE3
,Y_RNA
,MIR23C
,RNU4-68P
Gm54904,
,
,KLC1-AS1
Gm24339,
,
,EIF1AX-AS1
,
,
Gm26104,RNU6-98P
,
,HS6ST2-AS1
,
,
,Y_RNA
,
,NAA20P1
,
,
,
,LINC02145
,EIF4A1P12
,
,USP26
,NDUFA11
,OSCAR
,BTF3P2
,
,
,
,
,Y_RNA
,
,
,
,TNRC6B-DT
,MTCO1P31
,
,TGFB3-AS1
,
,VMAC
Marchf11,MARCHF11
,
,
,
,TMSB15B-AS1
Adarb2,ADARB2
,FUT3
,RPL13P6
,
,RPL21P12
,
,MIR3667HG
,GCSHP2
,LILRB3
,
,MTCO1P30
,RPL21P13
,RPL17P4
Snora28,SNORA28
,
,MIR3173
,
,
,
,
,
,
,HMGB3P3
Hs6st2,HS6ST2
,
,
,CEND1P1
,CHCHD3P1
Tmem179,TMEM179
,HSP90AB7P
,
,
H2al1c,H2AL1Q
H2al1i,H2AL1Q
H2al1k,H2AL1Q
H2al1a,H2AL1Q
H2al1m,H2AL1Q
H2al1f,H2AL1Q
H2al2c,H2AL1Q
H2al1o,H2AL1Q
H2al1j,H2AL1Q
H2al2b,H2AL1Q
H2al1e,H2AL1Q
H2al1b,H2AL1Q
H2al1d,H2AL1Q
H2al2a,H2AL1Q
H2al1h,H2AL1Q
H2al1g,H2AL1Q
H2al1n,H2AL1Q
,IGBP1-AS1
Dgat2l6,DGAT2L6
,
,MTND1P37
Myo10,MYO10
Ndc80,NDC80
,RN7SL581P
Awat1,AWAT1
,GP6
,KIR2DL5A
,
,HMGN1P20
,
,
,
,
,
,LINC02280
Acbd7,ACBD7
,MIR4710
,
,KIR2DS1
,
,
,
,U6
,RNA5SP507
Gm25102,RNU4-22P
,KIR3DP1
P2ry4,P2RY4
,
,LINC01664
,
,
,MTND2P16
Arr3,ARR3
,
,
,
,RNU4-92P
,CKS1BP2
,Y_RNA
,MPPE1P1
,
,
,RPL31P5
,GCATP1
,
Cubn,CUBN
,HSPE1P2
,RNU6-597P
,Y_RNA
Gm25740,RNU6-1162P
,U3
,TFPT
,EIF2S2P1
,RNU7-116P
,
,RPS28P1
,7SK
Cpap,CPAP
,Y_RNA
,MIR548H1
,
,NBPF26
,
,MIR2392
,PRPF31
,
,
Gm55096,
Gm55207,
Mir770,MIR770
,MIR493
Mir337,MIR337
Mir665,MIR665
Mir431,MIR431
Mir433,MIR433
Mir127,MIR127
,MIR432
,MIR136
,
,SNORD112
,
Mir370,MIR370
,SNORD113-1
,SNORD113-2
Gm24564,SNORD113-3
Gm55109,SNORD113-4
,SNORD113-5
AF357425,SNORD113-6
Gm55993,SNORD113-6
,SNORD113-7
,SNORD113-8
Gm55110,SNORD113-9
AF357341,SNORD114-1
Gm22981,SNORD114-1
AF357428,SNORD114-1
Gm23736,SNORD114-1
Gm25856,SNORD114-1
,RAB41
,SNORD114-2
AF357341,SNORD114-3
Gm22981,SNORD114-3
AF357428,SNORD114-3
Gm23736,SNORD114-3
Gm25856,SNORD114-3
,SNORD114-4
,SNORD114-5
,
,
,RNVU1-19
,SNORD114-6
,PPIAL4A
,SNORD114-7
