Barcode	CellName	Sample	Tissue	Platform	raw.nUMI	raw.nGene	filter.nUMI	filter.nGene	ribo.per	raw.nCD	raw.nTF	raw.nCyt	raw.nLR	Global_Cluster	Sub_Cluster	Sub_ClusterID	Global_tSNE_1	Global_tSNE_2	Sub_tSNE_1	Sub_tSNE_2	integrated.Global_tSNE_1	integrated.Global_tSNE_2
NTC59-20170411	P_N_P0411_01934	P0411	N	Smart-seq2	399664.7196	4364	327646.7152	3860	0.022187726	89	233	20	150	CD8 T cell	hT16_CD8-CD6	hT16	-3.077836148	3.799672473	-22.7991651	-8.814951039	-1.335596833	-12.40230607
NTC60-20170411	P_N_P0411_01935	P0411	N	Smart-seq2	558207.2605	4302	458851.3466	3838	0.026672206	89	237	21	153	CD8 T cell	hT17_CD8-CD160	hT17	-3.828642119	3.005435334	-25.12767594	-10.73697931	-3.672587017	-12.47012204
NTC61-20170411	P_N_P0411_01936	P0411	N	Smart-seq2	562611.9669	4366	487479.7599	3913	0.038671136	94	235	18	151	CD8 T cell	hT15_CD8-GZMK	hT15	5.173174925	-16.15132166	-9.704338266	15.44980053	3.692845606	-15.04480839
NTC63-20170411	P_N_P0411_01937	P0411	N	Smart-seq2	507481.3793	4300	408825.816	3817	0.028061181	90	246	18	144	CD8 T cell	hT16_CD8-CD6	hT16	10.09527234	-10.2677999	-7.678920943	9.568373988	7.163495931	-8.940224806
NTC64-20170411	P_N_P0411_01938	P0411	N	Smart-seq2	409945.7148	3651	346371.0989	3285	0.037019449	80	200	25	135	CD8 T cell	hT16_CD8-CD6	hT16	-1.271557751	5.629521459	-21.07434219	-10.17537518	7.769250642	-1.319757609
NTC65-20170411	P_N_P0411_01939	P0411	N	Smart-seq2	473402.5191	3854	408096.9838	3422	0.030504592	82	216	24	134	CD8 T cell	hT16_CD8-CD6	hT16	-4.511853592	3.788762533	-24.18793431	-10.22980934	-1.349615123	-11.71939491
NTC66-20170411	P_N_P0411_01940	P0411	N	Smart-seq2	482642.4007	4646	394132.5673	4131	0.028025268	98	266	20	164	CD8 T cell	hT17_CD8-CD160	hT17	-6.456541554	3.283385184	-27.61509786	-9.84324238	-6.125588205	-13.37862062
NTC67-20170411	P_N_P0411_01941	P0411	N	Smart-seq2	510263.6594	4331	435267.0401	3872	0.022978266	90	250	18	135	CD8 T cell	hT16_CD8-CD6	hT16	-4.565142009	3.630731282	-25.97109163	-9.592786774	-3.612935449	-7.243701489
NTC68-20170411	P_N_P0411_01942	P0411	N	Smart-seq2	532799.0019	4426	462224.8654	3935	0.024925236	85	241	22	138	CD8 T cell	hT16_CD8-CD6	hT16	8.842408664	5.770245219	-20.41718644	-10.71880747	2.614235118	-0.841550137
NTC69-20170411	P_N_P0411_01943	P0411	N	Smart-seq2	545287.5323	4833	466299.2158	4328	0.02571801	95	264	31	155	CD8 T cell	hT17_CD8-CD160	hT17	-6.849859597	2.778595682	-27.64492607	-9.615703819	-5.116855505	-11.63680862
NTC70-20170411	P_N_P0411_01944	P0411	N	Smart-seq2	453712.3324	4833	365443.7427	4279	0.023644893	101	268	24	175	CD8 T cell	hT17_CD8-CD160	hT17	-8.668954652	4.521873418	-28.69409426	-9.914378552	-7.852523805	-5.416068223
NTC71-20170411	P_N_P0411_01945	P0411	N	Smart-seq2	492239.5394	4771	414752.9404	4175	0.026568659	102	272	27	163	CD8 T cell	hT16_CD8-CD6	hT16	-4.890641444	2.531639427	-24.79862077	-9.830558192	-5.244315491	-11.51707073
NTC72-20170411	P_N_P0411_01946	P0411	N	Smart-seq2	400508.236	4057	324485.2068	3597	0.027866409	86	229	23	138	CD8 T cell	hT16_CD8-CD6	hT16	-4.679518367	2.980022344	-24.26396717	-10.22893504	-4.017439232	-7.56058285
NTC73-20170411	P_N_P0411_01947	P0411	N	Smart-seq2	481840.0021	4569	400216.5597	4036	0.032273042	109	231	24	167	CD8 T cell	hT17_CD8-CD160	hT17	-7.950866835	3.32201075	-29.39038141	-9.68470082	-6.212878568	-11.20978825
NTC75-20170411	P_N_P0411_01948	P0411	N	Smart-seq2	355252.4216	4013	309001.8966	3540	0.046823123	88	243	24	146	CD8 T cell	hT14_CD8-CX3CR1	hT14	11.23204919	-10.42682388	-6.133427889	11.7563732	11.02373698	-11.26155543
NTC76-20170411	P_N_P0411_01949	P0411	N	Smart-seq2	453775.5551	3740	401583.5548	3248	0.023755142	90	209	16	142	CD8 T cell	hT15_CD8-GZMK	hT15	11.06904986	-9.593834118	-5.934481823	8.475245269	10.83247546	-10.37617418
NTC77-20170411	P_N_P0411_01950	P0411	N	Smart-seq2	521210.0331	3860	428334.4007	3412	0.040852532	94	216	18	141	CD8 T cell	hT16_CD8-CD6	hT16	-3.728431638	4.655380029	-24.33485428	-11.68695561	5.332117053	1.062588634
NTC78-20170411	P_N_P0411_01951	P0411	N	Smart-seq2	530657.2332	3958	458193.4224	3514	0.028520673	93	195	27	148	CD8 T cell	hT16_CD8-CD6	hT16	-5.007416312	3.283488828	-24.2986693	-10.46344806	-1.547712826	-12.68996135
NTC79-20170411	P_N_P0411_01952	P0411	N	Smart-seq2	470624.2028	4192	400442.8682	3671	0.030991388	93	235	25	156	CD8 T cell	hT16_CD8-CD6	hT16	-1.03152424	5.518037244	-20.54588473	-10.59184177	2.731446741	4.708023015
NTC80-20170411	P_N_P0411_01953	P0411	N	Smart-seq2	375438.0806	4199	320837.7239	3698	0.024712787	95	230	22	143	CD8 T cell	hT17_CD8-CD160	hT17	-7.630458909	4.617865987	-28.26463792	-10.6682219	-3.686422343	-7.355367114
NTC82-20170411	P_N_P0411_01954	P0411	N	Smart-seq2	346215.9252	4266	298051.0368	3742	0.026038804	86	221	21	146	CD8 T cell	hT15_CD8-GZMK	hT15	10.2161528	-10.79823047	-8.387695298	9.986495482	7.519252424	-8.669870946
NTC83-20170411	P_N_P0411_01955	P0411	N	Smart-seq2	346074.1158	4043	299536.1424	3554	0.032758104	80	228	20	150	CD8 T cell	hT17_CD8-CD160	hT17	-7.438505312	5.234652671	-29.71532642	-10.50570627	-6.887696429	-9.718768587
NTC84-20170411	P_N_P0411_01956	P0411	N	Smart-seq2	529851.7178	4038	464588.7016	3602	0.030825689	89	231	19	137	CD8 T cell	hT17_CD8-CD160	hT17	-7.219101447	5.444505372	-28.48283262	-8.955297541	-6.028415696	-8.787956386
NTC86-20170411	P_N_P0411_01957	P0411	N	Smart-seq2	437678.2412	4003	370529.9595	3561	0.026402726	88	204	23	148	CD8 T cell	hT17_CD8-CD160	hT17	-5.506696133	3.146065655	-24.46705623	-8.929659557	-9.070529658	-3.898952952
NTC88-20170411	P_N_P0411_01958	P0411	N	Smart-seq2	533471.3056	4071	464064.3906	3623	0.034790175	96	240	24	148	CD8 T cell	hT14_CD8-CX3CR1	hT14	10.32883481	-11.24802205	0.395875388	20.84857862	12.16189268	-8.379041548
NTC89-20170411	P_N_P0411_01959	P0411	N	Smart-seq2	548755.1829	4292	458108.1758	3814	0.024003187	96	227	26	152	CD8 T cell	hT16_CD8-CD6	hT16	-4.472271823	2.636065272	-24.56992682	-8.728432892	-5.588781791	-9.02143526
NTC90-20170411	P_N_P0411_01960	P0411	N	Smart-seq2	535138.24	3843	446811.8472	3472	0.024524368	84	198	17	140	CD8 T cell	hT17_CD8-CD160	hT17	-6.144089693	3.957601307	-28.77568173	-12.88979518	-5.784125443	-14.60393281
NTC91-20170411	P_N_P0411_01961	P0411	N	Smart-seq2	377498.9821	3909	326621.731	3496	0.044351364	77	220	20	135	CD8 T cell	hT14_CD8-CX3CR1	hT14	11.10784253	-10.14372085	0.401104814	19.92455467	10.13418963	-10.64684546
NTC92-20170411	P_N_P0411_01962	P0411	N	Smart-seq2	482815.1137	4148	430798.9322	3717	0.023406372	88	241	24	138	CD8 T cell	hT16_CD8-CD6	hT16	-3.481975291	2.966357612	-24.47770774	-11.44701039	-1.440287727	-11.1671398
NTC93-20170411	P_N_P0411_01963	P0411	N	Smart-seq2	465116.9451	4017	395286.3674	3554	0.032314453	85	217	25	157	CD8 T cell	hT15_CD8-GZMK	hT15	9.485576611	-11.43558395	-9.436368276	9.740888793	8.546395338	-11.37311851
NTC94-20170411	P_N_P0411_01964	P0411	N	Smart-seq2	393657.8695	4226	330992.2498	3775	0.039710362	94	230	21	138	CD8 T cell	hT17_CD8-CD160	hT17	-7.2115233	3.459231723	-28.38857064	-9.310333978	-5.698199334	-8.694886287
NTC95-20170411	P_N_P0411_01965	P0411	N	Smart-seq2	416789.9272	4262	358465.4789	3794	0.030206197	96	236	16	154	CD8 T cell	hT16_CD8-CD6	hT16	-4.46336489	3.418309952	-25.36885846	-7.719088985	-5.524799372	-6.742119193
NTC96-20170411	P_N_P0411_01966	P0411	N	Smart-seq2	418804.5011	3985	345986.9028	3534	0.031988436	88	234	25	153	CD8 T cell	hT14_CD8-CX3CR1	hT14	15.82490024	-15.10293609	0.66585839	21.09477979	15.90636038	-15.51481118
NTC97-20170411	P_N_P0411_01967	P0411	N	Smart-seq2	561486.7225	4357	508875.2662	3842	0.022304723	93	249	32	163	CD8 T cell	hT16_CD8-CD6	hT16	-4.748412662	3.287150898	-25.0605461	-8.226085647	-3.99738645	-9.007002911
NTC98-20170411	P_N_P0411_01968	P0411	N	Smart-seq2	421403.9602	4429	386313.5322	3914	0.020915513	103	245	17	167	CD8 T cell	hT17_CD8-CD160	hT17	-8.794455064	4.264024497	-28.0789927	-10.87700044	-6.186872606	-3.043718308
NTC99-20170411	P_N_P0411_01969	P0411	N	Smart-seq2	434559.9867	3911	397754.8491	3485	0.02533946	87	226	25	145	CD8 T cell	hT17_CD8-CD160	hT17	-6.043470616	4.504415785	-27.35175678	-12.45629945	-1.009141352	-33.00610832
NTH10-20170411	P_N_P0411_01970	P0411	N	Smart-seq2	411339.437	4650	365850.3024	4091	0.025221346	91	264	17	141	CD4 T cell	hT06_CD4-CXCR5	hT06	26.21050822	12.57333543	19.65204365	-10.29245209	7.372214152	15.00601138
NTH11-20170411	P_N_P0411_01971	P0411	N	Smart-seq2	517984.563	3948	465136.5751	3435	0.023927289	90	216	17	156	CD4 T cell	hT06_CD4-CXCR5	hT06	24.6198511	13.10823598	19.00949915	-12.31310919	4.657481722	10.88317465
NTH15-20170411	P_N_P0411_01972	P0411	N	Smart-seq2	553418.3066	4374	486210.0949	3844	0.036815487	93	230	20	157	CD4 T cell	hT05_CD4-CXCR6	hT05	15.43330513	2.674503077	3.04224918	-7.019859176	4.44806791	1.191177493
NTH17-20170411	P_N_P0411_01973	P0411	N	Smart-seq2	553906.589	4148	488826.4714	3600	0.033254085	83	215	21	145	CD4 T cell	hT04_CD4-TCF7	hT04	23.13553751	8.449021408	14.27848375	-8.062088669	7.96233951	-5.936892605
NTH20-20170411	P_N_P0411_01974	P0411	N	Smart-seq2	615087.3074	3994	564986.3601	3509	0.034332093	90	211	19	138	CD4 T cell	hT06_CD4-CXCR5	hT06	23.59582059	11.06355808	17.2325842	-11.38424176	6.863618617	8.462589223
NTH21-20170411	P_N_P0411_01975	P0411	N	Smart-seq2	699276.2213	4886	632489.8174	4319	0.031711022	100	259	23	163	CD4 T cell	hT06_CD4-CXCR5	hT06	26.57944988	12.69897252	20.46314959	-13.29432639	8.500827443	17.09198869
NTH23-20170411	P_N_P0411_01976	P0411	N	Smart-seq2	596424.2719	3772	525468.3584	3334	0.035573796	89	203	18	131	CD4 T cell	hT04_CD4-TCF7	hT04	23.88531758	8.957187376	14.65807042	-7.738051672	7.772039808	9.870212298
NTH24-20170411	P_N_P0411_01977	P0411	N	Smart-seq2	549932.0737	4068	491817.7975	3622	0.02628003	90	210	19	146	CD4 T cell	hT07_CD4-GZMK	hT07	33.66831422	8.51708418	6.172188394	-21.02397345	1.696109484	16.53549327
NTH3-20170411	P_N_P0411_01978	P0411	N	Smart-seq2	395214.459	3803	370590.5913	3296	0.020303964	82	209	17	141	CD4 T cell	hT05_CD4-CXCR6	hT05	15.26317398	2.074349196	6.182199441	-5.331535231	10.78103337	-9.28771352
NTH30-20170411	P_N_P0411_01979	P0411	N	Smart-seq2	483489.441	3676	427703.2954	3243	0.041612737	74	188	16	119	CD4 T cell	hT05_CD4-CXCR6	hT05	21.16401175	8.577114944	5.688332372	-5.904567577	5.292202246	2.711726724
NTH32-20170411	P_N_P0411_01980	P0411	N	Smart-seq2	609088.338	4409	539159.17	3897	0.029226521	101	242	24	162	CD4 T cell	hT04_CD4-TCF7	hT04	15.39793769	3.400806937	10.44099442	-9.006848848	7.741290042	6.780781367
NTH34-20170411	P_N_P0411_01981	P0411	N	Smart-seq2	632918.8896	4080	583490.186	3625	0.028872241	97	221	17	152	CD4 T cell	hT06_CD4-CXCR5	hT06	25.79965707	14.72615589	21.41182985	-14.32974681	4.764535974	18.55844606
NTH35-20170411	P_N_P0411_01982	P0411	N	Smart-seq2	417504.3678	4249	357368.2852	3736	0.033463462	90	225	21	153	CD4 T cell	hT04_CD4-TCF7	hT04	15.26980192	6.843976547	12.98506509	-8.296553302	6.898240861	6.797346512
NTH36-20170411	P_N_P0411_01983	P0411	N	Smart-seq2	453893.6701	3764	389153.4616	3291	0.024145054	92	205	23	149	CD4 T cell	hT05_CD4-CXCR6	hT05	15.06985541	1.257792592	4.171730697	-5.450746577	2.534959314	-3.261465841
NTH37-20170411	P_N_P0411_01984	P0411	N	Smart-seq2	623239.3082	3961	554020.035	3453	0.042045236	88	196	19	147	CD4 T cell	hT05_CD4-CXCR6	hT05	15.9928416	1.700763268	5.873765901	-6.297418334	12.62457552	7.505983334
NTH38-20170411	P_N_P0411_01985	P0411	N	Smart-seq2	511448.0993	4204	463463.5969	3773	0.0257432	93	233	26	144	CD4 T cell	hT06_CD4-CXCR5	hT06	26.60072913	12.92428411	21.36951485	-13.8154202	8.424894078	17.92636666
NTH41-20170411	P_N_P0411_01986	P0411	N	Smart-seq2	504572.892	3932	460086.9064	3426	0.032090535	87	236	17	137	CD4 T cell	hT04_CD4-TCF7	hT04	22.0972381	7.781098032	13.51944424	-7.956667092	9.073403164	9.299510662
NTH42-20170411	P_N_P0411_01987	P0411	N	Smart-seq2	527197.6655	4002	479987.2196	3540	0.031723451	95	204	21	137	CD4 T cell	hT04_CD4-TCF7	hT04	24.20887476	11.52034757	16.65322946	-10.89831302	13.79333412	10.7371314
NTH44-20170411	P_N_P0411_01988	P0411	N	Smart-seq2	487373.5975	3367	430004.8755	2945	0.04684725	66	183	16	116	CD4 T cell	hT04_CD4-TCF7	hT04	23.57515461	7.912826517	17.01300609	-6.190210309	12.42003644	1.665193856
NTH47-20170411	P_N_P0411_01989	P0411	N	Smart-seq2	591633.9375	3955	514143.5999	3471	0.050136366	80	194	18	136	CD4 T cell	hT04_CD4-TCF7	hT04	22.58736286	5.162288029	13.10604396	-4.726890152	7.899556994	6.552817993
NTH49-20170411	P_N_P0411_01990	P0411	N	Smart-seq2	404583.3338	3346	364717.4687	2976	0.035281756	80	174	20	132	CD4 T cell	hT04_CD4-TCF7	hT04	24.64558398	9.154460953	15.63535455	-8.370676792	1.32254269	-1.446800354
NTH51-20170411	P_N_P0411_01991	P0411	N	Smart-seq2	499988.2407	3577	458882.5899	3187	0.031169667	86	194	14	129	CD4 T cell	hT04_CD4-TCF7	hT04	19.9362377	0.684992131	4.480526709	-9.030019183	6.41526971	11.03907856
NTH52-20170411	P_N_P0411_01992	P0411	N	Smart-seq2	497936.0225	3729	431408.7097	3274	0.034423179	85	196	22	137	CD4 T cell	hT04_CD4-TCF7	hT04	22.17893316	7.134383399	13.48501524	-7.832410882	10.18176182	8.029816397
NTH53-20170411	P_N_P0411_01993	P0411	N	Smart-seq2	454967.6171	4510	405383.0181	3920	0.034580538	93	260	18	180	CD4 T cell	hT04_CD4-TCF7	hT04	22.23134402	7.259449087	13.99375085	-7.854758523	12.23388002	8.840786366
NTH56-20170411	P_N_P0411_01994	P0411	N	Smart-seq2	808202.0638	5181	713844.6663	4627	0.033586408	103	271	23	174	CD4 T cell	hT06_CD4-CXCR5	hT06	21.95306452	15.72461183	15.06899171	-18.09974557	5.884312665	19.49367842
NTH57-20170411	P_N_P0411_01995	P0411	N	Smart-seq2	341516.6501	3431	314527.4922	3026	0.031850026	85	171	20	139	CD4 T cell	hT04_CD4-TCF7	hT04	23.60462106	9.700084059	15.93074635	-8.828729834	7.077443171	-6.840880369
NTH63-20170411	P_N_P0411_01996	P0411	N	Smart-seq2	407813.0037	3834	365984.7559	3399	0.033910251	87	218	17	133	CD4 T cell	hT05_CD4-CXCR6	hT05	26.64402533	8.463766687	17.53646817	-5.256875319	12.2437909	1.879317528
NTH65-20170411	P_N_P0411_01997	P0411	N	Smart-seq2	583440.9	4421	516920.5694	3860	0.028236908	90	236	20	137	CD4 T cell	hT04_CD4-TCF7	hT04	15.45090173	1.708451368	5.204137309	-5.524387421	7.22596667	-6.132477712
NTH66-20170411	P_N_P0411_01998	P0411	N	Smart-seq2	425860.7529	3679	391190.1117	3227	0.025669052	77	201	14	138	CD4 T cell	hT07_CD4-GZMK	hT07	9.758482981	-9.52868569	-6.864706278	8.724331429	6.21237818	-7.24323794
NTH67-20170411	P_N_P0411_01999	P0411	N	Smart-seq2	479122.4571	3530	446091.4738	3081	0.010202951	90	174	26	147	CD4 T cell	hT03_CD4-GNLY	hT03	11.51713618	-6.251282286	-6.119643469	10.2805385	11.56341543	-10.04001804
NTH69-20170411	P_N_P0411_02000	P0411	N	Smart-seq2	495497.547	4113	446701.6195	3604	0.029592933	87	224	26	144	CD4 T cell	hT04_CD4-TCF7	hT04	27.59719322	7.493762754	18.36904815	-4.469626261	11.92860036	0.271020264
NTH7-20170411	P_N_P0411_02001	P0411	N	Smart-seq2	466706.0452	3719	425760.5935	3279	0.023220778	83	190	20	135	CD4 T cell	hT07_CD4-GZMK	hT07	11.12765729	-9.662518256	-5.600290995	8.351515553	10.63798488	-9.638653825
NTH71-20170411	P_N_P0411_02002	P0411	N	Smart-seq2	403593.4837	3894	362155.0727	3444	0.034525344	92	199	23	142	CD4 T cell	hT05_CD4-CXCR6	hT05	9.409391526	5.238000085	1.876281356	-7.464259285	1.232827946	1.134274302
NTH73-20170411	P_N_P0411_02003	P0411	N	Smart-seq2	565254.8087	4009	490920.2332	3546	0.034151693	79	211	16	128	CD4 T cell	hT05_CD4-CXCR6	hT05	15.17613235	3.174669169	3.787971729	-6.028797995	6.234735949	6.692365584
NTH75-20170411	P_N_P0411_02004	P0411	N	Smart-seq2	543733.3785	4611	490481.2248	4040	0.033621232	101	236	24	166	CD4 T cell	hT04_CD4-TCF7	hT04	22.19468938	7.912244464	12.91325824	-8.154845926	6.892553644	6.804823734
NTH78-20170411	P_N_P0411_02005	P0411	N	Smart-seq2	474150.9447	3958	429930.6086	3462	0.038237588	89	200	22	126	CD4 T cell	hT04_CD4-TCF7	hT04	22.53742658	8.681038129	14.27546774	-8.436816572	10.04840402	6.855124581
NTH80-20170411	P_N_P0411_02006	P0411	N	Smart-seq2	540737.3773	3874	479974.0624	3405	0.036255913	76	213	17	126	CD4 T cell	hT04_CD4-TCF7	hT04	22.46128576	8.399447893	14.29140278	-8.329869563	7.736332254	4.025233397
NTH82-20170411	P_N_P0411_02007	P0411	N	Smart-seq2	429857.307	3761	382105.9102	3329	0.033801858	81	193	14	127	CD4 T cell	hT04_CD4-TCF7	hT04	28.48038944	7.728197854	19.04371591	-4.389835068	20.24682931	12.48638745
NTH84-20170411	P_N_P0411_02008	P0411	N	Smart-seq2	553886.3394	4078	506735.9269	3622	0.039158827	84	232	21	148	CD4 T cell	hT04_CD4-TCF7	hT04	22.60042873	10.26314749	16.44575139	-10.08713804	7.567651603	7.652830608
NTH85-20170411	P_N_P0411_02009	P0411	N	Smart-seq2	614573.2252	4120	562930.7965	3625	0.021598152	87	239	24	153	CD4 T cell	hT04_CD4-TCF7	hT04	23.29042796	9.617197697	14.78071052	-9.995049586	7.033256712	7.78367383
NTH89-20170411	P_N_P0411_02010	P0411	N	Smart-seq2	512003.7049	4942	463979.3008	4316	0.039449153	97	267	29	169	CD4 T cell	hT06_CD4-CXCR5	hT06	24.7126466	5.749899503	15.53347109	-6.505094714	4.809374518	14.91543373
NTH9-20170411	P_N_P0411_02011	P0411	N	Smart-seq2	924357.5143	5020	804045.7811	4318	0.038647201	98	275	22	172	CD4 T cell	hT04_CD4-TCF7	hT04	22.18573124	8.418787613	17.31138216	-6.687483216	11.57776473	3.814708799
NTC62-20170411	P_N_P0411_02013	P0411	N	Smart-seq2	321857.3144	4105	260288.2052	3627	0.02877432	101	215	19	152	CD8 T cell	hT16_CD8-CD6	hT16	-8.53673283	4.663454083	-27.6924865	-11.87490493	-7.569908841	-2.550418562
NTC9-20170411	P_N_P0411_02016	P0411	N	Smart-seq2	412401.5429	4149	350837.0301	3680	0.037983525	86	211	18	134	CD8 T cell	hT16_CD8-CD6	hT16	-6.177639813	3.213788856	-27.77299443	-11.46868487	-2.936841754	-11.48265978
NTH13-20170411	P_N_P0411_02019	P0411	N	Smart-seq2	415381.584	3759	364342.9676	3334	0.0488461	91	213	14	139	CD4 T cell	hT01_CD4-CCR7	hT01	38.02318394	3.634689265	27.33408955	3.798092888	21.92818651	8.084686125
NTH16-20170411	P_N_P0411_02021	P0411	N	Smart-seq2	547167.5438	4418	500265.8648	3885	0.034329351	88	237	23	151	CD4 T cell	hT04_CD4-TCF7	hT04	22.16950533	7.618987239	11.78413416	-8.838598595	5.283464913	0.459947308
NTH22-20170411	P_N_P0411_02024	P0411	N	Smart-seq2	502555.9701	4205	445250.8246	3661	0.026240318	91	237	23	148	CD4 T cell	hT05_CD4-CXCR6	hT05	15.86586957	1.802782858	5.283792491	-4.657802571	1.545527821	-0.118857556
NTH28-20170411	P_N_P0411_02027	P0411	N	Smart-seq2	471147.3016	4319	423617.9628	3776	0.028649729	94	230	20	161	CD4 T cell	hT05_CD4-CXCR6	hT05	15.82451593	1.469828252	4.236298455	-5.746429454	7.493357849	-7.457055175
NTH50-20170411	P_N_P0411_02032	P0411	N	Smart-seq2	538236.3757	3825	498064.0801	3368	0.027079699	91	212	14	129	CD4 T cell	hT04_CD4-TCF7	hT04	25.41186537	13.8551378	19.30581153	-12.54542821	7.772264934	9.849800797
NTH5-20170411	P_N_P0411_02033	P0411	N	Smart-seq2	507719.7403	3966	456585.8084	3519	0.024238467	95	232	19	147	CD8 T cell	hT15_CD8-GZMK	hT15	25.99400074	12.74371819	19.6604375	-12.8419272	6.982527473	17.21999887
NTH58-20170411	P_N_P0411_02036	P0411	N	Smart-seq2	713070.0279	3830	642114.246	3383	0.049149962	81	207	22	136	ILC	hI02_NK-GZMK	hI02	27.26129822	6.940952825	3.245374513	10.10313692	13.6829679	8.551981896
NTH59-20170411	P_N_P0411_02037	P0411	N	Smart-seq2	518640.5428	3844	451399.2163	3399	0.037740503	76	214	17	130	CD4 T cell	hT04_CD4-TCF7	hT04	26.81703081	8.478915466	17.76572786	-5.599509517	12.04868842	0.648867502
NTH68-20170411	P_N_P0411_02041	P0411	N	Smart-seq2	1306211.122	4512	1206259.508	3889	0.021074454	94	239	27	177	CD4 T cell	hT05_CD4-CXCR6	hT05	15.35007328	1.610894297	4.724097965	-5.195122269	2.275812821	-2.750577203
NTH70-20170411	P_N_P0411_02042	P0411	N	Smart-seq2	423203.8323	3737	373088.1679	3316	0.027008956	96	205	19	138	CD4 T cell	hT05_CD4-CXCR6	hT05	15.34717756	1.65814591	4.223547373	-5.597499027	2.573897095	-3.001392884
NTH90-20170411	P_N_P0411_02046	P0411	N	Smart-seq2	446098.074	3196	424178.2039	2875	0.08151662	75	199	20	108	CD4 T cell	hT04_CD4-TCF7	hT04	21.94199243	9.158047195	15.07824481	-8.964169958	9.216314334	7.89918506
NTH91-20170411	P_N_P0411_02047	P0411	N	Smart-seq2	507219.2742	4542	463525.6849	3975	0.023695874	107	258	24	166	CD4 T cell	hT05_CD4-CXCR6	hT05	15.05933502	1.413806563	3.928885261	-5.578086719	6.68583739	6.843214767
PP8-18-20170411	P_P_P0411_02049	P0411	P	Smart-seq2	725270.6031	5048	265562.2235	4543	0.022012897	99	256	19	160	B cell	hB02_GALTB-IgA	hB02	-24.58768213	-38.24715997	-13.04015288	-5.044412466	-31.91231376	-4.162530849
PP8-23-20170411	P_P_P0411_02050	P0411	P	Smart-seq2	432252.5407	4674	357378.7459	4036	0.045140075	105	239	19	172	B cell	hB03_FollicularB-IgD	hB03	-41.29403837	-22.01129293	9.283701889	24.49446353	35.75326472	0.944842107
PP8-26-20170411	P_P_P0411_02051	P0411	P	Smart-seq2	401288.9869	4503	343007.7893	3915	0.034804449	99	256	32	178	B cell	hB03_FollicularB-IgD	hB03	-40.74542398	-20.54979966	7.249132515	22.98750978	29.38950127	-2.81528989
PP8-27-20170411	P_P_P0411_02052	P0411	P	Smart-seq2	479390.9628	4348	421569.9443	3814	0.031082756	104	235	33	188	ILC	hI01_NK-CD16	hI01	8.176894461	-35.88049661	-9.492788681	-9.044007473	-7.608578486	-23.99825602
PP8-290-20170411	P_P_P0411_02053	P0411	P	Smart-seq2	293819.7984	4235	259240.756	3789	0.030229587	97	229	26	166	ILC	hI01_NK-CD16	hI01	7.995308149	-34.88558324	-2.187432907	-3.982538743	-7.374962096	-28.53216067
PP8-303-20170411	P_P_P0411_02055	P0411	P	Smart-seq2	450153.3416	4348	416256.3552	3806	0.028861679	86	251	20	159	ILC	hI01_NK-CD16	hI01	7.983486905	-35.00607518	-2.761223992	-4.47713557	-7.90811987	-24.25089575
PP8-304-20170411	P_P_P0411_02056	P0411	P	Smart-seq2	180085.6351	3396	127309.518	3008	0.013169044	86	184	20	165	Myeloid cell	hM05_Mono-CD14	hM05	-18.99750373	18.17025459	-12.14900742	-3.914030594	-23.89160135	12.3206054
PP8-311-20170411	P_P_P0411_02058	P0411	P	Smart-seq2	577761.3619	4429	540931.8304	3916	0.029455775	97	238	25	169	ILC	hI01_NK-CD16	hI01	4.413184194	-33.09208233	-12.17877344	-12.47129437	-6.48890038	-26.9840421
PP8-323-20170411	P_P_P0411_02059	P0411	P	Smart-seq2	320873.0764	3774	292935.9035	3345	0.032392514	77	184	12	143	ILC	hI01_NK-CD16	hI01	8.146390098	-34.05927571	-11.27003083	-0.488159176	-7.550410428	-27.59825166
PP8-332-20170411	P_P_P0411_02060	P0411	P	Smart-seq2	551984.0592	5054	505924.3658	4473	0.028956777	107	268	25	177	Myeloid cell	hM06_Mono-CD16	hM06	-30.08049532	17.97150168	-3.426436022	-25.10494801	-3.397811141	30.92474132
PP8-35-20170411	P_P_P0411_02061	P0411	P	Smart-seq2	570503.1185	4737	502246.6309	4122	0.023071154	108	255	16	168	ILC	hI01_NK-CD16	hI01	7.54720188	-33.66174663	-6.78146655	-0.483351232	-8.39105495	-26.5948654
PP8-37-20170411	P_P_P0411_02063	P0411	P	Smart-seq2	503519.5693	5913	424399.8987	5299	0.035148866	125	325	35	219	Myeloid cell	hM03_cDC2-CD1C	hM03	-38.41622377	16.81561684	2.957150118	13.98851205	-13.55852492	8.8545711
PP8-39-20170411	P_P_P0411_02064	P0411	P	Smart-seq2	487219.2777	4759	447990.9629	4197	0.023247841	95	239	15	172	ILC	hI01_NK-CD16	hI01	8.293810784	-34.95897863	-11.03937441	-11.75886357	-6.553663782	-24.43203518
PP8-4-20170411	P_P_P0411_02065	P0411	P	Smart-seq2	587672.4628	7152	482985.9402	6292	0.038257036	152	368	40	265	Myeloid cell	hM03_cDC2-CD1C	hM03	-38.50436434	16.76065464	3.86592787	14.19266575	-17.71593221	1.519306333
PP8-42-20170411	P_P_P0411_02066	P0411	P	Smart-seq2	458308.324	4717	417161.5856	4175	0.021490079	121	249	24	193	ILC	hI01_NK-CD16	hI01	4.37115714	-32.92980988	-3.745183834	-1.332646066	-7.485673951	-24.90114437
