Gene	FDR	IQR	Group A median	Group B median
LY6E	1.31E-06	1.85	-2.4	-2.98
LY75	9.24E-03	1.6	0.85	0.73
LYPD1	3.28E-04	1.56	1.18	0.42
LYPD8	5.31E-03	1.76	0.56	0.18
LYZ	1.10E-02	4.13	1.95	1.83
MAD2L1	3.28E-07	1.9	3.13	1.95
MAGEA1	8.93E-04	3.76	1.43	0.68
MAGEA10-MAGEA5	7.07E-03	1.58	0.86	0.29
MAGEA12	4.78E-02	3.01	0.99	0.33
MAGEH1	1.60E-02	1.54	-0.55	-0.63
MAGI2-AS3	4.78E-07	2.05	-3.28	-2.21
MAL2	1.71E-02	1.93	1.56	0.02
MALAT1	4.13E-02	1.86	1.11	0.92
MAN1A1	3.28E-04	1.55	-1.31	-1.49
MAN1C1	4.93E-07	1.52	-2.2	-1.7
MAP1B	3.38E-05	1.63	1.4	1.9
MAP2	3.13E-06	2.7	2.8	3.53
MAP3K5	4.30E-03	1.83	-1.24	-0.84
MASP1	7.29E-05	1.81	-1.85	-0.65
MASP2	3.78E-07	2.07	-2.65	-1.26
MBL2	1.25E-04	2.36	-2.14	-0.88
MBNL1	2.54E-02	1.62	-0.32	-0.67
MBNL2	9.50E-04	1.85	-1.5	-1.16
MBNL3	9.24E-03	1.53	0.73	0.59
MCC	7.44E-07	2.36	-2.21	-1.52
MCL1	8.37E-05	2.06	-1.69	-1.8
MCM10	2.69E-06	1.64	1.99	0.48
MCM2	5.16E-07	1.61	2.82	1.33
MCM6	3.28E-07	1.52	2.81	1.57
MCTP1	2.92E-05	1.75	1.96	1.17
MDK	4.78E-07	1.89	2.75	1.8
ME1	1.01E-02	3.09	1.84	1.39
MELK	3.28E-07	1.72	2.85	1.3
MEP1A	4.01E-02	1.71	1.08	0.03
MFSD2A	1.19E-06	2.09	-4.43	-2.92
MFSD6	4.50E-06	1.72	2.19	1.02
MGLL	1.13E-02	1.88	-0.37	-0.68
MGP	3.88E-02	2.99	0.76	1.42
MICU3	1.58E-02	1.57	-1.36	-0.25
MIR21	2.08E-03	1.84	-0.88	-1.13
MIR612	9.22E-05	1.92	-1.42	-1.38
MIR6778	7.53E-06	1.53	-1.64	-1.08
MLLT11	1.69E-02	1.56	0.98	0.6
MME	2.75E-04	3.24	-3.75	-1.27
MMP12	4.66E-03	1.85	0.77	0.36
MNS1	1.31E-05	1.62	1.61	0.99
MOGAT2	6.67E-05	2.67	-3.24	-0.85
MOGAT3	2.99E-02	1.51	0.49	0.54
MPP7	1.66E-03	2.26	1.89	0.35
MRAP2	1.18E-04	1.78	1.16	0.58
MRC1	1.56E-05	1.76	-2.18	-1.86
MS4A6A	5.61E-04	1.57	-1.35	-1.16
MSRB3	3.95E-03	2.22	1.57	0.91
MST4	7.45E-03	1.89	1.72	0.4
MT1E	6.54E-07	2.98	-3.36	-2.03
MT1F	3.58E-07	2.42	-3.65	-2.37
MT1G	3.83E-07	2.52	-3.96	-2.41
MT1H	3.38E-07	2.4	-3.36	-1.95
MT1HL1	4.34E-07	2.1	-2.7	-1.37
MT1M	5.16E-07	3.41	-5.93	-4.42
MT1X	4.26E-07	2.51	-3.84	-1.9
MT2A	5.68E-07	2.24	-2.62	-1.32
MTFR2	3.34E-07	1.54	2.36	0.86
MTHFD2	3.24E-02	1.81	1.18	0.6
MTMR11	4.78E-03	1.78	0.63	1.15
MTUS1	5.90E-03	1.51	-0.77	-0.76
MUC13	2.28E-02	2.16	1.07	0.19
MX1	1.10E-02	1.73	0.75	1.09
MXRA5	6.25E-04	1.77	-1.98	-1.18
MYBL1	2.84E-04	1.65	1.48	0.52
MYC	2.21E-03	1.77	-0.92	-1.26
NADK2	7.95E-05	1.55	-1.65	-0.73
NAMPT	1.49E-06	2.36	-2.66	-2.4
NAP1L5	4.63E-02	1.68	-0.92	-0.32
NAT2	3.38E-07	2.71	-4.5	-1.88
NAV3	1.10E-03	2.37	0.76	1.1
NCAPG	3.58E-07	2.49	3.44	1.4
NCEH1	2.18E-02	1.62	0.93	0.21
NDC80	3.28E-07	2.04	3.86	2.05
NDRG2	2.39E-05	1.54	-2.32	-1.75
NEB	3.74E-06	2.35	2.08	0.99
NEK2	3.28E-07	2.28	3.99	1.97
NINJ2	3.26E-03	1.57	0.82	0.91
NIPAL2	3.83E-05	1.56	1.59	1.52
NPC1L1	5.52E-03	3.43	-2.29	-2.15
NPL	2.10E-02	1.92	0.83	0.84
NPNT	7.20E-04	1.53	1.06	0.91
NPW	1.61E-03	2.36	-1.97	-2.07
NQO1	9.36E-06	5.41	4.06	1.01
NR1I2	4.65E-05	1.71	-1.79	-0.66
NR1I3	1.63E-02	2.35	-1.82	-0.22
NR4A2	3.97E-04	1.74	-2.07	-1.59
NRCAM	3.72E-02	3.43	1.5	0.1
NSUN6	4.61E-04	1.78	-1.49	-0.82
NT5DC2	9.07E-04	1.92	1.83	0.33
NTN4	1.31E-04	1.66	-1.77	-0.99
NUF2	4.51E-07	2.61	3.37	1
NUSAP1	3.46E-07	1.83	2.9	1.52
OAT	1.65E-05	2.6	-2.5	-2.67
OCLN	3.53E-02	1.63	0.83	0.53
OGDHL	4.06E-07	2.12	-2.35	-0.95
OIP5	5.38E-07	1.96	2.77	1.14
OLFML3	1.21E-04	1.83	-1.37	-1.32
OTC	3.57E-02	2.17	-1.3	-0.13
P4HA1	6.82E-03	1.58	-1.21	-1.02
PAG1	2.18E-04	1.88	1.9	0.58
PAGE4	4.05E-02	3.4	-0.02	2.76
PALLD	1.29E-04	1.86	1.91	1.94
PAPLN	1.13E-02	2.05	1.42	0.21
PAQR5	1.99E-02	2.8	1.9	0.6
PARVB	5.31E-03	1.65	0.92	1.13
PBK	3.28E-07	2.34	3.85	2
PBLD	4.93E-07	1.92	-2.31	-1.12
PCK1	5.68E-07	3.27	-3.83	-1.29
PCOLCE	3.90E-05	1.63	-1.97	-1.48
PCSK6	1.12E-03	1.57	-0.94	-0.65
PDE11A	5.10E-04	1.75	-2.17	-0.83
PDE4B	2.01E-02	1.64	-0.65	-0.7
PDGFC	1.87E-02	1.6	-0.94	-0.92
PDGFRA	3.67E-04	3.46	-2.33	-1.31
PDK4	2.54E-04	2.31	-2.94	-1.49
PDZK1IP1	1.78E-03	4.78	2.08	2.18
PEG10	1.58E-02	5.77	4.94	0.23
PEG3	2.30E-04	2.37	-2.63	-2.42
PGLYRP2	1.68E-06	3.08	-2.95	-1.95
PHGDH	7.58E-07	1.69	-1.19	-1.65
PHLDA1	8.69E-06	2.34	-1.93	-1.62
PHYHD1	2.98E-05	2.14	-1.95	-0.61
PHYHIPL	1.45E-04	1.7	1.05	0.78
PIK3C2G	1.22E-05	1.74	-1.64	-1.02
PKM	7.17E-05	1.7	2.06	0.65
PLA2G4C	2.00E-06	1.55	1.85	2.45
PLAC8	3.68E-06	1.57	-2.73	-2.62
PLAG1	7.07E-03	1.66	1.13	0.18
PLAT	1.79E-02	1.76	0.23	1.23
PLCB1	1.09E-05	1.83	3.06	1.59
PLG	3.28E-07	1.86	-2.83	-1.26
PLGLB1	4.06E-07	2.44	-2.7	-1.61
PLGLB2	3.28E-07	1.64	-2.25	-1.98
PLXNC1	5.79E-07	1.58	3.44	2.33
POLE2	4.36E-04	1.75	1.77	0.41
PON1	8.69E-06	1.85	-2.01	-0.79
PON3	1.65E-06	1.61	-2.04	-0.84
PPAPDC1B	2.03E-03	1.51	1.09	0.66
PPARGC1A	1.86E-05	2.01	-1.67	-1.18
PPDPF	2.54E-02	1.57	0.64	1
PPM1K	6.25E-04	1.52	-1.52	-1.19
PPM1L	3.10E-02	1.62	0.44	0.48
PPP1R1A	6.03E-05	2.5	-1.8	-1.97
PRC1	3.28E-07	1.89	3.82	2.09
PRG4	6.05E-06	3.14	-2.34	-1.74
PRKAA2	1.92E-05	2.42	2.68	2.83
PRKD1	1.90E-02	1.71	0.49	0.41
PROZ	2.14E-06	1.52	-2.34	-1.46
PRR11	3.28E-07	2.1	4.01	1.95
PRR18	2.75E-02	1.52	-1.06	-0.31
PRSS8	7.45E-03	1.57	-1.15	-1.04
PSAT1	1.17E-03	1.94	-0.93	-1.55
PSD3	2.05E-04	1.65	-1.79	-1.47
PTGIS	2.06E-03	1.69	-1.09	-0.78
PTPRD	3.44E-04	2.89	-2.04	-1.2
PTTG1	3.28E-07	1.72	3.1	1.63
PYCARD	2.30E-03	1.55	0.85	0.55
RAB3B	2.22E-04	1.86	1.39	0.53
RAD51AP1	3.28E-07	1.84	2.97	1.47
RAPH1	1.05E-02	1.68	-0.71	-0.89
RARRES1	2.30E-02	2.4	0.88	1.02
RASD1	6.35E-04	1.83	-1.47	-0.8
RASEF	9.35E-04	1.68	1.59	0.72
RASGRP1	8.67E-03	1.63	0.75	0.65
RASSF3	8.84E-06	1.76	2.62	1.36
RBM24	1.32E-06	2.48	2.92	2.71
RBM39	2.94E-02	1.62	-0.48	-0.43
RBMS3	6.35E-04	1.98	-1.95	-1.05
RBP5	6.79E-05	1.8	-1.72	-0.53
RCAN2	2.15E-02	1.7	0.59	0.63
RCL1	8.75E-07	1.54	-2.52	-1.34
RDH16	1.34E-06	2.25	-2.83	-1.29
REG3A	2.53E-03	4.26	0.21	0.47
RELN	2.75E-02	3.86	-2.1	-1.62
RHOB	3.95E-06	1.69	-2.17	-1.31
RNASE4	1.50E-04	1.56	-1.79	-0.73
RNF157	1.79E-05	2.18	2.03	0.81
RNF213	2.14E-03	1.81	1.35	0.72
ROBO1	3.78E-07	2.29	4.43	4.06
RP11-1151B14.3	7.53E-04	1.93	-1.66	-0.91
RP11-138A9.1	9.55E-06	1.9	-2.06	-1.34
RPL22L1	2.00E-03	1.56	1.09	0.75
RPL39L	4.88E-02	1.69	1.03	0.24
RPS27	2.79E-04	1.55	-1.37	-1.42
RRAGD	9.07E-05	1.71	1.93	1.01
RRM2	3.28E-07	1.99	4.36	2.62
RTN1	7.35E-03	1.65	0.94	0.44
RUNDC3B	1.14E-02	1.94	-1.88	-0.08
RUSC1-AS1	4.66E-03	1.62	1.33	0.65
S100A11	4.47E-03	1.56	1.17	0.63
S100A6	4.09E-02	1.76	1.13	0.36
S100A8	9.37E-05	2.14	-3.46	-3.35
SAA1	4.98E-03	4.19	-3.41	-1.24
SAA2-SAA4	2.00E-06	2.42	-2.07	-0.73
SACS	1.57E-04	1.59	1.39	0.77
SAMD12	2.35E-02	1.54	-0.59	-1.32
SAMD5	2.50E-03	2.92	-1.41	-1.96
SATB1	2.43E-03	1.77	-0.73	-0.65
SCD	2.14E-03	2.17	2.13	1.67
SDPR	1.30E-02	1.68	-1.34	-0.42
SDS	1.00E-04	3.99	-3.62	-2.54
SDSL	3.42E-02	1.53	-0.5	-0.49
SEC14L2	1.56E-02	2.65	-2.3	-0.05
SEL1L3	4.88E-02	2.49	1.7	0.62
SELM	7.35E-03	3	2.23	0.52
SERPINA1	6.06E-04	1.64	-1.2	-0.91
SERPINA4	5.86E-06	1.81	-1.89	-1.13
SERPINE1	7.39E-06	1.74	-2.07	-2.26
SERPINE2	1.43E-02	2.68	2.01	0.91
SERPINI1	1.31E-04	1.84	1.94	0.62
SF1	4.23E-04	1.58	-1.29	-1.4
SFN	4.03E-04	3.75	3.42	1.4
SGCE	1.50E-02	3.09	1.91	0.26
SGOL2	3.28E-07	1.81	2.87	1.21
SHCBP1	1.84E-06	1.6	1.72	0.51
SIK1	1.79E-05	1.84	-2.04	-1.66
SKAP1	8.67E-04	1.5	-1.45	-0.88
SKAP2	9.79E-04	1.61	1.22	0.84
SLAIN1	9.24E-03	1.86	-0.56	-1.23
SLAMF8	1.33E-05	1.65	1.35	0.72
SLC10A1	5.62E-05	2.59	-2.88	-0.86
SLC13A5	2.26E-05	2.01	-2.3	-0.83
SLC16A10	2.43E-03	1.74	-0.78	-0.93
SLC16A4	4.98E-05	1.54	-2.6	-1.5
SLC17A1	8.01E-04	1.6	-1.3	-0.5
SLC17A2	7.53E-06	2.04	-2.35	-0.72
SLC17A3	2.01E-02	1.99	-1.02	-0.34
SLC1A1	1.03E-05	2.59	-2.31	-0.83
SLC1A2	1.07E-03	4.21	-4.3	-0.51
SLC20A1	1.59E-03	1.98	-1.71	-2.14
SLC22A1	5.74E-06	5.3	-5.85	-1.24
SLC22A11	1.81E-02	1.69	0.01	1.22
SLC22A15	1.35E-02	2.23	1.77	0.15
SLC22A25	1.32E-02	2.03	-1.86	-0.53
SLC22A3	1.58E-02	2.3	-0.89	-0.71
SLC22A7	2.83E-03	2.39	-1.97	-1.21
SLC25A15	2.92E-05	1.57	-2.02	-1.42
SLC25A18	1.35E-02	2.18	-0.57	-0.59
SLC25A47	4.26E-07	2.83	-4.36	-2.12
SLC27A2	9.75E-07	1.86	-2.09	-1.05
SLC27A5	2.82E-06	2.39	-2.79	-0.85
SLC2A5	4.78E-03	1.7	0.51	0.45
SLC38A1	4.44E-02	2.92	2.18	0.39
SLC38A4	3.44E-05	2.38	-3	-2.04
SLC39A10	2.00E-06	1.7	2.41	1.46
SLC39A14	6.77E-06	1.76	-2.19	-2.08
SLC39A5	7.04E-05	1.74	-1.14	-1.12
SLC3A1	1.86E-03	3.51	-2.94	-3.56
SLC44A3	6.87E-04	1.85	1.71	1.24
SLC44A5	3.17E-03	3.97	2.76	0.21
SLC46A3	2.36E-03	2.36	-2.13	-0.05
SLC4A4	4.98E-05	2.39	-2.24	-0.72
SLC51B	5.96E-06	1.75	1.13	1.27
SLC7A11	1.64E-03	3.04	1.82	0.35
SLC7A2	4.51E-07	1.55	-2.27	-2
SLCO1B1	3.83E-05	1.56	-1.67	-0.72
SLCO1B3	7.93E-06	4.86	-5.38	-2.66
SLCO4C1	3.35E-03	1.67	-0.77	-2.04
SMC3	1.02E-03	1.94	1.34	0.47
SMIM24	1.95E-04	1.79	-2.93	-2.71
SMOC2	1.38E-03	1.7	0.74	1.26
SMPX	1.12E-03	1.68	0.45	0.84
SNAI2	8.27E-04	1.95	1.33	1.66
SNAP25	2.41E-02	1.95	0.95	0.18
SNX7	8.57E-03	1.59	1.16	0.39
SOCS2	2.04E-06	1.84	-3.17	-2.09
SOCS3	3.77E-05	1.9	-2.04	-1.51
SORD	5.97E-04	1.65	-1.52	-0.54
SOWAHA	4.65E-05	1.58	1.34	1.43
SOX4	8.92E-05	2.54	3.74	1.72
SOX9	1.13E-04	2.64	3.48	2.01
SPARCL1	1.23E-03	1.9	0.38	1.94
SPC25	9.34E-07	1.85	2.24	0.59
SPIDR	2.78E-06	1.58	-2.32	-1.62
SPINK1	7.95E-05	6.05	7.7	4.24
SPP1	1.13E-04	4.59	4.7	3.13
SPP2	6.13E-05	3.07	-3.01	-1.24
SPX	5.96E-06	1.96	1.61	1.38
SQLE	1.08E-05	2.55	2.71	1.39
SQSTM1	5.35E-04	1.5	1.12	0.61
SRD5A1	4.90E-06	1.81	-2.12	-0.87
SRD5A2	1.95E-06	1.94	-3.02	-1.53
SRPX	1.70E-05	2.19	-2.74	-1.76
SRXN1	3.15E-05	1.94	1.56	0.93
SSTR1	3.31E-03	2.36	-2.31	-1.37
SSX1	5.48E-04	3.81	2.01	0.62
SSX2	7.45E-03	2.27	1.16	0.22
SSX4	4.43E-04	3.38	1.46	0.27
ST14	1.54E-03	1.55	0.72	0.9
ST6GAL1	4.30E-03	1.79	-1.07	-0.93
ST8SIA6-AS1	2.18E-04	2.9	2.71	1.87
STAMBPL1	1.07E-04	1.7	1.71	0.83
STAT1	1.95E-04	1.55	1.79	1.55
STC1	2.17E-05	1.61	1.76	1.77
STEAP3	2.63E-05	1.78	-1.6	-0.88
STEAP4	6.56E-05	2.15	-2.6	-1.05
STK39	1.35E-05	2.88	2.83	1
STXBP6	1.32E-06	1.7	2.12	1.84
SULF1	2.94E-02	2.41	0.69	0.49
SULF2	2.21E-03	2.22	-1.43	-1.15
SULT1C2	7.53E-06	4.38	4.77	1.22
SULT1E1	1.40E-04	2.87	-2.94	-1.51
SULT2A1	3.35E-02	1.77	-1.03	-0.04
TAT	1.04E-04	2.25	-2.53	-0.73
TBX15	1.66E-04	2.04	-1.75	-1.69
TCP10L	2.43E-02	2.02	-1.31	-0.35
TDGF1	2.33E-02	3.54	0.23	1.95
TDO2	3.68E-06	2.34	-1.31	-0.77
TEK	2.08E-03	1.56	-1.6	-0.31
TENM1	4.63E-04	2.49	-2.11	-2.45
TGFB1	1.86E-02	1.62	1.07	0.66
THBD	3.42E-02	1.52	-1.04	-0.31
THBS1	4.13E-02	2.79	-0.74	-1.03
THBS2	1.58E-02	3.16	0.86	1.91
THRSP	2.46E-02	5.9	-3.58	0.09
THSD7A	8.64E-05	1.7	1.43	0.87
TIAM1	1.02E-03	1.65	-1.29	-0.71
TKT	1.56E-05	1.95	1.95	1.12
TMEM144	2.72E-02	1.55	0.9	0.18
TMEM200B	1.36E-03	1.58	1.16	1.07
TMEM243	3.38E-02	1.55	0.81	0.52
TMEM27	3.90E-07	2.88	-4.61	-3.45
TMEM45A	1.57E-04	3.18	-1.92	-1.57
TMEM45B	8.27E-04	2.43	2.39	2.31
TMEM47	4.22E-02	2.21	-1.61	0.06
TMEM55A	3.55E-02	1.73	0.84	0.25
TMEM64	2.52E-02	1.83	0.79	0.7
TMEM86B	2.20E-02	1.52	-0.79	-0.51
TNFAIP8	1.61E-02	1.63	1.32	0.86
TNFRSF21	4.63E-04	1.8	1.76	0.58
TNFSF14	2.42E-04	1.62	-1.68	-1.24
TOP2A	3.28E-07	2.54	4.49	2.16
TOX3	4.18E-02	1.9	1.05	0.87
TPRG1	2.75E-02	1.54	-1.27	0.03
TPX2	1.26E-05	1.92	2.49	0.68
TRIM16	6.24E-05	3.5	2.94	1.72
TRIM6	1.56E-05	1.73	1.69	0.77
TRIM71	1.84E-03	2.49	1.59	0.19
TRIP13	3.28E-07	1.69	2.63	1.06
TRNP1	1.76E-04	2.24	2.38	0.71
TRPM8	3.17E-03	3.32	-2.09	-0.57
TSLP	5.55E-06	2.47	-3.38	-1.64
TSPAN12	7.09E-04	1.51	-0.97	-1.21
TSPAN8	3.28E-04	2.3	1.76	1.21
TTC36	3.28E-07	2.68	-4.86	-2.25
TTC39A	3.63E-05	1.96	1.93	0.63
TTK	3.28E-07	2.59	3.97	1.62
TTPA	3.59E-03	1.77	-1.7	-0.62
TUSC1	6.56E-04	1.62	-0.77	-0.71
TWF1	1.65E-02	1.5	1.05	0.66
TXNRD1	3.74E-06	1.75	1.92	1.52
TYMS	1.22E-06	1.73	2.67	1.37
UBE2C	4.09E-07	1.79	2.75	1.06
UBE2D3	1.52E-03	1.88	-1.43	-1.26
UBE2Q2	2.89E-04	1.69	2.22	1.11
UBE2T	3.28E-07	1.51	2.91	1.62
UBXN10	4.05E-02	2.02	-1.28	0.35
UGT1A6	9.01E-03	2.39	1.33	1.28
UHRF1	3.28E-07	1.77	2.74	1.29
UNK	4.13E-02	1.57	1.24	0.05
UPB1	1.69E-03	1.67	-1.07	-0.41
VASH2	1.89E-05	2.13	0.84	1.19
VCAN	7.74E-03	2.5	0.71	0.77
VIM	1.97E-02	1.51	0.86	0.93
VMP1	3.90E-03	1.79	-0.89	-1.19
VNN1	1.37E-05	3.42	-2.1	-2.23
VNN3	3.31E-06	1.87	-1.62	-1.9
VPS35	6.64E-03	1.99	1.06	0.7
VSIG10L	4.98E-03	1.89	0.89	0.81
VWF	1.01E-03	1.72	0.94	2.1
WBP5	8.67E-03	2.43	1.77	0.94
WDR72	3.27E-05	2.8	-1.29	-2.34
WIPF3	3.35E-02	2.01	1.02	0.57
WNT5A	4.63E-02	2.48	1.16	0.59
XDH	2.73E-06	2.28	-2.28	-1.21
XIST	3.13E-02	1.65	-0.29	-0.36
XK	1.02E-02	3.43	2.36	0.38
XPNPEP2	3.42E-02	3.13	-2.71	-2.54
ZBTB20	3.10E-02	2.12	-0.94	-0.46
ZG16	1.95E-06	1.91	-2.47	-1.52
ZIC2	1.65E-06	2.94	3.52	2.09
ZMYND12	2.18E-02	1.73	-1.47	-0.02
ZNF320	9.84E-03	2.46	1.99	0.18
ZNF385B	4.22E-02	2.38	-2.34	-0.74
ZNF468	2.96E-03	2.32	2.19	0.78
ZNF595	7.16E-03	3.24	2.59	0.3
ZNF600	7.64E-03	1.52	1.32	0.48
ZNF738	1.00E-04	1.55	1.58	0.35
ZSCAN18	3.60E-02	2.09	-0.39	-1.13
ZSCAN31	4.10E-04	1.96	1.6	0.88
ZWINT	3.28E-07	1.78	3.58	2.09
