ENSG00000238009	RP11-34P13.7
ENSG00000151881	C5orf28
ENSG00000172244	C5orf34
ENSG00000172239	PAIP1
ENSG00000248092	NNT-AS1
ENSG00000112992	NNT
ENSG00000070193	FGF10
ENSG00000251141	RP11-53O19.1
ENSG00000112996	MRPS30
ENSG00000272335	RP11-53O19.3
ENSG00000164588	HCN1
ENSG00000170571	EMB
ENSG00000151883	PARP8
ENSG00000213949	ITGA1
ENSG00000152684	PELO
ENSG00000164171	ITGA2
ENSG00000272123	CTD-2366F13.2
ENSG00000164172	MOCS2
ENSG00000247796	CTD-2366F13.1
ENSG00000134363	FST
ENSG00000164258	NDUFS4
ENSG00000272416	CTD-2081C10.7
ENSG00000185305	ARL15
ENSG00000169271	HSPB3
ENSG00000178996	SNX18
ENSG00000164283	ESM1
ENSG00000113088	GZMK
ENSG00000145649	GZMA
ENSG00000164287	CDC20B
ENSG00000164294	GPX8
ENSG00000152669	CCNO
ENSG00000067248	DHX29
ENSG00000039123	SKIV2L2
ENSG00000067113	PLPP1
ENSG00000177058	SLC38A9
ENSG00000164509	IL31RA
ENSG00000134352	IL6ST
ENSG00000262211	CTD-2031P19.5
ENSG00000227908	FLJ31104
ENSG00000164512	ANKRD55
ENSG00000248727	CTC-236F12.4
ENSG00000095015	MAP3K1
ENSG00000155542	SETD9
ENSG00000155545	MIER3
ENSG00000271828	CTD-2310F14.1
ENSG00000062194	GPBP1
ENSG00000169067	ACTBL2
ENSG00000248132	CTD-2037L6.2
ENSG00000145632	PLK2
ENSG00000175857	GAPT
ENSG00000250127	CTD-2117L12.1
ENSG00000152932	RAB3C
ENSG00000113448	PDE4D
ENSG00000152931	PART1
ENSG00000035499	DEPDC1B
ENSG00000164181	ELOVL7
ENSG00000272308	RP11-231G3.1
ENSG00000049167	ERCC8
ENSG00000164182	NDUFAF2
ENSG00000188725	SMIM15
ENSG00000130449	ZSWIM6
ENSG00000068796	KIF2A
ENSG00000086189	DIMT1
ENSG00000086200	IPO11
ENSG00000186105	LRRC70
ENSG00000164197	RNF180
ENSG00000186479	RGS7BP
ENSG00000153006	SREK1IP1
ENSG00000153015	CWC27
ENSG00000272354	RP11-307L14.2
ENSG00000049192	ADAMTS6
ENSG00000123219	CENPK
ENSG00000113593	PPWD1
ENSG00000113595	TRIM23
ENSG00000113597	TRAPPC13
ENSG00000253251	CTC-534A2.2
ENSG00000197860	SGTB
ENSG00000123213	NLN
ENSG00000112851	ERBB2IP
ENSG00000153914	SREK1
ENSG00000069020	MAST4
ENSG00000229666	MAST4-AS1
ENSG00000134061	CD180
ENSG00000249364	RP11-434D9.1
ENSG00000249736	RP11-83M16.5
ENSG00000145675	PIK3R1
ENSG00000248884	CTC-537E7.3
ENSG00000249352	RP11-141O11.2
ENSG00000250237	CTC-498J12.1
ENSG00000145740	SLC30A5
ENSG00000134057	CCNB1
ENSG00000153044	CENPH
ENSG00000134056	MRPS36
ENSG00000134058	CDK7
ENSG00000183323	CCDC125
ENSG00000085231	AK6
ENSG00000273841	TAF9
ENSG00000152942	RAD17
ENSG00000152939	MARVELD2
ENSG00000197822	OCLN
ENSG00000183474	GTF2H2C
ENSG00000205572	SERF1B
ENSG00000205571	SMN2
ENSG00000269983	RP11-497H16.9
ENSG00000172058	SERF1A
ENSG00000172062	SMN1
ENSG00000249437	NAIP
ENSG00000145736	GTF2H2
ENSG00000250387	RP11-136K7.2
ENSG00000145734	BDP1
ENSG00000131844	MCCC2
ENSG00000131711	MAP1B
ENSG00000113048	MRPS27
ENSG00000049883	PTCD2
ENSG00000178175	ZNF366
ENSG00000083312	TNPO1
ENSG00000157107	FCHO2
ENSG00000157111	TMEM171
ENSG00000251493	FOXD1
ENSG00000272525	RP11-79P5.9
ENSG00000145741	BTF3
ENSG00000164331	ANKRA2
ENSG00000164338	UTP15
ENSG00000214944	ARHGEF28
ENSG00000171617	ENC1
ENSG00000049860	HEXB
ENSG00000164347	GFM2
ENSG00000164346	NSA2
ENSG00000198780	FAM169A
ENSG00000176928	GCNT4
ENSG00000145700	ANKRD31
ENSG00000113161	HMGCR
ENSG00000271815	CTD-2235C13.3
ENSG00000113163	COL4A3BP
ENSG00000122008	POLK
ENSG00000248881	CTC-366B18.2
ENSG00000272040	CTC-366B18.4
ENSG00000189045	ANKDD1B
ENSG00000152359	POC5
ENSG00000122012	SV2C
ENSG00000254893	AC113404.1
ENSG00000250348	RP11-466P24.6
ENSG00000145703	IQGAP2
ENSG00000164220	F2RL2
ENSG00000181104	F2R
ENSG00000164251	F2RL1
ENSG00000171643	S100Z
ENSG00000145708	CRHBP
ENSG00000164252	AGGF1
ENSG00000132846	ZBED3
ENSG00000250802	ZBED3-AS1
ENSG00000113231	PDE8B
ENSG00000164253	WDR41
ENSG00000171530	TBCA
ENSG00000132842	AP3B1
ENSG00000245556	SCAMP1-AS1
ENSG00000085365	SCAMP1
ENSG00000145685	LHFPL2
ENSG00000113273	ARSB
ENSG00000132837	DMGDH
ENSG00000132840	BHMT2
ENSG00000145692	BHMT
ENSG00000152409	JMY
ENSG00000152413	HOMER1
ENSG00000164329	PAPD4
ENSG00000164309	CMYA5
ENSG00000177034	MTX3
ENSG00000113296	THBS4
ENSG00000164300	SERINC5
ENSG00000039319	ZFYVE16
ENSG00000249042	CTD-2015H6.3
ENSG00000152380	FAM151B
ENSG00000228716	DHFR
ENSG00000249655	CTC-325J23.2
ENSG00000113318	MSH3
ENSG00000251450	RASGRF2-AS1
ENSG00000113319	RASGRF2
ENSG00000247572	CKMT2-AS1
ENSG00000131730	CKMT2
ENSG00000131732	ZCCHC9
ENSG00000172497	ACOT12
ENSG00000145687	SSBP2
ENSG00000152348	ATG10
ENSG00000186468	RPS23
ENSG00000205464	ATP6AP1L
ENSG00000174695	TMEM167A
ENSG00000152422	XRCC4
ENSG00000038427	VCAN
ENSG00000164176	EDIL3
ENSG00000249349	CTC-384G19.1
ENSG00000250874	CTC-480C2.1
ENSG00000127184	COX7C
ENSG00000233828	CTC-242N15.1
ENSG00000145715	RASA1
ENSG00000272367	CTC-428H11.2
ENSG00000134480	CCNH
ENSG00000164180	TMEM161B
ENSG00000247828	TMEM161B-AS1
ENSG00000081189	MEF2C
ENSG00000248309	MEF2C-AS1
ENSG00000153140	CETN3
ENSG00000176055	MBLAC2
ENSG00000113356	POLR3G
ENSG00000176018	LYSMD3
ENSG00000164199	ADGRV1
ENSG00000234292	RP11-213H15.1
ENSG00000248323	LUCAT1
ENSG00000113369	ARRDC3
ENSG00000281357	ARRDC3-AS1
ENSG00000250049	RP11-348J24.2
ENSG00000248528	CTC-458G6.2
ENSG00000237187	NR2F1-AS1
ENSG00000175745	NR2F1
ENSG00000113391	FAM172A
ENSG00000248483	POU5F2
ENSG00000272406	RP11-185E12.2
ENSG00000185261	KIAA0825
ENSG00000133302	SLF1
ENSG00000175471	MCTP1
ENSG00000198677	TTC37
ENSG00000164291	ARSK
ENSG00000178015	GPR150
ENSG00000175449	RFESD
ENSG00000145757	SPATA9
ENSG00000164292	RHOBTB3
ENSG00000173221	GLRX
ENSG00000251409	AC008592.4
ENSG00000236882	LINC01554
ENSG00000118985	ELL2
ENSG00000249746	RP11-254I22.3
ENSG00000175426	PCSK1
ENSG00000153113	CAST
ENSG00000164307	ERAP1
ENSG00000248734	CTD-2260A17.1
ENSG00000272109	CTD-2260A17.3
ENSG00000247121	CTD-2260A17.2
ENSG00000164308	ERAP2
ENSG00000113441	LNPEP
ENSG00000058729	RIOK2
ENSG00000174136	RGMB
ENSG00000246763	RGMB-AS1
ENSG00000279232	AC008522.1
ENSG00000153922	CHD1
ENSG00000248489	CTD-2007H13.3
ENSG00000247877	CTD-2001C12.1
ENSG00000174132	FAM174A
ENSG00000113532	ST8SIA4
ENSG00000173930	SLCO4C1
ENSG00000247402	CTD-2340E1.2
ENSG00000145730	PAM
ENSG00000145723	GIN1
ENSG00000145725	PPIP5K2
ENSG00000181751	C5orf30
ENSG00000112874	NUDT12
ENSG00000184349	EFNA5
ENSG00000145743	FBXL17
ENSG00000272523	LINC01023
ENSG00000151422	FER
ENSG00000249476	CTD-2587M2.1
ENSG00000198961	PJA2
ENSG00000251367	RP11-231G15.2
ENSG00000271849	CTC-332L22.1
ENSG00000112893	MAN2A1
ENSG00000186952	TMEM232
ENSG00000164209	SLC25A46
ENSG00000145777	TSLP
ENSG00000134987	WDR36
ENSG00000152495	CAMK4
ENSG00000164211	STARD4
ENSG00000246859	STARD4-AS1
ENSG00000134986	NREP
ENSG00000129595	EPB41L4A
ENSG00000224032	EPB41L4A-AS1
ENSG00000278921	EPB41L4A-AS2
ENSG00000134982	APC
ENSG00000272869	CTC-487M23.8
ENSG00000153037	SRP19
ENSG00000129625	REEP5
ENSG00000212643	ZRSR1
ENSG00000270067	CTC-487M23.5
ENSG00000172795	DCP2
ENSG00000171444	MCC
ENSG00000047188	YTHDC2
ENSG00000080709	KCNN2
ENSG00000152503	TRIM36
ENSG00000164219	PGGT1B
ENSG00000164221	CCDC112
ENSG00000145780	FEM1C
ENSG00000249249	AC010226.4
ENSG00000134970	TMED7
ENSG00000249021	CTC-505O3.3
ENSG00000248709	CTC-505O3.2
ENSG00000129596	CDO1
ENSG00000145782	ATG12
ENSG00000177879	AP3S1
ENSG00000271918	CTD-2287O16.5
ENSG00000145781	COMMD10
ENSG00000092421	SEMA6A
ENSG00000248445	SEMA6A-AS1
ENSG00000248663	LINC00992
ENSG00000249797	CTD-3179P9.1
ENSG00000249426	CTC-448D22.1
ENSG00000169570	DTWD2
ENSG00000249494	CTB-161M19.4
ENSG00000172869	DMXL1
ENSG00000145779	TNFAIP8
ENSG00000133835	HSD17B4
ENSG00000184838	PRR16
ENSG00000248927	CTD-2334D19.1
ENSG00000151304	SRFBP1
ENSG00000113083	LOX
ENSG00000064692	SNCAIP
ENSG00000250328	MGC32805
ENSG00000205302	SNX2
ENSG00000064652	SNX24
ENSG00000168938	PPIC
ENSG00000061455	PRDM6
ENSG00000168944	CEP120
ENSG00000151292	CSNK1G3
ENSG00000253807	LINC01170
ENSG00000168916	ZNF608
ENSG00000155324	GRAMD3
ENSG00000164904	ALDH7A1
ENSG00000164902	PHAX
ENSG00000113368	LMNB1
ENSG00000173926	MARCH3
ENSG00000164241	C5orf63
ENSG00000164244	PRRC1
ENSG00000230561	LINC01183
ENSG00000245937	LINC01184
ENSG00000064651	SLC12A2
ENSG00000138829	FBN2
ENSG00000066583	ISOC1
ENSG00000186367	KIAA1024L
ENSG00000198108	CHSY3
ENSG00000169567	HINT1
ENSG00000186687	LYRM7
ENSG00000158985	CDC42SE2
ENSG00000158987	RAPGEF6
ENSG00000217128	FNIP1
ENSG00000239642	MEIKIN
ENSG00000164398	ACSL6
ENSG00000072682	P4HA2
ENSG00000131435	PDLIM4
ENSG00000197208	SLC22A4
ENSG00000197375	SLC22A5
ENSG00000197536	C5orf56
ENSG00000234290	AC116366.6
ENSG00000125347	IRF1
ENSG00000113522	RAD50
ENSG00000169194	IL13
ENSG00000230612	AC004237.1
ENSG00000131437	KIF3A
ENSG00000205089	CCNI2
ENSG00000164402	SEPT8
ENSG00000198944	SOWAHA
ENSG00000164403	SHROOM1
ENSG00000164404	GDF9
ENSG00000164405	UQCRQ
ENSG00000164406	LEAP2
ENSG00000072364	AFF4
ENSG00000155329	ZCCHC10
ENSG00000170606	HSPA4
ENSG00000113583	C5orf15
ENSG00000213585	VDAC1
ENSG00000271737	CTB-113I20.2
ENSG00000081059	TCF7
ENSG00000113558	SKP1
ENSG00000113575	PPP2CA
ENSG00000270177	CTD-2410N18.3
ENSG00000006837	CDKL3
ENSG00000119048	UBE2B
ENSG00000248559	RP11-215P8.3
ENSG00000237190	CDKN2AIPNL
ENSG00000251169	AC005355.2
ENSG00000043143	JADE2
ENSG00000152700	SAR1B
ENSG00000113615	SEC24A
ENSG00000164615	CAMLG
ENSG00000145833	DDX46
ENSG00000181904	C5orf24
ENSG00000113621	TXNDC15
ENSG00000132570	PCBD2
ENSG00000152705	CATSPER3
ENSG00000069011	PITX1
ENSG00000224186	C5orf66
ENSG00000113648	H2AFY
ENSG00000270021	CTC-203F4.2
ENSG00000255833	TIFAB
ENSG00000145824	CXCL14
ENSG00000145826	LECT2
ENSG00000120708	TGFBI
ENSG00000164621	SMAD5-AS1
ENSG00000113658	SMAD5
ENSG00000152377	SPOCK1
ENSG00000146021	KLHL3
ENSG00000177733	HNRNPA0
ENSG00000250159	RP11-381K20.2
ENSG00000078795	PKD2L2
ENSG00000031003	FAM13B
ENSG00000112981	NME5
ENSG00000112983	BRD8
ENSG00000112984	KIF20A
ENSG00000094880	CDC23
ENSG00000158402	CDC25C
ENSG00000120709	FAM53C
ENSG00000249971	RP11-256P1.1
ENSG00000120733	KDM3B
ENSG00000132563	REEP2
ENSG00000120738	EGR1
ENSG00000120705	ETF1
ENSG00000113013	HSPA9
ENSG00000044115	CTNNA1
ENSG00000146006	LRRTM2
ENSG00000120725	SIL1
ENSG00000249593	CTB-46B19.2
ENSG00000280987	MATR3
ENSG00000015479	MATR3
ENSG00000120727	PAIP2
ENSG00000272742	CTB-43P18.1
ENSG00000170482	SLC23A1
ENSG00000170476	MZB1
ENSG00000228672	PROB1
ENSG00000170469	SPATA24
ENSG00000170464	DNAJC18
ENSG00000249751	ECSCR
ENSG00000184584	TMEM173
ENSG00000131508	UBE2D2
ENSG00000171604	CXXC5
ENSG00000158458	NRG2
ENSG00000245146	LINC01024
ENSG00000185129	PURA
ENSG00000182700	IGIP
ENSG00000120306	CYSTM1
ENSG00000113068	PFDN1
ENSG00000113070	HBEGF
ENSG00000131503	ANKHD1
ENSG00000254996	ANKHD1-EIF4EBP3
ENSG00000213523	SRA1
ENSG00000243056	EIF4EBP3
ENSG00000113108	APBB3
ENSG00000176087	SLC35A4
ENSG00000170458	CD14
ENSG00000131495	NDUFA2
ENSG00000113119	TMCO6
ENSG00000113141	IK
ENSG00000120314	WDR55
ENSG00000256453	DND1
ENSG00000170445	HARS
ENSG00000112855	HARS2
ENSG00000146007	ZMAT2
ENSG00000204967	PCDHA4
ENSG00000204961	PCDHA9
ENSG00000250120	PCDHA10
ENSG00000171815	PCDHB1
ENSG00000112852	PCDHB2
ENSG00000113205	PCDHB3
ENSG00000272108	AC005754.8
ENSG00000081818	PCDHB4
ENSG00000113209	PCDHB5
ENSG00000113211	PCDHB6
ENSG00000113212	PCDHB7
ENSG00000272674	PCDHB16
ENSG00000120324	PCDHB10
ENSG00000177839	PCDHB9
ENSG00000197479	PCDHB11
ENSG00000120328	PCDHB12
ENSG00000187372	PCDHB13
ENSG00000120327	PCDHB14
ENSG00000113248	PCDHB15
ENSG00000178913	TAF7
ENSG00000272070	AC005618.6
ENSG00000204956	PCDHGA1
ENSG00000081853	PCDHGA2
ENSG00000254245	PCDHGA3
ENSG00000253910	PCDHGB2
ENSG00000253485	PCDHGA5
ENSG00000253731	PCDHGA6
ENSG00000253537	PCDHGA7
ENSG00000253767	PCDHGA8
ENSG00000261934	PCDHGA9
ENSG00000253305	PCDHGB6
ENSG00000253846	PCDHGA10
ENSG00000254122	PCDHGB7
ENSG00000253873	PCDHGA11
ENSG00000253159	PCDHGA12
ENSG00000240184	PCDHGC3
ENSG00000131504	DIAPH1
ENSG00000171720	HDAC3
ENSG00000164620	RELL2
ENSG00000197948	FCHSD1
ENSG00000120318	ARAP3
ENSG00000156453	PCDH1
ENSG00000081791	KIAA0141
ENSG00000113555	PCDH12
ENSG00000013561	RNF14
ENSG00000113552	GNPDA1
ENSG00000131507	NDFIP1
ENSG00000187678	SPRY4
ENSG00000281881	SPRY4-IT1
ENSG00000231185	AC005592.2
ENSG00000113578	FGF1
ENSG00000145819	ARHGAP26
ENSG00000113580	NR3C1
ENSG00000158497	HMHB1
ENSG00000145817	YIPF5
ENSG00000186314	PRELID2
ENSG00000156463	SH3RF2
ENSG00000133706	LARS
ENSG00000275740	RP11-449H3.3
ENSG00000091009	RBM27
ENSG00000113649	TCERG1
ENSG00000156475	PPP2R2B
ENSG00000169302	STK32A
ENSG00000113657	DPYSL3
ENSG00000176049	JAKMIP2
ENSG00000164266	SPINK1
ENSG00000178776	C5orf46
ENSG00000133710	SPINK5
ENSG00000214510	SPINK13
ENSG00000247199	RP11-373N22.3
ENSG00000145868	FBXO38
ENSG00000251330	CTD-2283N19.1
ENSG00000169252	ADRB2
ENSG00000169247	SH3TC2
ENSG00000250072	CTC-529P8.1
ENSG00000173210	ABLIM3
ENSG00000157510	AFAP1L1
ENSG00000164284	GRPEL2
ENSG00000145882	PCYOX1L
ENSG00000127743	IL17B
ENSG00000249669	CARMN
ENSG00000269936	RP11-394O4.5
ENSG00000113712	CSNK1A1
ENSG00000183111	ARHGEF37
ENSG00000155846	PPARGC1B
ENSG00000132915	PDE6A
ENSG00000155850	SLC26A2
ENSG00000164296	TIGD6
ENSG00000113716	HMGXB3
ENSG00000182578	CSF1R
ENSG00000113721	PDGFRB
ENSG00000113722	CDX1
ENSG00000011083	SLC6A7
ENSG00000070808	CAMK2A
ENSG00000183876	ARSI
ENSG00000070814	TCOF1
ENSG00000019582	CD74
ENSG00000164587	RPS14
ENSG00000254333	CTC-367J11.1
ENSG00000070614	NDST1
ENSG00000171992	SYNPO
ENSG00000164591	MYOZ3
ENSG00000086589	RBM22
ENSG00000132912	DCTN4
ENSG00000256235	SMIM3
ENSG00000145908	ZNF300
ENSG00000211445	GPX3
ENSG00000145901	TNIP1
ENSG00000197043	ANXA6
ENSG00000198624	CCDC69
ENSG00000196743	GM2A
ENSG00000186334	SLC36A3
ENSG00000186335	SLC36A2
ENSG00000123643	SLC36A1
ENSG00000113140	SPARC
ENSG00000272112	CTB-113P19.5
ENSG00000177556	ATOX1
ENSG00000275765	RP11-54C4.3
ENSG00000145907	G3BP1
ENSG00000145888	GLRA1
ENSG00000155511	GRIA1
ENSG00000055147	FAM114A2
ENSG00000037749	MFAP3
ENSG00000164574	GALNT10
ENSG00000164576	SAP30L
ENSG00000155506	LARP1
ENSG00000170271	FAXDC2
ENSG00000155508	CNOT8
ENSG00000082516	GEMIN5
ENSG00000082515	MRPL22
ENSG00000226650	KIF4B
ENSG00000170624	SGCD
ENSG00000145850	TIMD4
ENSG00000113249	HAVCR1
ENSG00000135077	HAVCR2
ENSG00000155868	MED7
ENSG00000113263	ITK
ENSG00000253653	CTC-248O19.1
ENSG00000055163	CYFIP2
ENSG00000248544	CTB-47B11.3
ENSG00000135074	ADAM19
ENSG00000172548	NIPAL4
ENSG00000113272	THG1L
ENSG00000155858	LSM11
ENSG00000113282	CLINT1
ENSG00000164330	EBF1
ENSG00000245812	RP11-175K6.1
ENSG00000145860	RNF145
ENSG00000164332	UBLCP1
ENSG00000113312	TTC1
ENSG00000170234	PWWP2A
ENSG00000170231	FABP6
ENSG00000247699	CTB-127C13.1
ENSG00000135083	CCNJL
ENSG00000145861	C1QTNF2
ENSG00000221886	ZBED8
ENSG00000164609	SLU7
ENSG00000164611	PTTG1
ENSG00000253522	MIR3142HG
ENSG00000118322	ATP10B
ENSG00000113328	CCNG1
ENSG00000170584	NUDCD2
ENSG00000072571	HMMR
ENSG00000038274	MAT2B
ENSG00000241956	CTC-340A15.2
ENSG00000145934	TENM2
ENSG00000254187	CTB-78F1.1
ENSG00000113645	WWC1
ENSG00000113643	RARS
ENSG00000120137	PANK3
ENSG00000184347	SLIT3
ENSG00000040275	SPDL1
ENSG00000134516	DOCK2
ENSG00000043462	LCP2
ENSG00000145936	KCNMB1
ENSG00000253647	CTD-2270F17.1
ENSG00000094755	GABRP
ENSG00000204764	RANBP17
ENSG00000181163	NPM1
ENSG00000156427	FGF18
ENSG00000072803	FBXW11
ENSG00000072786	STK10
ENSG00000168246	UBTD2
ENSG00000174705	SH3PXD2B
ENSG00000214357	NEURL1B
ENSG00000120129	DUSP1
ENSG00000113719	ERGIC1
ENSG00000204758	CTC-308K20.1
ENSG00000037241	RPL26L1
ENSG00000113732	ATP6V0E1
ENSG00000164463	CREBRF
ENSG00000113734	BNIP1
ENSG00000113739	STC2
ENSG00000145919	BOD1
ENSG00000253428	CTB-43E15.2
ENSG00000253686	LINC01484
ENSG00000254211	LINC01485
ENSG00000113742	CPEB4
ENSG00000170091	HMP19
ENSG00000249306	LINC01411
ENSG00000120149	MSX2
ENSG00000251144	CTD-2532K18.2
ENSG00000184845	DRD1
ENSG00000164466	SFXN1
ENSG00000113749	HRH2
ENSG00000051596	THOC3
ENSG00000248469	RP11-826N14.2
ENSG00000182230	FAM153B
ENSG00000248596	RP11-844P9.2
ENSG00000170085	SIMC1
ENSG00000122203	KIAA1191
ENSG00000175414	ARL10
ENSG00000048162	NOP16
ENSG00000146066	HIGD2A
ENSG00000175416	CLTB
ENSG00000113194	FAF2
ENSG00000146083	RNF44
ENSG00000074276	CDHR2
ENSG00000169258	GPRIN1
ENSG00000048140	TSPAN17
ENSG00000113763	UNC5A
ENSG00000160883	HK3
ENSG00000087206	UIMC1
ENSG00000113761	ZNF346
ENSG00000160867	FGFR4
ENSG00000165671	NSD1
ENSG00000169228	RAB24
ENSG00000213347	MXD3
ENSG00000169230	PRELID1
ENSG00000169223	LMAN2
ENSG00000169220	RGS14
ENSG00000131187	F12
ENSG00000198055	GRK6
ENSG00000246334	PRR7-AS1
ENSG00000131188	PRR7
ENSG00000113758	DBN1
ENSG00000196923	PDLIM7
ENSG00000146094	DOK3
ENSG00000183258	DDX41
ENSG00000146067	FAM193B
ENSG00000272459	RP11-1277A3.3
ENSG00000184840	TMED9
ENSG00000027847	B4GALT7
ENSG00000247679	RP11-1277A3.1
ENSG00000170074	FAM153A
ENSG00000249109	RP11-1026M7.2
ENSG00000249684	RP11-423H2.3
ENSG00000204677	FAM153C
ENSG00000145911	N4BP3
ENSG00000145916	RMND5B
ENSG00000145912	NHP2
ENSG00000197451	HNRNPAB
ENSG00000175309	PHYKPL
ENSG00000050767	COL23A1
ENSG00000113240	CLK4
ENSG00000169131	ZNF354A
ENSG00000178338	ZNF354B
ENSG00000198939	ZFP2
ENSG00000178187	ZNF454
ENSG00000113262	GRM6
ENSG00000234284	ZNF879
ENSG00000177932	ZNF354C
ENSG00000087116	ADAMTS2
ENSG00000253163	RP11-443C10.1
ENSG00000176783	RUFY1
ENSG00000244945	RP11-1379J22.2
ENSG00000169045	HNRNPH1
ENSG00000250999	RP11-1379J22.5
ENSG00000127022	CANX
ENSG00000161021	MAML1
ENSG00000213316	LTC4S
ENSG00000161013	MGAT4B
ENSG00000161011	SQSTM1
ENSG00000161010	C5orf45
ENSG00000245317	CTC-241N9.1
ENSG00000197226	TBC1D9B
ENSG00000113269	RNF130
ENSG00000050748	MAPK9
ENSG00000248367	CTB-129O4.1
ENSG00000131459	GFPT2
ENSG00000250509	CTC-573N18.1
ENSG00000113300	CNOT6
ENSG00000161055	SCGB3A1
ENSG00000037280	FLT4
ENSG00000131446	MGAT1
ENSG00000245060	LINC00847
ENSG00000196670	ZFP62
ENSG00000113303	BTNL8
ENSG00000168903	BTNL3
ENSG00000165810	BTNL9
ENSG00000250222	CTC-338M12.5
ENSG00000146054	TRIM7
ENSG00000250900	CTC-338M12.6
ENSG00000146063	TRIM41
ENSG00000204628	GNB2L1
ENSG00000183718	TRIM52
ENSG00000112679	DUSP22
ENSG00000137265	IRF4
ENSG00000112685	EXOC2
ENSG00000188996	HUS1B
ENSG00000272463	RP11-532F6.3
ENSG00000164379	FOXQ1
ENSG00000137273	FOXF2
ENSG00000272279	RP11-157J24.2
ENSG00000054598	FOXC1
ENSG00000112699	GMDS
ENSG00000250903	GMDS-AS1
ENSG00000145949	MYLK4
ENSG00000124535	WRNIP1
ENSG00000021355	SERPINB1
ENSG00000230438	SERPINB9P1
ENSG00000170542	SERPINB9
ENSG00000124570	SERPINB6
ENSG00000244041	LINC01011
ENSG00000124588	NQO2
ENSG00000224846	RP1-90J20.8
ENSG00000137275	RIPK1
ENSG00000272277	RP1-40E16.12
ENSG00000137274	BPHL
ENSG00000228170	RP1-40E16.11
ENSG00000137267	TUBB2A
ENSG00000137285	TUBB2B
ENSG00000180822	PSMG4
ENSG00000137266	SLC22A23
ENSG00000168994	PXDC1
ENSG00000270504	RP11-420L9.5
ENSG00000145945	FAM50B
ENSG00000260604	RP1-140K8.5
ENSG00000112739	PRPF4B
ENSG00000198721	ECI2
ENSG00000260239	RP11-274H24.1
ENSG00000153046	CDYL
ENSG00000124787	RPP40
ENSG00000272142	RP11-428J1.5
ENSG00000219607	PPP1R3G
ENSG00000214113	LYRM4
ENSG00000145982	FARS2
ENSG00000269985	RP1-232P20.1
ENSG00000124785	NRN1
ENSG00000124491	F13A1
ENSG00000216863	LY86-AS1
ENSG00000112799	LY86
ENSG00000261211	RP1-80N2.3
ENSG00000203498	RP11-556O15.1
ENSG00000124782	RREB1
ENSG00000124783	SSR1
ENSG00000164304	CAGE1
ENSG00000124784	RIOK1
ENSG00000261189	RP3-512B11.3
ENSG00000096696	DSP
ENSG00000168566	SNRNP48
ENSG00000153162	BMP6
ENSG00000239264	TXNDC5
ENSG00000188428	BLOC1S5
ENSG00000124802	EEF1E1
ENSG00000124786	SLC35B3
ENSG00000251164	HULC
ENSG00000230939	RP11-314C16.1
ENSG00000181355	OFCC1
ENSG00000137203	TFAP2A
ENSG00000229950	TFAP2A-AS1
ENSG00000111846	GCNT2
ENSG00000137434	C6orf52
ENSG00000111845	PAK1IP1
ENSG00000111843	TMEM14C
ENSG00000137210	TMEM14B
ENSG00000111837	MAK
ENSG00000235051	RP11-637O19.2
ENSG00000153157	SYCP2L
ENSG00000197977	ELOVL2
ENSG00000224531	SMIM13
ENSG00000111859	NEDD9
ENSG00000205269	TMEM170B
ENSG00000111863	ADTRP
ENSG00000229896	RP11-456H18.2
ENSG00000095951	HIVEP1
ENSG00000078401	EDN1
ENSG00000112137	PHACTR1
ENSG00000215022	RP1-257A7.4
ENSG00000145979	TBC1D7
ENSG00000272379	RP1-257A7.5
ENSG00000145990	GFOD1
ENSG00000124523	SIRT5
ENSG00000261071	RP1-223E5.4
ENSG00000225921	NOL7
ENSG00000010017	RANBP9
ENSG00000050393	MCUR1
ENSG00000112149	CD83
ENSG00000226673	LINC01108
ENSG00000271888	RP11-560J1.2
ENSG00000008083	JARID2
ENSG00000047579	DTNBP1
ENSG00000007944	MYLIP
ENSG00000137198	GMPR
ENSG00000282024	RP3-467D16.3
ENSG00000124788	ATXN1
ENSG00000229931	RP1-151F17.1
ENSG00000272341	RP1-151F17.2
ENSG00000230873	STMND1
ENSG00000112183	RBM24
ENSG00000112186	CAP2
ENSG00000137414	FAM8A1
ENSG00000124789	NUP153
ENSG00000272269	RP11-500C11.3
ENSG00000137177	KIF13A
ENSG00000187566	NHLRC1
ENSG00000137364	TPMT
ENSG00000165097	KDM1B
ENSG00000124795	DEK
ENSG00000137393	RNF144B
ENSG00000228412	RP4-625H18.2
ENSG00000172201	ID4
ENSG00000172197	MBOAT1
ENSG00000112242	E2F3
ENSG00000145996	CDKAL1
ENSG00000124766	SOX4
ENSG00000272168	CASC15
ENSG00000261568	RP11-524C21.2
ENSG00000233358	RP1-209A6.1
ENSG00000146038	DCDC2
ENSG00000146049	KAAG1
ENSG00000124532	MRS2
ENSG00000112293	GPLD1
ENSG00000112294	ALDH5A1
ENSG00000111802	TDP2
ENSG00000112304	ACOT13
ENSG00000272345	RP1-30M3.5
ENSG00000112308	C6orf62
ENSG00000112312	GMNN
ENSG00000111913	FAM65B
ENSG00000272053	RP11-367G6.3
ENSG00000079691	LRRC16A
ENSG00000079689	SCGN
ENSG00000146039	SLC17A4
ENSG00000124568	SLC17A1
ENSG00000124564	SLC17A3
ENSG00000112337	SLC17A2
ENSG00000112343	TRIM38
ENSG00000272462	U91328.19
