GO ID	GO Term	Interactions	P-value	FDR corrected p-value	FDR pval 1 vs. 4+5
GO:0032869	cellular response to insulin stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0060343868	0.0148168277	0.0492223239
GO:0007520	myoblast fusion	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0062965761	0.0153883612	0.0326182667
GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0064600374	0.0157144165	0.062017081
GO:0031098	stress-activated protein kinase signaling cascade	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.006511893	0.0157672223	0.4700557786
GO:0033559	unsaturated fatty acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0066390644	0.0160010631	0.2356355656
GO:0060042	retina morphogenesis in camera-type eye	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.006710628	0.0160993508	0.199076868
GO:0044272	sulfur compound biosynthetic process	organ + species + age + organ:age + species:age	0.0067661308	0.0161583853	0.0899753958
GO:0008272	sulfate transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0069409473	0.0163518713	0.0438790582
GO:0009620	response to fungus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0069197107	0.0163518713	0.0201109403
GO:0050769	positive regulation of neurogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0069202027	0.0163518713	0.1843816694
GO:0030041	actin filament polymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0072235129	0.0169412433	0.0058266133
GO:0032535	regulation of cellular component size	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0073921228	0.0172592866	0.0083657963
GO:0060047	heart contraction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0075460271	0.0175403208	0.0504045563
GO:0048678	response to axon injury	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0078294675	0.0181186349	0.0628131729
GO:1902532	negative regulation of intracellular signal transduction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0078723592	0.0181376381	
GO:0006457	protein folding	species + age + species:age	0.0079225643	0.0181732506	
GO:0030178	negative regulation of Wnt signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0080166012	0.0183086569	0.0065215863
GO:0010628	positive regulation of gene expression	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0081151828	0.0184532201	0.2942114991
GO:0031324	negative regulation of cellular metabolic process	organ + species + age + organ:age + species:age	0.0081534353	0.0184599423	0.0928058707
GO:0003015	heart process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0088118528	0.0198274367	0.047891953
GO:0031532	actin cytoskeleton reorganization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0088332558	0.0198274367	0.0854000468
GO:0071363	cellular response to growth factor stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0088814111	0.0198503333	
GO:0048193	Golgi vesicle transport	organ + species + age + organ:age + species:age	0.0089549416	0.0199295083	0.0520163577
GO:0001764	neuron migration	organ + species + age + organ:age + species:age	0.0096297854	0.0212822425	0.0306865575
GO:0046456	icosanoid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0096848446	0.0212822425	0.0542468673
GO:1901570	fatty acid derivative biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0096848446	0.0212822425	0.0542468673
GO:0042490	mechanoreceptor differentiation	organ + species + age + organ:age + species:age	0.0098453242	0.0215443705	0.1323225383
GO:0009891	positive regulation of biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.01015208	0.0221230742	
GO:0071375	cellular response to peptide hormone stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0107156936	0.023254389	
GO:0007519	skeletal muscle tissue development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0107640361	0.0232627722	0.0154616075
GO:0006468	protein phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0109467571	0.0235603043	0.0877420983
GO:0045744	negative regulation of G-protein coupled receptor protein signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0111997919	0.0240061113	0.6319631985
GO:0048562	embryonic organ morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0115059845	0.0245617547	0.0728214422
GO:0043627	response to estrogen	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0118670148	0.0252294664	0.0735183713
GO:0030111	regulation of Wnt signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0123808879	0.0262154022	0.099072925
GO:0032496	response to lipopolysaccharide	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0126927528	0.0267673779	0.0377839754
GO:0042180	cellular ketone metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0131193664	0.0275559383	0.2854893105
GO:1901879	regulation of protein depolymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.013579059	0.0284073914	0.1677612509
GO:0006012	galactose metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0140377993	0.0292500759	
GO:0031328	positive regulation of cellular biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0144339377	0.0298377448	
GO:0061138	morphogenesis of a branching epithelium	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0144020503	0.0298377448	0.0408912787
GO:0042158	lipoprotein biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0145697484	0.029999915	0.0368144204
GO:1990267	response to transition metal nanoparticle	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0150360781	0.0308387013	0.8505199116
GO:0040011	locomotion	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0155285983	0.0316009997	0.0430931276
GO:0055082	cellular chemical homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0154782187	0.0316009997	0.0756075678
GO:0060255	regulation of macromolecule metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0164587894	0.0333641351	0.5676125256
GO:1901880	negative regulation of protein depolymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0166314741	0.0335840192	0.1313040556
GO:0048598	embryonic morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0167311378	0.0336553272	0.0328260568
GO:0009611	response to wounding	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0168031695	0.033670719	0.0859207548
GO:0006915	apoptotic process	organ + species + age + organ:age + species:age	0.0170418526	0.0340186599	0.0447620369
GO:0001946	lymphangiogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0172351915	0.0341852472	0.0458100671
GO:0043242	negative regulation of protein complex disassembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.017256033	0.0341852472	0.1420850207
GO:0051726	regulation of cell cycle	organ + species + age + organ:age + species:age	0.0173349528	0.0342120012	0.0298883352
GO:0046486	glycerolipid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0179938106	0.0352858784	0.133343726
GO:0070848	response to growth factor	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0180140144	0.0352858784	
GO:0046854	phosphatidylinositol phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0185324096	0.0361658591	0.2432347136
GO:0051253	negative regulation of RNA metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0186366667	0.036234114	0.0664138826
GO:0042391	regulation of membrane potential	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0192274567	0.0372442958	0.3225438427
GO:0038034	signal transduction in absence of ligand	species + age + species:age	0.0200902713	0.0385547735	0.0947726052
GO:0051347	positive regulation of transferase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0201251495	0.0385547735	0.037007113
GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	species + age + species:age	0.0200902713	0.0385547735	0.0947726052
GO:0008610	lipid biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0202885814	0.0387260148	0.2312443861
GO:0009894	regulation of catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0204818863	0.0389528239	0.0452471782
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	organ + species + age + organ:age + species:age	0.0205734954	0.0389852829	0.2626363048
GO:0008016	regulation of heart contraction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0212009203	0.0398851845	0.4271674278
GO:0010467	gene expression	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0211846212	0.0398851845	0.0123172513
GO:0006974	cellular response to DNA damage stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0213337236	0.0399911735	0.0333694231
GO:0045446	endothelial cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0223208739	0.0416922037	
GO:0002520	immune system development	species + age + species:age	0.0224125805	0.0417145182	0.279016239
GO:0006446	regulation of translational initiation	organ + species + age + organ:age + species:age	0.0226868891	0.0420753298	0.0825140863
GO:0001654	eye development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0229617567	0.0424346246	0.38812033
GO:0060538	skeletal muscle organ development	organ + species + age + organ:age + species:age	0.0231770963	0.0426817653	0.0414876154
GO:0006099	tricarboxylic acid cycle	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0234076	0.0429549993	0.1479213153
GO:0006487	protein N-linked glycosylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0239850799	0.0438608278	0.0130222459
GO:0001763	morphogenesis of a branching structure	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.024893334	0.0453631139	0.0219212231
GO:0034220	ion transmembrane transport	species + age + species:age	0.025377355	0.0460845718	0.0064155954
GO:0043410	positive regulation of MAPK cascade	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0258270046	0.0467388354	0.0412287735
GO:0048534	hematopoietic or lymphoid organ development	species + age + species:age	0.0264755636	0.0477473096	0.3010627951
GO:0090090	negative regulation of canonical Wnt signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0269976158	0.0485214882	0.0191700875
GO:0010948	negative regulation of cell cycle process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.027196888	0.0487122344	
GO:0070838	divalent metal ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0274480216	0.0488391395	0.4955217576
GO:0090066	regulation of anatomical structure size	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0274545067	0.0488391395	0.0388596796
GO:1902680	positive regulation of RNA biosynthetic process	species + age + species:age	0.0286707015	0.0508297521	0.1703385125
GO:0043044	ATP-dependent chromatin remodeling	organ + species + age + organ:age + species:age	0.0295315394	0.0521790376	0.1313040556
GO:0048844	artery morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0297052723	0.0523092842	0.2873671465
GO:0010558	negative regulation of macromolecule biosynthetic process	organ + species + age + organ:age + species:age	0.0299331416	0.052533668	0.0690956882
GO:0009164	nucleoside catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0303581513	0.0531013818	0.0129279637
GO:0012501	programmed cell death	organ + species + age + organ:age + species:age	0.0306621996	0.0534544347	0.0476057984
GO:0051493	regulation of cytoskeleton organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0318174489	0.0552841388	0.007413582
GO:0008643	carbohydrate transport	organ + species + age + organ:age + species:age	0.0329839386	0.0571211918	0.0717363258
GO:0050793	regulation of developmental process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0338062512	0.0583424669	0.3234342913
GO:0072511	divalent inorganic cation transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0339122561	0.0583424669	0.4817117422
GO:0022618	ribonucleoprotein complex assembly	species + age + species:age	0.0346877541	0.0594809685	
GO:0006612	protein targeting to membrane	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0369826581	0.0629282692	0.5242852241
GO:0043583	ear development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0370590954	0.0629282692	0.2705394417
GO:0048854	brain morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0368832925	0.0629282692	0.1077963105
GO:0009719	response to endogenous stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0376444747	0.0635415322	0.0377362517
GO:0044242	cellular lipid catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0376632409	0.0635415322	0.0629649655
GO:0071826	ribonucleoprotein complex subunit organization	species + age + species:age	0.0385985741	0.0649101423	
GO:1901342	regulation of vasculature development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0395056965	0.06622269	0.0586818997
GO:0043401	steroid hormone mediated signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0409789019	0.0684727338	0.070733459
GO:0031103	axon regeneration	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0415549756	0.0692141791	0.5124403676
GO:0045597	positive regulation of cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0443235116	0.0735911002	0.0716571624
GO:0042454	ribonucleoside catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0454727762	0.0752603226	0.0153803049
GO:0051302	regulation of cell division	organ + species + age + organ:age + species:age	0.0484271462	0.0798971529	
GO:1902600	hydrogen ion transmembrane transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0487584777	0.0801908297	
GO:0072507	divalent inorganic cation homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0492703227	0.0807786169	0.1147117344
GO:0051716	cellular response to stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0511608273	0.0836159771	0.098990435
GO:0006357	regulation of transcription from RNA polymerase II promoter	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0528786686	0.0855775479	0.1315937903
GO:0007600	sensory perception	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0530155364	0.0855775479	0.1755533899
GO:0030155	regulation of cell adhesion	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0525819775	0.0855775479	0.0421171352
GO:0043010	camera-type eye development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0527177766	0.0855775479	0.9633249036
GO:0022604	regulation of cell morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0548486321	0.0882641064	0.0377362517
GO:0010035	response to inorganic substance	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0567947366	0.0911154823	0.211098979
GO:0048839	inner ear development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0571688713	0.0914352284	0.4094482935
GO:0016310	phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0586058502	0.0934477428	0.0468456526
GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	organ + species + age + organ:age + species:age	0.0602162779	0.0957237487	0.233095511
GO:0007167	enzyme linked receptor protein signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0606086852	0.0960379589	0.1260700746
GO:0043434	response to peptide hormone	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0607811939	0.0960379589	0.1065410523
GO:0009132	nucleoside diphosphate metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.061913695	0.0975327183	0.233721456
GO:0031327	negative regulation of cellular biosynthetic process	organ + species + age + organ:age + species:age	0.0631951003	0.0992523647	0.1099864423
GO:0031344	regulation of cell projection organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0649664109	0.1017288411	
GO:0002237	response to molecule of bacterial origin	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0663639216	0.1036069582	
GO:0001947	heart looping	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0668692401	0.1040851565	0.4649348835
GO:0046686	response to cadmium ion	organ + species + age + organ:age + species:age	0.0673877109	0.1045809282	
GO:0009199	ribonucleoside triphosphate metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0677231121	0.1047904959	0.0624757971
GO:0001522	pseudouridine synthesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0692723761	0.1068715418	0.0376609519
GO:0006152	purine nucleoside catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0705588285	0.1084850703	0.034488318
GO:0030001	metal ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0707330956	0.1084850703	0.5421896141
GO:0050982	detection of mechanical stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0736067677	0.1125623962	0.2741352981
GO:0009628	response to abiotic stimulus	species + age + species:age	0.0740386247	0.1128927134	
GO:0048385	regulation of retinoic acid receptor signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0751037438	0.1141838896	0.0677723646
GO:0032400	melanosome localization	organ + age + organ:age	0.0759673325	0.1151620722	0.1275078026
GO:0016051	carbohydrate biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0766722601	0.1158947747	
GO:0051094	positive regulation of developmental process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.079848483	0.1203480018	0.1701527804
GO:0046488	phosphatidylinositol metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0829257178	0.124626869	0.1150008582
GO:0009205	purine ribonucleoside triphosphate metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0832702146	0.1247860235	0.0843758334
GO:0043405	regulation of MAP kinase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0838026324	0.1252250765	0.0822555457
GO:0044744	protein targeting to nucleus	organ + species + age + organ:age + species:age	0.0844809305	0.1258789933	0.1600055885
GO:0006379	mRNA cleavage	organ + species + age + organ:age + species:age	0.0874357636	0.1297182283	0.3783550851
GO:0051905	establishment of pigment granule localization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0875536034	0.1297182283	0.0544266665
GO:0031123	RNA 3'-end processing	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0890231883	0.131522959	0.0759090188
GO:0007049	cell cycle	organ + species + age + organ:age + species:age	0.0906092603	0.1334891356	0.3357291249
GO:0050684	regulation of mRNA processing	organ + species + age + organ:age + species:age	0.091641767	0.1346310228	0.2459570732
GO:0017158	regulation of calcium ion-dependent exocytosis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0940644255	0.1375588262	0.7433509536
GO:0043648	dicarboxylic acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0941607262	0.1375588262	0.3044774512
GO:0065009	regulation of molecular function	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0970607289	0.1414004491	0.0919031356
GO:0051260	protein homooligomerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0975018479	0.141648518	0.0701944409
GO:0043269	regulation of ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0988411795	0.143196501	
GO:0071804	cellular potassium ion transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0997729479	0.1437500048	0.1286170614
GO:0071805	potassium ion transmembrane transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.0997729479	0.1437500048	0.1286170614
GO:0009615	response to virus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1021125597	0.1467166724	0.1148418976
GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1027757016	0.1472649094	0.0362727377
GO:0009799	specification of symmetry	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1054551609	0.1502379647	
GO:0009855	determination of bilateral symmetry	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1054551609	0.1502379647	
GO:0009888	tissue development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1057123728	0.1502379647	0.2855383393
GO:0001754	eye photoreceptor cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1097312794	0.1547610763	0.3367623914
GO:0006259	DNA metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1097827137	0.1547610763	
GO:1901652	response to peptide	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1094710574	0.1547610763	0.1378046393
GO:0033674	positive regulation of kinase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1103277552	0.1551113333	0.1305984862
GO:0009812	flavonoid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1112951952	0.1560519761	0.2301515127
GO:0000003	reproduction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1133671496	0.158532137	0.7520490767
GO:0043086	negative regulation of catalytic activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1186379657	0.164680547	0.3780437988
GO:0046130	purine ribonucleoside catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1187085396	0.164680547	0.0482004056
GO:1902679	negative regulation of RNA biosynthetic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1183479337	0.164680547	0.2917850252
GO:0007422	peripheral nervous system development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1190300759	0.1646897611	0.0893787715
GO:0006839	mitochondrial transport	species + age + species:age	0.1195460548	0.1649672471	0.6502865569
GO:0038032	termination of G-protein coupled receptor signaling pathway	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1199623761	0.1651061123	0.9495153857
GO:0044255	cellular lipid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1205606287	0.1654939864	
GO:0051301	cell division	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1212448739	0.1659975629	
GO:0007368	determination of left/right symmetry	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1245309739	0.1700514343	
GO:0003143	embryonic heart tube morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1250518017	0.1702239942	0.8955203438
GO:0045765	regulation of angiogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.125308294	0.1702239942	0.1204002804
GO:0045860	positive regulation of protein kinase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1278246771	0.173192503	0.207363941
GO:1901069	guanosine-containing compound catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1287298868	0.1739682967	0.0499079555
GO:0042886	amide transport	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1309728114	0.1765432484	0.815968487
GO:0018212	peptidyl-tyrosine modification	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1331598678	0.1785964107	
GO:0051258	protein polymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1335204523	0.1785964107	0.0878142221
GO:1901565	organonitrogen compound catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.133237479	0.1785964107	
GO:0007019	microtubule depolymerization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1431170745	0.1904586004	0.1664461719
GO:0048703	embryonic viscerocranium morphogenesis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1428017767	0.1904586004	0.6089079386
GO:0019362	pyridine nucleotide metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.145076753	0.1920889666	0.9842973687
GO:0046496	nicotinamide nucleotide metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.145076753	0.1920889666	0.9842973687
GO:0046040	IMP metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1471806407	0.1938928843	0.1964576595
GO:0060840	artery development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1471502888	0.1938928843	0.2381935379
GO:0044708	single-organism behavior	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1495365377	0.1965015308	0.3997592485
GO:0042692	muscle cell differentiation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.150674523	0.1975006906	0.224445529
GO:0071495	cellular response to endogenous stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1519833329	0.1987182078	0.1058069132
GO:0072329	monocarboxylic acid catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1553127606	0.202565022	0.2846853405
GO:0030490	maturation of SSU-rRNA	organ + species + age + organ:age + species:age	0.1588493272	0.2066621844	0.3568293513
GO:0006520	cellular amino acid metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1598890005	0.2074986284	0.5267007728
GO:0009203	ribonucleoside triphosphate catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1607402281	0.2080869784	0.0859442078
GO:0007423	sensory organ development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1617582643	0.2088878326	0.3826099717
GO:0009887	animal organ morphogenesis	species + age + species:age	0.1626529477	0.2095258415	0.1905958583
GO:0023021	termination of signal transduction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.16360341	0.2102323918	0.7005133138
GO:0046834	lipid phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1652438078	0.211819881	0.4230049337
GO:0006733	oxidoreduction coenzyme metabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.166429869	0.2122995646	0.7686251178
GO:0043087	regulation of GTPase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1662374233	0.2122995646	0.0721774568
GO:0009207	purine ribonucleoside triphosphate catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1687010686	0.214673136	0.0857271711
GO:0051338	regulation of transferase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1702121678	0.2160703003	0.6460344071
GO:0009143	nucleoside triphosphate catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1729014677	0.218952706	0.0937993735
GO:0060048	cardiac muscle contraction	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1772121374	0.2238694393	
GO:0061061	muscle structure development	organ + species + age + organ:age + species:age	0.1781426826	0.2245027061	0.1622197995
GO:0072503	cellular divalent inorganic cation homeostasis	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1798216082	0.2260738007	0.2535906966
GO:0051248	negative regulation of protein metabolic process	organ + species + age + organ:age + species:age	0.1935697459	0.2427745254	0.3612390011
GO:0061371	determination of heart left/right asymmetry	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.1955905501	0.2447221476	0.8272632066
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	species + age + species:age	0.1996305691	0.2491808774	0.1786215887
GO:0001934	positive regulation of protein phosphorylation	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.202073246	0.2516293039	0.3543066114
GO:0000187	activation of MAPK activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2052327201	0.2543523996	0.5728638058
GO:0031331	positive regulation of cellular catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.205140911	0.2543523996	0.520038428
GO:0045892	negative regulation of transcription, DNA-templated	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2066059215	0.2554489289	0.4685556557
GO:0035270	endocrine system development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2092057856	0.2580222989	0.3381745028
GO:0048856	anatomical structure development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2096739523	0.2580222989	0.6148750794
GO:0050789	regulation of biological process	organ + species + age + organ:age + species:age	0.2143144211	0.2631137141	0.4313593002
GO:0043549	regulation of kinase activity	organ + species + age + organ:species + organ:age + species:age + organ:species:age	0.2154402404	0.2638764537	0.6453828966
GO:0032269	negative regulation of cellular protein metabolic process	organ + species + age + organ:age + species:age	0.2221142885	0.2714153572	0.8756742301
