"","id","level3","level2","level1"
"332","ko04972"," Pancreatic secretion","Digestive system","Organismal Systems"
"333","ko04976"," Bile secretion","Digestive system","Organismal Systems"
"334","ko04973"," Carbohydrate digestion and absorption","Digestive system","Organismal Systems"
"335","ko04974"," Protein digestion and absorption","Digestive system","Organismal Systems"
"336","ko04975"," Fat digestion and absorption","Digestive system","Organismal Systems"
"337","ko04979"," Cholesterol metabolism","Digestive system","Organismal Systems"
"338","ko04977"," Vitamin digestion and absorption","Digestive system","Organismal Systems"
"339","ko04978"," Mineral absorption","Digestive system","Organismal Systems"
"340","ko04962"," Vasopressin-regulated water reabsorption","Excretory system","Organismal Systems"
"341","ko04960"," Aldosterone-regulated sodium reabsorption","Excretory system","Organismal Systems"
"342","ko04961"," Endocrine and other factor-regulated calcium reabsorption","Excretory system","Organismal Systems"
"343","ko04964"," Proximal tubule bicarbonate reclamation","Excretory system","Organismal Systems"
"344","ko04966"," Collecting duct acid secretion","Excretory system","Organismal Systems"
"345","ko04724"," Glutamatergic synapse","Nervous system","Organismal Systems"
"346","ko04727"," GABAergic synapse","Nervous system","Organismal Systems"
"347","ko04725"," Cholinergic synapse","Nervous system","Organismal Systems"
"348","ko04728"," Dopaminergic synapse","Nervous system","Organismal Systems"
"349","ko04726"," Serotonergic synapse","Nervous system","Organismal Systems"
"350","ko04720"," Long-term potentiation","Nervous system","Organismal Systems"
"351","ko04730"," Long-term depression","Nervous system","Organismal Systems"
"352","ko04723"," Retrograde endocannabinoid signaling","Nervous system","Organismal Systems"
"353","ko04721"," Synaptic vesicle cycle","Nervous system","Organismal Systems"
"354","ko04722"," Neurotrophin signaling pathway","Nervous system","Organismal Systems"
"355","ko04744"," Phototransduction","Sensory system","Organismal Systems"
"356","ko04745"," Phototransduction - fly","Sensory system","Organismal Systems"
"357","ko04740"," Olfactory transduction","Sensory system","Organismal Systems"
"358","ko04742"," Taste transduction","Sensory system","Organismal Systems"
"359","ko04750"," Inflammatory mediator regulation of TRP channels","Sensory system","Organismal Systems"
"360","ko04320"," Dorso-ventral axis formation","Development and regeneration","Organismal Systems"
"361","ko04360"," Axon guidance","Development and regeneration","Organismal Systems"
"362","ko04361"," Axon regeneration","Development and regeneration","Organismal Systems"
"363","ko04380"," Osteoclast differentiation","Development and regeneration","Organismal Systems"
"364","ko04211"," Longevity regulating pathway","Aging","Organismal Systems"
"365","ko04212"," Longevity regulating pathway - worm","Aging","Organismal Systems"
"366","ko04213"," Longevity regulating pathway - multiple species","Aging","Organismal Systems"
"367","ko04710"," Circadian rhythm","Environmental adaptation","Organismal Systems"
"368","ko04713"," Circadian entrainment","Environmental adaptation","Organismal Systems"
"369","ko04711"," Circadian rhythm - fly","Environmental adaptation","Organismal Systems"
"370","ko04712"," Circadian rhythm - plant","Environmental adaptation","Organismal Systems"
"371","ko04714"," Thermogenesis","Environmental adaptation","Organismal Systems"
"372","ko04626"," Plant-pathogen interaction","Environmental adaptation","Organismal Systems"
"373","ko05200"," Pathways in cancer","Cancer: overview","Human Diseases"
"374","ko05202"," Transcriptional misregulation in cancer","Cancer: overview","Human Diseases"
"375","ko05206"," MicroRNAs in cancer","Cancer: overview","Human Diseases"
"376","ko05205"," Proteoglycans in cancer","Cancer: overview","Human Diseases"
"377","ko05204"," Chemical carcinogenesis","Cancer: overview","Human Diseases"
"378","ko05203"," Viral carcinogenesis","Cancer: overview","Human Diseases"
"379","ko05230"," Central carbon metabolism in cancer","Cancer: overview","Human Diseases"
"380","ko05231"," Choline metabolism in cancer","Cancer: overview","Human Diseases"
"381","ko05235"," PD-L1 expression and PD-1 checkpoint pathway in cancer","Cancer: overview","Human Diseases"
"382","ko05210"," Colorectal cancer","Cancer: specific types","Human Diseases"
"383","ko05212"," Pancreatic cancer","Cancer: specific types","Human Diseases"
"384","ko05225"," Hepatocellular carcinoma","Cancer: specific types","Human Diseases"
"385","ko05226"," Gastric cancer","Cancer: specific types","Human Diseases"
"386","ko05214"," Glioma","Cancer: specific types","Human Diseases"
"387","ko05216"," Thyroid cancer","Cancer: specific types","Human Diseases"
"388","ko05221"," Acute myeloid leukemia","Cancer: specific types","Human Diseases"
"389","ko05220"," Chronic myeloid leukemia","Cancer: specific types","Human Diseases"
"390","ko05217"," Basal cell carcinoma","Cancer: specific types","Human Diseases"
"391","ko05218"," Melanoma","Cancer: specific types","Human Diseases"
"392","ko05211"," Renal cell carcinoma","Cancer: specific types","Human Diseases"
"393","ko05219"," Bladder cancer","Cancer: specific types","Human Diseases"
"394","ko05215"," Prostate cancer","Cancer: specific types","Human Diseases"
"395","ko05213"," Endometrial cancer","Cancer: specific types","Human Diseases"
"396","ko05224"," Breast cancer","Cancer: specific types","Human Diseases"
"397","ko05222"," Small cell lung cancer","Cancer: specific types","Human Diseases"
"398","ko05223"," Non-small cell lung cancer","Cancer: specific types","Human Diseases"
"399","ko05310"," Asthma","Immune disease","Human Diseases"
"400","ko05322"," Systemic lupus erythematosus","Immune disease","Human Diseases"
"401","ko05323"," Rheumatoid arthritis","Immune disease","Human Diseases"
"402","ko05320"," Autoimmune thyroid disease","Immune disease","Human Diseases"
"403","ko05321"," Inflammatory bowel disease","Immune disease","Human Diseases"
"404","ko05330"," Allograft rejection","Immune disease","Human Diseases"
"405","ko05332"," Graft-versus-host disease","Immune disease","Human Diseases"
"406","ko05340"," Primary immunodeficiency","Immune disease","Human Diseases"
"407","ko05010"," Alzheimer disease","Neurodegenerative disease","Human Diseases"
"408","ko05012"," Parkinson disease","Neurodegenerative disease","Human Diseases"
"409","ko05014"," Amyotrophic lateral sclerosis","Neurodegenerative disease","Human Diseases"
"410","ko05016"," Huntington disease","Neurodegenerative disease","Human Diseases"
"411","ko05017"," Spinocerebellar ataxia","Neurodegenerative disease","Human Diseases"
"412","ko05020"," Prion disease","Neurodegenerative disease","Human Diseases"
"413","ko05022"," Pathways of neurodegeneration - multiple diseases","Neurodegenerative disease","Human Diseases"
"414","ko05030"," Cocaine addiction","Substance dependence","Human Diseases"
"415","ko05031"," Amphetamine addiction","Substance dependence","Human Diseases"
"416","ko05032"," Morphine addiction","Substance dependence","Human Diseases"
"417","ko05033"," Nicotine addiction","Substance dependence","Human Diseases"
"418","ko05034"," Alcoholism","Substance dependence","Human Diseases"
"419","ko05418"," Fluid shear stress and atherosclerosis","Cardiovascular disease","Human Diseases"
"420","ko05410"," Hypertrophic cardiomyopathy","Cardiovascular disease","Human Diseases"
"421","ko05412"," Arrhythmogenic right ventricular cardiomyopathy","Cardiovascular disease","Human Diseases"
"422","ko05414"," Dilated cardiomyopathy","Cardiovascular disease","Human Diseases"
"423","ko05416"," Viral myocarditis","Cardiovascular disease","Human Diseases"
"424","ko04930"," Type II diabetes mellitus","Endocrine and metabolic disease","Human Diseases"
"425","ko04940"," Type I diabetes mellitus","Endocrine and metabolic disease","Human Diseases"
"426","ko04950"," Maturity onset diabetes of the young","Endocrine and metabolic disease","Human Diseases"
"427","ko04932"," Non-alcoholic fatty liver disease","Endocrine and metabolic disease","Human Diseases"
"428","ko04931"," Insulin resistance","Endocrine and metabolic disease","Human Diseases"
"429","ko04933"," AGE-RAGE signaling pathway in diabetic complications","Endocrine and metabolic disease","Human Diseases"
"430","ko04934"," Cushing syndrome","Endocrine and metabolic disease","Human Diseases"
"431","ko05110"," Vibrio cholerae infection","Infectious disease: bacterial","Human Diseases"
"432","ko05120"," Epithelial cell signaling in Helicobacter pylori infection","Infectious disease: bacterial","Human Diseases"
"433","ko05130"," Pathogenic Escherichia coli infection","Infectious disease: bacterial","Human Diseases"
"434","ko05132"," Salmonella infection","Infectious disease: bacterial","Human Diseases"
"435","ko05131"," Shigellosis","Infectious disease: bacterial","Human Diseases"
"436","ko05135"," Yersinia infection","Infectious disease: bacterial","Human Diseases"
"437","ko05133"," Pertussis","Infectious disease: bacterial","Human Diseases"
"438","ko05134"," Legionellosis","Infectious disease: bacterial","Human Diseases"
"439","ko05150"," Staphylococcus aureus infection","Infectious disease: bacterial","Human Diseases"
"440","ko05152"," Tuberculosis","Infectious disease: bacterial","Human Diseases"
"441","ko05100"," Bacterial invasion of epithelial cells","Infectious disease: bacterial","Human Diseases"
"442","ko05166"," Human T-cell leukemia virus 1 infection","Infectious disease: viral","Human Diseases"
"443","ko05170"," Human immunodeficiency virus 1 infection","Infectious disease: viral","Human Diseases"
"444","ko05161"," Hepatitis B","Infectious disease: viral","Human Diseases"
"445","ko05160"," Hepatitis C","Infectious disease: viral","Human Diseases"
"446","ko05171"," Coronavirus disease - COVID-19","Infectious disease: viral","Human Diseases"
"447","ko05164"," Influenza A","Infectious disease: viral","Human Diseases"
"448","ko05162"," Measles","Infectious disease: viral","Human Diseases"
"449","ko05168"," Herpes simplex virus 1 infection","Infectious disease: viral","Human Diseases"
"450","ko05163"," Human cytomegalovirus infection","Infectious disease: viral","Human Diseases"
"451","ko05167"," Kaposi sarcoma-associated herpesvirus infection","Infectious disease: viral","Human Diseases"
"452","ko05169"," Epstein-Barr virus infection","Infectious disease: viral","Human Diseases"
"453","ko05165"," Human papillomavirus infection","Infectious disease: viral","Human Diseases"
"454","ko05146"," Amoebiasis","Infectious disease: parasitic","Human Diseases"
"455","ko05144"," Malaria","Infectious disease: parasitic","Human Diseases"
"456","ko05145"," Toxoplasmosis","Infectious disease: parasitic","Human Diseases"
"457","ko05140"," Leishmaniasis","Infectious disease: parasitic","Human Diseases"
"458","ko05142"," Chagas disease","Infectious disease: parasitic","Human Diseases"
"459","ko05143"," African trypanosomiasis","Infectious disease: parasitic","Human Diseases"
"460","ko01501"," beta-Lactam resistance","Drug resistance: antimicrobial","Human Diseases"
"461","ko01502"," Vancomycin resistance","Drug resistance: antimicrobial","Human Diseases"
"462","ko01503"," Cationic antimicrobial peptide (CAMP) resistance","Drug resistance: antimicrobial","Human Diseases"
"463","ko01521"," EGFR tyrosine kinase inhibitor resistance","Drug resistance: antineoplastic","Human Diseases"
"464","ko01524"," Platinum drug resistance","Drug resistance: antineoplastic","Human Diseases"
"465","ko01523"," Antifolate resistance","Drug resistance: antineoplastic","Human Diseases"
"466","ko01522"," Endocrine resistance","Drug resistance: antineoplastic","Human Diseases"
"467","ko07011"," Penicillins","Chronology: Antiinfectives","Drug Development"
"468","ko07012"," Cephalosporins - parenteral agents","Chronology: Antiinfectives","Drug Development"
"469","ko07013"," Cephalosporins - oral agents","Chronology: Antiinfectives","Drug Development"
"470","ko07021"," Aminoglycosides","Chronology: Antiinfectives","Drug Development"
"471","ko07019"," Tetracyclines","Chronology: Antiinfectives","Drug Development"
"472","ko07020"," Macrolides and ketolides","Chronology: Antiinfectives","Drug Development"
"473","ko07014"," Quinolones","Chronology: Antiinfectives","Drug Development"
"474","ko07023"," Rifamycins","Chronology: Antiinfectives","Drug Development"
"475","ko07026"," Antifungal agents","Chronology: Antiinfectives","Drug Development"
"476","ko07044"," Antiviral agents","Chronology: Antiinfectives","Drug Development"
"477","ko07053"," Anti-HIV agents","Chronology: Antiinfectives","Drug Development"
"478","ko07040"," Antineoplastics - alkylating agents","Chronology: Antineoplastics","Drug Development"
"479","ko07041"," Antineoplastics - antimetabolic agents","Chronology: Antineoplastics","Drug Development"
"480","ko07042"," Antineoplastics - agents from natural products","Chronology: Antineoplastics","Drug Development"
"481","ko07043"," Antineoplastics - hormones","Chronology: Antineoplastics","Drug Development"
"482","ko07045"," Antineoplastics - protein kinase inhibitors","Chronology: Antineoplastics","Drug Development"
"483","ko07032"," Hypnotics","Chronology: Nervous system agents","Drug Development"
"484","ko07030"," Anxiolytics","Chronology: Nervous system agents","Drug Development"
"485","ko07033"," Anticonvulsants","Chronology: Nervous system agents","Drug Development"
"486","ko07015"," Local analgesics","Chronology: Nervous system agents","Drug Development"
"487","ko07039"," Opioid analgesics","Chronology: Nervous system agents","Drug Development"
"488","ko07028"," Antipsychotics","Chronology: Nervous system agents","Drug Development"
"489","ko07029"," Antipsychotics - phenothiazines","Chronology: Nervous system agents","Drug Development"
"490","ko07031"," Antipsychotics - butyrophenones","Chronology: Nervous system agents","Drug Development"
"491","ko07027"," Antidepressants","Chronology: Nervous system agents","Drug Development"
"492","ko07056"," Agents for Alzheimer-type dementia","Chronology: Nervous system agents","Drug Development"
"493","ko07057"," Antiparkinsonian agents","Chronology: Nervous system agents","Drug Development"
"494","ko07055"," Sulfonamide derivatives - overview","Chronology: Other drugs","Drug Development"
"495","ko07016"," Sulfonamide derivatives - sulfa drugs","Chronology: Other drugs","Drug Development"
"496","ko07017"," Sulfonamide derivatives - diuretics","Chronology: Other drugs","Drug Development"
"497","ko07018"," Sulfonamide derivatives - hypoglycemic agents","Chronology: Other drugs","Drug Development"
"498","ko07037"," Antiarrhythmic drugs","Chronology: Other drugs","Drug Development"
"499","ko07038"," Antiulcer drugs","Chronology: Other drugs","Drug Development"
"500","ko07046"," Immunosuppressive agents","Chronology: Other drugs","Drug Development"
"501","ko07047"," Osteoporosis drugs","Chronology: Other drugs","Drug Development"
"502","ko07048"," Antimigraines","Chronology: Other drugs","Drug Development"
"503","ko07049"," Antithrombosis agents","Chronology: Other drugs","Drug Development"
"504","ko07050"," Antirheumatics - DMARDs and biological agents","Chronology: Other drugs","Drug Development"
"505","ko07051"," Antidiabetics","Chronology: Other drugs","Drug Development"
"506","ko07052"," Antidyslipidemic agents","Chronology: Other drugs","Drug Development"
"507","ko07054"," Antiglaucoma agents","Chronology: Other drugs","Drug Development"
"508","ko07220"," Cholinergic and anticholinergic drugs","Target-based classification: G protein-coupled receptors","Drug Development"
"509","ko07215"," alpha-Adrenergic receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"510","ko07214"," beta-Adrenergic receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"511","ko07213"," Dopamine receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"512","ko07212"," Histamine H1 receptor antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"513","ko07227"," Histamine H2/H3 receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"514","ko07211"," Serotonin receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"515","ko07228"," Eicosanoid receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"516","ko07224"," Opioid receptor agonists/antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"517","ko07229"," Angiotensin receptor and endothelin receptor antagonists","Target-based classification: G protein-coupled receptors","Drug Development"
"518","ko07225"," Glucocorticoid and mineralocorticoid receptor agonists/antagonists","Target-based classification: Nuclear receptors","Drug Development"
"519","ko07226"," Progesterone, androgen and estrogen receptor agonists/antagonists","Target-based classification: Nuclear receptors","Drug Development"
"520","ko07223"," Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists","Target-based classification: Nuclear receptors","Drug Development"
"521","ko07222"," Peroxisome proliferator-activated receptor (PPAR) agonists","Target-based classification: Nuclear receptors","Drug Development"
"522","ko07221"," Nicotinic cholinergic receptor antagonists","Target-based classification: Ion channels","Drug Development"
"523","ko07230"," GABA-A receptor agonists/antagonists","Target-based classification: Ion channels","Drug Development"
"524","ko07036"," Calcium channel blocking drugs","Target-based classification: Ion channels","Drug Development"
"525","ko07231"," Sodium channel blocking drugs","Target-based classification: Ion channels","Drug Development"
"526","ko07232"," Potassium channel blocking and opening drugs","Target-based classification: Ion channels","Drug Development"
"527","ko07235"," N-Methyl-D-aspartic acid (NMDA) receptor antagonists","Target-based classification: Ion channels","Drug Development"
"528","ko07233"," Ion transporter inhibitors","Target-based classification: Transporters","Drug Development"
"529","ko07234"," Neurotransmitter transporter inhibitors","Target-based classification: Transporters","Drug Development"
"530","ko07216"," Catecholamine transferase inhibitors","Target-based classification: Enzymes","Drug Development"
"531","ko07219"," Cyclooxygenase inhibitors","Target-based classification: Enzymes","Drug Development"
"532","ko07024"," HMG-CoA reductase inhibitors","Target-based classification: Enzymes","Drug Development"
"533","ko07217"," Renin-angiotensin system inhibitors","Target-based classification: Enzymes","Drug Development"
"534","ko07218"," HIV protease inhibitors","Target-based classification: Enzymes","Drug Development"
"535","ko07025"," Quinolines","Structure-based classification","Drug Development"
"536","ko07034"," Eicosanoids","Structure-based classification","Drug Development"
"537","ko07035"," Prostaglandins","Structure-based classification","Drug Development"
"538","ko07110"," Benzoic acid family","Skeleton-based classification","Drug Development"
"539","ko07112"," 1,2-Diphenyl substitution family","Skeleton-based classification","Drug Development"
"540","ko07114"," Naphthalene family","Skeleton-based classification","Drug Development"
"541","ko07117"," Benzodiazepine family","Skeleton-based classification","Drug Development"
