gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ZNF620	195638	546	22	596563	147452	0	5	1	0	50	41	11359208	2.718826e-01	1
IL10RA	581910	576	49	786475	234302	0	3	0	0	50	28	9448508	2.719644e-01	1
TSSK6	868278	284	7	357050	118888	0	3	0	0	50	63	10385330	2.721451e-01	1
FAM195A	1115707	213	39	221178	67743	0	2	0	0	50	36	9199924	2.722070e-01	1
SOCS3	962609	209	27	298571	96307	0	1	0	0	50	52	12177142	2.724175e-01	1
SLC25A42	1293709	215	30	432127	138188	0	2	0	0	43	41	10013998	2.725895e-01	1
CCL26	1012112	255	51	136258	35705	0	1	0	0	50	31	9206872	2.727485e-01	1
C10orf113	NaN	NaN	NaN	236811	59058	0	1	0	0	50	99	21552310	2.728398e-01	1
CCDC41	181169	690	25	1015180	238355	0	4	0	0	50	92	24897386	2.728588e-01	1
C5orf28	497364	369	1	293939	85885	0	3	1	0	43	47	9483827	2.729388e-01	1
TOX3	62431	993	-53	832602	230442	0	5	1	0	50	44	10277636	2.730886e-01	1
TFAM	152882	326	-7	355506	87429	0	1	1	0	50	48	12693417	2.731297e-01	1
ABCB10	255826	277	20	985458	327135	0	5	0	0	13	11	3877563	2.732896e-01	1
QRSL1	227264	174	40	737646	204387	0	4	2	0	50	50	9130444	2.733378e-01	1
DPP3	1941577	194	51	1020777	302238	0	7	0	0	18	14	4720201	2.733674e-01	1
ZFYVE21	765678	266	43	332153	91096	0	3	0	0	50	45	11408809	2.738264e-01	1
PGPEP1	1294357	210	39	293939	81253	0	3	0	0	50	59	11963684	2.738718e-01	1
RNF5	2119974	392	28	255146	70831	0	2	0	0	50	52	12888733	2.738842e-01	1
LRRIQ3	58597	1188	-18	887028	213651	0	5	1	0	50	60	12687241	2.739003e-01	1
TKTL1	2436137	NaN	14	830286	234495	0	4	2	0	28	39	8078787	2.740233e-01	1
IER3IP1	148377	504	8	115414	34547	0	1	1	0	1	7	1023672	2.740698e-01	1
MED28	271066	989	32	248584	70445	0	2	0	0	50	37	10727133	2.743389e-01	1
OTOP3	1045089	223	25	791493	258813	0	6	0	0	48	42	10444388	2.743789e-01	1
RPS12	131337	443	18	195123	48636	0	2	0	0	50	56	11319643	2.744840e-01	1
LNX1	116784	492	26	1044516	299343	0	4	0	0	38	25	10127868	2.745149e-01	1
BARHL1	1522970	581	37	430776	143592	0	2	1	0	50	60	15256071	2.745203e-01	1
SYT5	1036976	266	-1	525539	165208	0	5	2	0	50	34	7991744	2.745628e-01	1
C8orf33	454161	440	8	316327	93605	0	1	0	0	50	54	13055485	2.746236e-01	1
IL27	1133167	269	63	326363	107887	0	1	0	0	50	47	11333732	2.746578e-01	1
ADAMTS15	686411	396	0	1266466	401633	0	7	1	0	27	15	5112956	2.748191e-01	1
DPEP3	863919	158	54	691133	224845	0	3	1	0	50	69	12385582	2.748299e-01	1
NCAM2	14306	1515	-61	1189266	305712	0	11	0	0	25	26	6813286	2.748922e-01	1
OR6F1	191710	995	-32	406651	130082	0	5	2	0	50	80	13703965	2.750168e-01	1
MPZL1	546300	319	16	374420	106150	0	2	0	0	50	50	11364033	2.750481e-01	1
C1orf86	849779	293	25	469955	100939	0	5	2	0	5	8	1422989	2.751485e-01	1
JMJD1C	226859	712	23	3543094	928523	0	14	0	0	1	0	1031778	2.753537e-01	1
FMN2	55160	851	-26	2280102	752121	0	16	5	0	50	63	11842673	2.753651e-01	1
WDR45	833689	NaN	41	512415	139539	0	3	0	0	50	56	11772421	2.755014e-01	1
MPDU1	1957426	194	24	338329	106343	0	1	0	0	50	48	11913697	2.755653e-01	1
GDNF	176444	628	4	289886	82411	0	2	0	0	50	39	10467741	2.755667e-01	1
STARD6	99256	451	41	315748	79130	0	1	0	0	50	61	14170253	2.755835e-01	1
DNAJC4	1608193	179	61	334276	98816	0	1	1	0	50	48	10953329	2.756842e-01	1
PLEKHB1	547370	311	38	340066	99974	0	1	0	0	50	34	9293915	2.758704e-01	1
SSBP3	695802	369	25	563367	151698	0	2	1	0	50	42	12469344	2.759750e-01	1
LYZL2	82218	425	28	277727	71410	0	2	1	0	14	7	2933407	2.761221e-01	1
SPTY2D1	637558	457	28	939524	263638	0	6	0	0	22	24	5444916	2.763271e-01	1
LAMP3	296133	596	24	561244	174665	0	2	0	0	50	51	15041455	2.763483e-01	1
CC2D2B	515809	798	33	581509	139925	0	3	1	0	38	10	5921626	2.764613e-01	1
ARHGAP12	359237	346	25	1211075	301852	0	5	2	0	50	31	12622586	2.765513e-01	1
LPAR4	16059	NaN	22	499677	147066	0	2	0	0	50	35	11036512	2.766800e-01	1
ABI2	415048	298	23	659674	187982	0	5	1	0	50	39	10975910	2.768244e-01	1
LONRF1	119955	694	3	1062079	308993	0	3	1	0	50	21	9963818	2.768500e-01	1
YWHAQ	700762	154	40	348172	90710	0	3	0	0	50	42	10681971	2.768610e-01	1
YES1	398625	360	44	767947	202457	0	7	0	0	41	38	10201015	2.769952e-01	1
C12orf45	514255	204	37	264410	67936	0	2	0	0	50	44	10134044	2.771760e-01	1
KLK15	655673	589	25	350488	106343	0	2	0	0	50	63	13360425	2.774674e-01	1
RARA	1350242	191	23	708696	207282	0	6	0	0	50	49	11465358	2.776978e-01	1
SLIT1	1008851	470	26	2150406	599265	0	10	4	0	41	40	10962786	2.777772e-01	1
RSPH1	411865	374	67	447181	109817	0	4	0	0	50	42	10227842	2.778465e-01	1
PSPC1	309425	481	34	728575	200141	0	3	0	0	50	28	10114551	2.778920e-01	1
TSTD2	506644	420	36	734172	184701	0	4	2	0	44	37	9458737	2.780725e-01	1
CRB2	346407	389	44	1695891	566841	0	3	0	0	9	0	2041940	2.781874e-01	1
SLC9A8	649593	165	52	819092	226582	0	4	3	0	50	42	8844804	2.781887e-01	1
FTSJ2	814176	430	38	336978	102483	0	2	1	0	50	24	9520111	2.782080e-01	1
NRP1	360090	488	-9	1306610	341803	0	5	1	0	50	50	14022994	2.784544e-01	1
PRPF4B	182705	353	18	1419322	365156	0	5	1	0	50	49	10380312	2.786010e-01	1
CTBP2	283236	508	20	1329963	437724	0	6	2	0	50	42	12324401	2.787041e-01	1
TTC7A	785914	242	38	1199302	336785	0	5	2	0	50	29	11105027	2.787053e-01	1
DCP2	274112	439	25	610845	143592	0	5	1	0	50	46	10922642	2.787255e-01	1
CYP3A43	1535089	438	36	724522	181034	0	5	2	0	32	32	7028867	2.787828e-01	1
WDR34	1891397	197	41	723943	229670	0	3	1	0	50	35	12009039	2.789641e-01	1
COQ9	749108	159	39	447567	127380	0	2	1	0	50	40	9960923	2.791841e-01	1
CD33	352763	629	1	503923	151505	0	3	2	0	50	53	12165562	2.792638e-01	1
OR52M1	190769	879	-1	413406	138381	0	1	0	0	50	26	10743538	2.793624e-01	1
PTPN22	326668	406	15	1167843	294132	0	9	2	0	50	40	11748489	2.795247e-01	1
NODAL	550900	338	42	470148	140118	0	3	0	0	50	32	10117639	2.797244e-01	1
SDCCAG8	182671	1011	0	1046832	243180	0	7	1	0	35	22	7769215	2.799348e-01	1
ARL5B	74299	539	-5	258813	65427	0	2	0	0	50	41	12166720	2.800077e-01	1
RNF185	699351	218	41	274639	74498	0	2	0	0	50	44	12604637	2.801532e-01	1
RPF2	343624	410	29	446602	109817	0	2	0	0	50	45	12661379	2.803771e-01	1
GRAP2	842645	411	34	466095	125064	0	4	0	0	50	37	11953262	2.804518e-01	1
KIF3B	920221	146	58	1034287	283517	0	6	1	0	50	62	11240513	2.805554e-01	1
UGCG	598588	172	14	560086	144557	0	2	0	0	50	34	10397103	2.806018e-01	1
HTR7	98852	510	-4	653691	189912	0	5	1	0	50	45	12327489	2.806491e-01	1
RGS5	194452	794	-8	262480	62918	0	2	1	0	8	2	1347333	2.807801e-01	1
NFS1	1423559	169	53	638830	186824	0	6	0	0	15	10	2950584	2.808255e-01	1
STEAP1	128669	1182	-10	475552	125450	0	4	0	0	50	45	14062559	2.811312e-01	1
ZNF461	627070	922	-29	807705	183543	0	5	1	0	50	44	9900128	2.812830e-01	1
C9orf24	478815	302	38	431934	101325	0	3	0	0	50	28	9415505	2.813145e-01	1
LMF1	1167662	304	17	777404	233530	0	3	1	0	50	44	12745141	2.813149e-01	1
NOP2	2764720	179	42	1114575	325398	0	7	2	0	50	58	14061015	2.813223e-01	1
ENOPH1	684394	387	46	365928	100746	0	1	0	0	50	45	11932804	2.814426e-01	1
KCNMB3	412428	641	14	478833	127380	0	2	1	0	50	47	12744948	2.814527e-01	1
C3orf17	279709	639	18	799599	206703	0	3	0	0	50	43	13111841	2.815373e-01	1
PTGFR	249935	671	-16	529592	143785	0	3	0	0	29	35	6905733	2.815801e-01	1
TRAPPC6A	1230654	243	41	242794	72182	0	3	1	0	25	36	6384247	2.816912e-01	1
PRRG2	2080142	210	41	279271	87236	0	3	0	0	50	59	11837076	2.818112e-01	1
STEAP2	132955	1140	6	690747	191070	0	3	1	0	50	30	10591840	2.819528e-01	1
OR5M10	NaN	NaN	NaN	421319	127573	0	4	0	0	50	99	21620825	2.821704e-01	1
ACPP	210154	765	13	606020	158260	0	7	2	0	10	15	2740793	2.822120e-01	1
NCR1	840563	573	-15	426337	118502	0	3	0	0	50	74	11664727	2.822205e-01	1
FGR	732210	217	24	742857	203229	0	5	0	0	50	54	14324074	2.823918e-01	1
NCOA4	406207	579	41	928330	232565	0	5	1	0	50	51	12450044	2.824488e-01	1
IGF2	837088	579	38	321152	99781	0	2	0	0	50	29	10478742	2.824493e-01	1
PUS3	611330	414	14	667394	176788	0	3	0	0	50	43	11017019	2.828520e-01	1
SLC2A3	122883	305	13	679553	204580	0	4	2	0	50	32	10038316	2.830539e-01	1
ATPAF1	612038	266	23	459726	130275	0	3	1	0	50	34	10186154	2.830886e-01	1
EGR1	1202314	205	51	716802	230442	0	4	1	0	50	32	11770877	2.832131e-01	1
KLF11	922437	234	42	686115	213072	0	4	1	0	50	59	13725774	2.837022e-01	1
COX5A	792240	199	45	209019	62532	0	2	0	0	50	50	11668201	2.839450e-01	1
ARMC4	125789	454	-4	1460624	398545	0	5	2	0	50	40	12365124	2.840630e-01	1
TCFL5	1044503	208	48	670482	212493	0	6	1	0	50	51	10943872	2.841239e-01	1
SYNJ1	355341	345	65	2266399	629180	0	11	3	0	50	42	11360173	2.841818e-01	1
RIPK2	251042	447	5	763508	199369	0	5	0	0	29	14	5693307	2.842934e-01	1
MTHFD1L	341712	438	21	1365668	397387	0	6	1	0	14	8	3534988	2.845118e-01	1
BUD31	1327454	288	60	211528	49601	0	2	0	0	50	39	9337147	2.846295e-01	1
ZNF280A	201933	683	23	744401	201106	0	6	1	0	50	96	25367920	2.846475e-01	1
EIF2B1	871640	315	40	429425	120625	0	2	0	0	50	39	11570736	2.846694e-01	1
LCMT2	823006	415	50	901889	291430	0	8	2	0	50	57	13330510	2.847226e-01	1
TRIM24	272427	552	10	1474134	393141	0	8	2	0	29	14	5808528	2.847236e-01	1
IL1RAPL1	11003	NaN	14	981019	253988	0	7	0	0	12	12	3251471	2.849168e-01	1
CHUK	1070291	198	25	1077519	265761	0	8	1	0	50	54	10648582	2.849221e-01	1
TSPYL1	260958	593	22	585755	175051	0	5	0	0	30	27	6749210	2.850374e-01	1
HINT2	847663	227	54	223494	72954	0	2	0	0	50	48	11197474	2.852664e-01	1
TNFRSF25	644634	203	44	599844	165015	0	3	0	0	50	52	11638479	2.853130e-01	1
RASD2	378214	227	-30	366893	101518	0	3	1	0	50	73	10895429	2.853410e-01	1
COL11A1	37620	742	-20	2598938	783580	0	17	2	0	3	2	1295416	2.854053e-01	1
IGSF21	55390	692	31	635163	198597	0	2	0	0	38	20	8888229	2.854445e-01	1
LHX3	799089	244	42	578035	181613	0	2	1	0	50	45	12555036	2.854849e-01	1
DCAF5	680338	289	33	1282099	374420	0	2	0	0	8	0	2116824	2.855486e-01	1
SLCO1B1	518292	799	-25	976580	257848	0	8	1	0	50	35	9214592	2.856265e-01	1
PYGM	2261775	230	61	1181546	326749	0	9	2	0	50	57	12548088	2.857295e-01	1
SENP3	1957426	194	24	790528	231986	0	4	0	0	13	7	2761444	2.861503e-01	1
SLC17A6	51732	865	-14	815425	222722	0	6	0	0	50	55	16101411	2.864040e-01	1
SERTAD1	1010633	202	34	307063	105764	0	1	0	0	50	42	9814629	2.864235e-01	1
C1QL1	1037808	191	34	340452	111747	0	4	1	0	50	46	9691495	2.864248e-01	1
DCAF8L1	10501	NaN	25	816197	227740	0	6	0	0	50	39	11065269	2.864565e-01	1
GUK1	702358	341	15	306291	91482	0	1	0	0	50	39	9346411	2.865159e-01	1
CYB561D2	843769	206	51	289307	104992	0	1	0	0	50	52	11099044	2.865620e-01	1
RPL9	648710	177	43	279271	71603	0	1	0	0	50	47	11990704	2.865879e-01	1
RP9	376764	459	15	320187	78165	0	2	1	0	28	13	4691251	2.866648e-01	1
GBP6	441714	820	-2	893783	230635	0	5	1	0	50	40	10757820	2.866714e-01	1
ARFGAP3	722786	187	60	743629	189140	0	4	0	0	50	38	10208156	2.868430e-01	1
KRTAP20-1	22916	1048	-79	77972	20458	0	1	0	0	50	42	8813924	2.869800e-01	1
GOLGA2	1813435	201	46	1419901	381368	0	9	3	0	50	44	11303817	2.872942e-01	1
IFI44	85210	732	-5	624355	167138	0	4	0	0	50	38	12903980	2.872969e-01	1
SRFBP1	70781	809	-4	608915	155365	0	3	0	0	50	31	10139448	2.872999e-01	1
ZNF565	950699	326	-10	702134	175630	0	5	0	0	50	39	9545973	2.875059e-01	1
FAM26F	261319	541	34	422477	132205	0	1	0	0	50	27	10645880	2.875235e-01	1
CDK14	127937	1027	7	644041	171191	0	5	0	0	50	42	12592864	2.876262e-01	1
HSPBP1	1035412	209	5	488290	153242	0	2	0	0	50	40	9324602	2.876302e-01	1
IPPK	587288	484	46	698081	184315	0	3	0	0	50	48	13276856	2.876547e-01	1
SH3D19	211734	335	23	1090643	315748	0	7	2	0	50	53	10862233	2.876661e-01	1
PSMG2	434233	206	35	373069	102290	0	1	1	0	50	38	11057163	2.877613e-01	1
EPS8L2	1788356	193	48	1010741	279271	0	4	3	0	42	33	7721544	2.878567e-01	1
CLEC5A	198115	856	-6	278499	63690	0	2	0	0	50	37	11388737	2.878841e-01	1
POLN	765279	332	34	1280555	337750	0	9	3	0	50	44	11605476	2.879483e-01	1
CHKB	1073094	203	43	557191	153821	0	2	1	0	50	42	12551369	2.879893e-01	1
ANKRD35	NaN	NaN	NaN	1351579	419003	0	7	4	0	50	103	21912255	2.882532e-01	1
LRRC6	188389	902	-4	680132	157681	0	4	1	0	50	28	8581166	2.883756e-01	1
NRIP3	595760	357	33	337557	96693	0	2	0	0	50	44	14262507	2.884630e-01	1
PLSCR2	122649	611	-16	324433	80288	0	2	0	0	50	46	15156483	2.884911e-01	1
MAOB	66825	NaN	22	734365	203036	0	2	0	0	50	32	10702429	2.885267e-01	1
SLC29A1	1107034	216	51	634391	188947	0	5	1	0	50	42	11007562	2.886679e-01	1
NOX4	30048	1071	-25	831637	213458	0	7	1	0	50	104	16709747	2.886799e-01	1
TMEM132E	222789	740	-3	1294837	436952	0	9	2	0	50	40	12042621	2.887047e-01	1
SORCS2	279342	555	36	1595531	479605	0	4	1	0	50	20	9851106	2.887768e-01	1
KCTD10	434920	420	38	438110	122362	0	4	0	0	50	52	11960982	2.888121e-01	1
CRYBB2	174680	535	-35	297027	73533	0	1	0	0	50	56	10780401	2.890455e-01	1
ACN9	146007	987	-9	174472	46706	0	2	1	0	12	11	2286471	2.890944e-01	1
SEPP1	343552	626	-12	573596	153628	0	1	0	0	50	18	8347057	2.892288e-01	1
CDC20	1088321	252	27	691905	200913	0	3	1	0	28	23	6613724	2.892353e-01	1
COASY	1884163	177	38	801915	253023	0	5	0	0	31	24	8256540	2.894234e-01	1
RHO	779764	210	59	479605	137030	0	2	0	0	50	43	10363521	2.895120e-01	1
CNTLN	31539	761	-22	2023605	495624	0	12	2	0	50	35	10453652	2.895240e-01	1
NTM	9703	1115	-5	537698	154207	0	4	3	0	6	6	1181739	2.899259e-01	1
SPDYE1	1042621	239	49	477096	122169	0	3	0	0	50	42	10510973	2.899286e-01	1
CLIC1	2513551	176	26	336013	95921	0	3	0	0	50	52	13964901	2.900778e-01	1
NRG3	5107	1174	-53	1052429	318064	0	6	0	0	24	23	6247410	2.902594e-01	1
ZNF557	748801	470	21	608336	154207	0	4	1	0	50	46	9935447	2.903389e-01	1
LRRC2	283343	528	42	533838	130854	0	5	0	0	50	42	10229193	2.904319e-01	1
RNMTL1	662733	483	10	569736	169647	0	2	0	0	50	32	9268053	2.905799e-01	1
AMPD1	600650	472	11	1112066	281587	0	5	1	0	50	39	11401089	2.906806e-01	1
RUFY2	740263	294	23	986037	236232	0	4	1	0	23	24	7809359	2.908522e-01	1
DZIP1	229772	438	45	1244657	307063	0	9	2	0	50	55	12513541	2.909934e-01	1
RBP2	232582	754	21	197053	45548	0	5	1	0	3	2	383105	2.910698e-01	1
CDH4	437973	867	-61	1258553	370174	0	7	2	0	50	43	9688600	2.911070e-01	1
GHITM	216194	860	-26	477675	141855	0	3	1	0	50	60	10429334	2.911947e-01	1
CBX1	1205950	255	20	267305	65041	0	2	0	0	50	54	14268104	2.913588e-01	1
SESN2	766835	170	29	660832	195509	0	4	0	0	50	46	12626060	2.913788e-01	1
FBXO18	649866	305	28	1540912	413213	0	7	3	0	13	11	3610258	2.914906e-01	1
SUPT5H	1410725	230	39	1542649	416687	0	8	3	0	50	62	15020032	2.916128e-01	1
AKIRIN2	235638	346	33	281973	81639	0	1	0	0	50	41	10500358	2.916918e-01	1
KCNJ6	253563	541	36	582281	161155	0	4	0	0	50	28	9314566	2.917153e-01	1
IL17A	313277	556	11	212107	64655	0	2	1	0	21	16	3999153	2.917437e-01	1
CER1	160131	882	-10	365928	103062	0	1	0	0	50	52	16359066	2.917771e-01	1
CD84	1164343	634	35	493501	124871	0	2	0	0	50	50	11866798	2.920000e-01	1
ZFP91	284768	644	2	794774	220213	0	6	2	0	50	36	9891057	2.920091e-01	1
ZCRB1	174511	545	18	322503	72375	0	1	0	0	50	43	10618088	2.920727e-01	1
ANKRD34B	321394	545	38	698081	198790	0	4	1	0	50	30	10926695	2.924451e-01	1
IL22RA2	124672	436	50	383105	89359	0	3	0	0	50	51	13580445	2.924634e-01	1
MYF6	27810	974	-1	330802	97079	0	4	0	0	50	56	11000035	2.925275e-01	1
PALLD	173564	359	-4	1848747	545997	0	7	2	0	50	33	13353477	2.926490e-01	1
ATP11A	585697	416	45	1723876	461270	0	9	4	0	50	58	14011028	2.927485e-01	1
DOK1	1019591	315	50	644234	203422	0	4	1	0	50	54	11838041	2.929355e-01	1
MYL12B	551966	328	55	249742	57707	0	2	0	0	50	40	10677918	2.930638e-01	1
TMX4	72842	609	-25	494273	129889	0	5	1	0	50	53	11794423	2.934435e-01	1
PAQR7	746382	372	24	460305	144750	0	3	1	0	50	43	15671214	2.939824e-01	1
MYO3A	63308	873	-6	2302683	582474	0	14	3	0	28	29	6791670	2.940626e-01	1
TMF1	263910	443	9	1540526	396808	0	8	1	0	6	3	1622744	2.940919e-01	1
PKDCC	210167	164	-5	652147	219827	0	4	1	0	50	34	11184350	2.941809e-01	1
NOX1	352830	NaN	29	798055	211142	0	4	0	0	7	3	2594499	2.944141e-01	1
TTC13	407409	595	14	1222462	325205	0	10	1	0	50	44	11949788	2.945237e-01	1
AOAH	247838	600	15	1009390	235460	0	6	2	0	50	43	10308902	2.945899e-01	1
FUT2	1616265	190	38	459533	140311	0	4	0	0	50	44	10576786	2.946543e-01	1
MYSM1	303727	517	-2	1200460	285833	0	6	1	0	50	46	12296030	2.947138e-01	1
TMEM169	603452	419	35	404721	115221	0	3	0	0	50	44	12038375	2.949106e-01	1
PABPC4	978867	358	29	927172	255725	0	7	3	0	50	40	10349432	2.949159e-01	1
IL7	52129	920	6	260357	60409	0	1	0	0	50	30	12808059	2.950476e-01	1
TMEM65	330177	445	14	329258	103255	0	3	1	0	50	38	9404118	2.950550e-01	1
OR4C15	1141	1100	-37	500835	142434	0	6	0	0	50	63	10681392	2.953305e-01	1
CHMP5	856503	167	38	321345	77007	0	1	0	0	50	48	11505502	2.954061e-01	1
CRISPLD1	137515	703	-22	724522	178139	0	4	0	0	16	10	3373833	2.954097e-01	1
RMND1	336608	468	30	640953	166173	0	5	0	0	50	34	10597823	2.954481e-01	1
MYOM3	817104	171	22	2014148	567034	0	12	4	0	42	25	7301576	2.956246e-01	1
C11orf74	96246	531	-26	324433	73919	0	2	0	0	50	72	12415883	2.956334e-01	1
GRINA	2580629	247	28	507011	153049	0	4	0	0	50	53	15304128	2.956793e-01	1
CCKBR	466636	728	4	580930	206510	0	4	1	0	50	37	12428235	2.956852e-01	1
ZNF572	550341	596	20	754437	170805	0	6	0	0	50	43	8944006	2.960536e-01	1
OR4K5	431654	854	-49	430197	131433	0	4	1	0	50	49	9816945	2.961241e-01	1
ZNF208	87537	1261	-66	1811112	420933	0	11	2	0	45	39	7860504	2.963044e-01	1
PPP1R16B	264783	548	32	787826	221371	0	4	1	0	50	41	11090166	2.963163e-01	1
SLC13A3	293732	642	28	824689	251672	0	5	2	0	50	45	12259746	2.966061e-01	1
NPM3	817474	335	37	253023	71217	0	2	0	0	50	39	10953908	2.966320e-01	1
HIST1H2BG	390169	544	57	170033	52303	0	2	2	0	14	10	1107820	2.966972e-01	1
COQ10A	2878071	171	46	356664	107694	0	2	1	0	50	66	13255240	2.968254e-01	1
HIST1H2BK	227588	622	29	171963	52110	0	3	1	0	14	15	1940036	2.971603e-01	1
ERGIC1	502164	179	47	418810	107501	0	2	0	0	50	39	10399419	2.971872e-01	1
POU3F3	165707	869	-17	650217	219441	0	3	0	0	50	50	12972302	2.973919e-01	1
CARD6	212186	526	19	1416620	392176	0	9	2	0	50	39	10498814	2.975704e-01	1
RLF	698659	303	25	2663786	679939	0	12	1	0	17	17	6163262	2.977838e-01	1
SCN4B	707709	293	56	315169	91868	0	1	0	0	50	37	8698896	2.981310e-01	1
ZCCHC5	263052	NaN	20	643655	183157	0	5	0	0	9	5	1970530	2.986263e-01	1
TMEM109	794900	522	47	315169	115607	0	2	0	0	50	35	11880115	2.986829e-01	1
AKR1B15	403585	319	21	496975	125450	0	3	1	0	50	29	12514892	2.987016e-01	1
CLEC4G	688482	384	31	414564	115800	0	3	1	0	50	46	12279046	2.987425e-01	1
DCTN4	1015949	211	43	668359	175823	0	3	1	0	50	49	12805743	2.988134e-01	1
ATP6V0E1	489007	309	40	119660	30880	0	1	0	0	50	30	9397170	2.988184e-01	1
BCMO1	302391	288	1	772386	202650	0	3	1	0	50	46	14695213	2.988448e-01	1
LAYN	418517	326	21	525153	140118	0	3	1	0	50	27	11405528	2.989679e-01	1
TGFBR1	201435	211	30	701941	193193	0	4	1	0	50	46	10743538	2.991133e-01	1
GPR158	43942	814	-21	1657098	479412	0	7	2	0	50	40	10872076	2.992047e-01	1
FBXO42	788646	186	42	979668	288342	0	12	3	0	20	25	4064773	2.993456e-01	1
OR8B2	149616	857	0	420933	123906	0	2	0	0	50	28	12486135	2.993573e-01	1
TC2N	368236	478	21	695765	182578	0	5	0	0	9	8	2572883	2.994151e-01	1
GPM6A	123418	931	-23	398352	105957	0	2	1	0	28	35	6598284	2.994274e-01	1
TBC1D8	333394	406	17	1600549	425372	0	8	2	0	50	42	12373809	2.996286e-01	1
RNF123	1551582	271	48	1837360	534803	0	10	2	0	35	38	8905985	3.001861e-01	1
PRDM5	19279	961	-16	920224	210563	0	7	0	0	50	64	11818934	3.003265e-01	1
CALCRL	61297	453	1	667587	162699	0	4	1	0	50	26	9501390	3.003628e-01	1
NAP1L4	550048	221	38	559121	128731	0	2	1	0	50	43	11177595	3.005509e-01	1
OR5AC2	200002	811	-15	414757	122555	0	4	0	0	50	58	11432741	3.006229e-01	1
EDA	135563	NaN	-2	591159	182385	0	4	0	0	50	36	13709562	3.007037e-01	1
DCTPP1	2338593	142	59	229284	73533	0	2	0	0	50	56	11932804	3.008309e-01	1
HNRNPUL1	1186597	214	24	1191196	329837	0	8	3	0	46	41	10912413	3.009656e-01	1
CD52	1021101	217	22	88008	23160	0	1	0	0	50	43	10059160	3.010502e-01	1
SYCE2	1886809	335	40	325784	81253	0	1	0	0	50	44	9861528	3.012081e-01	1
NEIL3	53396	746	-20	852095	221371	0	5	0	0	48	32	11919487	3.013239e-01	1
OVGP1	397926	461	18	929874	273867	0	4	1	0	50	35	11519591	3.013512e-01	1
GTF2I	908884	151	45	1445956	368051	0	10	3	0	50	59	13206990	3.014931e-01	1
DEDD	NaN	NaN	NaN	436180	127187	0	4	0	0	50	99	21620439	3.015183e-01	1
UTP20	261840	760	-5	3948008	1032550	0	14	0	0	4	1	2193638	3.017089e-01	1
IL33	355118	432	5	394106	91675	0	4	0	0	50	38	8977781	3.017449e-01	1
OR5H6	391500	849	-2	441005	125257	0	3	0	0	50	41	11219862	3.021441e-01	1
MRM1	468055	548	23	469762	154400	0	4	1	0	50	38	10194067	3.021832e-01	1
SS18L2	350455	445	42	113098	28178	0	1	0	0	50	42	12018496	3.022422e-01	1
GRPEL2	422727	380	28	308414	91096	0	2	0	0	50	33	10485690	3.022831e-01	1
CSH2	1446139	380	27	322889	91675	0	1	1	0	50	47	10162801	3.024544e-01	1
GPR132	857767	198	43	503537	160576	0	4	0	0	31	25	6363982	3.024678e-01	1
GLIPR1	513848	606	-10	375192	100167	0	3	0	0	50	39	9895496	3.025953e-01	1
ID2	215150	559	11	187403	51724	0	1	0	0	50	36	12467993	3.026244e-01	1
HOXC11	1257445	274	23	406651	125450	0	3	0	0	50	49	12147420	3.027117e-01	1
CDO1	384075	759	1	287763	70638	0	2	0	0	50	45	12594794	3.028376e-01	1
GMCL1	857542	180	44	743050	183350	0	4	0	0	14	6	2521738	3.030598e-01	1
SRGAP2	472089	300	6	1382652	374034	0	6	1	0	50	53	13631397	3.032463e-01	1
SULT2A1	881316	336	39	413599	94763	0	3	0	0	50	48	12200688	3.032467e-01	1
SCCPDH	439136	282	3	603125	169261	0	3	0	0	47	49	12364545	3.032533e-01	1
CD2AP	203824	554	16	911153	239899	0	9	1	0	50	43	11396650	3.033234e-01	1
STAU1	877789	147	49	812723	229477	0	5	1	0	50	62	12943931	3.033764e-01	1
RDH10	259225	340	19	470341	135293	0	4	0	0	50	46	12020426	3.035079e-01	1
OR3A2	506514	628	0	424793	136837	0	3	1	0	50	48	12443096	3.036595e-01	1
SHANK2	544815	678	36	2460557	744787	0	9	4	0	50	26	10508464	3.036872e-01	1
DHX30	843941	197	34	1626990	503730	0	8	3	0	27	23	5828021	3.037302e-01	1
WIF1	344729	671	-9	540979	139925	0	4	1	0	50	44	11004088	3.039012e-01	1
ZHX3	383198	262	7	1288854	375771	0	7	1	0	50	56	15838738	3.039144e-01	1
PSTK	274189	673	11	490027	129503	0	2	0	0	50	45	10214332	3.040755e-01	1
ZNF644	223798	843	-7	1843729	474587	0	9	1	0	50	34	11720890	3.040836e-01	1
DCAF17	514096	271	38	740155	196088	0	3	0	0	12	5	2564198	3.040943e-01	1
HOMER3	1390116	198	20	498712	150926	0	2	0	0	22	27	4945625	3.043564e-01	1
HIST1H1B	228884	634	40	299343	97272	0	3	3	0	13	13	1304101	3.049405e-01	1
A2ML1	300254	407	12	2045800	563174	0	9	2	0	35	24	9213820	3.049606e-01	1
LIMA1	1008076	144	57	1068448	276569	0	7	3	0	22	22	4281705	3.049609e-01	1
FEM1A	798897	203	23	877378	286412	0	3	1	0	50	35	10946960	3.049852e-01	1
GNA13	811904	401	12	521486	142048	0	7	0	0	16	19	3144163	3.052034e-01	1
