Agent names	Target genes
clodronic-acid	SLC25A4
clodronic-acid	SLC25A5
clodronic-acid	SLC25A6
clofarabine	POLA1
clofarabine	POLD1
clofarabine	POLE
clofarabine	RRM1
clofarabine	RRM2
clofarabine	RRM2B
clofedanol	HRH1
clofibrate	LPL
clofibrate	PPARA
clofibric-acid	PPARA
clofilium	KCNA5
clofilium	KCNH1
clomethiazole	GABRA1
clomifene	ESR1
clomipramine	GSTP1
clomipramine	HTR2A
clomipramine	HTR2B
clomipramine	HTR2C
clomipramine	SLC6A2
clomipramine	SLC6A3
clomipramine	SLC6A4
clonazepam	GABRA1
clonazepam	GABRA2
clonazepam	GABRA3
clonazepam	GABRA4
clonazepam	GABRA5
clonazepam	GABRA6
clonazepam	GABRB1
clonazepam	GABRB2
clonazepam	GABRB3
clonazepam	GABRD
clonazepam	GABRE
clonazepam	GABRG1
clonazepam	GABRG2
clonazepam	GABRG3
clonazepam	GABRP
clonazepam	GABRQ
clonazepam	TSPO
clonidine	ADRA1A
clonidine	ADRA1B
clonidine	ADRA1D
clonidine	ADRA2A
clonidine	ADRA2B
clonidine	ADRA2C
clopidogrel	P2RY12
cloprostenol-(+/-)	PTGDR
cloprostenol-(+/-)	PTGER1
cloprostenol-(+/-)	PTGER3
cloprostenol-(+/-)	PTGFR
cloprostenol-(+/-)	TBXA2R
cloranolol	ADRB1
cloranolol	ADRB2
cloranolol	ADRB3
clorgiline	MAOA
clorotepine	ADRA1A
clorotepine	ADRA1B
clorotepine	ADRA1D
clorotepine	DRD2
clorotepine	HRH1
clorotepine	HTR2C
clorotepine	HTR6
clorprenaline	ADRB1
clorprenaline	ADRB2
clotrimazole	CYP3A4
clotrimazole	KCNN4
clotrimazole	NR1I2
clotrimazole	NR1I3
clotrimazole	TRPM2
clotrimazole	TRPM4
clotrimazole	TRPM8
cloxyquin	KCNK18
clozapine	ADRA1A
clozapine	ADRA1B
clozapine	ADRA1D
clozapine	ADRA2A
clozapine	ADRA2B
clozapine	ADRA2C
clozapine	CALY
clozapine	CHRM1
clozapine	CHRM2
clozapine	CHRM3
clozapine	CHRM4
clozapine	CHRM5
clozapine	DRD1
clozapine	DRD2
clozapine	DRD3
clozapine	DRD4
clozapine	DRD5
clozapine	HRH1
clozapine	HRH4
clozapine	HTR1A
clozapine	HTR1B
clozapine	HTR1D
clozapine	HTR1E
clozapine	HTR1F
clozapine	HTR2A
clozapine	HTR2B
clozapine	HTR2C
clozapine	HTR3A
clozapine	HTR5A
clozapine	HTR6
clozapine	HTR7
CMPD-1	GNRHR
CMPD-1	MAPK14
CNQX	GRIA1
CNQX	GRIA2
CNQX	GRIA3
CNQX	GRIA4
CNX-2006	EGFR
CNX-774	BTK
CO-101244	GRIN2B
co-102862	SCN4A
co-102862	SCN9A
cobicistat	CYP3A4
cobicistat	CYP3A43
cobicistat	CYP3A5
cobicistat	CYP3A7
coenzyme-a	ACAT2
coenzyme-a	CRAT
coenzyme-a	CS
coenzyme-a	DBI
coenzyme-a	HMGCR
coenzyme-a	KAT2A
coenzyme-a	KAT2B
coenzyme-a	KAT5
coenzyme-i	AASS
coenzyme-i	ACADS
coenzyme-i	ADH1A
coenzyme-i	ADH1B
coenzyme-i	ADH1C
coenzyme-i	ADH4
coenzyme-i	ADH5
coenzyme-i	ADH7
coenzyme-i	AKR1B1
coenzyme-i	AKR1C1
coenzyme-i	AKR1C2
coenzyme-i	AKR1C3
coenzyme-i	AKR1C4
coenzyme-i	ALDH1A1
coenzyme-i	ALDH1A2
coenzyme-i	ALDH1A3
coenzyme-i	ALDH1B1
coenzyme-i	ALDH2
coenzyme-i	ALDH3A1
coenzyme-i	ALDH3A2
coenzyme-i	ALDH3B1
coenzyme-i	ALDH3B2
coenzyme-i	ALDH4A1
coenzyme-i	ALDH5A1
coenzyme-i	ALDH6A1
coenzyme-i	ALDH7A1
coenzyme-i	ALDH9A1
coenzyme-i	AMT
coenzyme-i	BDH1
coenzyme-i	BLVRA
coenzyme-i	BLVRB
coenzyme-i	CDO1
coenzyme-i	CYB5R3
coenzyme-i	CYP17A1
coenzyme-i	CYP4A11
coenzyme-i	DHCR7
coenzyme-i	DHFR
coenzyme-i	DLAT
coenzyme-i	DLD
coenzyme-i	EHHADH
coenzyme-i	GAPDH
coenzyme-i	GAPDHS
coenzyme-i	GLUD1
coenzyme-i	GLUD2
coenzyme-i	GPD1
coenzyme-i	GSR
coenzyme-i	H6PD
coenzyme-i	HADH
coenzyme-i	HADHA
coenzyme-i	HIBADH
coenzyme-i	HMGCR
coenzyme-i	HMOX1
coenzyme-i	HMOX2
coenzyme-i	HPGD
coenzyme-i	HSD11B1
coenzyme-i	HSD11B2
coenzyme-i	HSD17B1
coenzyme-i	HSD17B10
coenzyme-i	HSD17B2
coenzyme-i	HSD17B3
coenzyme-i	HSD17B4
coenzyme-i	HSD17B7
coenzyme-i	HSD17B8
coenzyme-i	HSD3B1
coenzyme-i	HSD3B2
coenzyme-i	IDH3A
coenzyme-i	IDH3B
coenzyme-i	IDH3G
coenzyme-i	IMPDH1
coenzyme-i	IMPDH2
coenzyme-i	LDHA
coenzyme-i	LDHAL6A
coenzyme-i	LDHAL6B
coenzyme-i	LDHB
coenzyme-i	LDHC
coenzyme-i	MDH1
coenzyme-i	MDH2
coenzyme-i	ME1
coenzyme-i	ME2
coenzyme-i	ME3
coenzyme-i	MSMO1
coenzyme-i	MTHFD1
coenzyme-i	MTHFD2
coenzyme-i	MT-ND1
coenzyme-i	MT-ND2
coenzyme-i	MT-ND3
coenzyme-i	MT-ND4
coenzyme-i	MT-ND4L
coenzyme-i	MT-ND5
coenzyme-i	MT-ND6
coenzyme-i	NDUFA1
coenzyme-i	NDUFA10
coenzyme-i	NDUFA11
coenzyme-i	NDUFA12
coenzyme-i	NDUFA13
coenzyme-i	NDUFA2
coenzyme-i	NDUFA3
coenzyme-i	NDUFA4
coenzyme-i	NDUFA4L2
coenzyme-i	NDUFA5
coenzyme-i	NDUFA6
coenzyme-i	NDUFA7
coenzyme-i	NDUFA8
coenzyme-i	NDUFA9
coenzyme-i	NDUFAB1
coenzyme-i	NDUFB1
coenzyme-i	NDUFB10
coenzyme-i	NDUFB2
coenzyme-i	NDUFB3
coenzyme-i	NDUFB4
coenzyme-i	NDUFB5
coenzyme-i	NDUFB6
coenzyme-i	NDUFB7
coenzyme-i	NDUFB8
coenzyme-i	NDUFB9
coenzyme-i	NDUFC1
coenzyme-i	NDUFC2
coenzyme-i	NDUFS1
coenzyme-i	NDUFS2
coenzyme-i	NDUFS3
coenzyme-i	NDUFS4
coenzyme-i	NDUFS5
coenzyme-i	NDUFS6
coenzyme-i	NDUFS7
coenzyme-i	NDUFS8
coenzyme-i	NDUFV1
coenzyme-i	NDUFV2
coenzyme-i	NDUFV3
coenzyme-i	NNT
coenzyme-i	NQO2
coenzyme-i	NSDHL
coenzyme-i	OGDH
coenzyme-i	PDHA1
coenzyme-i	PDHA2
coenzyme-i	PDHB
coenzyme-i	PHGDH
coenzyme-i	PYCR1
coenzyme-i	PYCR2
coenzyme-i	QDPR
coenzyme-i	RDH5
coenzyme-i	SORD
coenzyme-i	TSTA3
coenzyme-i	TYR
coenzyme-i	UGDH
colchicine	GLRA1
colchicine	GLRA2
colchicine	TUBA1A
colchicine	TUBA1B
colchicine	TUBA1C
colchicine	TUBA3C
colchicine	TUBA3D
colchicine	TUBA3E
colchicine	TUBA4A
colchicine	TUBB
colchicine	TUBB1
colchicine	TUBB2A
colchicine	TUBB2B
colchicine	TUBB3
colchicine	TUBB4A
colchicine	TUBB4B
colchicine	TUBB6
colchicine	TUBB8
colforsin	ADCY2
colforsin	ADCY5
compound-401	MTOR
compound-401	PRKDC
compound-w	BACE1
conivaptan	AVPR1A
conivaptan	AVPR2
copanlisib	PIK3CA
copanlisib	PIK3CB
copanlisib	PIK3CD
copanlisib	PIK3CG
copper-histidine	HAL
copper-histidine	HARS
copper-histidine	HDC
copper-histidine	SLC15A3
copper-histidine	SLC15A4
copper-histidine	SLC38A3
copper-histidine	SLC38A5
COR-170	CNR2
corosolic-acid	HSD11B1
corosolic-acid	PTPN1
corticosterone	HSD11B1
corticosterone	NCOA1
corticosterone	NR3C2
cortisone	NR3C1
cortisone-acetate	NR3C1
cortodoxone	AR
cot-inhibitor-1	MAP3K8
cot-inhibitor-2	MAP3K8
coumarin	CA1
coumarin	CA12
coumarin	CA14
coumarin	CA2
coumarin	CA4
coumarin	CA6
coumarin	CA9
coumarin	CYP2A6
CP-316819	PYGL
CP-339818	KCNA3
CP-376395	CRHR1
CP-471474	MMP1
CP-471474	MMP13
CP-471474	MMP2
CP-471474	MMP3
CP-471474	MMP9
CP-532623	CETP
CP-640186	ACACA
CP-640186	ACACB
CP-673451	KIT
CP-673451	PDGFRA
CP-673451	PDGFRB
CP-724714	ERBB2
CP-775146	PPARA
CP-91149	PYGL
CP-93129	HTR1A
CP-94253	HTR1B
"CP-945,598"	CNR1
CP-99994	TACR1
CPA-inhibitor	CPA1
CPA-inhibitor	CPA2
CPCCOEt	GRM1
CPI-0610	BRD4
CPI-1189	TNF
CPI-169	EZH2
CPI-203	BRD4
CPI-360	EZH2
CPI-613	PDHA1
CPP	GRIN1
CPP	GRIN2A
CPP	GRIN2B
CPP	GRIN2C
CPP	GRIN2D
CPSI-1306-(+/-)	MIF
CR8-(R)	CCNA2
creatine	CKB
creatine	CKM
creatine	CKMT1A
creatine	CKMT2
creatine	GAMT
creatine	SLC6A8
crenolanib	CSF1R
crenolanib	FLT3
crenolanib	KIT
crenolanib	PDGFRA
crenolanib	PDGFRB
cridanimod	PGR
crisaborole	PDE4B
crizotinib	ALK
crizotinib	MET
crizotinib-(S)	NUDT1
cromakalim	KCNJ8
cromoglicic-acid	KCNMA1
cromoglicic-acid	S100P
cryptotanshinone	STAT3
CS-110266	SLC6A3
CS-917	FBP1
CT-7758	ITGA4
CTEP	GRM5
CTS-1027	MMP1
CTS-1027	MMP13
CTS-1027	MMP2
CTS-1027	MMP3
CTS-1027	MMP9
CTS21166	BACE1
CU-CPT-4a	TLR3
CUDC-101	EGFR
CUDC-101	ERBB2
CUDC-427	XIAP
CUDC-907	HDAC2
CUDC-907	PIK3R1
CUR-61414	DHH
CUR-61414	IHH
CUR-61414	SMO
curcumin	APP
curcumin	CA1
curcumin	CA12
curcumin	CA14
curcumin	CA2
curcumin	CA4
curcumin	CA6
curcumin	CA9
curcumin	CYP3A4
curcumin	DNMT3B
curcumin	EP300
curcumin	MMP13
curcumin	MMP9
curcumin	NOS2
curcumin	PTGS1
curcumin	PTGS2
curcumin	XDH
curcumol	JAK1
curcumol	JAK2
curcumol	JAK3
CU-T12-9	TLR1
CU-T12-9	TLR2
cutamesine	SIGMAR1
CV-1808	ADORA2A
CVT-10216	ALDH2
CW-008	PRKACA
CX-4945	CSNK2A1
CX-4945	CSNK2A2
CX-4945	DAPK3
CX-4945	HIPK3
CY208-243	CALY
cyamemazine	HTR1A
cyamemazine	HTR2A
cyamemazine	HTR2C
cyamemazine	HTR7
cyanocobalamin	MMAA
cyanocobalamin	MMACHC
cyanocobalamin	MTHFR
cyanocobalamin	MTR
cyanocobalamin	MTRR
cyanocobalamin	MUT
cyanopindolol	ADRB1
cyanopindolol	HTR1A
cyanopindolol	HTR1D
CYC116	AURKA
CYC116	AURKB
CYC116	KDR
cyclandelate	CACNA2D1
cyclandelate	CES1
cyclic-AMP	CNGA3
cyclic-AMP	HCN2
cyclic-AMP	PRKAR1A
cyclic-AMP	PRKAR2B
cyclic-AMP	TRPM7
cyclizine	HRH1
cyclizine	SULT1E1
cyclobenzaprine	HTR2A
cycloheximide	RPL3
cyclopentolate	CHRM1
cyclophosphamide	CYP2A6
cyclophosphamide	CYP2B6
cyclophosphamide	CYP2C18
cyclophosphamide	CYP2C19
cyclophosphamide	CYP2C8
cyclophosphamide	CYP2C9
cyclophosphamide	CYP2D6
cyclophosphamide	CYP3A4
cyclophosphamide	CYP3A5
cyclophosphamide	CYP3A7
cyclopiazonic-acid	ATP2A1
cycloserine-(d)	GRIN1
cyclosporin-a	PPP3CA
cyclosporine	ABCB11
cyclosporine	CAMLG
cyclosporine	FPR1
cyclosporine	PPIA
cyclosporine	PPIF
cyclosporine	PPP3R2
cyclosporine	SLC10A1
cyclosporine	SLCO1B1
cyclosporine	SLCO1B3
cyclothiazide	CA1
cyclothiazide	CA2
cyclothiazide	CA4
cyclothiazide	FXYD2
cyclothiazide	GRIA1
cyclothiazide	GRIA2
cyclothiazide	GRIA3
cyclothiazide	GRIA4
cyclothiazide	SLC12A3
cyclovalone	ABCG2
CYM-50260	S1PR4
CYM-50358	S1PR4
CYM-50769	NPBWR1
CYM-5442	S1PR1
CYM-5520	S1PR2
CYM-5541	S1PR3
cyproheptadine	ADRA1A
cyproheptadine	ADRA1B
cyproheptadine	ADRA1D
cyproheptadine	CHRM1
cyproheptadine	CHRM2
cyproheptadine	CHRM3
cyproheptadine	HRH1
cyproheptadine	HTR2A
cyproheptadine	HTR2C
cyproheptadine	HTR6
cyproheptadine	HTR7
cyproterone	AR
cyproterone-acetate	ADORA1
cyproterone-acetate	AR
cysteamine	NPY2R
cysteamine	SST
cyt387	JAK1
cyt387	JAK2
cyt387	JAK3
CYT-997	TUBB
cytarabine	POLA1
cytarabine	POLB
cytarabine	POLD1
cytarabine	POLE
cytisine	CHRNA2
cytisine	CHRNA3
cytisine	CHRNA4
cytisine	CHRNA6
cytisine	CHRNA7
cytisine	CHRNB2
cytisine	CHRNB4
cytochalasin-b	ACTB
CZC24832	PIK3CG
CZC-54252	LRRK2
D-(+)-maltose	AMY2B
D-(+)-maltose	MGAM
D-4476	CSNK1A1
D-4476	CSNK1D
D-4476	TGFB1
D-64131	TUBB
DAA-1106	TSPO
dabigatran	F2
dabigatran-etexilate	F2
dabrafenib	BRAF
dabrafenib	LIMK1
dabrafenib	NEK11
dabrafenib	RAF1
dabrafenib	SIK1
dacarbazine	PGD
dacarbazine	POLA2
dacinostat	HDAC1
dacinostat	HDAC2
dacinostat	HDAC3
dacinostat	HDAC4
dacinostat	HDAC5
dacinostat	HDAC6
dacinostat	HDAC7
dacinostat	HDAC8
dacinostat	HDAC9
dacomitinib	EGFR
dacomitinib	ERBB2
dacomitinib	ERBB4
dactinomycin	POLR2A
daidzein	ESRRA
daidzein	ESRRB
daidzein	ESRRG
daidzein	TRPC5
dalargin	OPRM1
dalbavancin	PNLIP
dalcetrapib	CETP
dalfampridine	KCNA1
dalfampridine	KCNA10
dalfampridine	KCNA2
dalfampridine	KCNA3
dalfampridine	KCNA4
dalfampridine	KCNA5
dalfampridine	KCNA6
dalfampridine	KCNA7
dalfampridine	KCNB1
dalfampridine	KCNB2
dalfampridine	KCNC1
dalfampridine	KCNC2
dalfampridine	KCNC3
dalfampridine	KCNC4
dalfampridine	KCND1
dalfampridine	KCND2
dalfampridine	KCND3
dalfampridine	KCNF1
dalfampridine	KCNG1
dalfampridine	KCNG2
dalfampridine	KCNG3
dalfampridine	KCNG4
dalfampridine	KCNH1
dalfampridine	KCNH2
dalfampridine	KCNH3
dalfampridine	KCNH4
dalfampridine	KCNH5
dalfampridine	KCNH6
dalfampridine	KCNH7
dalfampridine	KCNH8
dalfampridine	KCNJ13
dalfampridine	KCNJ5
dalfampridine	KCNQ1
dalfampridine	KCNQ2
dalfampridine	KCNQ3
dalfampridine	KCNQ4
dalfampridine	KCNQ5
dalfampridine	KCNS1
dalfampridine	KCNS2
dalfampridine	KCNS3
dalfampridine	KCNV1
dalfampridine	KCNV2
daltroban	TBXA2R
daminozide	KDM2A
daminozide	KDM7A
daminozide	PHF8
danazol	AR
danazol	CCL2
danazol	ESR1
danazol	GNRHR
danazol	GNRHR2
danazol	PGR
danirixin	CXCR2
dantrolene	RYR1
dantrolene	RYR3
danusertib	AURKA
danusertib	AURKB
danusertib	AURKC
danusertib	FGFR1
danusertib	NTRK1
danusertib	RET
danusertib	SLK
dapagliflozin	SLC5A1
dapagliflozin	SLC5A2
dapiprazole	ADRA1A
dapiprazole	ADRA1B
dapiprazole	ADRA1D
dapivirine	CYP3A4
dapivirine	CYP3A5
dapoxetine	HTR1A
dapoxetine	HTR1B
dapoxetine	HTR2C
dapoxetine	SLC6A4
daprodustat	EGLN1
dapsone	DHFR
darapladib	PLA2G7
darglitazone	PPARG
darifenacin	CHRM1
darifenacin	CHRM2
darifenacin	CHRM3
darifenacin	CHRM4
darifenacin	CHRM5
darunavir	CYP3A4
darusentan	EDNRA
dasatinib	ABL1
dasatinib	ABL2
dasatinib	BLK
dasatinib	EPHA2
dasatinib	FGR
dasatinib	FRK
dasatinib	FYN
dasatinib	HCK
dasatinib	KIT
dasatinib	LCK
dasatinib	LYN
dasatinib	PDGFRB
dasatinib	SRC
dasatinib	SRMS
dasatinib	STAT5B
dasatinib	YES1
DAU-5884	CHRM3
daunorubicin	TOP2A
daunorubicin	TOP2B
dazmegrel	TBXAS1
dazoxiben	TBXAS1
DBeQ	CASP3
DBPR108	DPP4
DC-260126	FFAR1
DCC-2618	KIT
DCC-2618	PDGFRA
DCEBIO	KCNN2
DCEBIO	KCNN3
DCEBIO	KCNN4
DCPIB	SLC1A2
DDR1-IN-1	DDR1
DDR1-IN-1	DDR2
debrisoquin	SLC6A2
decamethonium	ACHE
decamethonium	CHRNA2
decernotinib	JAK3
decitabine	DNMT1
decitabine	DNMT3A
defactinib	PTK2
deferasirox	CYP3A4
deferiprone	UGT1A6
deflazacort	NR3C1
deforolimus	MTOR
degarelix	GNRHR
dehydrocorydaline	ACHE
dehydroepiandrosterone	ESR1
dehydroepiandrosterone	ESR2
dehydroepiandrosterone	G6PD
dehydroepiandrosterone	GABRA1
dehydroepiandrosterone	GABRA2
dehydroepiandrosterone	GABRA3
dehydroepiandrosterone	GABRA4
dehydroepiandrosterone	GABRA5
dehydroepiandrosterone	GABRA6
dehydroepiandrosterone	GABRB1
dehydroepiandrosterone	GABRB2
dehydroepiandrosterone	GABRB3
dehydroepiandrosterone	GABRD
dehydroepiandrosterone	GABRE
dehydroepiandrosterone	GABRG1
dehydroepiandrosterone	GABRG2
dehydroepiandrosterone	GABRG3
dehydroepiandrosterone	GABRP
dehydroepiandrosterone	GABRQ
dehydroepiandrosterone	GRIN1
dehydroepiandrosterone	GRIN2A
dehydroepiandrosterone	GRIN2B
dehydroepiandrosterone	GRIN2C
dehydroepiandrosterone	GRIN2D
dehydroepiandrosterone	GRIN3A
dehydroepiandrosterone	GRIN3B
dehydroepiandrosterone	HSD17B1
dehydroepiandrosterone	NR1I2
dehydroepiandrosterone	NR1I3
dehydroepiandrosterone	PPARA
dehydroepiandrosterone	SIGMAR1
dehydroepiandrosterone	SULT2A1
dehydroepiandrosterone	SULT2B1
dehydroepiandrosterone-sulfate	AR
dehydroepiandrosterone-sulfate	ESR1
dehydroepiandrosterone-sulfate	ESR2
delanzomib	CMA1
delanzomib	CTSG
delanzomib	CYP3A4
delanzomib	ELANE
delapril	ACE
delavirdine	CYP3A4
delivert	AGTR1
delivert	AGTR2
delphinidin	GLO1
deltarasin	KRAS
delta-Tocotrienol	HMGCR
demecarium	ACHE
demecarium	BCHE
deoxycholic-acid	EFTUD1
deoxycholic-acid	FPR1
deoxycholic-acid	GPBAR1
deoxycorticosterone-acetate	NR3C2
deoxyepinephrine	ADRA1A
deoxyepinephrine	DRD1
deoxyepinephrine	DRD2
deptropine	HRH1
dequalinium	KCNN1
dequalinium	KCNN3
deracoxib	PTGS2
deserpidine	ACE
deserpidine	SLC18A2
desipramine	ADRA1A
desipramine	ADRA1B
desipramine	ADRA1D
desipramine	ADRA2A
desipramine	ADRA2B
desipramine	ADRA2C
desipramine	ADRB1
desipramine	ADRB2
desipramine	CHRM1
desipramine	CHRM2
desipramine	CHRM3
desipramine	CHRM4
desipramine	CHRM5
desipramine	DRD2
desipramine	HRH1
desipramine	HTR1A
desipramine	HTR2A
desipramine	HTR2C
desipramine	SLC6A2
desipramine	SLC6A4
desipramine	SMPD1
deslanoside	ATP1A1
deslanoside	ATP1A2
deslanoside	ATP1A3
deslanoside	ATP1A4
deslanoside	ATP1B1
deslanoside	ATP1B2
deslanoside	ATP1B3
deslanoside	FXYD2
desloratadine	HRH1
desmethylclozapine	HTR2C
desmopressin-acetate	AVPR1A
desmopressin-acetate	AVPR1B
desmopressin-acetate	AVPR2
desmopressin-acetate	OXTR
desogestrel	ESR1
desogestrel	PGR
desonide	NR3C1
desonide	PLA2G1B
desoximetasone	NR3C1
desoximetasone	PLA2G1B
desoxycorticosterone-pivalate	NR3C2
desoxycortone	NR3C1
desoxycortone	NR3C2
desoxypeganine	ACHE
desvenlafaxine	SLC6A2
desvenlafaxine	SLC6A3
desvenlafaxine	SLC6A4
detomidine	ADRA2A
dexamethasone	ANXA1
dexamethasone	NOS2
dexamethasone	NR0B1
dexamethasone	NR3C1
dexamethasone	NR3C2
dexamethasone-sodium-phosphate	NR3C1
dexfenfluramine	HTR2C
dexfenfluramine	SLC6A4
dexfosfoserine	CFTR
dexfosfoserine	GRM4
dexfosfoserine	GRM6
dexfosfoserine	GRM7
dexfosfoserine	GRM8
dexfosfoserine	KCNC4
dexfosfoserine	PDPK1
dexfosfoserine	PIM1
dexfosfoserine	PRKACA
dexfosfoserine	PRKCQ
dexfosfoserine	PYGL
dexfosfoserine	PYGM
dexfosfoserine	REG1A
dexfosfoserine	RHO
dexfosfoserine	SERPINB3
dexfosfoserine	SMAD2
dexfosfoserine	TAOK2
dexlansoprazole	ATP4A
dexlansoprazole	ATP4B
dexloxiglumide	CCKAR
dexmedetomidine	ADRA2A
dexmedetomidine	ADRA2B
dexmedetomidine	ADRA2C
dexniguldipine	ADORA3
dexrazoxane	TOP2A
dexrazoxane	TOP2B
dextroamphetamine	ADRA1A
dextroamphetamine	ADRA1B
dextroamphetamine	SLC18A2
dextroamphetamine	SLC6A2
dextroamphetamine	SLC6A3
dextroamphetamine	TAAR1
dextromethorphan	CHRNA2
dextromethorphan	CHRNA3
dextromethorphan	CHRNA4
dextromethorphan	CHRNA7
dextromethorphan	CHRNB2
dextromethorphan	CHRNB4
dextromethorphan	CYBA
dextromethorphan	CYBB
dextromethorphan	GRIN3A
dextromethorphan	NCF1
dextromethorphan	NCF2
dextromethorphan	NCF4
dextromethorphan	OPRD1
dextromethorphan	OPRK1
dextromethorphan	OPRM1
dextromethorphan	PGRMC1
dextromethorphan	RAC1
dextromethorphan	RAC2
dextromethorphan	SIGMAR1
dextromethorphan	SLC6A2
dextromethorphan	SLC6A4
DFB	GRM5
DG-172	PPARD
DH-97	MTNR1B
diacerein	IL1B
diadenosine-tetraphosphate	P2RY13
diadenosine-tetraphosphate	P2RY2
diarylpropionitrile	ESR2
diazepam	ADRA1A
diazepam	GABRA1
diazepam	GABRA2
diazepam	GABRA3
diazepam	GABRA4
diazepam	GABRA5
diazepam	GABRA6
diazepam	GABRB1
diazepam	GABRB2
diazepam	GABRB3
diazepam	GABRD
diazepam	GABRE
diazepam	GABRG1
diazepam	GABRG2
diazepam	GABRG3
diazepam	GABRP
diazepam	GABRQ
diazepam	GABRR1
diazepam	GABRR2
diazepam	GABRR3
diazepam	TSPO
diazoxide	ATP1A1
diazoxide	CA1
diazoxide	CA2
diazoxide	KCNJ11
diazoxide	KCNJ8
diazoxide	KCNMA1
diazoxide	SLC12A3
dibutyl-phthalate	TRPA1
dichloroacetate	PDK1
diclofenac	AKR1C3
diclofenac	ALOX5
diclofenac	ASIC1
diclofenac	ASIC3
diclofenac	KCNQ2
diclofenac	KCNQ3
diclofenac	PLA2G2A
diclofenac	PPARG
diclofenac	PTGS1
diclofenac	PTGS2
diclofenac	SCN4A
diclofenamide	CA1
diclofenamide	CA12
diclofenamide	CA2
diclofenamide	CA4
diclofenamide	CA7
diclofensine	DRD1
diclofensine	MAOA
diclofensine	MAOB
dicoumarol	CRYZ
dicoumarol	NQO1
dicoumarol	VKORC1
dicycloverine	CHRM1
dicycloverine	CHRM2
dicycloverine	CHRM3
didanosine	PNP
didox	RRM1
dienestrol	ESR1
dienogest	PGR
diethylcarbamazine	ALOX5
diethylcarbamazine	PTGS1
diethylstilbestrol	ESR1
diethylstilbestrol	ESR2
diethylstilbestrol	ESRRB
diethylstilbestrol	ESRRG
diflorasone-diacetate	NR3C1
diflunisal	PTGS1
diflunisal	PTGS2
difluprednate	NR3C1
digitoxigenin	ATP1A1
digitoxin	ATP1A1
digoxin	ATP1A1
dihomo-gamma-linolenic-acid	PTGS1
dihomo-gamma-linolenic-acid	PTGS2
dihydrexidine	DRD1
dihydrexidine	DRD2
dihydrexidine	DRD3
dihydrexidine	DRD4
dihydrexidine	DRD5
dihydroergocristine	ADRA1A
dihydroergocristine	ADRB1
dihydroergocristine	DRD1
dihydroergocristine	DRD2
dihydroergocristine	DRD3
dihydroergocristine	DRD4
dihydroergocristine	DRD5
dihydroergocristine	HTR1A
dihydroergocristine	HTR2A
dihydroergocristine	HTR3A
dihydroergocristine	HTR4
dihydroergocristine	HTR5A
dihydroergocristine	HTR6
dihydroergocristine	HTR7
dihydroergotamine	ADRA2A
dihydroergotamine	DRD2
dihydroergotamine	HTR1B
dihydroergotamine	HTR1D
dihydroergotamine	HTR1E
dihydroergotamine	HTR1F
dihydroergotamine	HTR2B
dihydroergotamine	HTR7
dihydrotachysterol	VDR
dihydrotestosterone	AR
dihydrotestosterone	HSD17B1
dihydroxyphenylglycine	GRM1
dihydroxyphenylglycine	GRM5
dilazep	SLC29A1
diltiazem	CACNA1C
diltiazem	CACNA1S
diltiazem	CACNA2D1
diltiazem	CACNG1
diltiazem	HTR3A
diltiazem	KCNA5
dimaprit	HRH2
dimaprit	HRH3
dimaprit	HRH4
dimemorfan	SIGMAR1
dimenhydrinate	HRH1
dimercaptosuccinic-acid	DNMT1
dimethindene-(S)-(+)	HRH1
dimethyl-fumarate	KEAP1
dimetindene	CHRM2
dimetindene	HRH1
diminazene-aceturate	AOC1
diminazene-aceturate	PRDX5
diminazene-aceturate	PRSS1
dimpylate	ACHE
dinaciclib	CDK1
dinaciclib	CDK2
dinaciclib	CDK5
dinaciclib	CDK9
dinoprost	PTGDR
dinoprost	PTGDR2
dinoprost	PTGER1
dinoprost	PTGER2
dinoprost	PTGER3
dinoprost	PTGER4
dinoprost	PTGFR
dinoprost	PTGIR
dinoprost	TBXA2R
dinoprostone	CATSPER1
dinoprostone	CATSPER2
dinoprostone	CATSPER3
dinoprostone	CATSPER4
dinoprostone	PTGDR
dinoprostone	PTGDR2
dinoprostone	PTGER1
dinoprostone	PTGER2
dinoprostone	PTGER3
dinoprostone	PTGER4
dinoprostone	PTGFR
dinoprostone	TBXA2R
dioscin	CXCR3
diosmetin	CYP1B1
diosmin	AHR
diphemanil	CHRM3
diphenhydramine	HRH1
diphenidol	CHRM1
diphenidol	CHRM2
diphenidol	CHRM3
diphenidol	CHRM4
diphenyleneiodonium	NOS2
diphenyleneiodonium	NOS3
diphenylpyraline	HRH1
diphenylpyraline	SLC6A3
dipivefrine	ACHE
dipivefrine	ADRA1A
dipivefrine	ADRA2A
dipivefrine	ADRB2
dipivefrine	BCHE
dipraglurant	GRM5
DIPT	HTR1A
DIPT	HTR2A
DIPT	HTR2C
dipyridamole	ADA
dipyridamole	PDE10A
dipyridamole	PDE1A
dipyridamole	PDE1B
dipyridamole	PDE1C
dipyridamole	PDE2A
dipyridamole	PDE3A
dipyridamole	PDE3B
dipyridamole	PDE4A
dipyridamole	PDE4B
dipyridamole	PDE4C
dipyridamole	PDE4D
dipyridamole	PDE5A
dipyridamole	PDE6A
dipyridamole	PDE6B
dipyridamole	PDE6C
dipyridamole	PDE6D
dipyridamole	PDE6G
dipyridamole	PDE6H
dipyridamole	PDE7A
dipyridamole	PDE7B
