lncRNA.A	partner	cv
LINC00427	FENDRR	0.805718094893041
LINC00427	PCAT19	0.979771113594899
LINC00441	LINC01268	0.79065953620752
LINC00441	FENDRR	0.805718094893041
LINC00441	TBX5-AS1	0.839331598112737
LINC00445	PAN3-AS1	0.684625536163653
LINC00445	FENDRR	0.805718094893041
LINC00445	LINC00702	0.930650678314964
LINC00452	FENDRR	0.805718094893041
LINC00452	PCAT19	0.979771113594899
LINC00452	LINC00968	0.987944287610186
LINC00458	EPB41L4A-AS2	0.6711729560918
LINC00458	PAN3-AS1	0.684625536163653
LINC00458	FENDRR	0.805718094893041
LINC00462	SPATA13	0.657371172092655
LINC00462	CADM3-AS1	0.660693396962136
LINC00462	EPB41L4A-AS2	0.6711729560918
LINC00463	PAN3-AS1	0.684625536163653
LINC00463	FENDRR	0.805718094893041
LINC00463	LINC00702	0.930650678314964
LINC00467	ELFN2	0.290509018333953
LINC00467	CASC11	0.292714983166481
LINC00467	EMX2OS	0.305323378816826
LINC00470	EPB41L4A-AS2	0.6711729560918
LINC00470	PAN3-AS1	0.684625536163653
LINC00470	FENDRR	0.805718094893041
LINC00477	ASAP1-IT2	0.538531822705174
LINC00477	LINC01354	0.567967039434115
LINC00477	FAM223A	0.572177556086241
LINC00487	FENDRR	0.805718094893041
LINC00487	LINC00968	0.987944287610186
LINC00511	EMX2OS	0.305323378816826
LINC00511	KCNQ1OT1	0.332490077618619
LINC00511	FLJ31104	0.37300274567539
LINC00523	FENDRR	0.805718094893041
LINC00523	PCAT19	0.979771113594899
LINC00523	LINC00968	0.987944287610186
LINC00528	FENDRR	0.805718094893041
LINC00528	TBX5-AS1	0.839331598112737
LINC00528	LINC00472	0.889776111332617
LINC00529	ASAP1-IT2	0.538531822705174
LINC00529	BOLA3-AS1	0.564587114435934
LINC00529	FAM223A	0.572177556086241
LINC00535	FENDRR	0.805718094893041
LINC00535	LINC00472	0.889776111332617
LINC00535	PCAT19	0.979771113594899
LINC00536	LINC-PINT	0.502711524261431
LINC00536	AC007292.3	0.523626859571562
LINC00536	SSBP3-AS1	0.537611629539278
LINC00540	FENDRR	0.805718094893041
LINC00540	LINC00702	0.930650678314964
LINC00540	PCAT19	0.979771113594899
LINC00544	FENDRR	0.805718094893041
LINC00544	LINC00702	0.930650678314964
LINC00544	LINC00968	0.987944287610186
LINC00555	PAN3-AS1	0.684625536163653
LINC00555	FENDRR	0.805718094893041
LINC00555	TBX5-AS1	0.839331598112737
LINC00559	LINC01268	0.79065953620752
LINC00559	FENDRR	0.805718094893041
LINC00559	TBX5-AS1	0.839331598112737
LINC00567	LINC01268	0.79065953620752
LINC00567	FENDRR	0.805718094893041
LINC00567	TBX5-AS1	0.839331598112737
LINC00572	FENDRR	0.805718094893041
LINC00572	PCAT19	0.979771113594899
LINC00572	LINC00968	0.987944287610186
LINC00606	MAN1B1-AS1	0.523570483126957
LINC00606	TRAF3IP2-AS1	0.541078519736997
LINC00606	XIST	0.558997998709521
LINC00607	FENDRR	0.805718094893041
LINC00607	PCAT19	0.979771113594899
LINC00607	LINC00968	0.987944287610186
LINC00620	EPB41L4A-AS2	0.6711729560918
LINC00620	FENDRR	0.805718094893041
LINC00620	LINC00472	0.889776111332617
LINC00624	RBFADN	0.398064116220515
LINC00624	LINC01197	0.429979965849604
LINC00624	LINC-PINT	0.502711524261431
LINC00628	PAN3-AS1	0.684625536163653
LINC00628	FENDRR	0.805718094893041
LINC00628	TBX5-AS1	0.839331598112737
LINC00630	FAM66D	0.314298260179093
LINC00630	AC007364.1	0.331732215149822
LINC00630	ZSCAN16-AS1	0.356225444644718
LINC00632	ZNF582-AS1	0.585549542383366
LINC00632	HOXB-AS3	0.63684388911992
LINC00632	RBMS3-AS3	0.644423241271493
LINC00636	ADAMTS9-AS2	0.521100755506359
LINC00636	HOXB-AS3	0.63684388911992
LINC00636	CADM3-AS1	0.660693396962136
LINC00639	FENDRR	0.805718094893041
LINC00639	LINC00702	0.930650678314964
LINC00639	PCAT19	0.979771113594899
LINC00642	EPB41L4A-AS2	0.6711729560918
LINC00642	PAN3-AS1	0.684625536163653
LINC00642	FENDRR	0.805718094893041
LINC00656	LINC01268	0.79065953620752
LINC00656	FENDRR	0.805718094893041
LINC00656	TBX5-AS1	0.839331598112737
LINC00658	PAN3-AS1	0.684625536163653
LINC00658	FENDRR	0.805718094893041
LINC00658	TBX5-AS1	0.839331598112737
LINC00663	LINC01268	0.79065953620752
LINC00663	FENDRR	0.805718094893041
LINC00663	TBX5-AS1	0.839331598112737
LINC00667	PAN3-AS1	0.684625536163653
LINC00667	LINC01268	0.79065953620752
LINC00667	FENDRR	0.805718094893041
LINC00671	FLJ27354	0.455829637366546
LINC00671	LINC00163	0.496969843688261
LINC00671	ADAMTS9-AS2	0.521100755506359
LINC00687	LINC01268	0.79065953620752
LINC00687	FENDRR	0.805718094893041
LINC00687	TBX5-AS1	0.839331598112737
LINC00691	PAN3-AS1	0.684625536163653
LINC00691	FENDRR	0.805718094893041
LINC00691	TBX5-AS1	0.839331598112737
LINC00700	PAN3-AS1	0.684625536163653
LINC00700	FENDRR	0.805718094893041
LINC00700	LINC00702	0.930650678314964
LINC00703	HOXB-AS3	0.63684388911992
LINC00703	PAN3-AS1	0.684625536163653
LINC00703	LINC01268	0.79065953620752
LINC00708	FENDRR	0.805718094893041
LINC00708	LINC00968	0.987944287610186
LINC00838	PAN3-AS1	0.684625536163653
LINC00838	FENDRR	0.805718094893041
LINC00838	TBX5-AS1	0.839331598112737
LINC00839	FENDRR	0.805718094893041
LINC00839	LINC00968	0.987944287610186
LINC00841	PAN3-AS1	0.684625536163653
LINC00841	FENDRR	0.805718094893041
LINC00841	LINC00472	0.889776111332617
LINC00845	EPB41L4A-AS2	0.6711729560918
LINC00845	PAN3-AS1	0.684625536163653
LINC00845	LINC01268	0.79065953620752
LINC00851	FENDRR	0.805718094893041
LINC00851	PCAT19	0.979771113594899
LINC00851	LINC00968	0.987944287610186
LINC00852	FENDRR	0.805718094893041
LINC00852	PCAT19	0.979771113594899
LINC00870	FENDRR	0.805718094893041
LINC00870	LINC00702	0.930650678314964
LINC00870	PCAT19	0.979771113594899
LINC00877	FENDRR	0.805718094893041
LINC00877	PCAT19	0.979771113594899
LINC00877	LINC00968	0.987944287610186
LINC00887	FENDRR	0.805718094893041
LINC00887	TBX5-AS1	0.839331598112737
LINC00887	LINC00702	0.930650678314964
LINC00893	FENDRR	0.805718094893041
LINC00893	LINC00968	0.987944287610186
LINC00894	LINC01268	0.79065953620752
LINC00894	FENDRR	0.805718094893041
LINC00894	TBX5-AS1	0.839331598112737
LINC00895	NDUFV2-AS1	0.422640550026011
LINC00895	LINC01007	0.499576716350906
LINC00895	LINC00839	0.509104916149343
LINC00896	FENDRR	0.805718094893041
LINC00896	PCAT19	0.979771113594899
LINC00896	LINC00968	0.987944287610186
LINC00901	PWRN2	0.648815658406649
LINC00907	PAN3-AS1	0.684625536163653
LINC00907	LINC00844	0.686933046353177
LINC00907	FENDRR	0.805718094893041
LINC00908	FENDRR	0.805718094893041
LINC00908	TBX5-AS1	0.839331598112737
LINC00908	PCAT19	0.979771113594899
LINC00909	FENDRR	0.805718094893041
LINC00909	TBX5-AS1	0.839331598112737
LINC00909	PCAT19	0.979771113594899
LINC00911	EPB41L4A-AS2	0.6711729560918
LINC00911	FENDRR	0.805718094893041
LINC00911	TBX5-AS1	0.839331598112737
LINC00921	PAN3-AS1	0.684625536163653
LINC00921	FENDRR	0.805718094893041
LINC00921	TBX5-AS1	0.839331598112737
LINC00922	FENDRR	0.805718094893041
LINC00922	LINC00622	0.873106940471778
LINC00922	LINC00472	0.889776111332617
LINC00924	FENDRR	0.805718094893041
LINC00924	LINC00968	0.987944287610186
LINC00928	EPB41L4A-AS2	0.6711729560918
LINC00928	FENDRR	0.805718094893041
LINC00928	TBX5-AS1	0.839331598112737
LINC00930	FENDRR	0.805718094893041
LINC00930	LINC00968	0.987944287610186
LINC00942	FENDRR	0.805718094893041
LINC00942	LINC00472	0.889776111332617
LINC00942	LINC00702	0.930650678314964
LINC00957	FENDRR	0.805718094893041
LINC00957	TBX5-AS1	0.839331598112737
LINC00957	PCAT19	0.979771113594899
LINC00964	FENDRR	0.805718094893041
LINC00964	TBX5-AS1	0.839331598112737
LINC00964	PGM5-AS1	0.918258404327314
LINC00970	FENDRR	0.805718094893041
LINC00970	LINC00472	0.889776111332617
LINC00970	PCAT19	0.979771113594899
LINC00973	AC007364.1	0.331732215149822
LINC00973	CEP83-AS1	0.332889730398121
LINC00973	ATXN8OS	0.354352607724826
LINC00982	FENDRR	0.805718094893041
LINC00982	TBX5-AS1	0.839331598112737
LINC00982	PCAT19	0.979771113594899
LINC00996	FENDRR	0.805718094893041
LINC00996	TBX5-AS1	0.839331598112737
LINC00996	LINC00968	0.987944287610186
LINC01003	PAN3-AS1	0.684625536163653
LINC01003	LINC01268	0.79065953620752
LINC01003	FENDRR	0.805718094893041
LINC01013	FENDRR	0.805718094893041
LINC01013	LINC00472	0.889776111332617
LINC01013	PCAT19	0.979771113594899
LINC01019	EPB41L4A-AS2	0.6711729560918
LINC01019	FENDRR	0.805718094893041
LINC01019	TBX5-AS1	0.839331598112737
LINC01029	PAN3-AS1	0.684625536163653
LINC01029	LINC01268	0.79065953620752
LINC01029	FENDRR	0.805718094893041
LINC01056	FENDRR	0.805718094893041
LINC01056	PCAT19	0.979771113594899
LINC01056	LINC00968	0.987944287610186
LINC01069	PAN3-AS1	0.684625536163653
LINC01069	FENDRR	0.805718094893041
LINC01069	LINC00472	0.889776111332617
LINC01087	XIST	0.558997998709521
LINC01087	USP27X-AS1	0.609022308362916
LINC01087	DNM3OS	0.654026712082709
LINC01088	BOLA3-AS1	0.564587114435934
LINC01088	GATA6-AS1	0.781732830759874
LINC01088	FENDRR	0.805718094893041
LINC01089	HOXB-AS3	0.63684388911992
LINC01089	PAN3-AS1	0.684625536163653
LINC01089	FENDRR	0.805718094893041
LINC01102	LINC00598	0.253985612442124
LINC01102	ZNF32-AS3	0.398385034589585
LINC01103	PAN3-AS1	0.684625536163653
LINC01103	LINC01268	0.79065953620752
LINC01103	FENDRR	0.805718094893041
LINC01104	FENDRR	0.805718094893041
LINC01104	TBX5-AS1	0.839331598112737
LINC01104	LINC00472	0.889776111332617
LINC01106	CASC11	0.292714983166481
LINC01106	BARX1-AS1	0.328553062990428
LINC01106	FAM181A-AS1	0.356631681474729
LINC01107	FENDRR	0.805718094893041
LINC01107	LINC00702	0.930650678314964
LINC01107	PCAT19	0.979771113594899
LINC01111	FENDRR	0.805718094893041
LINC01111	TBX5-AS1	0.839331598112737
LINC01111	LINC00702	0.930650678314964
LINC01114	FENDRR	0.805718094893041
LINC01114	TBX5-AS1	0.839331598112737
LINC01114	PCAT19	0.979771113594899
LINC01119	FENDRR	0.805718094893041
LINC01119	PCAT19	0.979771113594899
LINC01119	LINC00968	0.987944287610186
LINC01120	LINC01268	0.79065953620752
LINC01120	FENDRR	0.805718094893041
LINC01120	TBX5-AS1	0.839331598112737
LINC01126	FENDRR	0.805718094893041
LINC01126	PCAT19	0.979771113594899
LINC01126	LINC00968	0.987944287610186
LINC01139	LINC00598	0.253985612442124
LINC01139	ALKBH3-AS1	0.297229370541436
LINC01139	FAM66D	0.314298260179093
LINC01140	FENDRR	0.805718094893041
LINC01140	PCAT19	0.979771113594899
LINC01140	LINC00968	0.987944287610186
LINC01149	PAN3-AS1	0.684625536163653
LINC01149	FENDRR	0.805718094893041
LINC01149	LINC00702	0.930650678314964
LINC01165	LINC01268	0.79065953620752
LINC01165	FENDRR	0.805718094893041
LINC01165	TBX5-AS1	0.839331598112737
LINC01180	PAN3-AS1	0.684625536163653
LINC01180	FENDRR	0.805718094893041
LINC01180	LINC00472	0.889776111332617
LINC01187	FENDRR	0.805718094893041
LINC01187	PCAT19	0.979771113594899
LINC01187	LINC00968	0.987944287610186
LINC01189	EPB41L4A-AS1	0.669664899781081
LINC01189	EPB41L4A-AS2	0.6711729560918
LINC01189	PAN3-AS1	0.684625536163653
LINC01191	PAN3-AS1	0.684625536163653
LINC01191	FENDRR	0.805718094893041
LINC01191	LINC00472	0.889776111332617
LINC01192	EPB41L4A-AS2	0.6711729560918
LINC01192	FENDRR	0.805718094893041
LINC01192	LINC00702	0.930650678314964
LINC01197	LINC01268	0.79065953620752
LINC01197	FENDRR	0.805718094893041
LINC01197	TBX5-AS1	0.839331598112737
LINC01209	LINC01268	0.79065953620752
LINC01209	FENDRR	0.805718094893041
LINC01209	LINC00472	0.889776111332617
LINC01215	PAN3-AS1	0.684625536163653
LINC01215	FENDRR	0.805718094893041
LINC01215	TBX5-AS1	0.839331598112737
LINC01220	PAN3-AS1	0.684625536163653
LINC01220	LINC01268	0.79065953620752
LINC01220	FENDRR	0.805718094893041
LINC01227	PAN3-AS1	0.684625536163653
LINC01227	LINC01268	0.79065953620752
LINC01227	FENDRR	0.805718094893041
LINC01231	FENDRR	0.805718094893041
LINC01231	LINC00702	0.930650678314964
LINC01231	PCAT19	0.979771113594899
LINC01234	FAM201A	0.466399983236115
LINC01234	LINC00106	0.497756964954232
LINC01234	ZBTB11-AS1	0.554071119695016
LINC01241	FENDRR	0.805718094893041
LINC01241	LINC00472	0.889776111332617
LINC01241	LINC00702	0.930650678314964
LINC01243	RBMS3-AS3	0.644423241271493
LINC01243	PAN3-AS1	0.684625536163653
LINC01243	LINC01268	0.79065953620752
LINC01252	EPB41L4A-AS2	0.6711729560918
LINC01252	FENDRR	0.805718094893041
LINC01252	LINC00702	0.930650678314964
LINC01257	EPB41L4A-AS2	0.6711729560918
LINC01257	FENDRR	0.805718094893041
LINC01257	TBX5-AS1	0.839331598112737
LINC01260	FENDRR	0.805718094893041
LINC01260	PCAT19	0.979771113594899
LINC01260	LINC00968	0.987944287610186
LINC01271	FENDRR	0.805718094893041
LINC01271	TBX5-AS1	0.839331598112737
LINC01271	LINC00472	0.889776111332617
LINC01282	PAN3-AS1	0.684625536163653
LINC01282	LINC01268	0.79065953620752
LINC01282	FENDRR	0.805718094893041
LINC01300	SNHG7	0.48903464129802
LINC01300	LINC00163	0.496969843688261
LINC01300	ADAMTS9-AS2	0.521100755506359
LINC01305	LINC01310	0.30973136692821
LINC01305	LINC01270	0.415567193270246
LINC01305	CFLAR-AS1	0.416575269726255
LINC01312	KIF9-AS1	0.387777738629403
LINC01312	BOLA3-AS1	0.564587114435934
LINC01312	EPB41L4A-AS2	0.6711729560918
LINC01342	FENDRR	0.805718094893041
LINC01342	TBX5-AS1	0.839331598112737
LINC01342	LINC00472	0.889776111332617
LINC01343	FENDRR	0.805718094893041
LINC01343	PCAT19	0.979771113594899
LINC01343	LINC00968	0.987944287610186
LINC01351	FENDRR	0.805718094893041
LINC01351	LINC00472	0.889776111332617
LINC01351	LINC00702	0.930650678314964
LINC01352	LINC00163	0.496969843688261
LINC01352	EPB41L4A-AS2	0.6711729560918
LINC01352	LINC00852	0.696942984014198
LINC01356	FENDRR	0.805718094893041
LINC01356	TBX5-AS1	0.839331598112737
LINC01356	LINC00968	0.987944287610186
LINC01362	PAN3-AS1	0.684625536163653
LINC01362	FENDRR	0.805718094893041
LINC01362	LINC00472	0.889776111332617
LINC01365	FENDRR	0.805718094893041
LINC01365	PCAT19	0.979771113594899
LINC01365	LINC00968	0.987944287610186
LINC01395	EPB41L4A-AS2	0.6711729560918
LINC01395	FENDRR	0.805718094893041
LINC01395	TBX5-AS1	0.839331598112737
LINC01405	LINC01268	0.79065953620752
LINC01405	FENDRR	0.805718094893041
LINC01405	PCAT19	0.979771113594899
LINC01425	FENDRR	0.805718094893041
LINC01425	TBX5-AS1	0.839331598112737
LINC01425	LINC00702	0.930650678314964
LINC01426	LINC00598	0.253985612442124
LINC01426	LINC01206	0.318441002244162
LINC01426	LINC00313	0.318676828997603
LINC01428	FENDRR	0.805718094893041
LINC01428	LINC00702	0.930650678314964
LINC01428	PCAT19	0.979771113594899
LINC01431	PAN3-AS1	0.684625536163653
LINC01431	FENDRR	0.805718094893041
LINC01431	LINC00968	0.987944287610186
LINC01432	SPATA13	0.657371172092655
LINC01432	PAN3-AS1	0.684625536163653
LINC01432	FENDRR	0.805718094893041
LPP-AS2	HOXB-AS3	0.63684388911992
LPP-AS2	PAN3-AS1	0.684625536163653
LPP-AS2	LINC01268	0.79065953620752
LRRC2-AS1	FENDRR	0.805718094893041
LRRC2-AS1	LINC00702	0.930650678314964
LRRC2-AS1	PCAT19	0.979771113594899
LSAMP-AS1	FENDRR	0.805718094893041
LSAMP-AS1	PCAT19	0.979771113594899
LSAMP-AS1	LINC00968	0.987944287610186
LY86-AS1	LINC01365	0.42916678909495
LY86-AS1	BOLA3-AS1	0.564587114435934
LY86-AS1	LINC00092	0.612707081454859
LZTS1-AS1	FENDRR	0.805718094893041
LZTS1-AS1	TBX5-AS1	0.839331598112737
LZTS1-AS1	LINC00622	0.873106940471778
MAGI1-IT1	FENDRR	0.805718094893041
MAGI1-IT1	TBX5-AS1	0.839331598112737
MAGI1-IT1	LINC00702	0.930650678314964
MAMDC2-AS1	RAMP2-AS1	0.454756234202324
MAMDC2-AS1	MAN1B1-AS1	0.523570483126957
MAMDC2-AS1	ASAP1-IT2	0.538531822705174
MAP3K14-AS1	FENDRR	0.805718094893041
MAP3K14-AS1	TBX5-AS1	0.839331598112737
MAP3K14-AS1	PCAT19	0.979771113594899
MAPKAPK5-AS1	PAN3-AS1	0.684625536163653
MAPKAPK5-AS1	LINC01268	0.79065953620752
MAPKAPK5-AS1	FENDRR	0.805718094893041
MBNL1-AS1	PCAT19	0.979771113594899
MBNL1-AS1	LINC00968	0.987944287610186
MCHR2-AS1	NDUFV2-AS1	0.422640550026011
MCHR2-AS1	FLJ37453	0.489501670286062
MCHR2-AS1	ASAP1-IT2	0.538531822705174
MEG3	PAN3-AS1	0.684625536163653
MEG3	FENDRR	0.805718094893041
MEG3	LINC00472	0.889776111332617
MEG8	EPB41L4A-AS1	0.669664899781081
MEG8	PAN3-AS1	0.684625536163653
MEG8	LINC00844	0.686933046353177
MEG9	FENDRR	0.805718094893041
MEG9	TBX5-AS1	0.839331598112737
MEG9	PCAT19	0.979771113594899
MGC15885	FENDRR	0.805718094893041
MGC15885	LINC00702	0.930650678314964
MGC15885	PCAT19	0.979771113594899
MGC16275	LINC01268	0.79065953620752
MGC16275	FENDRR	0.805718094893041
MGC16275	TBX5-AS1	0.839331598112737
MGC32805	FENDRR	0.805718094893041
MGC32805	PCAT19	0.979771113594899
MGC32805	LINC00968	0.987944287610186
MIR124-2HG	HOXB-AS3	0.63684388911992
MIR124-2HG	EPB41L4A-AS2	0.6711729560918
MIR124-2HG	PAN3-AS1	0.684625536163653
MIR4500HG	PAN3-AS1	0.684625536163653
MIR4500HG	LINC01268	0.79065953620752
MIR4500HG	FENDRR	0.805718094893041
MIRLET7BHG	FENDRR	0.805718094893041
MIRLET7BHG	PCAT19	0.979771113594899
MIRLET7BHG	LINC00968	0.987944287610186
MIRLET7DHG	PAN3-AS1	0.684625536163653
MIRLET7DHG	FENDRR	0.805718094893041
MIRLET7DHG	TBX5-AS1	0.839331598112737
MPRIP-AS1	PAN3-AS1	0.684625536163653
MPRIP-AS1	LINC01268	0.79065953620752
MPRIP-AS1	FENDRR	0.805718094893041
MRGPRG-AS1	PAN3-AS1	0.684625536163653
MRGPRG-AS1	FENDRR	0.805718094893041
MRGPRG-AS1	LINC00472	0.889776111332617
N4BP2L2-IT2	FENDRR	0.805718094893041
N4BP2L2-IT2	LINC00702	0.930650678314964
N4BP2L2-IT2	PCAT19	0.979771113594899
NALCN-AS1	FENDRR	0.805718094893041
NALCN-AS1	TBX5-AS1	0.839331598112737
NALCN-AS1	PCAT19	0.979771113594899
NAPA-AS1	EPB41L4A-AS2	0.6711729560918
NAPA-AS1	FENDRR	0.805718094893041
NAPA-AS1	LINC00702	0.930650678314964
NAV2-AS5	FENDRR	0.805718094893041
NAV2-AS5	PCAT19	0.979771113594899
NAV2-AS5	LINC00968	0.987944287610186
NDUFV2-AS1	PAN3-AS1	0.684625536163653
NDUFV2-AS1	FENDRR	0.805718094893041
NDUFV2-AS1	TBX5-AS1	0.839331598112737
NEBL-AS1	FENDRR	0.805718094893041
NEBL-AS1	TBX5-AS1	0.839331598112737
NEBL-AS1	LINC00472	0.889776111332617
NFIA-AS2	FAM87A	0.373785168725254
NFIA-AS2	LINC00163	0.496969843688261
NFIA-AS2	ASAP1-IT2	0.538531822705174
NIFK-AS1	LINC01268	0.79065953620752
NIFK-AS1	FENDRR	0.805718094893041
NIFK-AS1	PCAT19	0.979771113594899
NOP14-AS1	EPB41L4A-AS2	0.6711729560918
NOP14-AS1	FENDRR	0.805718094893041
NOP14-AS1	TBX5-AS1	0.839331598112737
NUTM2A-AS1	PAN3-AS1	0.684625536163653
NUTM2A-AS1	LINC01268	0.79065953620752
NUTM2A-AS1	FENDRR	0.805718094893041
OGFRP1	FENDRR	0.805718094893041
OGFRP1	PCAT19	0.979771113594899
OGFRP1	LINC00968	0.987944287610186
OSER1-AS1	LINC00844	0.686933046353177
OSER1-AS1	FENDRR	0.805718094893041
OSER1-AS1	TBX5-AS1	0.839331598112737
OSTM1-AS1	ZBTB11-AS1	0.554071119695016
OVOL1-AS1	PAN3-AS1	0.684625536163653
OVOL1-AS1	FENDRR	0.805718094893041
OVOL1-AS1	LINC00472	0.889776111332617
PARD3-AS1	LINC01268	0.79065953620752
PARD3-AS1	FENDRR	0.805718094893041
PARD3-AS1	TBX5-AS1	0.839331598112737
PARD6G-AS1	PAN3-AS1	0.684625536163653
PARD6G-AS1	LINC01268	0.79065953620752
PARD6G-AS1	FENDRR	0.805718094893041
PART1	FENDRR	0.805718094893041
PART1	TBX5-AS1	0.839331598112737
PART1	PGM5-AS1	0.918258404327314
PAXBP1-AS1	BANCR	0.790939906926282
PAXBP1-AS1	FENDRR	0.805718094893041
PAXBP1-AS1	LINC00472	0.889776111332617
PCA3	HOXB-AS3	0.63684388911992
PCA3	EPB41L4A-AS2	0.6711729560918
PCA3	LINC01268	0.79065953620752
PCAT6	AC007365.3	0.335346692878989
PCAT6	LINC00221	0.356179370714609
PCAT6	DLG1-AS1	0.365874985800101
PCGEM1	EPB41L4A-AS2	0.6711729560918
PCGEM1	FENDRR	0.805718094893041
PCGEM1	TBX5-AS1	0.839331598112737
PLCG1-AS1	FENDRR	0.805718094893041
PLCG1-AS1	TBX5-AS1	0.839331598112737
PLCG1-AS1	LINC00472	0.889776111332617
POT1-AS1	LINC00598	0.253985612442124
POT1-AS1	ELFN2	0.290509018333953
POT1-AS1	ALKBH3-AS1	0.297229370541436
PRKG1-AS1	LINC01268	0.79065953620752
PRKG1-AS1	FENDRR	0.805718094893041
PRKG1-AS1	TBX5-AS1	0.839331598112737
RBFADN	FENDRR	0.805718094893041
RBFADN	TBX5-AS1	0.839331598112737
RBFADN	LINC00472	0.889776111332617
RGPD4-AS1	LINC00271	0.480246591827217
RGPD4-AS1	AC007292.3	0.523626859571562
RGPD4-AS1	DIO3OS	0.577644375969141
RNF157-AS1	LINC00382	0.279795647566645
RNF157-AS1	CASC11	0.292714983166481
RNF157-AS1	FLJ21408	0.299810335360451
RNF185-AS1	FENDRR	0.805718094893041
RNF185-AS1	TBX5-AS1	0.839331598112737
RNF185-AS1	LINC00472	0.889776111332617
SACS-AS1	LINC00284	0.430927347015225
SACS-AS1	LINC00982	0.457650007523013
SACS-AS1	LINC00163	0.496969843688261
SCOC-AS1	LINC01268	0.79065953620752
SCOC-AS1	FENDRR	0.805718094893041
SCOC-AS1	TBX5-AS1	0.839331598112737
SMC5-AS1	FENDRR	0.805718094893041
SMC5-AS1	TBX5-AS1	0.839331598112737
SMC5-AS1	LINC00472	0.889776111332617
SNAI3-AS1	PAN3-AS1	0.684625536163653
SNAI3-AS1	FENDRR	0.805718094893041
SNAI3-AS1	TBX5-AS1	0.839331598112737
SNHG7	FENDRR	0.805718094893041
SNHG7	TBX5-AS1	0.839331598112737
SNHG7	LINC00472	0.889776111332617
SNHG8	FENDRR	0.805718094893041
SNHG8	TBX5-AS1	0.839331598112737
SNHG8	LINC00472	0.889776111332617
SOX2-OT	DLG1-AS1	0.365874985800101
SOX2-OT	SATB2-AS1	0.458936033399746
SOX2-OT	LINC00588	0.46555294536149
SPATA41	FENDRR	0.805718094893041
SPATA41	TBX5-AS1	0.839331598112737
SPATA41	LINC00472	0.889776111332617
STK24-AS1	PAN3-AS1	0.684625536163653
STK24-AS1	FENDRR	0.805718094893041
STK24-AS1	TBX5-AS1	0.839331598112737
STX18-AS1	FENDRR	0.805718094893041
STX18-AS1	TBX5-AS1	0.839331598112737
STX18-AS1	LINC00472	0.889776111332617
STXBP5-AS1	EPB41L4A-AS2	0.6711729560918
STXBP5-AS1	NR2F1-AS1	0.709684458611515
STXBP5-AS1	FENDRR	0.805718094893041
VWA8-AS1	LINC00271	0.480246591827217
VWA8-AS1	AC007292.3	0.523626859571562
VWA8-AS1	XIST	0.558997998709521
SNHG10	BOLA3-AS1	0.564587114435934
SNHG10	HOXB-AS3	0.63684388911992
SNHG10	EPB41L4A-AS2	0.6711729560918
MCM3AP-AS1	AC007364.1	0.331732215149822
WASIR1	LINC00598	0.253985612442124
WASIR1	LINC00382	0.279795647566645
WASIR1	ELFN2	0.290509018333953
LINC00629	AF131215.4	0.462742826262839
LINC00471	ARHGAP22-IT1	0.46667801098646
LINC00615	ARHGAP22-IT1	0.46667801098646
LINC00665	CPS1-IT1	0.312202554350467
LINC01020	DGCR10	0.491678407492942
MNX1-AS1	EMX2OS	0.305323378816826
MNX1-AS1	DKFZP434K028	0.315125086562604
MNX1-AS1	HOXA11-AS	0.366814991920469
UBAC2-AS1	FLJ21408	0.299810335360451
UBAC2-AS1	DKFZP434K028	0.315125086562604
VAC14-AS1	LINC00574	0.545693308587569
VAC14-AS1	DLGAP1-AS3	0.55840303311498
SMAD5-AS1	EPB41L4A-AS2	0.6711729560918
SMAD5-AS1	FENDRR	0.805718094893041
SMAD5-AS1	LINC00702	0.930650678314964
SPATA3-AS1	EPB41L4A-AS2	0.6711729560918
SPATA3-AS1	FENDRR	0.805718094893041
SPATA3-AS1	PCAT19	0.979771113594899
TEX36-AS1	EPB41L4A-AS2	0.6711729560918
TEX36-AS1	PAN3-AS1	0.684625536163653
TEX36-AS1	LINC01268	0.79065953620752
UBE2E2-AS1	EPB41L4A-AS2	0.6711729560918
UBE2E2-AS1	FENDRR	0.805718094893041
UBE2E2-AS1	TBX5-AS1	0.839331598112737
GRID1-AS1	FAM181A-AS1	0.356631681474729
LINC00226	FAM66D	0.314298260179093
HCG11	FENDRR	0.805718094893041
LINC00844	FENDRR	0.805718094893041
LINC00920	FENDRR	0.805718094893041
LINC00969	FENDRR	0.805718094893041
LINC00969	LINC00968	0.987944287610186
LINC01007	FENDRR	0.805718094893041
LINC01007	LINC00968	0.987944287610186
LINC01082	FENDRR	0.805718094893041
LINC01082	LINC00968	0.987944287610186
LINC01094	FENDRR	0.805718094893041
LINC01169	FENDRR	0.805718094893041
LINC01169	LINC00968	0.987944287610186
LINC01268	FENDRR	0.805718094893041
LINC01354	FENDRR	0.805718094893041
LINC01354	LINC00968	0.987944287610186
LINC01410	FENDRR	0.805718094893041
LOH12CR2	FENDRR	0.805718094893041
LOH12CR2	LINC00622	0.873106940471778
LOH12CR2	LINC00968	0.987944287610186
MAN1B1-AS1	FENDRR	0.805718094893041
MAN1B1-AS1	LINC00968	0.987944287610186
MIAT	FENDRR	0.805718094893041
NAV2-AS2	FENDRR	0.805718094893041
NAV2-AS2	LINC00968	0.987944287610186
NPTN-IT1	FENDRR	0.805718094893041
NR2F1-AS1	FENDRR	0.805718094893041
