,TCGA-S9-A7J2-01,TCGA-E1-A7YI-01,gsym
ENSG00000225082.2,-9.9658,-9.9658,DAP3P1
ENSG00000255153.1,2.004,0.8164,TOLLIP-AS1
ENSG00000261663.1,0.2277,0.679,RP11-304L19.11
ENSG00000249996.1,-3.816,-9.9658,RP11-359P5.1
ENSG00000248842.1,-9.9658,-9.9658,CTB-1H10.1
ENSG00000230080.2,-9.9658,-9.9658,AC139143.2
ENSG00000253829.1,-9.9658,-9.9658,RP11-723D22.3
ENSG00000282041.1,-9.9658,-9.9658,CTA-286B10.8
ENSG00000175309.14,4.0875,4.9421,PHYKPL
ENSG00000204713.10,5.522,6.6641,TRIM27
ENSG00000275592.1,-9.9658,-9.9658,VN1R7P
ENSG00000248935.1,-9.9658,-9.9658,CTD-2254N19.1
ENSG00000231203.1,-9.9658,-9.9658,KRT8P10
ENSG00000241809.1,-9.9658,-3.1714,CTD-2207L17.1
ENSG00000238731.1,-9.9658,-9.9658,RNU7-90P
ENSG00000011052.21,6.0337,7.0721,NME2
ENSG00000236690.2,-9.9658,-9.9658,AC007274.5
ENSG00000181649.5,-2.4659,5.8465,PHLDA2
ENSG00000110395.4,3.6657,4.309,CBL
ENSG00000223922.1,-2.9324,-2.0529,ASS1P2
ENSG00000112305.14,5.2631,5.1392,SMAP1
ENSG00000254425.1,-9.9658,-9.9658,RP11-480O10.2
ENSG00000167014.10,-9.9658,-9.9658,C15orf43
ENSG00000276499.1,-9.9658,-9.9658,AL845259.7
ENSG00000107018.7,-4.2934,-3.458,RLN1
ENSG00000248480.1,-9.9658,-9.9658,RP11-313E19.1
ENSG00000254174.1,-9.9658,-9.9658,IGHV1-12
ENSG00000239679.3,-9.9658,-9.9658,RN7SL193P
ENSG00000228790.1,-9.9658,-9.9658,AC098784.1
ENSG00000260799.1,-5.5735,-4.6082,KRT8P50
ENSG00000249234.1,-9.9658,-9.9658,RP11-452J21.2
ENSG00000234363.1,-9.9658,-9.9658,PPIAP27
ENSGR0000167393.16,-9.9658,-9.9658,PPP2R3B
ENSG00000266246.1,-9.9658,-9.9658,AC097493.1
ENSG00000223905.1,-9.9658,-9.9658,RP11-335E14.1
ENSG00000260743.1,-1.6394,-0.4131,RP11-255C15.3
ENSG00000227560.1,-9.9658,-3.0469,RP11-139K1.2
ENSG00000167880.7,-9.9658,-6.5064,EVPL
ENSG00000270930.1,-9.9658,-9.9658,GRAMD4P8
ENSG00000279273.1,-9.9658,-9.9658,CTD-2526A2.4
ENSG00000139656.6,-4.2934,-1.2828,SMIM2
ENSG00000139988.9,-2.4659,-2.9324,RDH12
ENSG00000254418.1,-0.4521,-9.9658,RP11-21L19.1
ENSG00000104998.3,1.787,2.824,IL27RA
ENSG00000279952.1,-9.9658,-9.9658,RP11-483I24.1
ENSG00000230806.1,-9.9658,-2.6349,SRGAP2-AS1
ENSG00000237338.1,-9.9658,-3.6259,FTCD-AS1
ENSG00000186723.3,-9.9658,-9.9658,OR10H1
ENSG00000137948.18,-9.9658,-9.9658,BRDT
ENSG00000281302.1,-9.9658,-9.9658,Y_RNA
ENSG00000082068.8,4.4595,5.0251,WDR70
ENSG00000235204.1,-2.3884,0.4233,RP11-121A14.2
ENSG00000136319.11,3.0428,3.8857,TTC5
ENSG00000223911.1,-9.9658,-9.9658,AC009480.3
ENSG00000232167.1,-9.9658,-9.9658,AC137675.1
ENSG00000153044.9,2.4332,4.8022,CENPH
ENSG00000244657.1,-9.9658,-9.9658,GS1-124K5.8
ENSG00000241231.1,1.7141,6.6305,RP11-275H4.1
ENSG00000255774.1,-9.9658,-9.9658,AP000439.3
ENSG00000280282.1,0.1519,-0.7108,LLNLR-259H9.1
ENSG00000226544.4,-9.9658,-2.6349,RPL7P22
ENSG00000079819.16,6.6397,6.5538,EPB41L2
ENSG00000201920.1,-9.9658,-9.9658,RNA5SP442
ENSG00000234460.1,-9.9658,-9.9658,XXyac-YM21GA2.4
ENSG00000223418.1,-9.9658,-9.9658,GS1-590J6.2
ENSG00000260494.1,-2.7274,-2.2447,AC002310.10
ENSG00000197927.12,4.7861,3.7741,C2orf27A
ENSG00000221725.1,-9.9658,-9.9658,RNU6ATAC25P
ENSG00000251359.4,-2.4659,-3.6259,WWC2-AS2
ENSG00000254146.1,-9.9658,-9.9658,HMGB1P46
ENSG00000253346.1,-9.9658,-9.9658,CTD-3107M8.1
ENSG00000143793.12,4.499,4.7127,C1orf35
ENSG00000134333.13,5.6047,7.7279,LDHA
ENSG00000275212.1,-9.9658,-9.9658,RP3-446N13.5
ENSG00000244544.2,-9.9658,-9.9658,RN7SL446P
ENSG00000143184.4,-9.9658,-4.2934,XCL1
ENSG00000182872.15,5.6594,5.5976,RBM10
ENSG00000261798.1,-2.0529,-1.3548,RP1-118J21.25
ENSG00000273704.1,-9.9658,-9.9658,RP11-573C10.1
ENSG00000272337.1,-9.9658,-9.9658,RNU6-90P
ENSG00000119772.16,3.2389,3.7421,DNMT3A
ENSG00000171954.12,-9.9658,-6.5064,CYP4F22
ENSG00000223561.6,-4.2934,-1.3183,AC003090.1
ENSG00000213509.4,-3.458,-9.9658,PPIAP16
ENSG00000271821.1,-0.5332,-0.6193,XXbac-BPG299F13.14
ENSG00000138735.15,2.1702,1.8879,PDE5A
ENSG00000250426.2,-9.9658,-9.9658,FTLP10
ENSG00000251838.1,-9.9658,-9.9658,SNORA31
ENSG00000265727.2,-9.9658,-9.9658,RN7SL648P
ENSG00000275491.1,-0.7346,-2.9324,RP5-1009E24.8
ENSG00000252130.1,-9.9658,-9.9658,RNU6-1045P
ENSG00000279013.1,-2.114,-9.9658,RP11-254A24.2
ENSG00000271180.1,-2.3884,-3.3076,RP11-665C16.8
ENSG00000280186.1,-9.9658,-5.0116,RP11-483I13.6
ENSG00000131845.14,2.0707,3.2205,ZNF304
ENSG00000182220.13,6.8683,7.0768,ATP6AP2
ENSG00000241757.3,-9.9658,-9.9658,RN7SL714P
ENSG00000253153.1,-9.9658,-9.9658,KB-1562D12.3
ENSG00000166896.7,2.5437,1.5316,XRCC6BP1
ENSG00000280007.1,-2.7274,-3.3076,AC008079.10
ENSG00000232177.1,-9.9658,-9.9658,MTND4P24
ENSG00000275944.1,-9.9658,-9.9658,RP11-104J23.1
ENSG00000201683.1,-9.9658,-9.9658,Y_RNA
ENSG00000185839.3,-0.6416,1.3167,RP4-592A1.2
ENSG00000233290.1,-9.9658,-9.9658,RP11-147G16.1
ENSG00000223608.1,-9.9658,-9.9658,DSCR4-IT1
ENSG00000231261.1,-9.9658,-9.9658,HMGN2P10
ENSG00000257151.1,4.4384,3.2781,PWAR6
ENSG00000281214.1,-9.9658,-9.9658,AP000290.1
ENSG00000261507.1,-9.9658,-9.9658,RP11-1437A8.6
ENSG00000229456.1,-9.9658,-9.9658,RLIMP1
ENSG00000281222.1,-9.9658,-9.9658,AC096589.1
ENSG00000213187.3,-9.9658,-9.9658,COPS5P1
ENSG00000207176.1,-9.9658,-9.9658,Y_RNA
ENSG00000199077.2,-9.9658,-9.9658,MIR129-2
ENSG00000227076.1,-9.9658,-9.9658,RP11-4C20.4
ENSG00000118094.11,-1.9379,-2.5479,TREH
ENSG00000279640.1,-1.9379,-2.9324,RP13-977J11.6
ENSG00000270507.1,-9.9658,-9.9658,CTA-21C21.1
ENSG00000048162.19,4.3958,5.4239,NOP16
ENSG00000135547.8,4.2958,4.2518,HEY2
ENSG00000274363.1,1.2815,0.3573,RP11-104O19.4
ENSG00000168306.12,2.409,1.1316,ACOX2
ENSG00000064102.14,3.8095,5.4047,ASUN
ENSG00000263716.1,-9.9658,-9.9658,SLC25A51P2
ENSG00000168070.11,-9.9658,-5.0116,C11orf85
ENSG00000249916.1,-9.9658,-9.9658,CTD-2280E9.1
ENSG00000148426.12,-0.1993,0.044,PROSER2
ENSG00000115685.14,6.2457,6.318,PPP1R7
ENSG00000122566.20,9.3636,10.0549,HNRNPA2B1
ENSG00000228404.1,-9.9658,-9.9658,AP001468.58
ENSG00000264530.2,-9.9658,-1.8314,RN7SL25P
ENSG00000275859.1,-9.9658,-9.9658,MIR6720
ENSG00000249309.1,-9.9658,-9.9658,RP11-153M7.5
ENSG00000167332.7,-5.5735,-6.5064,OR51E2
ENSG00000255248.6,6.1475,6.9541,RP11-166D19.1
ENSG00000255236.2,-1.4699,-3.458,CTD-2655K5.1
ENSG00000130649.9,2.3953,2.0111,CYP2E1
ENSG00000255535.2,-9.9658,-9.9658,RP11-679I18.4
ENSG00000100029.17,6.3835,6.6557,PES1
ENSG00000248574.1,-9.9658,-5.0116,ADAM20P2
ENSG00000259248.5,0.8805,0.5069,USP3-AS1
ENSG00000211685.3,-9.9658,-9.9658,IGLC7
ENSG00000268620.1,-9.9658,-9.9658,AC078899.4
ENSG00000207620.1,-9.9658,-9.9658,MIR516A2
ENSG00000252540.1,-9.9658,-9.9658,RNU6-919P
ENSG00000229086.3,-9.9658,-9.9658,LINC01548
ENSG00000228929.1,0.058,-0.0725,RPS13P2
ENSG00000119471.14,5.2072,4.1318,HSDL2
ENSG00000264054.1,-9.9658,-9.9658,RPL31P9
ENSG00000231061.1,-9.9658,-9.9658,LINC00395
ENSG00000132300.18,5.8217,5.9341,PTCD3
ENSG00000172345.13,1.6785,0.517,STARD5
ENSG00000175894.14,-6.5064,-9.9658,TSPEAR
ENSG00000126698.10,5.5389,7.2123,DNAJC8
ENSG00000236461.1,-9.9658,-9.9658,RP11-523L1.2
ENSG00000229107.2,-4.2934,-3.3076,ABHD17AP4
ENSG00000211779.3,-9.9658,-9.9658,TRAV5
ENSG00000271028.1,-9.9658,-9.9658,RP11-111A24.2
ENSG00000213777.5,0.4125,-2.4659,CTD-2224J9.8
ENSG00000133226.16,4.848,6.0433,SRRM1
ENSG00000223985.1,-9.9658,-9.9658,AC093326.1
ENSG00000248309.5,2.4544,1.0915,MEF2C-AS1
ENSG00000207041.1,-9.9658,-9.9658,RNU6-3P
ENSG00000162076.12,5.7679,5.5295,FLYWCH2
ENSG00000250813.1,-9.9658,-9.9658,SERF1AP1
ENSG00000182667.14,6.203,5.0571,NTM
ENSG00000260933.1,-9.9658,-9.9658,RP11-164A6.1
ENSG00000130520.10,6.4385,7.3695,LSM4
ENSG00000197919.4,-9.9658,-9.9658,IFNA1
ENSG00000263878.1,-4.2934,-4.2934,DLGAP1-AS4
ENSG00000271052.1,-9.9658,-9.9658,RP11-479I16.2
ENSG00000255460.1,-9.9658,-9.9658,ZDHHC20P3
ENSG00000215301.9,6.7248,7.4172,DDX3X
ENSG00000250694.1,-9.9658,-9.9658,CTD-2074D8.1
ENSG00000242976.3,-9.9658,-9.9658,RN7SL177P
ENSG00000229117.8,10.4401,10.4927,RPL41
ENSG00000225675.2,-3.816,-3.816,RP4-784A16.5
ENSG00000249741.2,-9.9658,-0.8863,RP11-673E1.3
ENSG00000206617.1,-9.9658,-9.9658,RNY1P5
ENSG00000207249.1,-9.9658,-9.9658,SNORA72
ENSG00000259177.1,-9.9658,-9.9658,RP11-154B12.3
ENSG00000281162.2,-4.6082,-0.9686,LINC01127
ENSG00000264212.1,-9.9658,-9.9658,RP11-94B19.3
ENSG00000201699.1,1.4441,-9.9658,RNU1-59P
ENSG00000251905.1,-9.9658,-9.9658,RNU7-2P
ENSG00000225716.1,-9.9658,-9.9658,TCEB1P13
ENSG00000227372.10,0.4016,1.5902,TP73-AS1
ENSG00000251810.1,-9.9658,-9.9658,RN7SKP132
ENSG00000254866.2,1.0983,-0.1031,DEFB109P3
ENSG00000057149.14,-9.9658,-9.9658,SERPINB3
ENSG00000276162.1,-9.9658,-9.9658,MIR5739
ENSG00000100628.11,-3.816,-0.1345,ASB2
ENSG00000251919.1,-9.9658,-9.9658,RNU7-105P
ENSG00000243250.1,-9.9658,-9.9658,RPS6P16
ENSG00000272461.1,-9.9658,-9.9658,RP11-689C9.1
ENSG00000158481.12,-5.5735,-9.9658,CD1C
ENSG00000270863.1,-9.9658,-9.9658,DDX55P1
ENSG00000257454.1,-9.9658,-9.9658,CTD-2021H9.2
ENSG00000173272.13,6.5447,6.7188,MZT2A
ENSG00000075914.12,5.5389,5.528,EXOSC7
ENSG00000214295.4,-9.9658,-4.6082,FOXO1B
ENSG00000222346.1,-9.9658,-9.9658,RNA5SP237
ENSG00000253755.1,-9.9658,-5.0116,IGHGP
ENSG00000108469.14,4.7877,4.9644,RECQL5
ENSG00000169981.10,1.7053,3.6994,ZNF35
ENSG00000254814.1,-9.9658,-9.9658,RP11-535A19.1
ENSG00000197444.9,3.0876,-0.2498,OGDHL
ENSG00000233376.1,-9.9658,-9.9658,RP5-881L22.6
ENSG00000007952.17,-5.5735,-1.5951,NOX1
ENSG00000137440.4,-9.9658,-5.5735,FGFBP1
ENSG00000249908.2,3.6254,-9.9658,BRD9P2
ENSG00000240626.3,-9.9658,-9.9658,RN7SL150P
ENSG00000158483.15,1.0711,2.4252,FAM86C1
ENSG00000212961.4,-9.9658,-5.0116,HNRNPA1P40
ENSG00000275894.1,-9.9658,-9.9658,RP3-453C12.14
ENSG00000235861.1,-9.9658,-9.9658,AC005237.2
ENSG00000232806.1,-9.9658,-9.9658,AP001610.9
ENSG00000165195.13,2.3164,2.5731,PIGA
ENSG00000265737.1,-9.9658,-9.9658,RP11-1157N2__B.2
ENSG00000070444.14,3.992,3.9185,MNT
ENSG00000249184.1,-9.9658,-9.9658,RP11-424M21.1
ENSG00000260694.1,-9.9658,-9.9658,RP11-556H2.4
ENSG00000265457.1,-9.9658,-9.9658,AC093611.2
ENSG00000279995.1,-9.9658,-9.9658,RP11-1250I15.1
ENSG00000236998.2,-2.9324,-3.6259,RP11-203L2.3
ENSG00000218227.3,0.9191,1.46,RP11-889L3.1
ENSG00000236317.1,-9.9658,-0.5973,RP11-348H3.5
ENSG00000066697.14,3.9478,4.7055,MSANTD3
ENSG00000239022.1,-9.9658,-9.9658,AC069082.1
ENSG00000265574.1,-1.7322,-9.9658,WDR45BP1
ENSG00000226053.1,-4.6082,-5.0116,RP5-1070A16.1
ENSG00000237390.1,-4.6082,-4.6082,RP11-139I14.2
ENSG00000182613.1,-9.9658,-9.9658,OR2V2
ENSG00000083444.16,4.9519,6.5244,PLOD1
ENSG00000247775.2,-6.5064,-4.6082,SNCA-AS1
ENSG00000224535.1,-9.9658,-9.9658,RP11-61J19.2
ENSG00000235444.2,-9.9658,-4.035,PSMB3P2
ENSG00000200883.1,-9.9658,-9.9658,Y_RNA
ENSG00000246526.2,-5.0116,-4.2934,RP11-539L10.2
ENSG00000255458.5,1.9895,0.6145,RP11-539G18.3
ENSG00000199910.1,-9.9658,-9.9658,RNA5S10
ENSG00000253026.1,-9.9658,-9.9658,RNU6-464P
ENSG00000259042.2,-0.7346,-3.3076,AE000661.50
ENSG00000273720.1,-2.4659,-1.8836,RP11-613E4.4
ENSG00000007312.12,-2.7274,-1.9379,CD79B
ENSG00000145982.11,3.3061,4.3737,FARS2
ENSG00000254015.1,-9.9658,-9.9658,CTD-2547L16.2
ENSG00000274979.1,-9.9658,-9.9658,RP11-1143G9.5
ENSG00000181381.13,2.0569,3.5374,DDX60L
ENSG00000112303.13,-0.9406,-1.9379,VNN2
ENSG00000212314.2,-9.9658,-9.9658,RNU6-1307P
ENSG00000255949.1,-9.9658,-9.9658,AP003419.16
ENSG00000227335.1,-9.9658,-9.9658,IGHJ1P
ENSG00000232987.1,-1.5105,-4.2934,LINC01219
ENSG00000241098.1,-9.9658,-5.0116,FLJ46066
ENSG00000142552.7,2.05,3.1556,RCN3
ENSG00000281611.1,-9.9658,-9.9658,AC069216.1
ENSG00000149923.13,6.2551,7.1987,PPP4C
ENSG00000235141.1,-9.9658,-9.9658,COX6CP17
ENSG00000226431.1,-9.9658,-9.9658,RP11-416N2.3
ENSG00000188385.11,2.1476,-0.3752,JAKMIP3
ENSG00000231434.1,-4.6082,-4.035,RP11-144L1.8
ENSG00000279410.1,-4.2934,-4.2934,RP11-1102P22.3
ENSG00000272079.2,1.816,1.5806,LA16c-380H5.5
ENSG00000149925.16,10.022,9.6932,ALDOA
ENSG00000242163.1,-9.9658,-9.9658,RP11-299L17.1
ENSG00000254222.1,-9.9658,-9.9658,RP11-787D18.2
ENSG00000271321.1,-9.9658,-9.9658,CTAGE6
ENSG00000216523.1,-9.9658,-9.9658,RP3-435K13.1
ENSG00000144959.9,0.8883,1.8444,NCEH1
ENSG00000111783.12,5.3572,4.7055,RFX4
ENSG00000197893.13,-5.5735,-4.6082,NRAP
ENSG00000159733.13,3.3952,2.3077,ZFYVE28
ENSG00000223864.1,-4.2934,-9.9658,NPM1P19
ENSG00000277539.1,-9.9658,-9.9658,RP11-298C2.1
ENSG00000117602.11,-0.5756,1.8918,RCAN3
ENSG00000276532.1,-3.3076,-9.9658,Metazoa_SRP
ENSG00000207257.1,-9.9658,-9.9658,RNU6-18P
ENSG00000054983.16,4.7372,2.3592,GALC
ENSG00000265144.1,-9.9658,-9.9658,MIR548AM
ENSG00000112200.16,3.8491,4.2855,ZNF451
ENSG00000207944.1,-9.9658,-9.9658,MIR574
ENSG00000249614.1,-4.6082,-4.6082,RP11-703G6.1
ENSG00000223634.1,-9.9658,-9.9658,AC012506.3
ENSG00000231597.1,-9.9658,-9.9658,AC007557.4
ENSG00000262619.1,-1.3548,-0.8084,LINC00621
ENSG00000101236.16,4.215,4.3639,RNF24
ENSG00000263831.1,-9.9658,-9.9658,MIR378E
ENSG00000244155.1,-9.9658,-9.9658,CYP4F34P
ENSG00000113360.16,5.9681,5.9944,DROSHA
ENSG00000099385.11,5.0326,5.4353,BCL7C
ENSG00000250990.1,-2.2447,-2.2447,AC073635.5
ENSG00000223856.1,-9.9658,-9.9658,RAB9AP2
ENSG00000161904.11,5.7869,6.7034,LEMD2
ENSG00000207247.1,-9.9658,-9.9658,Y_RNA
ENSG00000186265.9,-4.035,-3.6259,BTLA
ENSG00000266715.1,-9.9658,-9.9658,MIR5090
ENSG00000179111.8,0.7233,0.4447,HES7
ENSG00000273792.1,-9.9658,-9.9658,RP11-554D20.2
ENSG00000170325.14,1.7828,2.3135,PRDM10
ENSG00000211679.2,-2.3884,-0.9971,IGLC3
ENSG00000276699.1,-9.9658,-9.9658,TRAJ36
ENSG00000104142.10,4.4095,4.4745,VPS18
ENSG00000261504.1,-0.9686,1.46,RP11-317P15.4
ENSG00000199767.1,-9.9658,-9.9658,RNU6-78P
ENSG00000278761.1,-9.9658,-9.9658,DUX4L11
ENSG00000277770.1,-9.9658,-9.9658,RP11-72I8.2
ENSG00000230107.1,-9.9658,-9.9658,CTA-126B4.7
ENSG00000156467.9,8.7213,8.3175,UQCRB
ENSG00000256566.1,-0.1187,0.3573,RP4-734P14.4
ENSG00000264720.2,-9.9658,-9.9658,AL139147.1
ENSG00000261532.1,-1.8314,-9.9658,RP11-304L19.8
ENSG00000165716.9,5.2262,5.2235,FAM69B
ENSG00000204314.10,5.0431,4.4829,PRRT1
ENSG00000224870.6,3.7116,4.843,RP4-758J18.2
ENSG00000254028.1,-3.0469,-9.9658,AC083843.2
ENSG00000204308.7,6.3413,7.439,RNF5
ENSG00000169856.8,-1.8314,-4.2934,ONECUT1
ENSG00000183206.16,-6.5064,-9.9658,POTEC
ENSG00000207548.2,-9.9658,-9.9658,MIR217
ENSG00000278455.1,-4.6082,-4.2934,RP11-261C10.8
ENSG00000265802.2,-0.6873,0.03,RN7SL49P
ENSG00000268830.1,-9.9658,-9.9658,BNIP3P32
ENSG00000277127.1,-9.9658,-9.9658,Metazoa_SRP
ENSG00000260281.5,-3.3076,-2.3884,ITFG1-AS1
ENSG00000173093.12,-9.9658,-2.9324,CCDC63
ENSG00000132964.11,3.4622,3.402,CDK8
ENSG00000226232.8,2.6464,2.1574,RP11-419C5.2
ENSG00000232464.1,-9.9658,-9.9658,CTA-125H2.1
ENSG00000280903.1,-9.9658,-9.9658,Metazoa_SRP
ENSG00000234740.1,-0.5756,-3.3076,RP11-272P10.2
ENSG00000183570.16,4.1644,2.59,PCBP3
ENSG00000211884.1,-9.9658,-9.9658,TRAJ5
ENSG00000101680.13,3.5947,1.3397,LAMA1
ENSG00000255284.1,4.5129,1.7009,AP006621.5
ENSG00000223200.1,-9.9658,-9.9658,AC008836.1
ENSG00000225814.1,-4.035,-4.035,GRPEL2P2
ENSG00000111785.18,3.4881,3.8827,RIC8B
ENSG00000261279.5,1.1382,-9.9658,ULK4P1
ENSG00000173846.12,2.6395,4.0471,PLK3
ENSG00000168303.6,2.0946,1.9034,MPLKIP
ENSG00000242559.3,-9.9658,-9.9658,RN7SL144P
ENSG00000204022.9,-4.6082,-2.7274,LIPJ
ENSG00000163064.6,-9.9658,2.1411,EN1
ENSG00000133027.17,5.5838,5.745,PEMT
ENSG00000213128.3,-9.9658,-9.9658,RPL32P31
ENSG00000124900.12,-5.5735,-2.114,TRIM51
ENSG00000126562.16,2.0218,1.1117,WNK4
ENSG00000200303.1,-9.9658,-9.9658,RNU6-940P
ENSG00000278382.1,-9.9658,-9.9658,RP11-406A20.5
ENSG00000231880.2,-0.2671,-1.1811,RP11-76I23.7
ENSG00000240870.2,-9.9658,-3.816,RPL19P14
ENSG00000256098.1,-9.9658,-9.9658,RP11-691F15.1
ENSG00000249488.1,-9.9658,-9.9658,NACAP5
ENSG00000113441.15,3.5111,2.2543,LNPEP
ENSG00000256195.2,-9.9658,-9.9658,RP11-64D24.4
ENSG00000221164.1,2.5683,-9.9658,SNORA11
ENSG00000265655.1,-9.9658,-9.9658,AC069280.1
ENSG00000203356.2,-4.6082,-5.0116,LINC01562
ENSG00000251236.1,-9.9658,-9.9658,RP11-468N14.1
ENSG00000266542.1,-9.9658,-9.9658,MIR5572
ENSG00000266908.1,-9.9658,-9.9658,RP5-1022P6.7
ENSG00000251377.1,-9.9658,-9.9658,RP11-18H21.3
ENSG00000179165.10,-3.0469,-2.6349,PXT1
ENSG00000257198.6,-9.9658,-9.9658,FAM205BP
ENSG00000082515.16,4.5079,5.5753,MRPL22
ENSG00000221010.2,-9.9658,-9.9658,AL008708.1
ENSG00000242104.3,-2.0529,-9.9658,RP11-340E6.1
ENSG00000276584.1,-9.9658,-9.9658,MIR6737
ENSG00000253943.1,-4.2934,-9.9658,KRT18P37
ENSG00000151012.13,3.7656,2.4386,SLC7A11
ENSG00000214027.3,-9.9658,-3.6259,ARPC3P5
ENSG00000278060.1,-9.9658,-2.8262,RP11-466M21.1
ENSG00000219951.4,-9.9658,-9.9658,RP11-378G13.2
ENSG00000130287.13,8.5138,6.9589,NCAN
ENSG00000232412.1,1.9822,0.4552,RP1-315G1.3
ENSG00000256657.1,-9.9658,-9.9658,RP11-144O23.22
ENSG00000271288.1,-9.9658,-9.9658,IGHV1OR15-3
ENSG00000234275.1,-9.9658,-9.9658,AC017053.1
ENSG00000223761.1,-9.9658,-9.9658,RP11-57C13.4
ENSG00000222990.1,-9.9658,-9.9658,RNU4-22P
ENSG00000269444.1,-9.9658,-3.3076,CTB-180A7.6
ENSG00000253840.1,-9.9658,-9.9658,RP11-767C6.1
ENSG00000228502.1,1.1117,1.0293,EEF1A1P11
ENSG00000141028.6,-2.8262,-2.3884,CDRT15P1
ENSG00000268181.3,-9.9658,-9.9658,RP11-73B2.7
ENSG00000275270.1,-9.9658,-9.9658,AL133391.1
ENSG00000251568.1,-5.0116,-9.9658,ALG3P1
ENSG00000270015.1,2.8994,3.0217,RP11-540B6.6
ENSG00000224354.2,-5.0116,-9.9658,MTND2P5
ENSG00000259474.1,-9.9658,-9.9658,RP11-650L12.1
ENSG00000011677.12,4.3421,3.795,GABRA3
ENSG00000135905.18,4.7388,5.8357,DOCK10
ENSG00000231740.1,-9.9658,-9.9658,RP11-63G10.2
ENSG00000117682.16,3.668,4.499,DHDDS
ENSG00000228571.1,-9.9658,-9.9658,HSFY7P
ENSG00000276934.1,-9.9658,-1.8836,RP11-231E4.5
ENSG00000244265.1,-9.9658,-9.9658,SIAH2-AS1
ENSG00000227719.1,-0.8599,-1.0862,AC006042.6
ENSG00000233139.1,-9.9658,-9.9658,RP11-38O23.4
ENSG00000154493.17,2.5213,2.3048,C10orf90
ENSG00000174197.16,2.676,3.5249,MGA
ENSG00000280224.1,-9.9658,-9.9658,CTA-722E9.1
ENSG00000263525.1,-9.9658,-9.9658,AC022909.1
ENSG00000254971.1,-9.9658,-9.9658,RP11-313I2.11
ENSG00000239180.1,-9.9658,-9.9658,Y_RNA
ENSG00000175643.8,1.1641,4.3548,RMI2
ENSG00000100626.16,5.4111,3.38,GALNT16
ENSG00000237816.1,-9.9658,-9.9658,RPL21P109
ENSG00000228797.2,0.3796,0.9343,FAM207BP
ENSG00000206717.1,-9.9658,-9.9658,Y_RNA
ENSG00000259402.1,-3.6259,-9.9658,RP11-30K9.4
ENSG00000269968.1,0.2029,1.2455,RP5-940J5.9
ENSG00000166509.10,-5.5735,-9.9658,CLEC3A
ENSG00000216205.1,-9.9658,-9.9658,AC036178.1
ENSG00000126088.12,5.795,6.5471,UROD
ENSG00000136631.12,5.8316,6.1418,VPS45
ENSG00000251101.1,-9.9658,-9.9658,RP11-1267H10.1
ENSG00000261710.1,-5.5735,-2.4659,RP11-953B20.1
ENSG00000279576.1,-9.9658,3.4304,MALAT1
ENSG00000252809.3,-9.9658,-9.9658,AC135050.1
ENSG00000257748.1,-9.9658,-9.9658,RP11-966I7.3
ENSG00000196338.12,7.0692,6.5455,NLGN3
ENSG00000230274.1,-2.2447,-9.9658,PGAM1P3
ENSG00000066777.8,4.4061,4.5898,ARFGEF1
ENSG00000251429.1,-2.2447,0.5271,RP11-597D13.7
ENSG00000164404.8,1.3397,-0.9132,GDF9
ENSG00000240292.1,-9.9658,-9.9658,RP11-298O21.2
ENSG00000186675.6,1.787,-3.3076,MAGEE2
ENSG00000184979.9,2.7422,2.4753,USP18
ENSG00000242571.1,-1.1172,-3.3076,RPL21P11
ENSG00000272335.1,3.4543,3.0038,RP11-53O19.3
ENSG00000271511.1,-1.6394,-1.6394,RP11-712C19.1
ENSG00000226427.1,-9.9658,-0.9971,HMGN2P7
ENSG00000199322.1,-9.9658,-9.9658,RNA5SP183
ENSG00000238419.1,-9.9658,-9.9658,RNU7-186P
ENSG00000240480.1,-9.9658,-9.9658,RPL29P2
ENSG00000233996.1,-5.0116,-5.0116,AC013439.4
ENSG00000171243.7,-2.7274,-2.5479,SOSTDC1
ENSG00000282692.1,-9.9658,-4.6082,CTD-3212A4.2
ENSG00000267041.5,-0.6193,1.7702,ZNF850
ENSG00000250180.1,-9.9658,-9.9658,RP11-138A23.2
ENSG00000251535.1,-2.114,-9.9658,RP11-478C6.1
ENSG00000280387.1,-5.0116,-3.6259,RP5-1153D9.5
ENSG00000230335.1,-9.9658,-9.9658,DNAJB5P1
ENSG00000277297.1,-9.9658,-9.9658,ATP5A1P10
ENSG00000223202.1,-9.9658,-9.9658,RN7SKP297
ENSG00000147081.14,-9.9658,-9.9658,AKAP4
ENSG00000244089.1,-9.9658,-9.9658,HMGB1P30
ENSG00000266761.1,-9.9658,-9.9658,MIR3194
ENSG00000260084.1,-2.1779,-3.816,RP11-615I2.1
ENSG00000231369.1,-2.8262,-2.8262,RP1-40G4P.1
ENSG00000251080.1,-9.9658,-9.9658,RP11-415C15.1
ENSG00000251353.1,-9.9658,-9.9658,MTND3P5
ENSG00000111530.12,5.6812,6.0025,CAND1
ENSG00000120457.11,0.6699,0.044,KCNJ5
ENSG00000231234.2,-0.5973,0.7999,SKP1P1
ENSG00000131538.7,-9.9658,-9.9658,TTTY6
ENSG00000258629.1,-9.9658,-9.9658,CTD-2014B16.1
ENSG00000268407.1,-0.8084,-9.9658,AC006115.6
ENSG00000187486.5,5.1776,-0.0877,KCNJ11
ENSG00000272989.1,-1.0862,-3.816,RP13-616I3.1
