ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	69/461	482/17653	1.38390249093095e-31	2.04683642610272e-29	1.47412635451627e-29	CCR7/LCK/SLA2/CD3E/CD3G/GRAP2/CD3D/TRAT1/CD247/FPR3/HLA-DQA1/CTLA4/SKAP1/HLA-DPB1/UBASH3A/THEMIS2/KLHL6/C3AR1/WAS/HLA-DPA1/LILRB2/PTPN6/PTPN22/FGR/FOXP3/LCP2/ICAM3/CD4/HLA-DRA/HLA-DRB1/FCER1G/VAV1/GCSAM/CD28/IGLL5/C5AR1/FCGR2A/HLA-DQB1/CLEC7A/ARPC1B/CLEC10A/PTPRC/HCK/NCKAP1L/LILRB4/BTK/NFAM1/FCGR3A/TEC/HLA-DQB2/CD79A/THEMIS/C5AR2/LILRB1/MNDA/SYK/FYB1/FPR1/CD40/CR1/CARD11/MYO1G/FCRL3/PLCG2/PRKCD/CLEC4A/ZAP70/CLEC4D/CD300A	69
GO:0002429	GO:0002429	immune response-activating cell surface receptor signaling pathway	66/461	450/17653	7.45972151815346e-31	1.06883822377293e-28	7.69774552712086e-29	CCR7/LCK/SLA2/CD3E/CD3G/GRAP2/CD3D/TRAT1/CD247/FPR3/HLA-DQA1/CTLA4/SKAP1/HLA-DPB1/UBASH3A/THEMIS2/KLHL6/C3AR1/WAS/HLA-DPA1/PTPN6/PTPN22/FGR/FOXP3/LCP2/ICAM3/CD4/HLA-DRA/HLA-DRB1/FCER1G/VAV1/GCSAM/CD28/IGLL5/C5AR1/FCGR2A/HLA-DQB1/CLEC7A/ARPC1B/CLEC10A/PTPRC/HCK/NCKAP1L/LILRB4/BTK/NFAM1/FCGR3A/TEC/HLA-DQB2/CD79A/THEMIS/C5AR2/MNDA/SYK/FYB1/FPR1/CR1/CARD11/MYO1G/FCRL3/PLCG2/PRKCD/CLEC4A/ZAP70/CLEC4D/CD300A	66
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	43/461	168/17653	1.37735176171596e-30	1.91368419014172e-28	1.37823045502487e-28	CD96/SLAMF6/SH2D1A/IL12RB1/STXBP2/CRTAM/IL7R/WAS/RIPK3/PTPN6/FGR/FOXP3/CCR2/ARRB2/FCER1G/ITGB2/RAC2/LGALS9/IL10/VAV1/CD28/CD84/SASH3/PTPRC/ADGRE2/BTK/HAVCR2/TNFSF13/LILRB1/NOD2/SYK/VAMP8/CD40/CR1/TGFB1/PTAFR/IL4R/NLRP3/C4BPB/IL18RAP/LAG3/ITGAM/CD300A	43
GO:0042102	GO:0042102	positive regulation of T cell proliferation	33/461	96/17653	2.33110780755787e-28	3.14356744048613e-26	2.26398922362509e-26	CD3E/CCL5/CD6/IL12RB1/EBI3/HLA-DPB1/HLA-DPA1/LILRB2/CD80/FOXP3/CCR2/CD4/LGALS9/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DMB/SASH3/PTPRC/NCKAP1L/IL15/HAVCR2/IGF1/PYCARD/CORO1A/SYK/IL18/IL2RA/CD55/CARD11/ZAP70	33
GO:0050671	GO:0050671	positive regulation of lymphocyte proliferation	37/461	132/17653	5.15103201033045e-28	6.74785193353289e-26	4.85978568914485e-26	CD3E/CCL5/CD6/IL12RB1/EBI3/HLA-DPB1/CD74/HLA-DPA1/LILRB2/CD80/FOXP3/CCR2/CD4/LGALS9/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL15/HAVCR2/IGF1/PYCARD/CORO1A/SYK/IL18/IL2RA/CD40/CD55/CARD11/FCRL3/ZAP70	37
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	37/461	133/17653	6.96848236809897e-28	8.87513657159272e-26	6.3918506399785e-26	CD3E/CCL5/CD6/IL12RB1/EBI3/HLA-DPB1/CD74/HLA-DPA1/LILRB2/CD80/FOXP3/CCR2/CD4/LGALS9/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL15/HAVCR2/IGF1/PYCARD/CORO1A/SYK/IL18/IL2RA/CD40/CD55/CARD11/FCRL3/ZAP70	37
GO:0046631	GO:0046631	alpha-beta T cell activation	35/461	116/17653	8.82188211711085e-28	1.09319809478252e-25	7.87318469455952e-26	SLAMF6/CD3E/LY9/IL12RB1/EBI3/ZNF683/CD80/FOXP3/EOMES/CCR2/LGALS9/CD28/RASAL3/CD86/PTGER4/TNFSF8/IRF4/GPR183/SASH3/NCKAP1L/IL27/IL15/BATF/GPR18/DOCK2/LILRB1/IL18R1/SYK/SPN/IL18/CD55/IL4R/NLRP3/ZAP70/CD300A	35
GO:0070665	GO:0070665	positive regulation of leukocyte proliferation	37/461	140/17653	5.3468814568796e-27	6.45143459994552e-25	4.6463066842746e-25	CD3E/CCL5/CD6/IL12RB1/EBI3/HLA-DPB1/CD74/HLA-DPA1/LILRB2/CD80/FOXP3/CCR2/CD4/LGALS9/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/IL15/HAVCR2/IGF1/PYCARD/CORO1A/SYK/IL18/IL2RA/CD40/CD55/CARD11/FCRL3/ZAP70	37
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	52/461	314/17653	5.77890473673634e-27	6.79391749177849e-25	4.89296198627311e-25	SLAMF6/SLA2/CD27/LY9/IL12RB1/CD8A/C1QB/EBI3/C1QC/C1QA/TLR8/CD74/KLHL6/IL7R/WAS/RIPK3/CD80/PTPN6/FOXP3/CCR2/CD4/FCER1G/IL10/CD28/CD40LG/IGLL5/IRF4/HLA-DQB1/SASH3/PTPRC/IL27/BTK/CTSC/HAVCR2/SLC11A1/BATF/TNFSF13/LILRB1/IL18R1/SPN/IL18/C2/CD40/CR1/CD55/TGFB1/IL4R/MYO1G/NLRP3/C4BPB/IL18RAP/PRKCD	52
GO:0002683	GO:0002683	negative regulation of immune system process	59/461	426/17653	2.89377681240577e-26	3.31699167122011e-24	2.38888891066234e-24	PDCD1/CD96/SLA2/GPR171/C1QC/CTLA4/UBASH3A/CD74/TBC1D10C/IL7R/LILRB2/CD80/PTPN6/PTPN22/LILRB3/HLA-DOA/FOXP3/CCR2/ARRB2/FCER1G/CD300LF/LGALS9/MAFB/TIGIT/IL10/GCSAM/CD84/CD86/PTGER4/IRF4/PTPRC/LILRB4/BTK/HAVCR2/GPR18/PPARG/C5AR2/SAMSN1/LILRB1/MNDA/GPNMB/NOD2/MILR1/SPN/LAX1/IL2RA/CEBPB/CR1/CD55/TGFB1/IL4R/CD14/NLRP3/C4BPB/FCRL3/GPR55/CCL3/LAG3/CD300A	59
GO:0002449	GO:0002449	lymphocyte mediated immunity	51/461	315/17653	5.51840552650318e-26	6.17119252171149e-24	4.44447705690385e-24	CD96/SLAMF6/SLA2/CD27/SH2D1A/IL12RB1/SLAMF7/CD8A/C1QB/C1QC/C1QA/TLR8/CD74/CRTAM/IL7R/WAS/RIPK3/PTPN6/FOXP3/ARRB2/FCER1G/LGALS9/IL10/VAV1/CD28/CD40LG/IGLL5/HLA-DQB1/SASH3/PTPRC/BTK/CTSC/HAVCR2/SLC11A1/BATF/TNFSF13/LILRB1/CORO1A/IL18/C2/CD40/CR1/CD55/TGFB1/IL4R/MYO1G/NLRP3/C4BPB/IL18RAP/PRKCD/LAG3	51
GO:1902105	GO:1902105	regulation of leukocyte differentiation	46/461	256/17653	1.67105603894724e-25	1.82423617585073e-23	1.31381022410463e-23	CD2/IKZF3/CD27/IL12RB1/C1QC/CTLA4/CD74/HCLS1/IL7R/ZNF683/LILRB2/CD80/PTPN6/LILRB3/HLA-DOA/FOXP3/EVI2B/CD4/TYROBP/LGALS9/MAFB/CD28/CD86/IRF4/SASH3/NCKAP1L/LILRB4/IL27/BTK/NFAM1/IL15/VNN1/LILRB1/SYK/IL18/IL2RA/CEBPB/CR1/CARD11/TGFB1/IL4R/NLRP3/FCRL3/GPR55/CCL3/ZAP70	46
GO:0050900	GO:0050900	leukocyte migration	60/461	470/17653	8.50829805630545e-25	9.07222013678151e-23	6.53378971912612e-23	SIRPG/CCR7/CD2/LCK/CXCR3/CCL5/FPR3/CD48/CD74/C3AR1/JAML/DOK2/RIPK3/CCR5/PTPN6/GPSM3/CCR2/CCL23/SLC7A7/FCER1G/ITGB2/RAC2/TRPM2/CCL4/LGALS9/IL10/VAV1/CMKLR1/GCSAM/CD84/PTGER4/IL16/C5AR1/GPR183/HCK/JCHAIN/ADGRE2/NCKAP1L/ITGAL/GPR18/CSF3R/C5AR2/PYCARD/CORO1A/SYK/SPN/CXCL9/TRPV4/CCL22/FPR1/MPP1/TGFB1/PTAFR/MYO1G/CCL3/SELPLG/TNFRSF10A/ZAP70/ITGAM/CD300A	60
GO:0002699	GO:0002699	positive regulation of immune effector process	38/461	175/17653	2.49881536157351e-24	2.60387918927604e-22	1.87530712661629e-22	SLAMF6/SH2D1A/IL12RB1/CD74/STXBP2/CRTAM/CD80/FGR/FOXP3/CCR2/FCER1G/ITGB2/RAC2/LGALS9/VAV1/CD28/CD84/CD86/MZB1/HLA-DMB/SASH3/ADGRE2/BTK/TNFSF13/LILRB1/NOD2/SYK/IL18/VAMP8/CD40/TGFB1/PTAFR/IL4R/NLRP3/IL18RAP/LAG3/ITGAM/CD300A	38
GO:0031349	GO:0031349	positive regulation of defense response	59/461	466/17653	3.33436020255709e-24	3.39734256193873e-22	2.44675741647289e-22	CCR7/SLAMF6/CCL5/CD6/SH2D1A/TLR8/CRTAM/GPSM3/PTPN22/CTSS/CCR2/ARRB2/ICAM3/CCL23/TLR5/FCER1G/ITGB2/CD300LF/CCL4/VAV1/CD28/PTGER4/CD1D/IRF4/TLR2/CLEC7A/CLEC10A/HCK/BTK/IL15/HAVCR2/PYCARD/GFI1/LGMN/NOD2/SYK/IL18/PIK3AP1/TNIP3/TRPV4/CYBA/VAMP8/GBP5/TLR1/NLRC4/CARD11/TGFB1/TLR7/CD14/IL18RAP/FCRL3/CCL3/PLCG2/PRKCD/CLEC4A/LAG3/ITGAM/CLEC4D/CD300A	59
GO:0031295	GO:0031295	T cell costimulation	27/461	77/17653	1.11438970877144e-23	1.11075582928632e-21	7.99963504900691e-22	PDCD1/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD5/HLA-DQA1/CTLA4/HLA-DPB1/HLA-DPA1/CD80/PTPN6/CD4/HLA-DRA/HLA-DRB1/VAV1/CD28/CD40LG/CD86/HLA-DQB1/MAP3K8/HLA-DQB2/CARD11	27
GO:0050851	GO:0050851	antigen receptor-mediated signaling pathway	46/461	282/17653	1.180737028927e-23	1.15184665481496e-21	8.29557012260697e-22	CCR7/LCK/SLA2/CD3E/CD3G/GRAP2/CD3D/TRAT1/CD247/HLA-DQA1/CTLA4/SKAP1/HLA-DPB1/UBASH3A/THEMIS2/KLHL6/WAS/HLA-DPA1/PTPN6/PTPN22/FOXP3/LCP2/CD4/HLA-DRA/HLA-DRB1/GCSAM/CD28/IGLL5/HLA-DQB1/PTPRC/NCKAP1L/LILRB4/BTK/NFAM1/TEC/HLA-DQB2/CD79A/THEMIS/MNDA/SYK/FYB1/CARD11/FCRL3/PLCG2/ZAP70/CD300A	46
GO:0032609	GO:0032609	interferon-gamma production	30/461	102/17653	1.32090749279146e-23	1.26174184467684e-21	9.08703246685703e-22	CCR7/CD96/SLAMF6/CD2/CD3E/IL12RB1/EBI3/HLA-DPB1/TLR8/HLA-DPA1/RIPK3/PTPN22/FOXP3/EOMES/CCR2/LGALS9/IL10/SASH3/IL27/HAVCR2/SLC11A1/LILRB1/PYCARD/IL18R1/SPN/IL18/TLR7/CD14/IRF8/IL18RAP	30
GO:0031294	GO:0031294	lymphocyte costimulation	27/461	78/17653	1.66384834567497e-23	1.55688666631015e-21	1.12126579170406e-21	PDCD1/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD5/HLA-DQA1/CTLA4/HLA-DPB1/HLA-DPA1/CD80/PTPN6/CD4/HLA-DRA/HLA-DRB1/VAV1/CD28/CD40LG/CD86/HLA-DQB1/MAP3K8/HLA-DQB2/CARD11	27
GO:0045619	GO:0045619	regulation of lymphocyte differentiation	35/461	156/17653	5.35350836551266e-23	4.90916717117511e-21	3.53556963002384e-21	CD2/IKZF3/CD27/IL12RB1/CTLA4/CD74/IL7R/ZNF683/LILRB2/CD80/PTPN6/HLA-DOA/FOXP3/LGALS9/CD28/CD86/IRF4/SASH3/NCKAP1L/LILRB4/IL27/BTK/NFAM1/IL15/VNN1/SYK/IL18/IL2RA/CR1/CARD11/TGFB1/IL4R/NLRP3/FCRL3/ZAP70	35
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	35/461	162/17653	2.05126829728482e-22	1.83448792036878e-20	1.32119350426376e-20	SLAMF6/LY9/IL12RB1/ZNF683/CD80/FOXP3/EOMES/LCP1/FCER1G/LGALS9/IL10/CD28/CD40LG/CD86/PTGER4/IRF4/HLA-DMB/GPR183/IL27/HAVCR2/SLC11A1/ITGAL/BATF/TNFSF13/LILRB1/CORO1A/IL18R1/SPN/IL18/CD40/TGFB1/IL4R/NLRP3/PLCG2/CLEC4D	35
GO:0002237	GO:0002237	response to molecule of bacterial origin	49/461	345/17653	2.08055336661235e-22	1.83448792036878e-20	1.32119350426376e-20	CCR7/CD96/CD27/CCL5/CD6/FASLG/IL10RA/LILRB2/CD80/CCR5/PTPN22/CSF2RB/TLR5/LGALS9/IL10/CD86/PTGER4/TNFRSF1B/C5AR1/TLR2/HCK/ACP5/HAVCR2/SLC11A1/PTGER2/LILRB1/PYCARD/GFI1/NOD2/IL18/TNIP3/CXCL9/TNFRSF8/TLR1/VDR/CD40/CEBPB/CD55/TGFB1/PTAFR/CEBPE/IRF5/CD14/NLRP3/IRF8/CCL3/PLCG2/TNFRSF10A/LY86	49
GO:0045088	GO:0045088	regulation of innate immune response	54/461	427/17653	3.53913149176171e-22	3.06168262070329e-20	2.20501598602909e-20	CD96/SLAMF6/CCL5/SH2D1A/TLR8/CRTAM/PTPN6/PTPN22/FGR/CTSS/ARRB2/ICAM3/TLR5/FCER1G/ITGB2/CD300LF/LGALS9/VAV1/CD1D/IRF4/TLR2/CLEC7A/CLEC10A/HCK/BTK/HAVCR2/PPARG/LILRB1/PYCARD/GFI1/LGMN/NOD2/SYK/PIK3AP1/TNIP3/CYBA/GBP5/TLR1/NLRC4/CR1/CARD11/TLR7/CD14/IL18RAP/FCRL3/PLCG2/PRKCD/CLEC4A/SAMHD1/LAG3/ITGAM/CLEC4D/RNF135/CD300A	54
GO:0032649	GO:0032649	regulation of interferon-gamma production	27/461	91/17653	1.77610018053769e-21	1.50804061625283e-19	1.08608699149059e-19	CCR7/CD96/SLAMF6/CD2/CD3E/IL12RB1/EBI3/HLA-DPB1/TLR8/HLA-DPA1/RIPK3/PTPN22/FOXP3/CCR2/LGALS9/IL10/SASH3/IL27/HAVCR2/SLC11A1/LILRB1/PYCARD/IL18R1/IL18/TLR7/CD14/IRF8	27
GO:0032496	GO:0032496	response to lipopolysaccharide	46/461	327/17653	6.49705389863229e-21	5.41618038640528e-19	3.90071924976258e-19	CCR7/CD96/CD27/CCL5/CD6/FASLG/IL10RA/LILRB2/CD80/CCR5/PTPN22/CSF2RB/TLR5/LGALS9/IL10/CD86/PTGER4/TNFRSF1B/C5AR1/TLR2/HCK/ACP5/HAVCR2/SLC11A1/PTGER2/LILRB1/PYCARD/GFI1/IL18/TNIP3/CXCL9/TNFRSF8/VDR/CD40/CEBPB/CD55/TGFB1/PTAFR/CEBPE/CD14/NLRP3/IRF8/CCL3/PLCG2/TNFRSF10A/LY86	46
GO:0045580	GO:0045580	regulation of T cell differentiation	30/461	128/17653	1.84342934053512e-20	1.50930777256313e-18	1.08699959422156e-18	CD2/CD27/IL12RB1/CTLA4/CD74/IL7R/ZNF683/LILRB2/CD80/HLA-DOA/FOXP3/LGALS9/CD28/CD86/IRF4/SASH3/NCKAP1L/LILRB4/IL27/IL15/VNN1/SYK/IL18/IL2RA/CR1/CARD11/TGFB1/IL4R/NLRP3/ZAP70	30
GO:0045058	GO:0045058	T cell selection	20/461	45/17653	2.51223521198998e-20	2.02080674508317e-18	1.45537984487767e-18	CCR7/SLAMF6/CD3E/CD3D/LY9/IL12RB1/CD74/FOXP3/CD4/CD28/CD1D/IRF4/IL15/BATF/DOCK2/THEMIS/SYK/SPN/CARD11/ZAP70	20
GO:0006909	GO:0006909	phagocytosis	45/461	330/17653	6.26839750342087e-20	4.95527630227323e-18	3.56877730820895e-18	SIRPG/SLAMF1/CD3G/CD247/WAS/FGR/ICAM3/RHOH/FCER1G/ITGB2/CD300LF/RAC2/VAV1/CEACAM4/IGLL5/FCGR2A/MSR1/TLR2/NCF4/CLEC7A/ARPC1B/HCK/NCKAP1L/FCGR3A/SLC11A1/ITGAL/NCF2/DOCK2/PPARG/PYCARD/CORO1A/SYK/C2/CYBA/RHOG/TGFB1/CEBPE/MYO1G/CD14/C4BPB/IRF8/PLCG2/PRKCD/ITGAM/CD300A	45
GO:0002706	GO:0002706	regulation of lymphocyte mediated immunity	29/461	124/17653	8.62133711526088e-20	6.69980180906291e-18	4.82518011250194e-18	CD96/SLAMF6/SH2D1A/IL12RB1/CRTAM/IL7R/WAS/RIPK3/PTPN6/FOXP3/ARRB2/FCER1G/LGALS9/IL10/VAV1/CD28/SASH3/PTPRC/BTK/HAVCR2/TNFSF13/LILRB1/CD40/CR1/TGFB1/NLRP3/C4BPB/IL18RAP/LAG3	29
GO:0002286	GO:0002286	T cell activation involved in immune response	26/461	96/17653	1.30508407155482e-19	9.97301744679812e-18	7.18254163590787e-18	SLAMF6/LY9/IL12RB1/CD80/FOXP3/EOMES/LCP1/FCER1G/LGALS9/CD86/PTGER4/IRF4/HLA-DMB/GPR183/IL27/HAVCR2/SLC11A1/ITGAL/BATF/LILRB1/IL18R1/SPN/IL18/IL4R/NLRP3/CLEC4D	26
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	28/461	118/17653	2.47658139128016e-19	1.86149601295402e-17	1.3406446634074e-17	CD2/SLAMF1/PTPN22/FOXP3/CCR2/ARRB2/FCER1G/LGALS9/IL10/CD86/TLR2/SASH3/ACP5/HAVCR2/GPR18/C5AR2/LILRB1/PYCARD/GPNMB/NOD2/SPN/CYBB/CYBA/TNFRSF8/TLR1/PTAFR/CD14/CCL3	28
GO:0050852	GO:0050852	T cell receptor signaling pathway	35/461	200/17653	2.94544985578958e-19	2.17820767561213e-17	1.56873959212426e-17	CCR7/LCK/CD3E/CD3G/GRAP2/CD3D/TRAT1/CD247/HLA-DQA1/SKAP1/HLA-DPB1/UBASH3A/THEMIS2/WAS/HLA-DPA1/PTPN6/PTPN22/FOXP3/LCP2/CD4/HLA-DRA/HLA-DRB1/CD28/HLA-DQB1/PTPRC/LILRB4/BTK/TEC/HLA-DQB2/THEMIS/FYB1/CARD11/PLCG2/ZAP70/CD300A	35
GO:0002819	GO:0002819	regulation of adaptive immune response	29/461	131/17653	4.40312226297214e-19	3.20449453582972e-17	2.30786876172825e-17	IL12RB1/CD48/IL7R/WAS/RIPK3/CD80/PTPN6/FOXP3/CCR2/CD4/FCER1G/IL10/CD28/SASH3/PTPRC/IL27/BTK/HAVCR2/SLC11A1/TNFSF13/SAMSN1/LILRB1/PYCARD/CD40/CR1/TGFB1/IL4R/NLRP3/C4BPB	29
GO:0046632	GO:0046632	alpha-beta T cell differentiation	25/461	91/17653	4.52727318758117e-19	3.24336680704057e-17	2.33586447194772e-17	SLAMF6/LY9/IL12RB1/ZNF683/CD80/FOXP3/EOMES/LGALS9/CD86/PTGER4/TNFSF8/IRF4/GPR183/SASH3/NCKAP1L/IL27/BATF/GPR18/IL18R1/SYK/SPN/IL18/IL4R/NLRP3/ZAP70	25
GO:0002695	GO:0002695	negative regulation of leukocyte activation	31/461	154/17653	4.97674904270954e-19	3.51052220935742e-17	2.52826910882264e-17	SLA2/CTLA4/CD74/TBC1D10C/LILRB2/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD300LF/LGALS9/TIGIT/IL10/CD84/CD86/BTK/HAVCR2/SAMSN1/LILRB1/MNDA/GPNMB/MILR1/SPN/LAX1/IL2RA/CEBPB/TGFB1/IL4R/LAG3/CD300A	31
GO:0046634	GO:0046634	regulation of alpha-beta T cell activation	23/461	74/17653	5.42937422796409e-19	3.77176982351748e-17	2.71641897179001e-17	CD3E/IL12RB1/EBI3/ZNF683/CD80/FOXP3/CCR2/LGALS9/CD28/RASAL3/CD86/IRF4/SASH3/NCKAP1L/IL27/LILRB1/SYK/IL18/CD55/IL4R/NLRP3/ZAP70/CD300A	23
GO:0060326	GO:0060326	cell chemotaxis	40/461	273/17653	5.86528465656397e-19	4.0137806194546e-17	2.89071452751629e-17	CCR7/CXCR3/CCL5/FPR3/CD74/C3AR1/JAML/CCR5/GPSM3/CCR2/ARRB2/CCL23/FCER1G/ITGB2/RAC2/TRPM2/CCL4/LGALS9/IL10/VAV1/CMKLR1/IL16/C5AR1/GPR183/ADGRE2/NCKAP1L/GPR18/CSF3R/C5AR2/CORO1A/SYK/CXCL9/TRPV4/RHOG/CCL22/FPR1/MPP1/P2RX4/CCL3/PRKCD	40
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	28/461	123/17653	8.1888817514741e-19	5.52147394566305e-17	3.97655140160592e-17	CD2/SLAMF1/PTPN22/FOXP3/CCR2/ARRB2/FCER1G/LGALS9/IL10/CD86/TLR2/SASH3/ACP5/HAVCR2/GPR18/C5AR2/LILRB1/PYCARD/GPNMB/NOD2/SPN/CYBB/CYBA/TNFRSF8/TLR1/PTAFR/CD14/CCL3	28
GO:0045089	GO:0045089	positive regulation of innate immune response	45/461	353/17653	9.34133602070578e-19	6.20725009491826e-17	4.47044562882594e-17	SLAMF6/CCL5/SH2D1A/TLR8/CRTAM/PTPN22/CTSS/ARRB2/ICAM3/TLR5/FCER1G/ITGB2/CD300LF/VAV1/CD1D/IRF4/TLR2/CLEC7A/CLEC10A/HCK/BTK/HAVCR2/PYCARD/GFI1/LGMN/NOD2/SYK/PIK3AP1/TNIP3/CYBA/GBP5/TLR1/NLRC4/CARD11/TLR7/CD14/IL18RAP/FCRL3/PLCG2/PRKCD/CLEC4A/LAG3/ITGAM/CLEC4D/CD300A	45
GO:0032680	GO:0032680	regulation of tumor necrosis factor production	27/461	114/17653	1.15639874201359e-18	7.57441176018904e-17	5.45507196044608e-17	CD2/SLAMF1/PTPN22/FOXP3/CCR2/ARRB2/FCER1G/LGALS9/IL10/TLR2/SASH3/ACP5/HAVCR2/GPR18/C5AR2/LILRB1/PYCARD/GPNMB/NOD2/SPN/CYBB/CYBA/TNFRSF8/TLR1/PTAFR/CD14/CCL3	27
GO:0042089	GO:0042089	cytokine biosynthetic process	26/461	105/17653	1.53419336990005e-18	9.90743183238271e-17	7.13530704429422e-17	CD3E/LTB/EBI3/TLR8/CD80/FOXP3/CCR2/CD4/IL10/CD28/CD86/IRF4/IL27/LILRB1/SYK/SPN/IL18/CYBB/TNFRSF8/TLR1/CEBPB/CARD11/PTAFR/TLR7/CEBPE/LAG3	26
GO:0050866	GO:0050866	negative regulation of cell activation	32/461	173/17653	1.89134945351741e-18	1.20442183949685e-16	8.6742152568481e-17	SLA2/CTLA4/CD74/TBC1D10C/LILRB2/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD300LF/LGALS9/TIGIT/IL10/CD84/CD86/BTK/HAVCR2/SAMSN1/LILRB1/MNDA/GPNMB/MILR1/SPN/LAX1/IL2RA/CEBPB/TGFB1/IL4R/PRKCD/LAG3/CD300A	32
GO:0042107	GO:0042107	cytokine metabolic process	26/461	106/17653	1.9844269011579e-18	1.24638319750808e-16	8.97641988310359e-17	CD3E/LTB/EBI3/TLR8/CD80/FOXP3/CCR2/CD4/IL10/CD28/CD86/IRF4/IL27/LILRB1/SYK/SPN/IL18/CYBB/TNFRSF8/TLR1/CEBPB/CARD11/PTAFR/TLR7/CEBPE/LAG3	26
GO:0032640	GO:0032640	tumor necrosis factor production	27/461	117/17653	2.38213857001719e-18	1.47596018155795e-16	1.06298274454394e-16	CD2/SLAMF1/PTPN22/FOXP3/CCR2/ARRB2/FCER1G/LGALS9/IL10/TLR2/SASH3/ACP5/HAVCR2/GPR18/C5AR2/LILRB1/PYCARD/GPNMB/NOD2/SPN/CYBB/CYBA/TNFRSF8/TLR1/PTAFR/CD14/CCL3	27
GO:0032729	GO:0032729	positive regulation of interferon-gamma production	21/461	62/17653	2.48135552829954e-18	1.51693534630045e-16	1.09249295330185e-16	SLAMF6/CD2/CD3E/IL12RB1/EBI3/HLA-DPB1/TLR8/HLA-DPA1/PTPN22/CCR2/LGALS9/SASH3/IL27/HAVCR2/SLC11A1/PYCARD/IL18R1/IL18/TLR7/CD14/IRF8	21
GO:0030595	GO:0030595	leukocyte chemotaxis	34/461	202/17653	3.43250050563968e-18	2.07079142346815e-16	1.49137868229802e-16	CCR7/CXCR3/CCL5/CD74/C3AR1/JAML/CCR5/GPSM3/CCR2/CCL23/FCER1G/ITGB2/RAC2/TRPM2/CCL4/LGALS9/IL10/VAV1/CMKLR1/IL16/C5AR1/GPR183/ADGRE2/NCKAP1L/GPR18/CSF3R/C5AR2/CORO1A/SYK/CXCL9/TRPV4/CCL22/MPP1/CCL3	34
GO:0042113	GO:0042113	B cell activation	39/461	273/17653	4.05013724780437e-18	2.41167263391988e-16	1.7368804574658e-16	SLA2/IKZF3/CD27/CTLA4/CD74/TBC1D10C/CMTM7/IL7R/PTPN6/FOXP3/IL10/CD28/CD40LG/MZB1/IGLL5/GPR183/SASH3/PTPRC/NCKAP1L/BTK/NFAM1/BATF/CD79A/TNFSF13/SAMSN1/MNDA/NOD2/SYK/FLT3/LAX1/CD40/CARD11/TGFB1/FCRL3/PLCG2/PRKCD/LYL1/ZAP70/CD300A	39
GO:0071216	GO:0071216	cellular response to biotic stimulus	34/461	204/17653	4.71618838008689e-18	2.77227227214082e-16	1.99658339383705e-16	CCL5/CD6/LILRB2/CD80/CCR5/PTPN22/TLR5/IL10/CD86/TNFRSF1B/TLR2/HCK/BTK/HAVCR2/LILRB1/PYCARD/GFI1/NOD2/SYK/IL18/TNIP3/TLR1/VDR/CD40/CEBPB/CD55/TGFB1/PTAFR/CEBPE/CD14/NLRP3/IRF8/CCL3/LY86	34
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	32/461	182/17653	9.07356641387355e-18	5.26611417817851e-16	3.79264195074235e-16	CCL5/CD6/LILRB2/CD80/CCR5/PTPN22/TLR5/IL10/CD86/TNFRSF1B/TLR2/HCK/HAVCR2/LILRB1/PYCARD/GFI1/NOD2/IL18/TNIP3/TLR1/VDR/CD40/CEBPB/CD55/TGFB1/PTAFR/CEBPE/CD14/NLRP3/IRF8/CCL3/LY86	32
GO:1903706	GO:1903706	regulation of hemopoiesis	49/461	450/17653	1.88204764102512e-17	1.07864855426252e-15	7.76839927617868e-16	CD2/IKZF3/CD27/GPR171/IL12RB1/C1QC/CTLA4/CD74/HCLS1/IL7R/ZNF683/SPI1/LILRB2/CD80/PTPN6/LILRB3/HLA-DOA/FOXP3/EVI2B/CD4/TYROBP/LGALS9/MAFB/CD28/CD86/IRF4/SASH3/NCKAP1L/LILRB4/IL27/BTK/NFAM1/IL15/VNN1/CSF3R/LILRB1/SYK/IL18/IL2RA/CEBPB/CR1/CARD11/TGFB1/IL4R/NLRP3/FCRL3/GPR55/CCL3/ZAP70	49
