Rank	Score	Type	ID	Name	Description
1114	33.65	cp	BRD-K46317332	proadifen	Nitric oxide synthase inhibitor
1116	33.54	cp	BRD-A29437505	RWJ-21757	TLR agonist
1117	33.44	cp	BRD-A92670106	tocainide	Sodium channel blocker
1118	33.33	cp	BRD-K19360254	ergocornine	Dopamine receptor agonist
1119	33.25	cp	BRD-K02953697	naringin	Cytochrome P450 inhibitor
1120	33.24	cp	BRD-A10070317	propranolol	Adrenergic receptor antagonist
1121	33.22	cp	BRD-K05977355	fluconazole	Sterol demethylase inhibitor
1123	33.07	cp	BRD-K59633790	VU-0420363-1	SARS coronavirus 3C-like protease inhibitor
1124	33.04	cp	BRD-K20986251	lithocholic-acid	FXR antagonist
1126	32.98	cp	BRD-A21723284	naltriben	Opioid receptor antagonist
1128	32.93	cp	BRD-A67605442	tetrahydrobiopterin	Nitric oxide stimulant
1130	32.85	cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
1131	32.83	cp	BRD-K73319509	PF-04217903	c-Met inhibitor
1133	32.68	cp	BRD-A59303141	quinethazone	Thiazide diuretic
1134	32.66	cp	BRD-K15791587	L-733060	Tachykinin antagonist
1135	32.62	cp	BRD-K50018155	RS-67506	Serotonin receptor partial agonist
1137	32.56	cp	BRD-K97181089	amiloride	Sodium channel blocker
1142	32.27	cp	BRD-K12516989	zaprinast	Phosphodiesterase inhibitor
1143	32	cp	BRD-K33483813	actarit	Interleukin receptor agonist
1147	31.89	cp	BRD-K02265150	amoxapine	Norepinephrine reuptake inhibitor
1149	31.87	cp	BRD-K74430258	1,2-dichlorobenzene	Hepatotoxicant
1150	31.83	cp	BRD-K71799949	carbamazepine	Carboxamide antiepileptic
1152	31.76	cp	BRD-K18194590	mephentermine	Adrenergic receptor agonist
1153	31.72	cp	BRD-A78377521	monastrol	Kinesin-like spindle protein inhibitor
1155	31.59	cp	BRD-K55930204	phenytoin	Hydantoin antiepileptic
1156	31.5	cp	BRD-A15297126	fluocinonide	Glucocorticoid receptor agonist
1157	31.38	cp	BRD-A49046702	SKF-89976A	GABA uptake inhibitor
1160	31.21	cp	BRD-A22256192	terazosin	Adrenergic receptor antagonist
1167	31.02	cp	BRD-K99595596	salsolinol	Monoamine oxidase inhibitor
1170	30.93	cp	BRD-K99451608	lopinavir	HIV protease inhibitor
1172	30.8	cp	BRD-K96862998	pirfenidone	TGF beta receptor inhibitor
1173	30.8	cp	BRD-A02180903	betamethasone	Glucocorticoid receptor agonist
1174	30.72	cp	BRD-K61177364	NBI-27914	CRF receptor antagonist
1178	30.63	cp	BRD-K64514229	toltrazuril	Antiprotozoal
1180	30.49	cp	BRD-A27143604	DPN	Estrogen receptor agonist
1181	30.45	cp	BRD-K76568384	PHTPP	Estrogen receptor antagonist
1185	30.38	cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist
1186	30.28	cp	BRD-K79124250	ioxaglic-acid	Radiopaque medium
1188	30.19	cp	BRD-K09907482	PRL-3-inhibitor-I	Tyrosine phosphatase inhibitor
1189	30.18	cp	BRD-A08709697	heliotrine	Pyrrolizidine alkaloid
1190	30	cp	BRD-K03600606	catechin	Beta secretase inhibitor
1193	29.95	cp	BRD-K67831364	ZM-323881	VEGFR inhibitor
1196	29.87	cp	BRD-K63516691	T-0156	Phosphodiesterase inhibitor
1198	29.78	cp	BRD-K73978287	hydrocortisone	Glucocorticoid receptor agonist
1199	29.69	cp	BRD-A22769835	homochlorcyclizine	Antihistamine
1200	29.67	cp	BRD-K62012036	acitretin	Retinoid receptor agonist
1201	29.57	cp	BRD-K66782112	BRD-K66782112	Histamine receptor antagonist
1206	29.35	cp	BRD-K73391359	quinisocaine	Local anesthetic
1208	29.33	cp	BRD-K54411430	robustic-acid	cAMP inhibitor
1212	29.18	cp	BRD-K08252256	diclofenac	Cyclooxygenase inhibitor
1214	29.16	cp	BRD-K84996949	sinensetin	Cyclooxygenase inhibitor
1215	29.14	cp	BRD-K70505054	ranitidine	Histamine receptor antagonist
1223	28.9	cp	BRD-K32828673	chelidonine	Tubulin inhibitor
1226	28.69	cp	BRD-K38055836	etamivan	Respiratory stimulant
1227	28.63	cp	BRD-K45068323	W-13	Calmodulin antagonist
1228	28.58	cp	BRD-A38898897	GW-311616	Leukocyte elastase inhibitor
1229	28.56	cp	BRD-A64479082	quinidine	Sodium channel blocker
1232	28.37	cp	BRD-K67013324	luzindole	Melatonin receptor antagonist
1233	28.37	cp	BRD-K13819402	desoxypeganine	Acetylcholinesterase inhibitor
1234	28.35	cp	BRD-A97104540	fenoterol	Adrenergic receptor agonist
1235	28.34	cp	BRD-K02283807	GR-32191	Thromboxane receptor antagonist
1236	28.34	cp	BRD-A49734948	foliosidine	Plant alkaloid
1237	28.34	cp	BRD-K20995441	U-54494A	Opioid receptor agonist
1240	28.17	cp	BRD-A87125127	3-matida	Glutamate receptor antagonist
1242	28.11	cp	BRD-K74212935	ergocryptine	Dopamine agonist
1243	28.11	cp	BRD-K49519144	LY-2140023	Glutamate receptor agonist
1245	28.02	cp	BRD-K64610608	EMF-bca1-57	caspase inhibitor
1248	27.87	cp	BRD-K47943470	tyrphostin-51	EGFR inhibitor
1249	27.87	cp	BRD-K32977963	eugenol	Androgen receptor antagonist
1252	27.76	cp	BRD-A72066420	mifobate	PPAR receptor antagonist
1253	27.7	cp	BRD-K95309561	dienestrol	Estrogen receptor agonist
1254	27.69	cp	BRD-A75935363	atracurium	Acetylcholine receptor antagonist
1255	27.65	cp	BRD-K09764130	mead-ethanolamide	Cannabinoid receptor agonist
1257	27.52	cp	BRD-K28667793	pyrazinamide	Fatty acid synthase inhibitor
1259	27.49	cp	BRD-K87048468	RS-102221	Serotonin receptor antagonist
1260	27.49	cp	BRD-A41722204	sulmazole	Adenosine receptor antagonist
1261	27.47	cp	BRD-K86595100	chlordiazepoxide	Benzodiazepine receptor agonist
1262	27.45	cp	BRD-K08619574	thioproperazine	Dopamine receptor antagonist
1263	27.34	cp	BRD-K56558538	ambroxol	Sodium channel blocker
1268	27.21	cp	BRD-K40578143	GR-79236	Adenosine receptor agonist
1269	27.19	cp	BRD-K36009368	NNC-63-0532	Opioid receptor agonist
1271	27.18	cp	BRD-A07440155	labetalol	Adrenergic receptor antagonist
1273	27.16	cp	BRD-K93331255	lypressin	Vasopressin receptor agonist
1274	27.12	cp	BRD-K41143549	BRD-K41143549	Glutamate receptor antagonist
1276	27.11	cp	BRD-K54094468	remoxipride	Dopamine receptor antagonist
1282	26.87	cp	BRD-K74765201	tomelukast	Leukotriene receptor antagonist
1287	26.39	cp	BRD-K23875128	RHO-kinase-inhibitor-III[rockout]	Rho associated kinase inhibitor
1288	26.37	cp	BRD-K59037100	oxybenzone	Lipase inhibitor
1292	26.16	cp	BRD-A19053259	pseudopelletierine	Anthelmintic
1293	26.16	cp	BRD-K84175871	pseudoephedrine	Adrenergic receptor agonist
1299	25.89	cp	BRD-K77677632	SB-200646	Serotonin receptor antagonist
1301	25.84	cp	BRD-A82656074	naltrindole	Opioid receptor antagonist
1302	25.72	cp	BRD-A29731977	17-hydroxyprogesterone-caproate	progesterone receptor agonist
1303	25.64	cp	BRD-K49404994	levetiracetam	Calcium channel blocker
1307	25.52	cp	BRD-K53123955	niridazole	Phosphofructokinase inhibitor
1309	25.44	cp	BRD-K40742111	baeomycesic-acid	Lipoxygenase inhibitor
1311	25.42	cp	BRD-A79314293	cephalosporanic-acid	Bacterial cell wall synthesis inhibitor
1316	25.31	cp	BRD-A73859745	glycodeoxycholic-acid	Apoptosis stimulant
1317	25.3	cp	BRD-K98426715	tubacin	HDAC inhibitor
1322	25.19	cp	BRD-K59184148	SB-216763	Glycogen synthase kinase inhibitor
1323	25.15	cp	BRD-K93201660	ML-7	Myosin light chain kinase inhibitor
1326	25.02	cp	BRD-K61097567	SB-218795	Tachykinin antagonist
1327	25.02	cp	BRD-A95513702	androsta-1,4-dien-3,17-dione	Aromatase inhibitor
1329	24.98	cp	BRD-K81709173	halcinonide	Glucocorticoid receptor agonist
1330	24.97	cp	BRD-K84987553	MDM2-inhibitor	MDM inhibitor
1332	24.9	cp	BRD-A57457122	VU-0400071-3	Glutamate receptor modulator
1333	24.84	cp	BRD-K80725821	RS-16566	Serotonin receptor antagonist
1336	24.71	cp	BRD-K73838513	cinacalcet	Calcium channel activator
1338	24.57	cp	BRD-K27184429	levocetirizine	Histamine receptor antagonist
1339	24.45	cp	BRD-K14221570	benzopurpurin-4b	HIV entry inhibitor
1341	24.43	cp	BRD-A09094913	strychnine	Acetylcholine receptor antagonist
1344	24.3	cp	BRD-K04430056	7-nitroindazole	nitric oxide synthase inhibitor
1345	24.29	cp	BRD-K52662033	lidocaine	Histamine receptor agonist
1346	24.26	cp	BRD-K98769987	flumazenil	Benzodiazepine receptor antagonist
1347	24.22	cp	BRD-A83695761	chromanol	Potassium channel blocker
1348	24.22	cp	BRD-K68191783	ALW-II-38-3	Ephrin inhibitor
1350	24.15	cp	BRD-K60184833	tyrphostin-46	Tyrosine kinase inhibitor
1353	24.08	cp	BRD-A97701745	pindolol	Adrenergic receptor antagonist
1354	24.03	cp	BRD-K10860596	granisetron	Serotonin receptor antagonist
1355	23.99	cp	BRD-K02275692	cefotiam	Bacterial cell wall synthesis inhibitor
1356	23.98	cp	BRD-K67445247	flurofamide	Urease inhibitor
1357	23.93	cp	BRD-K48932581	cetraxate	Mucus protecting agent
1360	23.71	cp	BRD-A74667430	etodolac	Cyclooxygenase inhibitor
1361	23.7	cp	BRD-K86873305	piperacillin	Bacterial cell wall synthesis inhibitor
1362	23.69	cp	BRD-K30990140	FR-122047	Cyclooxygenase inhibitor
1364	23.66	cp	BRD-K17868609	BRL-54443	Serotonin receptor agonist
1369	23.48	cp	BRD-K59773493	benzohydroxamic-acid	Antifungal
1371	23.32	cp	BRD-K97158071	droperidol	Dopamine receptor antagonist
1372	23.26	cp	BRD-K35723520	darinaparsin	Apoptosis stimulant
1379	23.1	cp	BRD-A41304429	practolol	Adrenergic receptor antagonist
1380	23.07	cp	BRD-K42679050	Y-27152	Potassium channel activator
1381	23.02	cp	BRD-A27554692	altrenogest	Progestogen hormone
1386	22.82	cp	BRD-K78838262	austricine	Hypolipidemic
1388	22.79	cp	BRD-A47494775	dipivefrine	Adrenergic receptor agonist
1391	22.72	cp	BRD-A62035778	scopolamine	Acetylcholine receptor antagonist
1392	22.71	cp	BRD-K30743633	TCPOBOP	CAR agonist
1394	22.7	cp	BRD-A55393291	testosterone	Androgen receptor agonist
1399	22.53	cp	BRD-K04046242	equilin	Estrogen receptor agonist
1400	22.5	cp	BRD-K04170657	psoromic-acid	Ras GTPase inhibitor
1402	22.47	cp	BRD-K40530731	hyoscyamine	Acetylcholine receptor antagonist
1404	22.24	cp	BRD-A58955223	sulforaphane	Antineoplastic
1405	22.23	cp	BRD-K60174629	z-prolyl-prolinal	Prolyl endopeptidase inhibitor
1406	22.2	cp	BRD-A78391468	prednisolone	Glucocorticoid receptor agonist
1411	21.93	cp	BRD-K68095457	palmitoylethanolamide	Cannabinoid receptor agonist
1412	21.92	cp	BRD-A44008656	doxylamine	Histamine receptor antagonist
1417	21.81	cp	BRD-A67862938	naftidrofuryl	Adrenergic receptor antagonist
1418	21.74	cp	BRD-K53561341	KIN001-220	Aurora kinase inhibitor
1419	21.73	cp	BRD-K15588452	R-96544	Serotonin receptor antagonist
1420	21.73	cp	BRD-A85587465	bemesetron	Serotonin receptor antagonist
1421	21.72	cp	BRD-A14966924	alaproclate	Serotonin receptor antagonist
1422	21.67	cp	BRD-A18620900	estriol	Estrogen receptor agonist
1425	21.62	cp	BRD-K14888893	minoxidil	KATP activator
1427	21.58	cp	BRD-K35531059	molsidomine	Guanylyl cyclase activator
1429	21.49	cp	BRD-K34581968	BMS-536924	IGF-1 inhibitor
1431	21.37	cp	BRD-K97509413	coumestrol	Estrogen receptor agonist
1432	21.33	cp	BRD-A24228527	ofloxacin	Bacterial DNA gyrase inhibitor
1433	21.26	cp	BRD-K73293050	WZ-3146	EGFR inhibitor
1434	21.25	cp	BRD-A10715913	sulpiride	Dopamine receptor antagonist
1435	21.25	cp	BRD-A61793559	metolazone	Carbonic anhydrase inhibitor
1437	21.2	cp	BRD-K33193182	methylnorlichexanthone	Aurora kinase inhibitor
1441	21.18	cp	BRD-K29359156	ebselen	H+/K+-ATPase inhibitor
1442	21.15	cp	BRD-K07507905	BRL-37344	Adrenergic receptor agonist
1443	21.11	cp	BRD-K98684188	GSK-0660	PPAR receptor antagonist
1445	21.07	cp	BRD-K21971034	OM-137	Aurora kinase inhibitor
1451	20.96	cp	BRD-A51410489	yohimbine	Adrenergic receptor antagonist
1453	20.89	cp	BRD-K08273968	griseofulvin	Tubulin inhibitor
1455	20.87	cp	BRD-A35912562	pregnenolone	Glutamate receptor modulator
1456	20.86	cp	BRD-K99029477	prometon	Photosynthesis inhibitor
1459	20.65	cp	BRD-K79930101	GW-583340	EGFR inhibitor
1462	20.54	cp	BRD-K90333595	phentolamine	Adrenergic receptor antagonist
1463	20.49	cp	BRD-K68620903	dydrogesterone	Progesterone receptor agonist
1468	20.35	cp	BRD-A20589515	dihydroxyphenylglycine	Glutamate receptor agonist
1471	20.27	cp	BRD-K09537769	NU-7026	DNA dependent protein kinase inhibitor
1472	20.2	cp	BRD-K46142322	RS-67333	Serotonin receptor partial agonist
1474	20	cp	BRD-K92678294	irilin-a	Isoflavone
1480	19.88	cp	BRD-A42167015	carteolol	Adrenergic receptor antagonist
1481	19.84	cp	BRD-A47706533	L-BSO	Glutathione transferase inhibitor
1485	19.64	cp	BRD-K55430733	WAY-629	Serotonin receptor agonist
1486	19.61	cp	BRD-A10523515	GSK-429286A	Rho associated kinase inhibitor
1488	19.53	cp	BRD-A68281735	REV-5901	Leukotriene receptor antagonist
1490	19.49	cp	BRD-K23204545	busulfan	DNA inhibitor
1492	19.45	cp	BRD-K37456065	VU-0365114-2	M5 modulator
1493	19.38	cp	BRD-K65417056	meprylcaine	Local anesthetic
1494	19.32	cp	BRD-K44442813	pidotimod	Interferon receptor agonist
1495	19.31	cp	BRD-K41567364	SB-334867	Orexin receptor antagonist
1498	19.11	cp	BRD-A41941932	vitexin	Antioxidant
1500	19.08	cp	BRD-K91601245	mercaptopurine	Immunosuppressant
1501	19.05	cp	BRD-K24538644	KUC104502N	-666
1502	19.03	cp	BRD-K24201553	SB-269970	Serotonin receptor antagonist
1503	19.01	cp	BRD-K62982419	cilomilast	Phosphodiesterase inhibitor
1506	18.98	cp	BRD-K23922020	arecaidine	Acetylcholine receptor agonist
1511	18.9	cp	BRD-K10098805	rhapontin	Apoptosis stimulant
1512	18.79	cp	BRD-K50660797	epicatechin	Bacterial DNA gyrase inhibitor
1513	18.77	cp	BRD-A35623999	CGP-37157	L-type calcium channel blocker
1515	18.67	cp	BRD-K61323504	SB-225002	CC chemokine receptor antagonist
1519	18.55	cp	BRD-K28137194	loreclezole	GABA receptor agonist
1520	18.5	cp	BRD-K45479396	BP-554	Serotonin receptor agonist
1521	18.47	cp	BRD-K74913225	brinzolamide	Carbonic anhydrase inhibitor
1523	18.43	cp	BRD-K01612348	meropenem	Bacterial cell wall synthesis inhibitor
1527	18.23	cp	BRD-K82255054	propofol	GABA receptor agonist
1532	18.11	cp	BRD-K55991774	BAS-09104376	HIV integrase inhibitor
1536	17.97	cp	BRD-K52721684	PCO-400	Potassium channel activator
1547	17.6	cp	BRD-A43930669	L-368899	Oxytocin receptor antagonist
1548	17.59	cp	BRD-A03623303	metoprolol	Adrenergic receptor antagonist
1551	17.45	cp	BRD-K32311154	nifekalant	Potassium channel blocker
1557	17.23	cp	BRD-K07220430	cinnarizine	Calcium channel blocker
1563	17.01	cp	BRD-A18202423	CPCCOEt	Glutamate receptor antagonist
1564	16.98	cp	BRD-A10355991	norketamine	Glutamate receptor antagonist
1566	16.91	cp	BRD-A11135865	nor-binaltorphimine	Opioid receptor antagonist
1572	16.76	cp	BRD-K92446736	zatebradine	HCN channel blocker
1573	16.75	cp	BRD-K72816382	cinalukast	Leukotriene receptor antagonist
1574	16.69	cp	BRD-K60923938	veratridine	Sodium channel activator
1577	16.64	cp	BRD-K64935403	ebelactone-b	Lipase inhibitor
1579	16.56	cp	BRD-K19352500	prochlorperazine	Dopamine receptor antagonist
1582	16.44	cp	BRD-K46766488	S-14506	Serotonin receptor agonist
1583	16.4	cp	BRD-K66093087	FGIN-1-43	Benzodiazepine receptor agonist
1585	16.27	cp	BRD-K57930253	nitrazepam	Benzodiazepine receptor agonist
1586	16.27	cp	BRD-K41337261	ZM-306416	ABL inhibitor
1592	16.07	cp	BRD-A11605036	thiocolchicoside	GABA receptor antagonist
1593	16.07	cp	BRD-K39746403	erythromycin	NFkB pathway inhibitor
1599	15.79	cp	BRD-K94080537	diethyltoluamide	DEET activator of fly antenna ionotropic receptor IR40a
1602	15.67	cp	BRD-K45542189	diethylcarbamazine	Lipoxygenase inhibitor
1603	15.66	cp	BRD-K10670311	sulfasalazine	Antirheumatic
1606	15.54	cp	BRD-K05901394	terguride	Dopamine receptor agonist
1610	15.45	cp	BRD-A17448384	beclometasone	Glucocorticoid receptor agonist
1611	15.45	cp	BRD-A30815329	felodipine	Calcium channel blocker
1612	15.42	cp	BRD-K45401373	betulinic-acid	Apoptosis stimulant
1613	15.4	cp	BRD-M07438658	lapatinib	EGFR inhibitor
1616	15.24	cp	BRD-K05396879	15-delta-prostaglandin-j2	PPAR receptor agonist
1622	15.11	cp	BRD-A79981887	midodrine	Adrenergic receptor agonist
1623	15.09	cp	BRD-A70268693	PG-9	Acetylcholine receptor agonist
1625	15.04	cp	BRD-A75552914	isoxicam	Cyclooxygenase inhibitor
1628	15.01	cp	BRD-K92778217	mefenamic-acid	Cyclooxygenase inhibitor
1629	15	cp	BRD-K09436313	prostaglandin	Prostanoid receptor antagonist
1630	15	cp	BRD-A42759514	ornidazole	Antiprotozoal
1632	14.98	cp	BRD-K88759641	EMD-66684	Angiotensin receptor antagonist
1640	14.77	cp	BRD-K10177585	PSB-11	Adenosine receptor antagonist
1644	14.73	cp	BRD-K32247306	primidone	GABA receptor antagonist
1645	14.67	cp	BRD-A88282067	delcorine	Antiarrhythmic
1646	14.67	cp	BRD-A91699651	chloroquine	Antimalarial
1649	14.54	cp	BRD-A83431637	resmethrin	Cytochrome P450 inhibitor
1650	14.52	cp	BRD-K61401890	deguelin	NADH-ubiquinone oxidoreductase (Complex I) inhibitor
1652	14.5	cp	BRD-K52459643	prostaglandin-e1	Prostanoid receptor agonist
1654	14.43	cp	BRD-K66944906	fraxidin	Carbonic anhydrase inhibitor
1655	14.42	cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor
1657	14.39	cp	BRD-A95445494	maackiain	Sodium/glucose cotransporter inhibitor
1659	14.39	cp	BRD-K17823458	danoprevir	HCV inhibitor
1665	14.3	cp	BRD-K43290182	Ro-04-6790	Serotonin receptor antagonist
1666	14.26	cp	BRD-K19796430	erismodegib	Smoothened receptor antagonist
1668	14.25	cp	BRD-K63874012	thioperamide	Histamine receptor antagonist
1669	14.24	cp	BRD-K26674531	GR-235	Estrogen receptor agonist
1670	14.23	cp	BRD-K12539581	nocodazole	Tubulin inhibitor
1671	14.2	cp	BRD-K67080878	milrinone	Phosphodiesterase inhibitor
1672	14.17	cp	BRD-K49668410	clarithromycin	Bacterial 50S ribosomal subunit inhibitor
1675	14.08	cp	BRD-K48692744	NU-1025	PARP inhibitor
1678	14.01	cp	BRD-K98521173	desoxycortone	Mineralocorticoid receptor agonist
1679	13.97	cp	BRD-K13211965	L-741742	Dopamine receptor antagonist
1685	13.8	cp	BRD-K26997899	SA-792574	Microtubule inhibitor
1691	13.62	cp	BRD-K34820100	tebuthiuron	Photosynthesis inhibitor
1692	13.62	cp	BRD-K49519092	immethridine	Histamine receptor agonist
1694	13.6	cp	BRD-K53570330	carbofuran	Cholinesterase inhibitor
1696	13.54	cp	BRD-A69917777	aminopentamide	Acetylcholine receptor antagonist
1697	13.42	cp	BRD-K93325701	damnacanthal	SRC inhibitor
1698	13.4	cp	BRD-K20197062	SA-94315	Caspase inhibitor
1700	13.37	cp	BRD-K66615216	moxifloxacin	Bacterial DNA gyrase inhibitor
1701	13.33	cp	BRD-A76279427	myriocin	Serine palmitoyltransferase inhibitor
1705	13.27	cp	BRD-K07117950	imperatorin	CDK inhibitor
1708	13.2	cp	BRD-K08556791	ethoprop	Acetylcholinesterase inhibitor
1711	13.17	cp	BRD-K46211610	tolazoline	Adrenergic receptor antagonist
1714	13.09	cp	BRD-K27499107	carbacyclin	IP receptor activator
1715	13.05	cp	BRD-K73824630	skatole	Thrombin inhibitor
1716	13.05	cp	BRD-A55416093	colforsin	Adenylyl cyclase activator
1717	13.04	cp	BRD-A92537424	danazol	Estrogen receptor antagonist
1719	13.02	cp	BRD-K31054881	BMY-7378	Adrenergic receptor antagonist
1720	12.99	cp	BRD-K86887724	dofetilide	Potassium channel blocker
1721	12.99	cp	BRD-K99063460	didanosine	Nucleoside reverse transcriptase inhibitor
1722	12.98	cp	BRD-K28863208	PNU-282987	Cholinergic receptor agonist
1724	12.97	cp	BRD-K98763141	niflumic-acid	Cyclooxygenase inhibitor
1729	12.88	cp	BRD-A52326238	isogedunin	HSP inhibitor
1731	12.83	cp	BRD-K83322645	L-693403	Sigma receptor agonist
1733	12.82	cp	BRD-K79366068	PSB-069	NTPDase inhibitor
1735	12.78	cp	BRD-K33226500	indinavir	HIV protease inhibitor
1738	12.69	cp	BRD-K06024458	n-arachidonyl-GABA	cannabinoid receptor agonist
1739	12.68	cp	BRD-K63533170	AM-630	Cannabinoid receptor antagonist
1741	12.63	cp	BRD-K85119730	tolbutamide	ATP channel blocker
1742	12.62	cp	BRD-K18855837	varenicline	Acetylcholine receptor agonist
1743	12.53	cp	BRD-M41783010	acamprosate	Glutamate receptor antagonist
1744	12.49	cp	BRD-A22143024	estropipate	Estrogen receptor agonist
1746	12.4	cp	BRD-A07780951	orciprenaline	Adrenergic receptor agonist
1748	12.38	cp	BRD-A24514565	warfarin	Vitamin K antagonist
1750	12.36	cp	BRD-K75532464	FTI-276	Farnesyltransferase inhibitor
1752	12.34	cp	BRD-K77641333	naphazoline	Adrenergic receptor agonist
1754	12.31	cp	BRD-K56343971	vemurafenib	RAF inhibitor
1755	12.31	cp	BRD-A23072235	pheniramine	Histamine receptor antagonist
1759	12.21	cp	BRD-K43245338	MDL-28170	Calpain inhibitor
1761	12.13	cp	BRD-K59753853	MDL-29951	Glutamate receptor antagonist
1765	12.01	cp	BRD-K36862742	hydroflumethiazide	Sodium/potassium/chloride transporter inhibitor
1766	11.99	cp	BRD-K96527333	dehydroisoandosterone	GABA receptor modulator
1767	11.95	cp	BRD-K10466330	AVA	Nucleophosmin inhibitor
1768	11.95	cp	BRD-A68929948	DAPT-GSI-IX	Gamma secretase inhibitor
1771	11.9	cp	BRD-A29426959	carbinoxamine	Histamine receptor antagonist
1772	11.86	cp	BRD-K04185004	oxybuprocaine	Local anesthetic
1776	11.73	cp	BRD-A43974499	reboxetine	Adrenergic receptor antagonist
1777	11.7	cp	BRD-K53878242	MMPX	Phosphodiesterase inhibitor
1778	11.7	cp	BRD-K46441700	GR-55562	Serotonin receptor antagonist
1780	11.66	cp	BRD-K75699339	rizatriptan	Serotonin receptor agonist
1782	11.64	cp	BRD-A33084410	5'-guanidinonaltrindole	Opioid receptor antagonist
1784	11.62	cp	BRD-A28318179	aminomethyltransferase	Nitric oxide synthase inhibitor
1785	11.59	cp	BRD-A78877355	nefopam	Cyclooxygenase inhibitor
1786	11.58	cp	BRD-K91243525	SR-142948	Neurotensin receptor antagonist
1788	11.57	cp	BRD-K74763371	bosentan	Endothelin receptor antagonist
1791	11.53	cp	BRD-K90864987	cobalt(II)-chloride	HSP inducer
1792	11.5	cp	BRD-A90799790	isradipine	Calcium channel blocker
1797	11.41	cp	BRD-A01826957	xanthinol	Vasodilator
1799	11.36	cp	BRD-A31801025	formestane	Aromatase inhibitor
1802	11.28	cp	BRD-A41833852	naloxone	Opioid receptor antagonist
1805	11.25	cp	BRD-K15933101	ropinirole	Dopamine receptor agonist
1807	11.19	cp	BRD-A41995253	brucine	Glycine receptor antagonist
1813	11.1	cp	BRD-K86509404	iso-olomoucine	CDK inhibitor
1815	11.03	cp	BRD-A37492983	iocetamic-acid	Radiopaque medium
1816	11.02	cp	BRD-A24191444	ifenprodil	Adrenergic receptor antagonist
1818	11	cp	BRD-A25004090	erastin	Ion channel antagonist
1822	10.93	cp	BRD-K62929068	6-benzylaminopurine	Purinergic receptor activator
1823	10.9	cp	BRD-K14693417	cinchonine	P-glycoprotein inhibitor
1828	10.75	cp	BRD-K88551539	CAY-10585	HIF modulator
1829	10.75	cp	BRD-K04111260	raclopride	Dopamine receptor antagonist
1830	10.75	cp	BRD-K62363391	dapsone	Bacterial antifolate
1831	10.73	cp	BRD-A56012032	thiorphan	Membrane metalloendopeptidase inhibitor
1832	10.71	cp	BRD-A04668240	CGP-52432	GABA receptor antagonist
1833	10.67	cp	BRD-K10016611	pyridine-2-aldoxime	Acetylcholinesterase inhibitor
1837	10.6	cp	BRD-K68246049	TTNPB	Retinoid receptor agonist
1840	10.55	cp	BRD-K93461745	buspirone	Serotonin receptor agonist
1844	10.47	cp	BRD-K18135438	chenodeoxycholic-acid	11-beta-HSD1 inhibitor
1845	10.47	cp	BRD-K67261995	adipiodone	Contrast agent
1846	10.44	cp	BRD-K50325075	UCL-2077	Slow after hyperpolarization channel blocker
1849	10.43	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
1851	10.39	cp	BRD-K47717570	NBQX	Glutamate receptor antagonist
1856	10.22	cp	BRD-A37817666	picrotoxin	GABA receptor antagonist
1859	10.15	cp	BRD-A09539288	homatropine	Acetylcholine receptor antagonist
1863	10.09	cp	BRD-K82731415	olomoucine	CDK inhibitor
1864	10.08	cp	BRD-K95739795	tetrabenazine	Vesicular monoamine transporter inhibitor
1871	9.97	cp	BRD-K43978949	PIT	Purinergic receptor antagonist
1872	9.97	cp	BRD-A35511923	L-803087	Somatostatin receptor agonist
1874	9.91	cp	BRD-K11634954	GBR-13069	Dopamine uptake inhibitor
1878	9.87	cp	BRD-M40783228	mesna	Antioxidant
1879	9.82	cp	BRD-A61858259	CAY-10415	Insulin sensitizer
1884	9.74	cp	BRD-K28761384	zuclopenthixol	Dopamine receptor antagonist
1888	9.7	cp	BRD-K47659338	EMD-386088	Serotonin receptor agonist
1889	9.7	cp	BRD-K50214219	CS-1657	PARP inhibitor
1891	9.66	cp	BRD-A61470182	n-formylmethionylalanine	macrophage activator
1893	9.65	cp	BRD-K48722833	iloperidone	Dopamine receptor antagonist
1895	9.55	cp	BRD-K76810206	nicergoline	Adrenergic receptor antagonist
1901	9.3	cp	BRD-K19533706	tranilast	Angiogenesis inhibitor
1906	9.16	cp	BRD-K85503079	perospirone	Dopamine receptor antagonist
1907	9.15	cp	BRD-K14767410	SC-560	Cyclooxygenase inhibitor
1908	9.14	cp	BRD-K10042277	desmethylclozapine	Acetylcholine receptor agonist
1909	9.13	cp	BRD-A85472596	L-670596	Prostanoid receptor antagonist
1913	9.08	cp	BRD-K32836707	CAY-10577	Casein kinase inhibitor
1915	9.02	cp	BRD-K60770992	pergolide	Dopamine receptor agonist
1917	8.97	cp	BRD-K30570479	VU-0400195-3	Glutamate receptor modulator
1918	8.97	cp	BRD-A31195449	TCB2	Serotonin receptor agonist
1919	8.96	cp	BRD-K64402243	ivachtin	Caspase inhibitor
1920	8.95	cp	BRD-M00539986	formoterol	Adrenergic receptor agonist
1922	8.91	cp	BRD-K46742498	alosetron	Serotonin receptor antagonist
1923	8.9	cp	BRD-A89175223	bisoprolol	Adrenergic receptor antagonist
