,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0051347,GO:0051347,positive regulation of transferase activity,11/194,348/28832,0.0316091954022989,4.69771299917052,5.71191464613433,2.61261061468544e-05,0.000776785120259152,0.000524977584041115,14254/16337/26399/26401/24136/16145/19876/14456/54635/16590/11603,11
GO:0008645,GO:0008645,hexose transmembrane transport,7/194,128/28832,0.0546875,8.12757731958763,6.65173726773154,2.66571859531416e-05,0.000782803014720331,0.000529044680092324,13869/13617/16337/18024/18750/20913/24014,7
GO:0071674,GO:0071674,mononuclear cell migration,9/194,229/28832,0.0393013100436681,5.84090397514969,6.05337796808905,2.67986617652005e-05,0.000782803014720331,0.000529044680092324,14254/16401/17096/17698/20375/27226/53416/14456/18795,9
GO:0048880,GO:0048880,sensory system development,13/194,485/28832,0.0268041237113402,3.98359017961526,5.45400914873348,2.73665735401627e-05,0.000791189500558892,0.00053471255008532,12628/12826/14254/15257/16542/21417/23965/26401/29815/24136/50769/57810/21916,13
GO:0032970,GO:0032970,regulation of actin filament-based process,12/194,416/28832,0.0288461538461538,4.28707375099128,5.55819804615338,2.75609555750244e-05,0.000791189500558892,0.00053471255008532,13837/14260/17926/17974/20430/26401/18484/27360/24136/56193/56363/21916,12
GO:0060412,GO:0060412,ventricular septum morphogenesis,5/194,53/28832,0.0943396226415094,14.020618556701,7.80892186100042,2.89201855409652e-05,0.000816137439418763,0.000551573208622512,20564/21814/18018/19876/64010,5
GO:0061028,GO:0061028,establishment of endothelial barrier,5/194,53/28832,0.0943396226415094,14.020618556701,7.80892186100042,2.89201855409652e-05,0.000816137439418763,0.000551573208622512,13617/17698/18669/21873/18795,5
GO:0042692,GO:0042692,muscle cell differentiation,13/194,488/28832,0.0266393442622951,3.95910089572418,5.42623365207612,2.91653790940275e-05,0.000816140440194214,0.000551575236647773,12334/12628/13052/13617/226519/18073/19221/21417/17880/18018/16590/57810/21916,13
GO:0001960,GO:0001960,negative regulation of cytokine-mediated signaling pathway,6/194,88/28832,0.0681818181818182,10.1330834114339,7.06227351974676,2.9439317509545e-05,0.000816941060889873,0.000552116323117607,20564/21873/56045/19876/14456/20847,6
GO:0002262,GO:0002262,myeloid cell homeostasis,9/194,233/28832,0.0386266094420601,5.74063094553338,5.97995697665956,3.06910021468237e-05,0.000829642359320267,0.00056070028899217,12628/16331/17096/19090/20375/21814/18795/18578/16590,9
GO:0002320,GO:0002320,lymphoid progenitor cell differentiation,4/194,27/28832,0.148148148148148,22.0175639557083,8.99269151354612,3.089358935607e-05,0.000829642359320267,0.00056070028899217,14255/19090/20375/16590,4
GO:0009713,GO:0009713,catechol-containing compound biosynthetic process,4/194,27/28832,0.148148148148148,22.0175639557083,8.99269151354612,3.089358935607e-05,0.000829642359320267,0.00056070028899217,14763/53626/56448/59012,4
GO:0042423,GO:0042423,catecholamine biosynthetic process,4/194,27/28832,0.148148148148148,22.0175639557083,8.99269151354612,3.089358935607e-05,0.000829642359320267,0.00056070028899217,14763/53626/56448/59012,4
GO:0003281,GO:0003281,ventricular septum development,6/194,89/28832,0.0674157303370786,10.0192285416425,7.01387018150872,3.13923326541568e-05,0.000836291741906737,0.000565194166017576,20564/21814/18018/19876/58198/64010,6
GO:0046189,GO:0046189,phenol-containing compound biosynthetic process,5/194,54/28832,0.0925925925925926,13.7609774723177,7.72520287436214,3.16981949756546e-05,0.000837738010070872,0.000566171602823305,14763/24136/53626/56448/59012,5
GO:0033002,GO:0033002,muscle cell proliferation,10/194,293/28832,0.0341296928327645,5.07230568945498,5.76652502595922,3.20481568715342e-05,0.000840317814033142,0.000567915121353835,13052/13869/14254/14673/13617/16001/18750/19090/21814/64010,10
GO:0031099,GO:0031099,regeneration,9/194,236/28832,0.038135593220339,5.6676568233444,5.92600005490731,3.39156675558036e-05,0.000882337288756453,0.000596313299624244,13869/16001/19221/545622/19273/12894/17181/14456/21960,9
GO:1902306,GO:1902306,negative regulation of sodium ion transmembrane transport,3/194,10/28832,0.3,44.5855670103093,11.3459278855895,3.47642404403727e-05,0.000894755375806642,0.00060470586169578,17999/53416/11603,3
GO:0009743,GO:0009743,response to carbohydrate,10/194,296/28832,0.0337837837837838,5.02089718584564,5.72310417660126,3.49303900465055e-05,0.000894755375806642,0.00060470586169578,12290/16001/17096/18750/20112/20913/26399/26950/14456/18795,10
GO:0060761,GO:0060761,negative regulation of response to cytokine stimulus,6/194,92/28832,0.0652173913043478,9.69251456745854,6.87314228499798,3.78836581885263e-05,0.000962996807387728,0.000650825722837036,20564/21873/56045/19876/14456/20847,6
GO:1902305,GO:1902305,regulation of sodium ion transmembrane transport,5/194,57/28832,0.087719298245614,13.0367155000904,7.486815537699,4.12881928616906e-05,0.00103431385408787,0.00069902418841153,17999/545622/53416/18795/11603,5
GO:0032956,GO:0032956,regulation of actin cytoskeleton organization,11/194,366/28832,0.0300546448087432,4.46667793363754,5.49351344680724,4.13104332113175e-05,0.00103431385408787,0.00069902418841153,13837/14260/17926/17974/20430/26401/18484/27360/56193/56363/21916,11
GO:0007266,GO:0007266,Rho protein signal transduction,7/194,139/28832,0.0503597122302158,7.48438774753393,6.3073622298215,4.5217884953382e-05,0.00112369818578181,0.00075943313456662,14673/13617/17926/110596/11303/54366/19876,7
GO:0010998,GO:0010998,regulation of translational initiation by eIF2 alpha phosphorylation,3/194,11/28832,0.272727272727273,40.5323336457357,10.793285066981,4.75638199569399e-05,0.00117324089227118,0.000792915766611599,17974/15467/27103,3
GO:0006470,GO:0006470,protein dephosphorylation,6/194,97/28832,0.0618556701030928,9.19290041449676,6.65238411793659,5.10599507448308e-05,0.00125021791161976,0.000844939432604089,13853/14050/19249/545622/19273/19279,6
GO:0031589,GO:0031589,cell-substrate adhesion,11/194,376/28832,0.0292553191489362,4.34788330774293,5.37819672659686,5.26504030564223e-05,0.00127850433351929,0.000864056350581395,12552/13837/14260/16401/16542/226519/17926/18073/22288/13406/14456,11
GO:0034332,GO:0034332,adherens junction organization,5/194,60/28832,0.0833333333333333,12.3848797250859,7.26571606060315,5.29830624701688e-05,0.00127850433351929,0.000864056350581395,12552/12561/12565/15257/23836,5
GO:0030325,GO:0030325,adrenal gland development,4/194,31/28832,0.129032258064516,19.1765879614233,8.33390991070887,5.42349548060659e-05,0.00129929783815971,0.00087810930235039,16001/16337/50781/53626,4
GO:0009306,GO:0009306,protein secretion,12/194,447/28832,0.0268456375838926,3.98975991143707,5.24330356480307,5.5124620859382e-05,0.00131117848186959,0.000886138642085404,12290/17101/19726/20913/26950/11303/12894/54160/56193/18795/56508/59033,12
GO:0035592,GO:0035592,establishment of protein localization to extracellular region,12/194,450/28832,0.0266666666666667,3.96316151202749,5.21434135550131,5.87566843244547e-05,0.00138688231356835,0.000937301844921492,12290/17101/19726/20913/26950/11303/12894/54160/56193/18795/56508/59033,12
GO:0008360,GO:0008360,regulation of cell shape,7/194,145/28832,0.0482758620689655,7.1746889441877,6.1350187524463,5.91403268848968e-05,0.00138688231356835,0.000937301844921492,14673/16542/17698/20430/54712/17909/16590,7
GO:0050769,GO:0050769,positive regulation of neurogenesis,10/194,319/28832,0.0313479623824451,4.65888892479721,5.40857038311938,6.53638692525472e-05,0.0015163986988784,0.00102483338650293,12561/14254/16542/17096/20430/24136/54712/19876/16590/57810,10
GO:0071900,GO:0071900,regulation of protein serine/threonine kinase activity,9/194,257/28832,0.0350194552529183,5.20454089614505,5.57251695888847,6.55739977893361e-05,0.0015163986988784,0.00102483338650293,14254/16337/17096/26399/26401/24136/16145/19876/16590,9
GO:0071692,GO:0071692,protein localization to extracellular region,12/194,456/28832,0.0263157894736842,3.91101465002713,5.15715993823422,6.66457988129679e-05,0.00153008248478321,0.0010340813505505,12290/17101/19726/20913/26950/11303/12894/54160/56193/18795/56508/59033,12
GO:0072577,GO:0072577,endothelial cell apoptotic process,5/194,63/28832,0.0793650793650794,11.7951235477009,7.059840419058,6.70846975310356e-05,0.00153008248478321,0.0010340813505505,15257/16401/16542/18024/14456,5
GO:0006814,GO:0006814,sodium ion transport,9/194,258/28832,0.0348837209302326,5.18436825701271,5.55665722621548,6.75550756528246e-05,0.00153032926478847,0.00103424813280157,13617/17999/545622/53416/20269/54338/18795/59033/11603,9
GO:0003018,GO:0003018,vascular process in circulatory system,9/194,259/28832,0.0347490347490347,5.16435139115552,5.54087950138693,6.95863112407546e-05,0.00156569200291698,0.0010581474639597,12291/13617/16401/16542/18669/21814/21873/27360/24136,9
GO:0003158,GO:0003158,endothelium development,7/194,149/28832,0.0469798657718121,6.98207984501488,6.0254908156387,7.02353030514941e-05,0.00156968831651997,0.00106084830748212,13617/16542/17698/18669/21417/21873/18795,7
GO:0086100,GO:0086100,endothelin receptor signaling pathway,3/194,13/28832,0.230769230769231,34.2965900079302,9.88305828989213,8.16287954048472e-05,0.00181215925798761,0.00122471834789869,13617/18798/29815,3
GO:0006584,GO:0006584,catecholamine metabolic process,5/194,66/28832,0.0757575757575758,11.2589815682599,6.86745551510614,8.3916202903699e-05,0.00183842733992972,0.00124247120365726,13617/14763/53626/56448/59012,5
GO:0009712,GO:0009712,catechol-containing compound metabolic process,5/194,66/28832,0.0757575757575758,11.2589815682599,6.86745551510614,8.3916202903699e-05,0.00183842733992972,0.00124247120365726,13617/14763/53626/56448/59012,5
GO:0006887,GO:0006887,exocytosis,11/194,397/28832,0.0277078085642317,4.11789451816458,5.14860330533332,8.54183662351652e-05,0.00185910561805948,0.00125644628146394,12290/12291/17096/18750/20375/26950/27062/56193/56508/16590/59033,11
GO:0006936,GO:0006936,muscle contraction,10/194,330/28832,0.0303030303030303,4.50359262730397,5.26856426037206,8.65098680902886e-05,0.00187063545935494,0.00126423853709526,12291/14254/13617/18750/26399/17880/50769/16590/11603/21916,10
GO:0003231,GO:0003231,cardiac ventricle development,7/194,156/28832,0.0448717948717949,6.66878139043088,5.84321811951934,9.37162620366828e-05,0.00200995959333764,0.00135839848602999,13617/20564/21814/18018/19876/58198/64010,7
GO:0050767,GO:0050767,regulation of neurogenesis,12/194,473/28832,0.025369978858351,3.77044964146379,5.00028490414065,9.41602692374392e-05,0.00200995959333764,0.00135839848602999,12561/14254/16542/17096/20430/20660/24136/54712/19876/16590/57810/21960,12
GO:0016055,GO:0016055,Wnt signaling pathway,12/194,474/28832,0.0253164556962025,3.76249510635521,4.99128380668051,9.60456236932382e-05,0.00203714603120053,0.00137677199769456,13853/13617/17191/17926/19273/26401/24136/50781/53883/56274/84092/58198,12
GO:0018105,GO:0018105,peptidyl-serine phosphorylation,8/194,211/28832,0.037914691943128,5.63482679435188,5.56149704050899,9.68226946853853e-05,0.00204063021077426,0.00137912672376651,13853/16589/18750/19090/20112/29815/53416/16145,8
GO:0032535,GO:0032535,regulation of cellular component size,11/194,404/28832,0.0272277227722772,4.04654486067163,5.07556603346231,9.96515839088777e-05,0.00208704260639348,0.00141049378614486,12561/14260/17698/17974/20430/26401/27360/53416/56193/21916/21960,11
GO:0002318,GO:0002318,myeloid progenitor cell differentiation,3/194,14/28832,0.214285714285714,31.8468335787923,9.50171643504256,0.000103376548704173,0.0021381609141919,0.0014450412626971,14255/20375/16590,3
GO:0043558,GO:0043558,regulation of translational initiation in response to stress,3/194,14/28832,0.214285714285714,31.8468335787923,9.50171643504256,0.000103376548704173,0.0021381609141919,0.0014450412626971,17974/15467/27103,3
GO:0016339,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,4/194,37/28832,0.108108108108108,16.066870994706,7.54787616093954,0.000110305132443008,0.00226738327799517,0.00153237409462736,12552/12561/12565/23836,4
GO:1903305,GO:1903305,regulation of regulated secretory pathway,7/194,162/28832,0.0432098765432099,6.42178948708158,5.69568139273361,0.000118602374873602,0.00239010521995585,0.00161531372222716,12290/12291/17096/18750/20375/27062/59033,7
GO:0090596,GO:0090596,sensory organ morphogenesis,10/194,343/28832,0.0291545189504373,4.33290252772685,5.11081835391064,0.00011873133417925,0.00239010521995585,0.00161531372222716,12628/14254/13617/15257/16542/21417/23965/29815/50769/57810,10
GO:0046324,GO:0046324,regulation of D-glucose import,5/194,71/28832,0.0704225352112676,10.4660955423261,6.57290631888906,0.000118978681259819,0.00239010521995585,0.00161531372222716,13869/16337/18024/18750/24014,5
GO:0001667,GO:0001667,ameboidal-type cell migration,9/194,278/28832,0.0323741007194245,4.81139212341467,5.25571646793509,0.000119146386340142,0.00239010521995585,0.00161531372222716,13869/14673/13617/16401/19279/21814/20357/24136/16590,9
GO:0008064,GO:0008064,regulation of actin polymerization or depolymerization,7/194,163/28832,0.0429447852760736,6.38239200556575,5.67181726477744,0.000123228249706156,0.00244739737427689,0.00165403369249375,14260/17974/20430/26401/27360/56193/21916,7
GO:0009615,GO:0009615,response to virus,11/194,414/28832,0.0265700483091787,3.94880223118681,4.97403042845573,0.000123472299963519,0.00244739737427689,0.00165403369249375,13052/14255/16201/17101/19775/19777/24014/27103/16145/56045/20847,11
GO:0010766,GO:0010766,negative regulation of sodium ion transport,3/194,15/28832,0.2,29.7237113402062,9.15843306167557,0.000128580764448376,0.00253027742788106,0.00171004682813646,17999/53416/11603,3
GO:0110053,GO:0110053,regulation of actin filament organization,9/194,281/28832,0.0320284697508897,4.76002494771985,5.21305851832781,0.000129173322144078,0.00253027742788106,0.00171004682813646,14260/17926/17974/20430/26401/27360/56193/56363/21916,9
GO:0030832,GO:0030832,regulation of actin filament length,7/194,166/28832,0.0421686746987952,6.26704757173022,5.60140677440322,0.000137992381593211,0.00268722006260464,0.00181611395411687,14260/17974/20430/26401/27360/56193/21916,7
GO:0018209,GO:0018209,peptidyl-serine modification,8/194,223/28832,0.0358744394618834,5.33160741528362,5.34453046287452,0.000141795465617976,0.00274522616574336,0.00185531643507486,13853/16589/18750/19090/20112/29815/53416/16145,8
GO:0043473,GO:0043473,pigmentation,6/194,117/28832,0.0512820512820513,7.62146444620671,5.90679566754834,0.000144619693054284,0.00278372010329923,0.00188133193641655,11990/13617/16553/17101/24136/16590,6
GO:0043243,GO:0043243,positive regulation of protein-containing complex disassembly,4/194,40/28832,0.1,14.8618556701031,7.22062560602361,0.000150249421637482,0.00287546306926906,0.0019433349271684,16001/16337/16145/56193,4
GO:0001885,GO:0001885,endothelial cell development,5/194,75/28832,0.0666666666666667,9.90790378006873,6.35760784523562,0.000154331855944433,0.00293671474454263,0.00198473087524329,13617/17698/18669/21873/18795,5
GO:0009404,GO:0009404,toxin metabolic process,3/194,16/28832,0.1875,27.8659793814433,8.8471867848587,0.000157469796826174,0.0029701163109636,0.00200730478041415,18024/12894/18484,3
GO:0007389,GO:0007389,pattern specification process,12/194,500/28832,0.024,3.56684536082474,4.76546700247226,0.000157871047159326,0.0029701163109636,0.00200730478041415,13869/13617/15257/19090/19726/21417/23872/23893/24136/53883/19876/57810,12
GO:0030218,GO:0030218,erythrocyte differentiation,7/194,170/28832,0.0411764705882353,6.11958762886598,5.51017727661931,0.000159877661014563,0.00297426039764522,0.00201010549396728,16331/17096/19090/20375/21814/18795/16590,7
GO:0050921,GO:0050921,positive regulation of chemotaxis,7/194,170/28832,0.0411764705882353,6.11958762886598,5.51017727661931,0.000159877661014563,0.00297426039764522,0.00201010549396728,13617/16542/18750/20375/27226/53416/14456,7
GO:0050680,GO:0050680,negative regulation of epithelial cell proliferation,7/194,172/28832,0.0406976744186047,6.04842963318149,5.46564994608753,0.00017182865733786,0.00317883016075042,0.00214836063969793,14254/21417/21814/18018/19876/56274/64010,7
GO:0014909,GO:0014909,smooth muscle cell migration,6/194,122/28832,0.0491803278688525,7.30910934595234,5.74765575711131,0.000181795705270683,0.00331356127923219,0.00223941647384176,14673/16401/18024/20660/54608/56508,6
GO:0009309,GO:0009309,amine biosynthetic process,4/194,42/28832,0.0952380952380952,14.154148257241,7.02143566292358,0.000182096610840688,0.00331356127923219,0.00223941647384176,14763/53626/56448/59012,4
GO:0042401,GO:0042401,biogenic amine biosynthetic process,4/194,42/28832,0.0952380952380952,14.154148257241,7.02143566292358,0.000182096610840688,0.00331356127923219,0.00223941647384176,14763/53626/56448/59012,4
GO:0002573,GO:0002573,myeloid leukocyte differentiation,9/194,295/28832,0.0305084745762712,4.53412545867552,5.02167021966543,0.000185797533680789,0.00336253145194036,0.00227251216824672,16331/17096/18750/20375/21873/15467/18018/18795/16590,9
GO:0099560,GO:0099560,synaptic membrane adhesion,4/194,43/28832,0.0930232558139535,13.8249820187006,6.92687065975774,0.000199722514066787,0.00359500525320217,0.00242962580412399,12565/13602/13837/23965,4
GO:0021955,GO:0021955,central nervous system neuron axonogenesis,4/194,44/28832,0.0909090909090909,13.5107778819119,6.83540545259842,0.000218545309121858,0.00389797908697228,0.00263438573982827,12552/18750/110596/24136,4
GO:0141091,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,10/194,370/28832,0.027027027027027,4.01671774867651,4.80686814062801,0.000218895522301446,0.00389797908697228,0.00263438573982827,16542/20375/20660/21417/21814/23893/26401/24136/50766/58250,10
GO:0045216,GO:0045216,cell-cell junction organization,8/194,239/28832,0.0334728033472803,4.97467972221024,5.07844324336828,0.00022730732221957,0.00402624139888919,0.00272106973631265,12552/12561/12565/13052/15257/18750/21873/23836,8
GO:0048863,GO:0048863,stem cell differentiation,9/194,304/28832,0.0296052631578947,4.39989148128052,4.90484807464849,0.000232113625793871,0.00408962102589201,0.00276390382593871,13869/13617/18024/18750/19090/20357/24136/50758/16590,9
GO:0007160,GO:0007160,cell-matrix adhesion,8/194,240/28832,0.0333333333333333,4.95395189003436,5.06260576823192,0.000233812469297671,0.0040978711724276,0.00276947955323225,12552/13837/14260/16401/16542/17926/18073/22288,8
GO:0001569,GO:0001569,branching involved in blood vessel morphogenesis,4/194,45/28832,0.0888888888888889,13.210538373425,6.74686843498073,0.000238612061945135,0.00413842794936094,0.00279688919100164,12826/14254/13617/16542,4
GO:0035886,GO:0035886,vascular associated smooth muscle cell differentiation,4/194,45/28832,0.0888888888888889,13.210538373425,6.74686843498073,0.000238612061945135,0.00413842794936094,0.00279688919100164,12628/13617/18018/16590,4
GO:0003279,GO:0003279,cardiac septum development,6/194,130/28832,0.0461538461538462,6.85931800158604,5.51089378625819,0.000256575698932857,0.00442692786241666,0.00299186716290401,20564/21814/18018/19876/58198/64010,6
GO:0034101,GO:0034101,erythrocyte homeostasis,7/194,184/28832,0.0380434782608696,5.65396683101748,5.21248018308708,0.00025962626677089,0.0044394919498357,0.00300035839694918,16331/17096/19090/20375/21814/18795/16590,7
GO:0046326,GO:0046326,positive regulation of D-glucose import,4/194,46/28832,0.0869565217391304,12.9233527566114,6.66110107806716,0.000259970249314703,0.0044394919498357,0.00300035839694918,13869/16337/18024/24014,4
GO:0035725,GO:0035725,sodium ion transmembrane transport,7/194,185/28832,0.0378378378378378,5.62340484814712,5.19239340796399,0.000268323381314851,0.00455875948866557,0.00308096342240145,17999/545622/53416/20269/18795/59033/11603,7
GO:0010563,GO:0010563,negative regulation of phosphorus metabolic process,10/194,381/28832,0.026246719160105,3.9007495197121,4.69119326006292,0.00027636557500247,0.00461548549823293,0.00311930077294832,13853/16337/17096/17974/18750/19090/19249/19777/53626/56193,10
GO:0045936,GO:0045936,negative regulation of phosphate metabolic process,10/194,381/28832,0.026246719160105,3.9007495197121,4.69119326006292,0.00027636557500247,0.00461548549823293,0.00311930077294832,13853/16337/17096/17974/18750/19090/19249/19777/53626/56193,10
GO:0051145,GO:0051145,smooth muscle cell differentiation,5/194,85/28832,0.0588235294117647,8.74226804123711,5.88356799354451,0.000277824187854287,0.00461548549823293,0.00311930077294832,12628/13617/21417/18018/16590,5
GO:0060411,GO:0060411,cardiac septum morphogenesis,5/194,85/28832,0.0588235294117647,8.74226804123711,5.88356799354451,0.000277824187854287,0.00461548549823293,0.00311930077294832,20564/21814/18018/19876/64010,5
GO:0048675,GO:0048675,axon extension,6/194,132/28832,0.0454545454545455,6.75538894095595,5.45481556213572,0.000278592367911357,0.00461548549823293,0.00311930077294832,12561/13617/20430/20564/20357/21960,6
GO:0060047,GO:0060047,heart contraction,8/194,247/28832,0.0323886639676113,4.81355649234108,4.95414756285138,0.000283753142552298,0.00467771269653045,0.00316135601238568,12290/12291/13052/13617/18750/20112/26399/11603,8
GO:1902905,GO:1902905,positive regulation of supramolecular fiber organization,7/194,189/28832,0.037037037037037,5.50439098892707,5.11348642357073,0.000305486384611001,0.00498286160749629,0.00336758593862085,14260/17926/17974/20430/26401/56193/84092,7
GO:0007157,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,4/194,48/28832,0.0833333333333333,12.3848797250859,6.49729922664364,0.000306752741602624,0.00498286160749629,0.00336758593862085,12561/13052/16401/23964,4
GO:0097028,GO:0097028,dendritic cell differentiation,4/194,48/28832,0.0833333333333333,12.3848797250859,6.49729922664364,0.000306752741602624,0.00498286160749629,0.00336758593862085,14255/17096/20375/14456,4
GO:0048041,GO:0048041,focal adhesion assembly,5/194,87/28832,0.0574712643678161,8.54129636212821,5.79807533293407,0.00030958661111753,0.00500448259719114,0.00338219813269943,12552/13837/14260/16542/17926,5
GO:0034764,GO:0034764,positive regulation of transmembrane transport,8/194,251/28832,0.0318725099601594,4.73684642871812,4.8939866085106,0.000315998719027415,0.00508345765391929,0.00343557213974378,13869/13617/16337/18024/18669/24014/22065/18795,8
GO:0002028,GO:0002028,regulation of sodium ion transport,5/194,88/28832,0.0568181818181818,8.44423617619494,5.75635080219071,0.000326462954105963,0.00521111512213468,0.00352184736245423,17999/545622/53416/18795/11603,5
GO:0018958,GO:0018958,phenol-containing compound metabolic process,6/194,136/28832,0.0441176470588235,6.55670103092783,5.34607662170078,0.000327063982139985,0.00521111512213468,0.00352184736245423,13617/14763/24136/53626/56448/59012,6
GO:0060348,GO:0060348,bone development,8/194,255/28832,0.0313725490196078,4.66254295532646,4.83508235094496,0.000351175827197065,0.00556864525983917,0.00376347828845777,12628/16542/17926/21873/23876/26399/17389/54635,8
GO:0014812,GO:0014812,muscle cell migration,6/194,138/28832,0.0434782608695652,6.46167637830569,5.29333445129024,0.000353654566573075,0.00558137301748028,0.00377208013635936,14673/16401/18024/20660/54608/56508,6
GO:0042415,GO:0042415,norepinephrine metabolic process,3/194,21/28832,0.142857142857143,21.2312223858616,7.63329384153497,0.000364833035154909,0.00571964850988373,0.00386553137794576,13617/53626/59012,3
GO:0006816,GO:0006816,calcium ion transport,11/194,470/28832,0.0234042553191489,3.47830664619434,4.45856312491709,0.000366245662086463,0.00571964850988373,0.00386553137794576,12290/12291/13853/13617/17096/18798/18018/54377/22065/14456/18795,11
GO:0043244,GO:0043244,regulation of protein-containing complex disassembly,6/194,139/28832,0.0431654676258993,6.41518949788623,5.2673533780091,0.000367569003337873,0.00571964850988373,0.00386553137794576,16001/16337/27360/16145/56193/21916,6
GO:0003015,GO:0003015,heart process,8/194,257/28832,0.0311284046692607,4.62625857435116,4.80608653882134,0.000369925072784965,0.00572953717383225,0.00387221447057163,12290/12291/13052/13617/18750/20112/26399/11603,8
GO:0045646,GO:0045646,regulation of erythrocyte differentiation,4/194,51/28832,0.0784313725490196,11.6563573883162,6.26902932256498,0.000387820085228414,0.00595134047838994,0.00402211662487678,16331/17096/19090/20375,4
GO:0085029,GO:0085029,extracellular matrix assembly,4/194,51/28832,0.0784313725490196,11.6563573883162,6.26902932256498,0.000387820085228414,0.00595134047838994,0.00402211662487678,21814/23876/17880/14456,4
GO:0008154,GO:0008154,actin polymerization or depolymerization,7/194,197/28832,0.0355329949238579,5.28086242084882,4.96221029726422,0.000392198929021632,0.00597917407830667,0.00404092751048511,14260/17974/20430/26401/27360/56193/21916,7
GO:0007015,GO:0007015,actin filament organization,11/194,474/28832,0.0232067510548523,3.44895384749228,4.42477659206554,0.000393224961906655,0.00597917407830667,0.00404092751048511,14260/17926/17974/20430/26401/27360/24136/56193/56363/57748/21916,11
GO:0003197,GO:0003197,endocardial cushion development,4/194,52/28832,0.0769230769230769,11.4321966693101,6.19714158494188,0.000417943854113492,0.00629448662742168,0.00425402636618541,13837/17999/18018/19876,4
GO:0036499,GO:0036499,PERK-mediated unfolded protein response,3/194,22/28832,0.136363636363636,20.2661668228679,7.44036777940796,0.000420350839483838,0.00629448662742168,0.00425402636618541,17974/18024/16145,3
GO:0038083,GO:0038083,peptidyl-tyrosine autophosphorylation,3/194,22/28832,0.136363636363636,20.2661668228679,7.44036777940796,0.000420350839483838,0.00629448662742168,0.00425402636618541,16001/16337/16542,3
GO:0045995,GO:0045995,regulation of embryonic development,5/194,93/28832,0.0537634408602151,7.99024498392639,5.55721782755387,0.000421522678052563,0.00629448662742168,0.00425402636618541,16337/16774/18024/22026/18795,5
GO:0002688,GO:0002688,regulation of leukocyte chemotaxis,6/194,143/28832,0.041958041958042,6.23574363780549,5.16592459665331,0.000427563652408427,0.00630247561957273,0.00425942559653753,13617/17096/20375/27226/53416/14456,6
GO:0030833,GO:0030833,regulation of actin filament polymerization,6/194,143/28832,0.041958041958042,6.23574363780549,5.16592459665331,0.000427563652408427,0.00630247561957273,0.00425942559653753,14260/17974/20430/26401/27360/21916,6
GO:0060562,GO:0060562,epithelial tube morphogenesis,10/194,403/28832,0.0248138957816377,3.6878053771968,4.47227937618403,0.000429628217910814,0.00630247561957273,0.00425942559653753,12826/14254/14260/13617/16542/24136/18018/19876/56274/58198,10
GO:1902903,GO:1902903,regulation of supramolecular fiber organization,10/194,403/28832,0.0248138957816377,3.6878053771968,4.47227937618403,0.000429628217910814,0.00630247561957273,0.00425942559653753,14260/17926/17974/20430/26401/27360/56193/84092/56363/21916,10
GO:0007178,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,10/194,404/28832,0.0247524752475248,3.67867714606512,4.46269572875503,0.000438003259382944,0.00636851518049253,0.00430405735922018,16542/20375/20660/21417/21814/23893/26401/24136/50766/58250,10
GO:0048762,GO:0048762,mesenchymal cell differentiation,8/194,264/28832,0.0303030303030303,4.50359262730397,4.70690057027408,0.000442078309690789,0.00636851518049253,0.00430405735922018,13837/13869/13617/21814/20357/24136/50758/18018,8
GO:0051495,GO:0051495,positive regulation of cytoskeleton organization,7/194,201/28832,0.0348258706467662,5.17577063137919,4.88962757082803,0.000442385963856071,0.00636851518049253,0.00430405735922018,14260/17926/17974/20430/26401/27360/56193,7
GO:0046323,GO:0046323,D-glucose import,5/194,94/28832,0.0531914893617021,7.90524237771441,5.5191723901627,0.000442800411636347,0.00636851518049253,0.00430405735922018,13869/16337/18024/18750/24014,5
GO:0010811,GO:0010811,positive regulation of cell-substrate adhesion,6/194,144/28832,0.0416666666666667,6.19243986254295,5.14116995588424,0.000443692348911192,0.00636851518049253,0.00430405735922018,14260/16542/17926/18073/22288/13406,6
GO:0060043,GO:0060043,regulation of cardiac muscle cell proliferation,4/194,53/28832,0.0754716981132075,11.2164948453608,6.12719047050785,0.000449700888282678,0.00642705561365372,0.00434362095842948,13052/13869/21814/64010,4
GO:0097553,GO:0097553,calcium ion transmembrane import into cytosol,7/194,202/28832,0.0346534653465347,5.15014800449117,4.87178340086892,0.000455700669011726,0.00648497105901303,0.00438276216980239,12290/12291/13617/17096/18798/22065/18795,7
GO:0010921,GO:0010921,regulation of phosphatase activity,3/194,23/28832,0.130434782608696,19.3850291349171,7.25978107374423,0.000481015554731968,0.00670564122543037,0.00453189851113328,13853/19777/56193,3
GO:0032354,GO:0032354,response to follicle-stimulating hormone,3/194,23/28832,0.130434782608696,19.3850291349171,7.25978107374423,0.000481015554731968,0.00670564122543037,0.00453189851113328,13837/13617/21814,3
GO:0038128,GO:0038128,ERBB2 signaling pathway,3/194,23/28832,0.130434782608696,19.3850291349171,7.25978107374423,0.000481015554731968,0.00670564122543037,0.00453189851113328,13869/17926/19279,3
