,P.Value,deltaBeta,feature
cg18449120,5.39E-12,0.519522289,1stExon
cg06300469,5.37E-12,-0.352595257,IGR
cg14609407,5.34E-12,-0.418995016,1stExon
cg13840445,5.32E-12,0.4282256,TSS200
cg10221596,5.29E-12,0.366788025,TSS200
cg20651644,5.29E-12,0.515716966,Body
cg25023596,5.22E-12,0.549128901,Body
cg05328057,5.17E-12,0.198294989,Body
cg21790626,5.17E-12,0.599914613,5'UTR
cg09933836,5.15E-12,-0.141443138,Body
cg18495682,5.14E-12,-0.115498397,Body
cg04797570,5.13E-12,-0.08697003,Body
cg08113562,5.10E-12,-0.165005438,5'UTR
cg24888989,5.09E-12,-0.01567976,1stExon
cg07451762,5.08E-12,-0.397515639,IGR
cg04011470,5.06E-12,0.393810247,Body
cg00619126,5.05E-12,0.507620815,IGR
cg22904711,5.05E-12,0.49738964,Body
cg14535980,4.99E-12,0.4728892,TSS200
cg00516092,4.98E-12,-0.393900716,IGR
cg08799727,4.97E-12,-0.392302708,TSS1500
cg18161890,4.94E-12,0.54645542,1stExon
cg11638966,4.93E-12,0.428593154,IGR
cg03359095,4.90E-12,-0.394387403,TSS1500
cg25691167,4.90E-12,0.62370105,1stExon
cg21113740,4.89E-12,0.514286192,5'UTR
cg13446584,4.89E-12,-0.497575335,IGR
cg15977685,4.89E-12,-0.522841607,IGR
cg08648138,4.87E-12,0.420640684,Body
cg15672498,4.84E-12,-0.276847305,Body
cg11411929,4.77E-12,0.207892191,3'UTR
cg10019467,4.76E-12,-0.622218656,TSS1500
cg23088184,4.75E-12,-0.42091317,Body
cg27615388,4.73E-12,0.54229977,1stExon
cg25541968,4.73E-12,-0.556291862,TSS1500
cg02377544,4.73E-12,0.427639495,Body
cg27264462,4.68E-12,0.518767407,Body
cg23480985,4.62E-12,-0.533237449,IGR
cg14204619,4.62E-12,-0.438124343,Body
cg00442282,4.61E-12,-0.114262139,5'UTR
cg03091551,4.58E-12,0.510136009,5'UTR
cg15874877,4.58E-12,0.366040137,Body
cg04534765,4.55E-12,0.590817112,1stExon
cg06029935,4.54E-12,-0.292500157,Body
cg09160776,4.51E-12,0.379139771,IGR
cg20952105,4.49E-12,0.214758258,Body
cg09513990,4.47E-12,0.634690604,IGR
cg22869726,4.47E-12,0.577033816,1stExon
cg19931348,4.46E-12,-0.564478326,TSS1500
cg13165778,4.41E-12,0.371037876,Body
cg03216043,4.38E-12,0.554593381,Body
cg09569989,4.38E-12,0.252803211,Body
cg10070185,4.37E-12,-0.348990097,TSS200
cg15825304,4.34E-12,-0.42797572,IGR
cg04800569,4.34E-12,-0.368308377,TSS200
cg20718350,4.32E-12,0.546427141,1stExon
cg24563501,4.27E-12,-0.461563104,TSS1500
cg19689427,4.25E-12,0.3619846,1stExon
cg10380312,4.22E-12,0.191090781,Body
cg21183256,4.21E-12,0.573829167,IGR
cg16142855,4.20E-12,0.434624071,IGR
ch.1.2344685R,4.19E-12,-0.057882226,IGR
cg20382418,4.18E-12,0.208127947,3'UTR
cg13153865,4.17E-12,-0.0945002,5'UTR
cg14651896,4.16E-12,0.154016508,Body
cg11422851,4.14E-12,0.358105753,IGR
cg22731637,4.12E-12,0.472678374,Body
cg05787952,4.12E-12,-0.153092849,TSS1500
cg00430895,4.09E-12,-0.444278981,IGR
cg26564815,4.06E-12,0.223689516,Body
cg07860213,4.05E-12,0.619358876,Body
cg17551891,4.01E-12,0.262397606,Body
cg16920620,4.01E-12,0.358762746,5'UTR
cg27150476,3.99E-12,0.329905076,Body
cg05834845,3.96E-12,0.341136296,Body
cg03494634,3.90E-12,-0.460330179,TSS1500
cg06574716,3.89E-12,0.620075921,TSS1500
cg08239858,3.88E-12,0.544917695,IGR
cg22325186,3.86E-12,0.32151028,Body
cg06661994,3.86E-12,-0.423543025,TSS200
cg25567594,3.85E-12,0.614661126,IGR
cg18080509,3.84E-12,0.386891805,Body
cg26466587,3.84E-12,0.645567182,TSS200
cg26675664,3.84E-12,0.226532918,IGR
ch.2.126989343R,3.81E-12,-0.041865077,IGR
cg07619697,3.80E-12,0.374389564,1stExon
cg12021814,3.80E-12,0.523780695,IGR
cg03238090,3.75E-12,-0.356509542,IGR
cg07912689,3.73E-12,-0.51824361,1stExon
cg20138186,3.71E-12,0.56568023,IGR
cg24249403,3.69E-12,0.329092248,3'UTR
cg17500055,3.67E-12,-0.280759166,5'UTR
cg20026939,3.67E-12,0.556729814,IGR
cg09309024,3.67E-12,0.306077683,5'UTR
cg26356061,3.64E-12,0.493477893,TSS1500
cg27342333,3.62E-12,0.456484261,Body
cg02457644,3.62E-12,0.128107137,Body
cg09424275,3.60E-12,0.263961164,Body
cg13466284,3.57E-12,-0.379870404,1stExon
cg14066757,3.56E-12,-0.291795735,TSS200
cg14568830,3.55E-12,0.464665778,IGR
cg00792424,3.54E-12,0.519780005,IGR
cg02753354,3.54E-12,-0.305158229,Body
cg05393086,3.53E-12,-0.413384117,IGR
ch.2.11889418R,3.53E-12,-0.304874898,IGR
cg24202916,3.53E-12,-0.405101654,IGR
cg24426405,3.53E-12,-0.46820553,TSS200
cg14118850,3.50E-12,0.333350966,5'UTR
cg03730249,3.49E-12,0.181442151,Body
cg00620628,3.47E-12,0.424716759,IGR
cg06249604,3.47E-12,0.475184844,Body
cg10941916,3.44E-12,-0.469778234,IGR
cg15252509,3.44E-12,-0.565605785,TSS1500
cg04107003,3.43E-12,-0.301953911,Body
cg26160153,3.42E-12,0.247745689,Body
cg00579520,3.40E-12,0.494673146,Body
cg26351229,3.39E-12,0.384481986,TSS1500
cg18629334,3.38E-12,-0.188822449,TSS1500
cg10020787,3.37E-12,-0.378746569,IGR
cg17370412,3.37E-12,0.425852345,Body
cg08981537,3.37E-12,0.255060724,Body
cg21983531,3.34E-12,-0.595902935,5'UTR
cg13435326,3.32E-12,0.582637855,5'UTR
cg10911365,3.32E-12,0.318114753,Body
cg25551362,3.31E-12,0.055781654,Body
cg02949991,3.29E-12,-0.037133078,TSS200
ch.7.313144R,3.29E-12,-0.056998821,IGR
cg05521150,3.27E-12,-0.584472341,IGR
cg04656171,3.26E-12,0.226497814,Body
cg15554678,3.22E-12,0.411838492,Body
cg08065231,3.21E-12,0.627619793,TSS200
cg05221167,3.18E-12,0.525287563,TSS200
cg26874872,3.17E-12,-0.481453798,IGR
cg12277416,3.16E-12,0.30639522,IGR
cg01091514,3.15E-12,-0.476312925,IGR
cg03524083,3.13E-12,0.494225774,TSS1500
cg14069088,3.12E-12,-0.589204741,Body
cg12973803,3.12E-12,0.430725669,IGR
cg14010720,3.11E-12,-0.524243574,TSS200
cg15036118,3.10E-12,0.458632421,IGR
cg15996534,3.09E-12,0.43629149,Body
cg09528494,3.09E-12,-0.424146354,IGR
cg19402371,3.09E-12,0.36949953,Body
cg07864883,3.08E-12,-0.4269023,5'UTR
cg19863037,3.08E-12,0.106080165,IGR
cg09159022,3.07E-12,0.568318241,Body
cg01267899,3.06E-12,0.116622333,Body
cg26485825,3.05E-12,-0.534965965,TSS200
cg22772930,3.04E-12,-0.563673756,IGR
cg25720793,3.04E-12,-0.432819812,Body
cg22346461,3.03E-12,-0.202872117,Body
cg08833577,3.00E-12,0.58989276,TSS1500
cg00917251,2.98E-12,-0.312518641,5'UTR
cg03840467,2.96E-12,-0.522194913,Body
cg08141659,2.93E-12,-0.202005399,TSS200
cg01488159,2.89E-12,-0.575859342,IGR
cg00812438,2.88E-12,0.625649382,IGR
cg25591868,2.87E-12,-0.192681258,TSS1500
cg15733507,2.87E-12,-0.036346798,TSS1500
cg00157668,2.85E-12,0.480258564,IGR
cg05547279,2.85E-12,0.393804921,IGR
cg20916319,2.82E-12,0.224118611,Body
cg00815177,2.82E-12,0.223265736,Body
cg19395441,2.82E-12,-0.09147948,TSS200
cg19942495,2.79E-12,0.451126786,TSS1500
cg12491114,2.79E-12,-0.553461899,TSS1500
cg12062220,2.79E-12,0.552276787,IGR
cg10161111,2.78E-12,0.494211647,3'UTR
cg26419880,2.78E-12,0.444832987,Body
cg17924072,2.77E-12,-0.433448466,Body
cg11680590,2.76E-12,-0.633397618,Body
cg17885542,2.76E-12,-0.249105922,TSS1500
cg08681293,2.75E-12,0.431816553,Body
cg12633154,2.75E-12,0.360229399,Body
cg19178151,2.75E-12,0.193715247,Body
cg19134568,2.75E-12,0.395410522,Body
cg18635361,2.72E-12,0.507125045,Body
cg14517056,2.71E-12,0.214173532,Body
cg18222609,2.70E-12,0.563570745,Body
cg04989070,2.69E-12,-0.525744688,5'UTR
cg14146966,2.69E-12,0.400270729,Body
cg05323533,2.69E-12,0.566327944,Body
cg01198033,2.69E-12,0.56571816,5'UTR
cg01911239,2.64E-12,0.392858424,Body
cg05223396,2.63E-12,0.420714274,Body
ch.10.2610459F,2.62E-12,-0.058766036,Body
cg08067969,2.61E-12,0.156515802,3'UTR
cg21156057,2.59E-12,0.548539298,TSS1500
cg04267526,2.58E-12,0.48296996,IGR
cg03625911,2.58E-12,-0.395863927,1stExon
cg24525138,2.58E-12,-0.56438886,IGR
cg19635505,2.56E-12,0.564372227,5'UTR
cg19926444,2.56E-12,0.593264179,TSS200
cg26469608,2.56E-12,0.497587406,IGR
cg08812189,2.56E-12,0.572867444,Body
cg00498089,2.56E-12,0.513363454,IGR
cg20975682,2.55E-12,0.410976803,5'UTR
cg18196506,2.54E-12,-0.515016389,IGR
cg07821676,2.53E-12,0.232444145,Body
cg26475911,2.53E-12,0.536498461,Body
cg15336438,2.53E-12,-0.320533523,Body
cg19161124,2.50E-12,0.478629134,TSS1500
cg13401893,2.50E-12,0.34371021,Body
cg10853431,2.49E-12,0.401984756,Body
cg25714956,2.49E-12,0.557441536,Body
cg26662520,2.46E-12,0.342788102,IGR
cg08963616,2.46E-12,0.418008623,Body
cg27493411,2.45E-12,0.433419657,Body
cg06360427,2.44E-12,0.505979449,1stExon
cg14067450,2.43E-12,0.35798708,Body
cg09063683,2.42E-12,-0.515596625,IGR
cg12494355,2.41E-12,0.341551548,Body
cg08461840,2.40E-12,-0.405398056,5'UTR
cg18568589,2.40E-12,0.507485579,TSS200
cg00078759,2.38E-12,0.158259835,Body
cg12744820,2.38E-12,0.626863638,1stExon
cg25964534,2.37E-12,0.271925102,Body
cg18513344,2.37E-12,-0.324803011,Body
cg12434312,2.37E-12,-0.427181639,Body
cg27624310,2.36E-12,0.182443382,Body
cg26959247,2.36E-12,0.267905485,Body
cg20011134,2.36E-12,0.397134908,Body
cg14095048,2.34E-12,-0.419798971,IGR
cg11256214,2.33E-12,-0.36891608,TSS1500
cg15504461,2.33E-12,0.539940005,IGR
cg03719032,2.33E-12,-0.351819473,TSS1500
cg02568670,2.33E-12,-0.06713089,IGR
cg06012215,2.32E-12,0.347163806,IGR
cg11064454,2.32E-12,0.459424044,Body
cg10746447,2.32E-12,0.397071036,Body
cg13427748,2.30E-12,-0.329708077,IGR
cg10348234,2.29E-12,-0.293011837,IGR
cg00439089,2.29E-12,0.406635853,Body
cg13721404,2.25E-12,0.515014136,Body
cg02895948,2.24E-12,0.468669434,Body
cg04559779,2.23E-12,0.585663508,Body
cg24625388,2.22E-12,-0.557795346,TSS1500
cg08158952,2.21E-12,0.587174921,Body
cg21031917,2.21E-12,-0.493208512,Body
cg00423153,2.21E-12,0.620902863,TSS1500
cg19801921,2.20E-12,0.616346634,IGR
cg05405914,2.20E-12,-0.351098826,IGR
cg06215670,2.19E-12,0.383330742,Body
cg25002294,2.19E-12,-0.525103292,Body
cg08147187,2.18E-12,0.279386376,Body
cg07949011,2.18E-12,0.402337635,Body
cg14787267,2.15E-12,0.327651163,Body
cg21513437,2.14E-12,-0.159723457,IGR
cg16587616,2.13E-12,0.602851943,1stExon
cg12800122,2.13E-12,0.419082325,Body
cg17892069,2.11E-12,-0.468201255,Body
cg11338156,2.11E-12,-0.59998212,IGR
cg16710448,2.09E-12,0.160364108,Body
cg03048372,2.08E-12,0.327452176,Body
cg02940562,2.08E-12,0.414178003,Body
cg09584521,2.05E-12,-0.413300267,Body
cg01009664,2.03E-12,0.57437391,5'UTR
cg02914422,2.03E-12,0.513360245,5'UTR
cg21995304,2.03E-12,0.638569207,IGR
cg02138124,2.02E-12,0.446373858,Body
cg06454760,2.01E-12,0.695452287,TSS200
cg27029518,2.00E-12,-0.440228381,TSS1500
cg02264229,2.00E-12,0.325995824,IGR
cg04694991,1.99E-12,0.483411701,5'UTR
cg03405909,1.98E-12,0.625606567,IGR
cg26391080,1.96E-12,0.517430718,TSS1500
cg25161912,1.95E-12,-0.527661661,Body
cg27180868,1.95E-12,-0.258035351,5'UTR
cg04184716,1.94E-12,-0.527517635,IGR
cg02337388,1.94E-12,0.402283249,3'UTR
cg11546709,1.94E-12,0.505739439,IGR
cg25260137,1.93E-12,0.469266652,IGR
cg24837370,1.93E-12,0.624228214,1stExon
cg05287372,1.92E-12,0.332632884,Body
cg10403161,1.91E-12,0.323485955,IGR
cg01093801,1.90E-12,0.171705682,Body
cg14534144,1.90E-12,0.578904394,Body
cg20924425,1.89E-12,0.189234726,Body
cg15138339,1.89E-12,-0.46650626,1stExon
cg04636538,1.89E-12,0.449526448,1stExon
cg13837335,1.88E-12,0.243731007,Body
cg19247475,1.88E-12,0.379229284,Body
cg02930239,1.88E-12,0.223374553,1stExon
cg01603455,1.88E-12,0.152491326,Body
cg12355887,1.87E-12,0.276552307,Body
cg11963755,1.86E-12,0.30601662,Body
cg22553011,1.84E-12,-0.148871669,1stExon
cg25585967,1.84E-12,0.200283396,Body
cg03943218,1.84E-12,0.652769441,IGR
cg00468846,1.83E-12,0.121869951,IGR
cg15988345,1.81E-12,0.277372467,3'UTR
cg25363258,1.80E-12,0.156205549,3'UTR
cg12665553,1.79E-12,0.149895268,Body
cg11842367,1.78E-12,-0.486139831,Body
cg22444720,1.77E-12,-0.233813178,Body
cg17437939,1.77E-12,0.662407983,TSS200
cg00739667,1.77E-12,0.262077066,Body
cg16322014,1.75E-12,0.48742281,5'UTR
cg09939269,1.75E-12,0.104722352,Body
ch.20.230983F,1.74E-12,-0.052485643,Body
cg04186657,1.74E-12,-0.359510495,TSS1500
cg13290149,1.74E-12,-0.346167436,TSS200
cg22632523,1.73E-12,-0.497885858,IGR
cg22234855,1.71E-12,0.205543183,Body
cg24530116,1.71E-12,-0.189909137,Body
cg03209398,1.70E-12,0.197772446,IGR
cg09809932,1.69E-12,0.457100264,Body
cg19174634,1.68E-12,0.217190233,Body
cg14357535,1.67E-12,-0.331345494,5'UTR
cg07044414,1.66E-12,0.316694891,Body
cg24863335,1.66E-12,0.562505581,TSS1500
cg23268208,1.66E-12,0.410020177,TSS200
cg24865270,1.65E-12,0.455479036,IGR
cg18468354,1.64E-12,0.6198225,IGR
cg06969177,1.64E-12,0.308775909,Body
cg05455720,1.62E-12,0.513434614,TSS200
cg19127638,1.62E-12,0.405064728,5'UTR
cg03294207,1.62E-12,0.388707825,Body
cg14228146,1.61E-12,0.507079823,IGR
cg02909789,1.61E-12,0.408530362,Body
cg22226527,1.59E-12,-0.281915796,TSS200
cg26396492,1.59E-12,-0.415029833,Body
cg14509403,1.58E-12,0.519573432,TSS200
cg16040763,1.58E-12,-0.021144555,5'UTR
cg17036007,1.56E-12,0.381665851,5'UTR
cg19702343,1.56E-12,0.361258473,IGR
cg06132342,1.54E-12,0.358847165,1stExon
cg07004744,1.53E-12,0.188255092,Body
cg07377422,1.53E-12,0.540345254,TSS200
cg20950167,1.52E-12,0.506454821,3'UTR
cg07039560,1.52E-12,0.416114295,TSS200
cg16785291,1.50E-12,0.48685942,3'UTR
cg15856055,1.50E-12,-0.364703803,5'UTR
cg01563502,1.49E-12,0.147471398,Body
cg10987347,1.49E-12,0.283142496,Body
cg16080125,1.48E-12,0.436117784,Body
cg16565913,1.48E-12,-0.399301659,TSS1500
cg00154357,1.47E-12,0.435945533,Body
cg12001304,1.47E-12,0.641993148,Body
cg12210305,1.46E-12,0.080455825,3'UTR
cg00216305,1.45E-12,-0.29475675,IGR
cg25748958,1.45E-12,0.393120521,Body
cg02087565,1.42E-12,0.37276575,IGR
cg03936663,1.42E-12,0.484166721,IGR
cg13495205,1.41E-12,0.69851803,TSS1500
cg09522056,1.40E-12,0.505995192,IGR
cg19716643,1.39E-12,0.471680393,1stExon
cg02278646,1.39E-12,0.535190436,TSS1500
cg01335980,1.37E-12,0.420723332,Body
cg02312706,1.36E-12,0.372411213,Body
cg14223485,1.36E-12,0.202962994,Body
cg13438893,1.35E-12,0.587767948,IGR
cg03957687,1.33E-12,0.239668757,Body
cg14633252,1.33E-12,-0.439909187,Body
cg02660440,1.32E-12,0.49279225,TSS200
cg06470424,1.32E-12,0.434666075,5'UTR
cg11668749,1.32E-12,0.419227361,Body
cg26967385,1.32E-12,0.362099479,TSS1500
cg06154311,1.32E-12,-0.435340738,TSS200
cg19559114,1.31E-12,0.259623365,Body
cg04095339,1.30E-12,0.346005679,Body
cg00779313,1.29E-12,0.403028899,Body
cg24044564,1.29E-12,0.215975907,Body
cg06545367,1.29E-12,0.374469255,5'UTR
cg16326073,1.29E-12,0.354724903,Body
cg14158558,1.27E-12,0.347569238,Body
cg07157030,1.27E-12,0.504457952,5'UTR
cg21858764,1.26E-12,-0.485328893,TSS200
cg00130819,1.25E-12,0.379918527,IGR
cg07502829,1.25E-12,0.459644071,IGR
cg09639151,1.24E-12,0.463696446,Body
cg08131309,1.23E-12,-0.550509003,TSS1500
cg13947653,1.23E-12,-0.155189671,Body
cg25351353,1.22E-12,0.261943598,IGR
cg18437792,1.22E-12,-0.555587854,IGR
cg27161702,1.22E-12,0.179269696,Body
cg01031101,1.22E-12,0.574968434,TSS200
cg10030658,1.22E-12,0.147643282,IGR
cg00390259,1.21E-12,0.363576761,IGR
ch.12.50831229F,1.21E-12,-0.233825556,IGR
cg08668316,1.21E-12,0.509914422,IGR
cg07236912,1.20E-12,0.210267706,Body
cg24593464,1.20E-12,-0.477895151,TSS200
cg11028923,1.18E-12,-0.222506444,TSS1500
cg19814116,1.18E-12,-0.439390389,1stExon
cg14297867,1.17E-12,0.28876988,5'UTR
cg25492583,1.16E-12,0.449128173,IGR
cg11377088,1.16E-12,-0.082027034,Body
cg10427868,1.15E-12,0.366447516,5'UTR
cg23840493,1.15E-12,0.267641583,Body
cg07471943,1.14E-12,0.384062018,Body
cg07698336,1.13E-12,0.347876939,IGR
cg02607059,1.13E-12,0.434438188,IGR
cg26328757,1.13E-12,-0.391715055,5'UTR
cg00737801,1.13E-12,0.051287351,Body
cg27152133,1.12E-12,0.126366909,Body
cg17023254,1.12E-12,0.282701343,Body
cg05418333,1.11E-12,0.416081457,Body
cg18471993,1.10E-12,0.456505545,IGR
cg06634552,1.09E-12,-0.236413913,IGR
cg20317148,1.08E-12,0.435423718,IGR
cg09793121,1.07E-12,0.513535064,1stExon
cg17463145,1.06E-12,0.518194903,TSS1500
cg00129232,1.06E-12,0.077984561,Body
cg07037778,1.05E-12,0.309040396,IGR
cg20634266,1.05E-12,0.469122472,IGR
cg25936381,1.05E-12,-0.536250325,TSS200
cg08393317,1.04E-12,0.682234488,Body
cg20893180,1.04E-12,0.469189829,IGR
cg20795401,1.03E-12,-0.316950578,TSS1500
cg08569850,1.03E-12,0.244747109,IGR
cg18757155,1.02E-12,-0.464771741,TSS200
cg16154857,1.02E-12,-0.517044037,Body
cg24691332,1.01E-12,0.389087026,Body
cg27478167,1.01E-12,0.116929926,Body
cg22929099,1.00E-12,0.227422554,Body
cg18417954,1.00E-12,0.563195735,Body
cg07508429,9.97E-13,0.257158475,Body
cg00474943,9.95E-13,0.108115095,Body
cg07813065,9.95E-13,0.299958032,Body
cg02990330,9.94E-13,-0.421068501,TSS1500
cg05508408,9.82E-13,0.158042691,Body
cg20296343,9.79E-13,0.53142497,Body
cg07955126,9.76E-13,0.155770735,Body
cg17099569,9.71E-13,-0.570875223,IGR
cg25339566,9.64E-13,0.630123976,5'UTR
cg09559798,9.63E-13,0.246120547,Body
cg02045493,9.57E-13,0.209174073,Body
cg20617977,9.54E-13,0.311660928,Body
cg22086566,9.52E-13,0.438073724,Body
cg03422911,9.40E-13,0.525860107,TSS1500
cg17344048,9.38E-13,-0.481507442,Body
cg24052338,9.36E-13,0.177321135,3'UTR
cg01943692,9.23E-13,-0.369020095,IGR
cg01341751,9.14E-13,0.420283236,Body
cg02696067,9.14E-13,-0.490612626,TSS1500
cg16381917,9.12E-13,0.234984609,Body
cg15093769,9.07E-13,0.319962436,5'UTR
cg03858673,8.91E-13,0.458997939,IGR
cg10099572,8.76E-13,0.356363942,IGR
cg18207011,8.72E-13,0.352093608,Body
cg14162417,8.68E-13,-0.454254662,IGR
cg21131343,8.64E-13,0.356801579,IGR
cg15108553,8.63E-13,-0.462382586,TSS1500
cg01812571,8.60E-13,-0.409822616,IGR
cg23371436,8.49E-13,0.41870458,Body
cg13464573,8.47E-13,-0.51813574,Body
cg14972721,8.43E-13,0.224370773,Body
cg01898698,8.42E-13,0.439609833,1stExon
cg05977072,8.36E-13,0.322866128,IGR
cg05516272,8.34E-13,0.422173979,Body
cg03169508,8.32E-13,0.552833553,IGR
cg09971314,8.32E-13,0.626450862,IGR
cg23830290,8.28E-13,0.206705465,Body
cg17976205,8.26E-13,-0.513089986,TSS1500
cg11619922,8.25E-13,0.432808403,Body
cg06629130,8.22E-13,0.568423137,IGR
cg07917978,8.05E-13,-0.33845078,Body
cg04267184,8.00E-13,0.26086453,TSS1500
cg05887079,7.98E-13,0.372447503,Body
cg15720535,7.97E-13,-0.551797685,TSS1500
cg11624345,7.94E-13,0.360534392,Body
cg05174943,7.93E-13,0.27412054,Body
cg19825988,7.92E-13,0.333629154,5'UTR
cg16073378,7.90E-13,0.507497069,IGR
cg11174855,7.88E-13,0.554035834,3'UTR
cg13759229,7.88E-13,0.445421483,Body
cg26763362,7.81E-13,-0.272294632,5'UTR
cg27049766,7.72E-13,0.588283802,5'UTR
cg18792131,7.71E-13,-0.642054757,IGR
ch.20.327316F,7.70E-13,-0.151278261,5'UTR
cg09034795,7.70E-13,0.397808637,3'UTR
cg17171539,7.68E-13,-0.409524714,IGR
cg26885268,7.65E-13,0.581975128,IGR
cg19215541,7.64E-13,0.473415641,IGR
cg24004007,7.57E-13,0.452824312,TSS1500
cg03994318,7.51E-13,0.604626806,IGR
cg07190778,7.41E-13,-0.404529563,IGR
cg20555674,7.40E-13,0.587185783,Body
cg06853836,7.38E-13,-0.435146826,IGR
cg01408508,7.33E-13,0.574003151,IGR
cg12762039,7.19E-13,0.491187998,IGR
cg24741563,7.17E-13,0.117218013,Body
cg01920536,7.14E-13,-0.267070189,IGR
cg06043908,7.13E-13,0.404665025,IGR
cg03233940,7.13E-13,0.186598514,IGR
cg23665216,7.12E-13,0.181851247,Body
cg04042828,7.08E-13,-0.444876724,TSS1500
cg06754197,6.94E-13,0.391073686,TSS200
cg08803490,6.92E-13,0.312649193,Body
cg13015710,6.88E-13,0.448726251,IGR
cg15174623,6.86E-13,0.406998592,IGR
cg24522085,6.85E-13,0.501008434,Body
cg15919066,6.85E-13,0.274884375,3'UTR
cg13609040,6.83E-13,-0.185450833,TSS1500
cg05802386,6.80E-13,-0.519423385,Body
cg22213837,6.73E-13,0.288221193,Body
cg10530883,6.71E-13,0.59172871,1stExon
cg16578085,6.70E-13,-0.559002835,IGR
cg18011916,6.68E-13,0.577717834,TSS1500
cg22699026,6.61E-13,0.450410364,Body
cg18866015,6.61E-13,0.594759535,Body
cg12764034,6.49E-13,0.55001894,Body
cg04707519,6.47E-13,0.417259655,IGR
cg19498319,6.45E-13,-0.074853778,TSS1500
cg16955407,6.40E-13,0.281122092,Body
cg00180097,6.35E-13,0.338610156,Body
cg16848072,6.35E-13,0.315097579,IGR
cg26456435,6.35E-13,0.315404616,IGR
cg09395443,6.29E-13,0.460350713,Body
cg15160501,6.27E-13,0.305853938,3'UTR
cg17864469,6.26E-13,0.199047656,Body
cg10278149,6.22E-13,0.262257849,Body
cg22668002,6.19E-13,0.097407552,Body
cg19072291,6.19E-13,0.408317408,3'UTR
cg24007193,6.17E-13,0.264565276,3'UTR
cg11697427,6.16E-13,0.419502307,IGR
cg03283842,6.10E-13,-0.071454594,TSS1500
cg07807210,6.10E-13,0.463074153,Body
cg01332683,6.09E-13,0.467494077,Body
cg09331409,6.08E-13,-0.43115502,Body
cg14410016,6.07E-13,0.479790773,TSS1500
cg15686474,6.06E-13,0.329926701,IGR
cg17415576,6.05E-13,0.204242331,3'UTR
cg18959907,6.01E-13,0.370382292,Body
cg07351192,5.99E-13,0.488504831,IGR
cg22310062,5.96E-13,-0.073942213,TSS1500
cg13625026,5.95E-13,-0.506005816,IGR
cg20014094,5.93E-13,0.153635092,Body
cg17156862,5.91E-13,-0.424169722,TSS1500
cg24939196,5.89E-13,-0.352572722,IGR
cg20869844,5.82E-13,-0.387435686,TSS200
cg26020878,5.79E-13,0.365282035,Body
cg18966401,5.77E-13,-0.351752286,TSS1500
cg15144153,5.70E-13,0.254048545,Body
cg20702205,5.67E-13,0.494980052,Body
cg16694480,5.66E-13,0.428031496,Body
cg27131891,5.65E-13,0.673691156,IGR
cg10537450,5.64E-13,0.288330115,IGR
cg26078977,5.62E-13,0.515239056,Body
cg26348803,5.60E-13,0.254934136,Body
cg13817046,5.58E-13,-0.481073359,IGR
cg13858407,5.56E-13,-0.36994376,5'UTR
cg22644163,5.55E-13,0.263294664,Body
cg04185862,5.54E-13,0.288548384,IGR
cg27531366,5.51E-13,0.440452186,Body
cg24932585,5.51E-13,0.518398887,IGR
cg08296680,5.47E-13,-0.506994045,TSS200
cg00478333,5.41E-13,-0.139070956,TSS200
ch.2.47286786F,5.38E-13,-0.242919615,IGR
cg26554592,5.38E-13,0.485656658,TSS200
cg02165692,5.37E-13,0.274733887,Body
cg01934781,5.37E-13,-0.444392122,5'UTR
cg25973445,5.36E-13,0.450363707,IGR
cg03496533,5.36E-13,-0.385429909,TSS200
cg07148407,5.35E-13,0.322642689,5'UTR
cg02748089,5.33E-13,0.577957006,Body
cg11935523,5.31E-13,0.405698568,3'UTR
cg12593515,5.31E-13,0.48603249,Body
cg24586039,5.29E-13,0.554920932,Body
ch.10.119748781R,5.27E-13,-0.179917799,IGR
cg25911551,5.26E-13,0.581348528,Body
cg21720306,5.18E-13,0.31308313,Body
cg11705722,5.18E-13,0.272478291,Body
cg25433648,5.16E-13,-0.493109251,5'UTR
cg21448057,5.14E-13,0.581741345,1stExon
cg03727169,5.13E-13,0.339037414,IGR
cg09390414,5.11E-13,0.340651109,Body
cg25687874,5.11E-13,-0.479071346,Body
cg02711163,5.07E-13,-0.454957441,TSS200
cg07555084,5.07E-13,0.253765325,IGR
cg15653173,5.04E-13,0.598933264,1stExon
cg07143083,4.94E-13,0.462399273,1stExon
cg24061208,4.93E-13,0.570506468,1stExon
cg09947611,4.89E-13,0.362298436,Body
cg10608596,4.87E-13,0.545490507,Body
cg10819493,4.85E-13,0.351552194,Body
cg12604162,4.73E-13,-0.336000284,TSS1500
cg02972475,4.71E-13,0.201152858,Body
cg21512644,4.64E-13,0.591033162,5'UTR
cg09837977,4.62E-13,0.499392818,5'UTR
cg01185754,4.59E-13,-0.396588799,Body
cg14642395,4.58E-13,0.400050645,TSS1500
cg01383890,4.57E-13,-0.12489994,TSS200
cg17741539,4.57E-13,0.305713896,Body
cg05670093,4.56E-13,0.196137342,Body
cg03202564,4.55E-13,0.361527264,IGR
ch.1.201279582R,4.54E-13,-0.048968629,IGR
cg09560658,4.53E-13,0.330958261,Body
cg25206071,4.53E-13,-0.585900839,Body
cg18881778,4.52E-13,0.580896092,Body
cg12666221,4.50E-13,0.246666701,3'UTR
cg03052794,4.50E-13,-0.578907268,Body
cg21782813,4.49E-13,0.303900635,Body
