gene	r	p	direct
LILRA4	0.360373531032223	3.63162447368376e-16	A
CTSW	0.359823204332917	4.05520697628586e-16	A
SAMD3	0.35962789705278	4.21691061610911e-16	A
CHN2	0.359558496797971	4.27588210715632e-16	A
PRKCQ	0.359475056585127	4.34785707877397e-16	A
KCNA5	0.359151952667621	4.63796431205248e-16	A
CCDC69	0.35786019341448	6.00012393097258e-16	A
ART3	0.357761909922188	6.11854518044944e-16	A
GDF10	0.357615612515789	6.29908170511049e-16	A
PTPN7	0.357332339582505	6.66364933208944e-16	A
SARDH	0.35724970733975	6.77384601718908e-16	A
LAP3	0.357187209196489	6.85837922894673e-16	A
KLF2	0.357114568636436	6.95793334279572e-16	A
MFNG	0.357064381428605	7.02754273772849e-16	A
GZMH	0.356400288683728	8.01563051889674e-16	A
IKZF3	0.35625598733357	8.24773508060368e-16	A
PTPN22	0.355801433867792	9.0228620808103e-16	A
APOL3	0.354642492677628	1.13375880359289e-15	A
CD79B	0.35464157832011	1.13396267004567e-15	A
P2RX5	0.354088897459502	1.26401154415162e-15	A
LMO2	0.353608456073974	1.38888138250111e-15	A
ST6GAL1	0.353592117156763	1.39333434886996e-15	A
DAPK1	0.353168709452362	1.51374472969208e-15	A
APOL4	0.353123723609154	1.52712319883156e-15	A
ITGA8	0.352826117277132	1.61860019786915e-15	A
BTN3A3	0.352445800041308	1.74336395157134e-15	A
IGFLR1	0.352286251894249	1.79847231113521e-15	A
FLT3LG	0.351982019013629	1.90833580412128e-15	A
CYFIP2	0.350616432294164	2.48827788717076e-15	A
RNF125	0.35059881846172	2.49678808897939e-15	A
PSTPIP1	0.349976802212523	2.81634540449815e-15	A
EDNRB	0.34975982225924	2.93700112913878e-15	A
ACSL5	0.349708682811379	2.96616879532663e-15	A
IDO1	0.349526912070104	3.07216244931746e-15	A
SHE	0.349431437867863	3.12931528629232e-15	A
FASLG	0.3484969190379	3.74680699395526e-15	A
IFI30	0.348373684066451	3.83668088091516e-15	A
DNAJC5B	0.347929925603879	4.17818095405303e-15	A
ACAP1	0.346204373710359	5.81335819153832e-15	A
BTN3A2	0.344515919988493	8.0154436379348e-15	A
STAMBPL1	0.344318877556184	8.32055457877918e-15	A
KLRB1	0.34405369090542	8.74923227598426e-15	A
RARRES3	0.343288650389674	1.0111036685929e-14	A
ITGB7	0.342617091035042	1.14763142954211e-14	A
ZNF683	0.341402047772821	1.44207581294578e-14	A
BCL2A1	0.34058168589255	1.68155145936273e-14	A
STAT4	0.339974094413937	1.88364878616307e-14	A
TRAF5	0.339033042673745	2.24454259412564e-14	A
MCOLN2	0.339020365855079	2.24983980681983e-14	A
CH25H	0.338859987010804	2.31792458314144e-14	A
CLNK	0.338438510653076	2.50662946048468e-14	A
TRAF3IP3	0.337874083099508	2.78309755104552e-14	A
SIRPB1	0.337461571071232	3.00385047169946e-14	A
OGN	0.337422109839529	3.02584626037799e-14	A
CX3CL1	0.336823996375603	3.37922447583298e-14	A
IL15	0.336536759008639	3.5630115379089e-14	A
ICAM3	0.336168080319827	3.81332319537877e-14	A
KLRD1	0.335841289900746	4.04955087349326e-14	A
CXCL10	0.33500214682898	4.72382507107886e-14	A
FAM107B	0.334955486723156	4.76438703962081e-14	A
GZMB	0.334629773281687	5.05719706481505e-14	A
RTN1	0.334295703112353	5.37582876018772e-14	A
GPR18	0.334287113779915	5.38427534189304e-14	A
CADPS2	0.332872343934121	6.96856205790612e-14	A
MMRN1	0.332643883312404	7.26403047786442e-14	A
GRAP	0.332076103687659	8.05253492565209e-14	A
KMO	0.332033689240332	8.11469484154517e-14	A
FUT7	0.331011365636571	9.76360531434915e-14	A
LY96	0.330831301690615	1.00862385048014e-13	A
CMTM7	0.330559485225981	1.05931484066545e-13	A
SYNDIG1	0.330166431901711	1.13705609303411e-13	A
AOX1	0.329592136198497	1.26078658674369e-13	A
RASGRP2	0.329138214519248	1.36782893920704e-13	A
PSMB10	0.328877792158149	1.43320775295115e-13	A
CDO1	0.328083106798645	1.65221411208052e-13	A
TRAT1	0.327850724881864	1.72223068750775e-13	A
CLIC2	0.32783843867841	1.72601231424824e-13	A
RARRES1	0.327354600670945	1.8815784551031e-13	A
TMEM200A	0.327328941554671	1.89020124023636e-13	A
ZNF831	0.326585273549375	2.15763393952085e-13	A
KIF21B	0.324649661946146	3.03964623960266e-13	A
P2RX1	0.324483138480412	3.13024849816806e-13	A
KIT	0.323297858905824	3.8560732040806e-13	A
FAM46C	0.32284656654605	4.17372621485816e-13	A
SELE	0.322416379656596	4.50029939403452e-13	A
NCR3	0.321412380458345	5.36286516780022e-13	A
CBX7	0.320818753352623	5.94691079354798e-13	A
ABCB1	0.320653130727589	6.12067607367018e-13	A
TOX	0.320640287698295	6.13435621645528e-13	A
PARP15	0.320272333359163	6.5392564329439e-13	A
MERTK	0.32000937638941	6.84452358016463e-13	A
CR1	0.31991899554163	6.95263300262275e-13	A
NLRP3	0.31893617770369	8.24161262823183e-13	A
FXYD6	0.318717370231898	8.55893483138407e-13	A
SSTR3	0.318471415417287	8.92990709551098e-13	A
IGF1	0.318164076139606	9.41563048538381e-13	A
ALPK2	0.317596843980618	1.03808766712715e-12	A
PLA2G2D	0.317489526604674	1.05740871700343e-12	A
GBP5	0.316059770911698	1.3509407460101e-12	A
OLR1	0.314781427233004	1.67989226195089e-12	A
CCR6	0.314204828361494	1.85277611660602e-12	A
APOBEC3D	0.314078089236009	1.89304711550093e-12	A
HTR2B	0.313984496970811	1.92333395440762e-12	A
RORC	0.313671241208892	2.0281918801899e-12	A
CCDC170	0.313491821249966	2.09074655057486e-12	A
LAIR2	0.313199625938985	2.19668007454585e-12	A
JAK2	0.313126542836448	2.22398572586139e-12	A
DERL3	0.311818832477132	2.77258309088419e-12	A
GFI1	0.31126873731547	3.04104280453195e-12	A
CD40LG	0.311197567383831	3.07758031917274e-12	A
SLAMF7	0.311122225239524	3.11672734262501e-12	A
PTGFR	0.31107630445188	3.1408256230196e-12	A
ID2	0.309438609316785	4.13009312083357e-12	A
CAMK4	0.308633445337734	4.72230983956663e-12	A
LYVE1	0.308566353253275	4.77524505044887e-12	A
CEACAM21	0.30828277788872	5.00546114048626e-12	A
SAMD9L	0.308038173748835	5.2127232317585e-12	A
GLRX	0.308017414505714	5.23069442323894e-12	A
PIM2	0.307986910660765	5.25721135728459e-12	A
GBP1	0.304929133196515	8.70178711086822e-12	A
IFIT2	0.304698142626948	9.0372783526699e-12	A
LHX8	0.304483113516989	9.36092107599525e-12	A
THEMIS	0.30377159178722	1.05146069490342e-11	A
CLEC4E	0.303633359491304	1.07543246859104e-11	A
APOC2	0.303600206205361	1.0812606737214e-11	A
LY9	0.302559698183427	1.28070019937589e-11	A
IL7R	0.301863465867236	1.43375931855989e-11	A
ZAP70	0.301572862510083	1.50280232257539e-11	A
FCRL3	0.300972126717956	1.65597385210092e-11	A
CCL21	0.300732208184883	1.72131585467405e-11	A
BCL2	0.300598363833424	1.75885514660579e-11	A
PKDCC	0.300222569838859	1.8685769720881e-11	A
TPSAB1	0.299639359056957	2.05221202325352e-11	A
IPCEF1	0.299447358495963	2.11643475918166e-11	A
GALNT16	0.298320715927133	2.53474156842936e-11	A
C7	0.298122981490422	2.61604896765116e-11	A
IRF4	0.298108505095897	2.6221005634961e-11	A
RGL4	0.297312385212376	2.97679117223852e-11	A
CTSG	0.297284577009806	2.98999108200099e-11	A
METTL7A	0.295818324334489	3.77306224212136e-11	A
SEMA4D	0.295793317553179	3.78801722694107e-11	A
FAM162B	0.295293750726412	4.09918427834665e-11	A
STAT1	0.295161570590461	4.18560166718801e-11	A
IL18RAP	0.29507194435237	4.24520619815964e-11	A
FNBP1	0.294527307988628	4.6256149883286e-11	A
TRIM22	0.294343859788699	4.76108000860644e-11	A
EMB	0.293916093086017	5.09216305211406e-11	A
PRG4	0.293409312761869	5.51352299720335e-11	A
CD244	0.292938693182981	5.93514568731669e-11	A
IL7	0.292176317109026	6.6857233629214e-11	A
SLC6A12	0.291932345087445	6.94490186843294e-11	A
CXCL11	0.291498296085557	7.43042594983517e-11	A
CHIT1	0.291087027372947	7.92090981104591e-11	A
SP140	0.290563358781645	8.59130060772492e-11	A
PARM1	0.290217178710916	9.06450608458247e-11	A
RAB37	0.290152257566386	9.15603483468663e-11	A
CD200R1	0.289411053165925	1.02670180817469e-10	A
LRRK2	0.288081522068166	1.25978681009477e-10	A
TPK1	0.287612644952888	1.35369653691212e-10	A
ARHGAP4	0.287197846266504	1.44243474981892e-10	A
GPA33	0.287057202424776	1.47379000041562e-10	A
SLC2A3	0.286547142237788	1.59317157028854e-10	A
PCED1B	0.286243323093881	1.66870392271304e-10	A
YPEL1	0.285064119735709	1.99631418170816e-10	A
EPSTI1	0.28504869060799	2.00099081447299e-10	A
CLDN11	0.284878211331402	2.05337925427906e-10	A
GNG7	0.284628367762167	2.1325771240284e-10	A
FAM107A	0.284394994678564	2.2092360299425e-10	A
ADAM28	0.284083819852924	2.31563733567148e-10	A
HSH2D	0.28397613910516	2.35360638112871e-10	A
LAX1	0.283538307261435	2.51432934937823e-10	A
TNFSF14	0.281793827887255	3.26761827762797e-10	A
CD274	0.27920865942707	4.8021348338565e-10	A
CMPK2	0.278863552694475	5.05387231992607e-10	A
AQP9	0.278755341964322	5.13541731757908e-10	A
MS4A2	0.276833515498401	6.8160248077244e-10	A
CPA3	0.276353095400361	7.31339631983455e-10	A
BCL2L14	0.2762700271395	7.40290164089328e-10	A
POU2F2	0.276040905853292	7.65533420924288e-10	A
ETV7	0.275402755481847	8.40333697977925e-10	A
PSMB9	0.274274908305607	9.9026841387216e-10	A
PACSIN1	0.271161700321582	1.55195140908906e-09	A
IFIT3	0.27110098384567	1.56552153651088e-09	A
CCL11	0.270934305148918	1.60336948189434e-09	A
GHRL	0.270320607493975	1.75053591935438e-09	A
TMEM156	0.270269385936545	1.76339575717699e-09	A
CPED1	0.268884980496481	2.14789199400224e-09	A
IFNG	0.267600883461524	2.57652272875552e-09	A
RNF150	0.266871854871896	2.85569442839742e-09	A
TPSB2	0.266578795782092	2.97600542622182e-09	A
TIMD4	0.265593182347116	3.41782450292275e-09	A
ANKRD55	0.264975868449006	3.72629483089396e-09	A
SMAP2	0.26496960531969	3.72955887687882e-09	A
CCL8	0.264702275566388	3.87149463252961e-09	A
CLEC4G	0.264691394275818	3.87738157339254e-09	A
LGI2	0.264340968636448	4.07168047733805e-09	A
LSAMP	0.264119820058108	4.19912685538033e-09	A
TLR3	0.264010243465013	4.26370065783505e-09	A
NR2F1	0.263104892402506	4.8353870833059e-09	A
KIR2DL4	0.262447417012284	5.29646104931527e-09	A
FMO1	0.261481262823115	6.05221480222408e-09	A
ECEL1	0.261084249044579	6.39220550578316e-09	A
EOMES	0.260829487608866	6.62005324745655e-09	A
TLR10	0.259846664710582	7.57512680666072e-09	A
ZBP1	0.259677668101622	7.75228263198772e-09	A
CDH2	0.25604002142177	1.27002115601392e-08	A
S1PR4	0.254821804441767	1.49579374584365e-08	A
MATK	0.254644589155088	1.53171657697926e-08	A
P2RX7	0.253858689193065	1.70134441117883e-08	A
SPNS3	0.253812012454963	1.7119716597676e-08	A
RTP4	0.25283715522934	1.94919163024199e-08	A
COL4A4	0.251892364309213	2.20928091975078e-08	A
HLA-F	0.25130218783724	2.38846553754593e-08	A
NME8	0.249896467829503	2.87371410924963e-08	A
RAC2	0.249366618542627	3.08030749529207e-08	A
MYO7A	0.24889731485678	3.27523068858155e-08	A
TESC	0.248288437809122	3.54596644117748e-08	A
LIFR	0.248075914408553	3.64546288078958e-08	A
TXK	0.247372647593834	3.99432419442034e-08	A
CCL7	0.246974307560581	4.20601760708012e-08	A
PATL2	0.246767420596681	4.32020340209822e-08	A
TAP1	0.245730315294753	4.93926960819532e-08	A
RSPO1	0.245563594913682	5.04646898261261e-08	A
MICB	0.244559752043224	5.74104467717098e-08	A
HAMP	0.244089146086154	6.0976326352233e-08	A
TMEM229B	0.241835560913078	8.12341745725154e-08	A
NR3C2	0.240656642617445	9.42800238696509e-08	A
TMEM178B	0.238916861865736	1.17289694695396e-07	A
IFI35	0.238468239240894	1.24050164540631e-07	A
CD22	0.236804053802611	1.52565421430598e-07	A
SIDT1	0.234894671270557	1.93079846117909e-07	A
MMP25	0.234205775406363	2.10099694412642e-07	A
CLEC4C	0.233521626111375	2.28427841176186e-07	A
IDO2	0.233284851612464	2.3512247145472e-07	A
ZNF540	0.232368432568687	2.62859229841643e-07	A
GLCCI1	0.231670748525989	2.8606128734873e-07	A
TCL1A	0.231479943501442	2.92742374038155e-07	A
CLEC1A	0.231293655748732	2.9941004982395e-07	A
CAPN6	0.230475783933839	3.30453331568387e-07	A
LRMP	0.229310150779764	3.80099319983903e-07	A
PKD2L1	0.228877320299489	4.00301291164857e-07	A
ATP6V0E2	0.22779082358053	4.55665641624791e-07	A
IL22RA2	0.22551256049545	5.9663872870202e-07	A
KLRC2	0.224624166908474	6.62260901226197e-07	A
STAP1	0.224256522829023	6.9139891408834e-07	A
PAG1	0.223752966781939	7.33313553971387e-07	A
HLA-DOB	0.223481794615553	7.56885261786121e-07	A
RSAD2	0.222345218925595	8.63839495792699e-07	A
CD79A	0.221537641797642	9.48497495252597e-07	A
ACY3	0.220158467808352	1.11179728637196e-06	A
COL6A6	0.2200192491223	1.1297048246026e-06	A
GPR55	0.219958781375243	1.1375686078765e-06	A
KLRF1	0.218815171515927	1.29656403143022e-06	A
ZFP82	0.21878085065943	1.3016504675267e-06	A
ZNF43	0.217521253286074	1.50214209147743e-06	A
WARS	0.217489490326554	1.50756189748073e-06	A
PIP5K1B	0.216641644779045	1.6593575118796e-06	A
NLRC5	0.216407863185453	1.70372357723439e-06	A
SCUBE2	0.216302743774399	1.72404102472243e-06	A
IFI44L	0.21629608819207	1.72533519692811e-06	A
TMEM71	0.216166417372833	1.75073606432531e-06	A
RGS13	0.21562821808252	1.86004355240203e-06	A
CPNE5	0.215625295319625	1.86065463438578e-06	A
ISG20	0.212958711936692	2.50608083931744e-06	A
HGF	0.211023188480673	3.10342322896144e-06	A
FGD3	0.209553311301982	3.64564951510007e-06	A
PLEKHB1	0.209085811727225	3.8363106186602e-06	A
KLRC3	0.208991832207195	3.8757718201241e-06	A
MS4A1	0.20850466496915	4.08662395097898e-06	A
MMP13	0.208492102974678	4.09220326638296e-06	A
LAT	0.20819359995817	4.22694216304293e-06	A
HTRA4	0.208085147809036	4.27693693609783e-06	A
TMEM163	0.208071181496133	4.28341609413409e-06	A
TMPRSS3	0.208048649243819	4.29388887325109e-06	A
ZNF80	0.205782325061344	5.48186706914653e-06	A
KAT2B	0.204480986868678	6.29955283591665e-06	A
BATF2	0.203903226247922	6.69875244358469e-06	A
VNN2	0.201553248693065	8.5851534956166e-06	A
EPYC	0.201516638279893	8.61820596967604e-06	A
RBP5	0.201370729151692	8.75114340180486e-06	A
ERAP2	0.200124288498249	9.96917045547687e-06	A
FAIM2	0.199860331392126	1.02470500108453e-05	A
NCF1	0.199128032815357	1.10571016562485e-05	A
TREML2	0.197028795879012	1.37306885580531e-05	A
POU2AF1	0.196476212380421	1.45306349169467e-05	A
MZB1	0.194574365767931	1.76360312196577e-05	A
MME	0.192830616721801	2.10287186156049e-05	A
MCEMP1	0.192453425398047	2.18399742599774e-05	A
ZCCHC18	0.192381065643751	2.19989615895631e-05	A
MEOX1	0.191628398666192	2.3719142862428e-05	A
CHI3L2	0.191200746911142	2.47525789303291e-05	A
SSTR2	0.190551548069009	2.640335951296e-05	A
CCL3L3	0.190314204997662	2.70325215137473e-05	A
TTC16	0.190163985722685	2.74380466948417e-05	A
CD160	0.189580783344322	2.90677425970775e-05	A
TNFRSF13B	0.188758272660629	3.15226838347546e-05	A
TNFRSF17	0.188667973359531	3.1803855421461e-05	A
CRIP1	0.188551599759038	3.21697207547047e-05	A
LY75	0.186418191058456	3.96261614687101e-05	A
XAF1	0.186364529347239	3.98332953977576e-05	A
FMO2	0.18599141350682	4.13020959223588e-05	A
PTPRN2	0.185439498325469	4.35689865211854e-05	A
CD19	0.185259844236382	4.43319189347521e-05	A
EVA1A	0.184409571123588	4.81172820592798e-05	A
CASP5	0.184276047035133	4.87387833406027e-05	A
FKBP11	0.183971619210018	5.01842563820635e-05	A
XCR1	0.180625703607744	6.89808677154494e-05	A
INSL3	0.180572070344244	6.93303331244517e-05	A
SPIB	0.18030862925459	7.10712493903853e-05	A
FCRL5	0.179130477146855	7.93736162591213e-05	A
FAM129C	0.178879127438198	8.12593784921134e-05	A
IL33	0.178546309940497	8.3821368275533e-05	A
BIRC3	0.178341211998716	8.54378827807964e-05	A
ABCA3	0.176214412727698	0.000104023962079384	A
HERC5	0.176151670235215	0.000104626149559127	A
MX1	0.175006130955937	0.000116214207503388	A
CFB	0.173813901763507	0.000129549185042138	A
MGAT3	0.173074604033715	0.000138526582382282	A
SV2B	0.17101553384818	0.000166706808351664	A
FPR2	0.170867735416041	0.000168923695237128	A
PAK3	0.170774931557186	0.000170329793546586	A
PLAC8	0.169858990753325	0.000184808556678631	A
GATA3	0.167668177565998	0.000224251938689089	A
ZBTB32	0.166907324995358	0.000239702277270199	A
MYO1G	0.166743884542133	0.000243148579952321	A
VPREB3	0.166025505184775	0.000258852964220011	A
HDC	0.165261328758841	0.000276596026980414	A
ALDH1A1	0.163941896635887	0.000309931346776741	A
CXCR5	0.163419747148752	0.000324130512612172	A
KANK4	0.161876554343751	0.000369723085245963	A
MX2	0.161290758075207	0.000388544114773698	A
OTOF	0.160929258743583	0.000400600097971134	A
NUP210	0.160797246201044	0.000405088886662882	A
GABRP	0.160101233777934	0.000429539672110273	A
FMO3	0.159814045847194	0.000440023276572061	A
AIM2	0.159635037761102	0.00044667778816061	A
CLC	0.159018771632547	0.000470309888211503	A
BFSP2	0.158102722226187	0.00050759406573602	A
FAM159A	0.157772405974474	0.000521699080072788	A
COL6A5	0.157487240130167	0.000534168102758071	A
SLAIN1	0.15739415592194	0.000538297813752085	A
CYP4X1	0.156463653491267	0.000581241134626691	A
BANK1	0.156192312509228	0.000594349943555134	A
FCRL2	0.155447468278808	0.000631757696636527	A
MEI1	0.154821842181324	0.000664852876330314	A
FCRLA	0.1538028037783	0.000722217977557656	A
BLK	0.153375481229484	0.000747610583900063	A
CNR1	0.151764257262564	0.000850971265870238	A
ANXA2R	0.150187582292371	0.000964764333255865	A
AFF3	0.149861672962583	0.000989972539941934	A
ICA1	0.148850691032445	0.00107208830801403	A
CARD11	0.142938731747967	0.00169177653411698	A
GPR15	0.141867430215067	0.00183428511419497	A
SEC31B	0.139371937701927	0.00220986501054074	A
BST2	0.139049903798454	0.00226314295332489	A
IL6	0.138470292670103	0.00236199996327592	A
DNASE1L3	0.137644913016438	0.00250958482667068	A
CP	0.137090254337672	0.00261343572392161	A
PNOC	0.13674100613719	0.00268082084718171	A
PDE6B	0.136067753102219	0.00281520544550557	A
KIR3DL2	0.135150923983427	0.00300807359313376	A
PI15	0.134473353731362	0.00315824850465308	A
KCNJ10	0.131481083655043	0.00390628032657227	A
PDE3B	0.13029575609601	0.00424452776713152	A
FCER2	0.126779711457276	0.00540926124623645	A
BTNL9	0.125700163879999	0.00582063623780921	A
DTHD1	0.124353972206441	0.00637289624016407	A
FCGR3B	0.123287687207961	0.00684320603572288	A
MYB	0.121553615135319	0.00767470875048965	A
PVRIG	0.120781494866627	0.00807315983899948	A
KBTBD8	0.120163802901314	0.0084051030241161	A
TSPAN8	0.119523040570277	0.00876225143966499	A
FCRL4	0.116438930288123	0.0106772666751803	A
FCGBP	0.113541071167739	0.0128056704013883	A
ENPP6	0.113254944202799	0.0130348760532217	A
RTP5	0.109455170692509	0.0164398230812092	A
SMPDL3B	0.109207976788058	0.0166861408548899	A
CCL25	0.108302467566299	0.0176162419462791	A
TNFRSF13C	0.108255964177862	0.0176652078890782	A
RORB	0.106728076686083	0.0193415258834331	A
PLEKHS1	0.106162527450858	0.019996266744878	A
SH2D1B	0.10118007066782	0.0266466207499864	A
CR2	0.0998233323312777	0.0287584449732878	A
G0S2	0.0964464900169187	0.0346475148251522	A
FDCSP	0.0953395337644797	0.036789091568658	A
STAG3	0.0920381919940609	0.0438545995445726	A
EXOC3L4	0.0911408893088645	0.0459615868225258	A
SP5	0.0896014712977679	0.0497742127090635	A
SLC27A2	0.0874139964988906	0.0556436508620768	A
SCG5	0.0857225140511516	0.0605667590831059	A
KEL	0.0856620179129209	0.0607492954211079	A
APCDD1L	0.0832896484871824	0.0682737182279738	A
CD38	0.0830592280283574	0.0690435689629156	A
IGLL1	0.081787180399583	0.073422484228021	A
CLDN10	0.0793394105377835	0.0824851061884601	A
SHANK2	0.0765542411640218	0.0938742912619708	A
TREM1	0.0750652803521213	0.100459896453835	A
MMP3	0.0719576616989053	0.115384729483131	A
LTF	0.0705847777767563	0.122508487393932	A
SERPINE1	0.0666267530656884	0.144969299906576	A
BLNK	0.0657808596891363	0.150153995589931	A
FAM3B	0.0629509533839069	0.168525752450447	A
RASGRP1	0.0566371299782605	0.215487565554482	A
PROK2	0.0430247899471315	0.346907921351609	A
HPGD	0.0406665287593635	0.37400103372829	A
MMP1	0.0394677373019368	0.388260369550199	A
ANO1	0.0332656118815878	0.467156081533576	A
KLHDC7B	0.0257051623809339	0.574254763091852	A
MMP10	0.024077387320692	0.598742275129094	A
NGB	0.0203822289458543	0.656005968281816	A
CREG2	0.0123105221699007	0.787916593739759	A
MAGEA1	0.00699453357033814	0.878520608990218	A
STC2	0.00653772958383579	0.886398734859054	A
B4GALNT4	0.00306873433461978	0.946535956815363	A
CXCL6	0.00305182585289078	0.946830103159904	A
CHRM3	0.00117869503574656	0.979451484265414	A
PNCK	0.000757457087471226	0.986794187256221	A
GABRR1	-0.000988244291263303	0.982771100603857	B
LAMC2	-0.00709027001642604	0.87687101266869	B
TFPI2	-0.0091246185763619	0.841955098640752	B
MAGEA11	-0.010303755158913	0.821853746430811	B
CCNA1	-0.010487400715337	0.818733159570793	B
PRAME	-0.012889988801259	0.778188205536665	B
LGI3	-0.014724610585193	0.747622103799292	B
MAGEA4	-0.0149155081062205	0.744463300830171	B
MAGEA10	-0.015082181020089	0.741708842669205	B
IL11	-0.0181485648217708	0.691654264973281	B
CXCL17	-0.018956041660366	0.678683364344119	B
CTAG2	-0.0202831206313019	0.657571984816047	B
GLI2	-0.0209028912037959	0.64780382125094	B
ERVMER34-1	-0.0225126263491067	0.622717008363645	B
SLITRK6	-0.0231374052787508	0.613094529650535	B
RNF128	-0.0251189771527901	0.583018506385527	B
FOXA2	-0.0274863751625127	0.548013362136149	B
COL4A6	-0.0302487415519615	0.508522453710319	B
CLCA4	-0.0327619112271526	0.473930650663847	B
IGF2BP3	-0.0346991264332718	0.448172012365631	B
MAL	-0.0360799572238075	0.430306033400539	B
CXCL5	-0.0377777759631174	0.40891390073009	B
FST	-0.0382568706789665	0.402993534167376	B
TAGLN3	-0.0391006376477834	0.392692107290374	B
BCHE	-0.0433092651625946	0.343726014672408	B
SLC13A5	-0.0452126747109443	0.32291618397236	B
LRAT	-0.0517367981336142	0.257929324749877	B
UGT1A6	-0.0559237227575057	0.221333433224034	B
CALB1	-0.0600591214231073	0.188986005859579	B
TNNI3	-0.0618218475642892	0.176307806586931	B
EPCAM	-0.0629190617554538	0.168741970790002	B
TMPRSS11B	-0.0668609387315479	0.143558362538006	B
SLC5A12	-0.0699930010676978	0.125682874710116	B
KRT13	-0.0720281945319748	0.115027702272139	B
CHP2	-0.0749177645548813	0.101131858547097	B
F2RL1	-0.077760294696431	0.088796931114327	B
FOLR3	-0.0791159872064779	0.0833554776920157	B
IRX4	-0.0837415014052297	0.0667844705065776	B
GSTO2	-0.0844103490243329	0.0646290760604047	B
STK31	-0.0844432924583979	0.0645244104323525	B
KRTAP19-1	-0.0847629209813778	0.0635161313383079	B
PPP4R4	-0.0872963356650881	0.0559750000683411	B
TCHH	-0.0910604714736702	0.0461545006604859	B
LRRC8E	-0.0921002112833112	0.0437120237591545	B
MAGEA6	-0.0924259033482532	0.042969682289192	B
KCNK10	-0.092587580371522	0.0426051393210389	B
CRNN	-0.095718869908525	0.0360428829937022	B
DAPL1	-0.0983594429397028	0.0311966231752823	B
PHLDB2	-0.0999398788784958	0.0285715602644483	B
IGF2BP2	-0.103139931596387	0.0238323785711831	B
NPW	-0.104737304359961	0.0217324457711385	B
HMGA2	-0.106161863377988	0.0199970467454973	B
CSF2	-0.107734392407587	0.0182225977564934	B
WDR72	-0.107775537141229	0.0181780764038793	B
IRX2	-0.10958776113073	0.0163090191563094	B
TMEM105	-0.110084784957603	0.0158267708113703	B
KRT75	-0.112136944852843	0.0139655107847365	B
IL24	-0.112961541230847	0.0132736590381713	B
CTSV	-0.116131537323525	0.0108871127053252	B
GAL	-0.120081190656906	0.00845040865981927	B
AKR1C3	-0.120494492625769	0.00822590941781881	B
SLC15A1	-0.127397051316358	0.00518595720344967	B
FLRT3	-0.127558295235805	0.0051290165267774	B
MAGEA12	-0.128992174136658	0.00464691245500917	B
SUN3	-0.130122443781839	0.00429614433378454	B
AHNAK2	-0.135755654245793	0.00287955828690648	B
ATP10B	-0.138779338659033	0.00230880982951679	B
SLC6A2	-0.138974647204741	0.00227576147619391	B
GPX2	-0.139053141182484	0.00226260156669517	B
KRT24	-0.140806664124974	0.00198614829154281	B
PLAC1	-0.146955817829642	0.00124314049557973	B
CLCA2	-0.149622700238247	0.00100884122336201	B
DHCR7	-0.150925847288237	0.000909837714177102	B
KRT2	-0.151505763599066	0.00086873404115402	B
CYP4F11	-0.152688887184553	0.000790146357412162	B
NDRG1	-0.154837059706804	0.000664029163235266	B
PPBP	-0.157537732210635	0.000531940335153862	B
IL20RB	-0.159454811693239	0.000453472070772335	B
BTBD16	-0.159503670317237	0.000451620728684524	B
KRT1	-0.159987530677344	0.000433662215510731	B
CXCL8	-0.16222979518784	0.00035878814026803	B
IL1B	-0.163640876337596	0.000318044671378729	B
DUSP9	-0.1653764821326	0.000273851529508019	B
PTHLH	-0.169575925531614	0.000189511390577999	B
CWH43	-0.178288857392019	8.58552044432903e-05	B
IL20	-0.179681740360001	7.53811697507514e-05	B
ATP2C2	-0.187273324862826	3.64597801986418e-05	B
LGALS7B	-0.192198302882507	2.24054280553643e-05	B
ARTN	-0.19258772400283	2.15477814727391e-05	B
DSC1	-0.19492120348156	1.70263331282207e-05	B
SLAMF9	-0.195501759705679	1.60503584489961e-05	B
DLX2	-0.196417945014479	1.46175212668061e-05	B
SLC16A9	-0.20598238172378	5.36551976692117e-06	B
ODC1	-0.208022888351998	4.30589225872821e-06	B
PTGS2	-0.209307304929332	3.74482048471226e-06	B
SPINK7	-0.211357759436585	2.99125506883527e-06	B
ARC	-0.212789337058012	2.55360856825796e-06	B
KRT16	-0.215629287777445	1.85981995203779e-06	B
EREG	-0.217040731670363	1.58616666894788e-06	B
IGFL1	-0.217527443719675	1.50108797651588e-06	B
PYGL	-0.217710016732638	1.47031607637887e-06	B
RNASE7	-0.220735975907269	1.04037851180693e-06	B
DSG1	-0.22263781310465	8.34996081965992e-07	B
HILPDA	-0.223593223265685	7.47112544037201e-07	B
SLURP1	-0.224724598976296	6.54508503416075e-07	B
LY6D	-0.225570604793852	5.92576052020294e-07	B
SLC7A11	-0.228172172414456	4.35443324333074e-07	B
RAP1GAP	-0.235371534473267	1.8208504698463e-07	B
NMB	-0.235703041060919	1.74799857202588e-07	B
GAST	-0.235741214086085	1.73979230109684e-07	B
SPRR2G	-0.235825606749726	1.72178150444908e-07	B
GJB6	-0.236417947462959	1.60032889524257e-07	B
SH2D5	-0.237467812745415	1.40506266715351e-07	B
PPP2R2C	-0.251339095881534	2.37685929340337e-08	B
KLK11	-0.256284261596295	1.22890914644613e-08	B
GJB2	-0.257567066464641	1.03327608334439e-08	B
