id	CMS1-score	CMS2-score	CMS3-score	CMS4-score
GNG11	0	0	0	0.085
ACTA2	0	0	0	0.0849
CCL2	0	0	0	0.0841
MFAP4	0	0	0	0.0838
SLFN11	0	0	0	0.0838
RAMP1	0.0827	-0.0655	0	0
LOC101928881	0	0.0826	0	0
CAB39L	-0.0826	0.059	0	0
SPDEF	0	0	0.0824	0
RASL12	0	0	0	0.0823
NR3C2	0	0	0.0821	0
FABP1	-0.0819	0	0	0
CPNE8	0	0	0	0.0816
CPNE1	-0.0402	0.0816	0	0
CALD1	0	0	0	0.0815
PEA15	0	0	0	0.0814
BACE1	0	0	0	0.0814
RSAD2	0.0812	0	0	0
MUC4	0	0	0.0812	0
RASSF3	-0.0809	0	0	0
HSPB8	0	0	0	0.0808
SRPRB	0.0807	0	0	0
TSTA3	0.0806	0	0	0
CHST3	0	0	0	0.0803
HTRA3	0	0	0	0.0802
ROBO1	0	0	0	0.0793
CXCL11	0.0791	0	0	0
PRSS23	-0.0789	0	0	0
LOC283070	-0.0788	0	0	0
SYTL1	0.078	0	0	0
KHDRBS3	-0.0779	0	0	0
ZDHHC9	-0.0778	0.0364	0	0
CDH2	0	0	0	0.0778
LAMA1	0	0	0.0776	0
NOX1	-0.0069	0.0775	0	0
CALB1	0.0769	0	0	0
RAB26	0	0	0.0767	0
MAP7D1	0	0	0	0.0767
APOC1	0	0	0	0.0766
PHYH	-0.0762	0	0	0
TYROBP	0	-0.076	0	0.0174
CANT1	0	0	0.076	0
ZNF677	0	0	0	0.076
RTN1	0	0	0	0.0755
ALOX5AP	0	-0.0653	0	0.0755
TFF3	0	0	0.0754	0
LEO1	0.0752	0	0	0
TRPS1	0	0	0	0.0752
CIB1	0.0748	0	0	0
LATS2	0	0	0	0.074
MAB21L2	0	0	0	0.0736
CHST11	0	0	0	0.0734
LRP4	-0.0731	0	0	0
FKBP7	0	0	0	0.0731
ELTD1	0	0	0	0.073
GBP2	0.0728	0	0	0
MMP28	0	-0.0725	0	0
NKD1	-0.0724	0.0518	0	0
PIPOX	0	0.0723	0	0
SLC35A1	0	-0.0722	0.0173	0
CLEC2B	0	-0.0513	0	0.072
FCGR3B	0.0349	-0.0716	0	0
FCGR1B	0	-0.0714	0	0.0409
C7orf13	-0.0714	0	0	0
TLR1	0	-0.0713	0	0
AGTR1	0	0	0	0.0713
AHNAK2	0	-0.0583	0	0.0708
ITGB2	0	-0.0706	0	0.0026
SRGAP2C	0	-0.032	0	0.0705
MYC	0	0.0705	0	0
TCEAL3	0	0	0	0.0701
MOGAT3	0	0.07	0	0
LHFPL2	0	-0.0699	0	0
SNHG18	-0.0696	0	0	0
PLEK2	0.0694	0	0	0
PLEKHO1	0	-0.0472	0	0.0689
ARNTL2	0.0687	-0.0325	0	0
GPX3	0	0	0	0.0686
CCL21	0	0	0	0.0685
AKAP1	-0.0683	0.0196	0	0
ANXA5	0	-0.0683	0	0
TRIM13	-0.0676	0	0	0
CTPS2	-0.0676	0	0	0
TSPAN4	0	-0.0486	0	0.0675
SEH1L	0.0673	0	0	0
FAS	0.0672	0	0	0
EBF1	0	0	0	0.0671
PM20D2	-0.067	0.0398	0	0
CHRDL1	0	0	0	0.0668
REEP1	-0.0124	0.0668	0	0
PRDM6	0	0	0	0.0656
DDX27	-0.0225	0.0652	0	0
CPQ	0	0	0	0.0651
PSMA4	0.065	0	0	0
PARVA	0	0	0	0.0647
IGF1	0	0	0	0.0647
DIP2C	0	0	0	0.0646
KDELR3	0	-0.0645	0	0
AXIN2	-0.0644	0.0633	0	0
AHR	0.0643	-0.0596	0	0
MREG	0.0643	0	0	0
PRELP	0	0	0	0.0641
IFFO1	0	0	0	0.064
CPS1	0	0	0.0639	0
CCL3	0	-0.0639	0	0
ABHD3	0.0638	0	0	0
SFR1	0.0637	0	0	0
DEGS2	0.0636	0	0	0
HOXC6	0.0636	-0.0052	0	0
FAM3D	0	0	0.0635	0
AK057259	-0.0632	0	0	0
PDPN	0	0	0	0.0629
TREM1	0	-0.0626	0	0
POFUT1	0	0.0622	0	0
APOE	0	-0.0394	0	0.0621
SCO1	0.0617	0	0	0
PHOSPHO2	-0.0615	0.0497	0	0
ABCA12	0.0615	0	0	0
ARFGAP3	0	-0.0612	0	0
SLC2A14	0	-0.0558	0	0.061
FAM105A	-0.061	0	0	0
CYP39A1	-0.0604	0	0	0
TRIM22	0	-0.0602	0	0
VANGL2	-0.06	0	0	0
EVI2A	0	-0.0596	0	0
SRPX2	-0.0596	0	0	0
SGCB	0	-0.059	0	0
ERP27	-0.0033	0.0589	0	0
AMACR	-0.0101	0.0589	0	0
CCPG1	0	-0.0589	0	0
LMOD1	0	0	0	0.0588
C14orf132	0	0	0	0.0588
SELM	0	0	0	0.0586
CEBPA	0	0.0585	0	0
WIPF1	0	-0.0019	0	0.0584
TPBG	0	-0.0583	0	0
TFF1	0	0	0.0583	0
CTSB	0	0	0	0.0581
MEF2C	0	0	0	0.0579
GADD45B	0	0	0	0.0576
CHSY1	0	-0.0576	0	0
MEOX2	0	0	0	0.0572
CDC42EP1	0.0569	0	0	0
SLC26A2	-0.0163	0.0568	0	0
C10orf10	0	0	0	0.0566
TCF7	-0.0076	0.0566	0	0
LEPRE1	0	0	0	0.0566
CPXM1	0	0	0	0.0565
LAP3	0.0565	0	0	0
ROCK2	-0.0564	0.0027	0	0
PARP9	0.0561	0	0	0
FAM174B	0	0	0.0561	0
MRC2	0	0	0	0.0559
WDR76	0.0559	0	0	0
SELENBP1	0	0.0558	0	0
OSR2	0.0552	0	0	0
EGLN3	0.0549	0	0	0
C8orf88	0	0	0	0.0548
LOC100505592	0	-0.0548	0	0
CTTN	0.0546	0	0	0
PBX3	0	0	0	0.0544
PDE10A	0	-0.0542	0	0
OSBPL1A	0.0533	0	0	0
RASL11A	0.0533	0	0	0
HCK	0	-0.0523	0	0
GPR137B	0	-0.0522	0	0
SPINK1	-0.0518	7e-04	0	0
SETBP1	0	0	0	0.0513
PDZRN4	0	0	0	0.051
SGIP1	0	0	0	0.0507
AMIGO2	0	0	0	0.0506
CD274	0.0505	0	0	0
TM6SF1	0	0	0	0.0504
MIR155	0.0502	0	0	0
RNMTL1	0.0502	0	0	0
RHOQ	0	0	0	0.0501
NNT-AS1	-0.05	0	0	0
NT5E	0.0498	-0.0237	0	0
ARF6	0.0498	0	0	0
MYO5A	0	0	0	0.0498
NECAB3	0	0.0498	0	0
CEBPB	0	0	-0.0498	0
SLAMF8	0	-0.0497	0	0
MB	0	0	0.0496	0
HS3ST3B1	0	-0.0495	0	0
INMT	0	0	0	0.0493
TCEA2	0	0	0	0.0493
MNDA	0	-0.0492	0	0
OASL	0.049	0	0	0
RNF150	0	0	0	0.049
SMIM14	0	0	0.0487	0
HLA-DQB1	0	-0.0485	0	0
NFS1	0	0.0485	0	0
GOLGA5	0	-0.0485	0	0
VAT1	0	0	0	0.0481
SCML1	0	0.0481	0	0
SLC18A1	0	0	0.048	0
TNNT1	0.048	0	0	0
RNF114	0	0.0479	0	0
KCNK5	0	0.0478	0	0
CXCL9	0.0476	0	0	0
CYTIP	0	-0.0473	0	0
NELFCD	0	0.0473	0	0
ADCY7	0	-0.047	0	0
BAG3	0.0461	-0.044	0	0
CSRP1	0	0	0	0.0461
STOM	0	0	0	0.0458
TXNDC16	0	0	0.0458	0
HLA-DMA	0.0457	-0.0182	0	0
NRP2	0	0	0	0.0452
SYNM	0	0	0	0.0452
TYW3	0.0451	0	0	0
FILIP1	0	0	0	0.0449
NAV1	0	0	0	0.0449
PSMA7	0	0.0449	0	0
EIF6	0	0.0447	0	0
FAM63B	0	-0.0115	0	0.0443
LINC00467	0.0442	0	0	0
LAMC1	0	0	0	0.0434
CMPK2	0.0434	0	0	0
APOD	0	0	0	0.0432
C7	0	0	0	0.0431
SPRR1B	0.0429	0	0	0
AMOTL2	0	0	-0.0428	0
VIL1	-0.0346	0.0428	0	0
CD82	0.0427	0	0	0
FLJ22763	-0.0426	0	0	0
C3AR1	0	-0.0424	0	0
ATP10B	-0.0424	0	0	0
TMED10	0.0019	-0.0417	0	0
ADAMTS5	0	0	0	0.0415
DDAH2	-0.0412	0	0	0
LOC100130872	0	0	0	0.0409
MYEOV	0.0408	0	0	0
PCDH7	0	0	0	0.0407
QPCT	-0.0406	0	0	0
CTSF	0	0	0	0.0405
AIM2	0.0402	0	0	0
SPAG1	0	0.0402	0	0
TMEM252	0	0.04	0	0
ARHGAP11A	0.0399	0	0	0
HAUS1	0.0397	0	0	0
CYB5D1	0.0397	0	0	0
PITX2	0	0.0395	0	0
SVIL	0	0	0	0.0394
HSD11B1	0	0	0	0.0392
IGF2BP3	0.0389	0	0	0
SRD5A3	0.0152	-0.0388	0	0
COL16A1	0	0	0	0.0387
TTI1	0	0.0387	0	0
AAR2	-0.0116	0.0385	0	0
LARP6	0	0	0	0.0383
ME2	0.0382	0	0	0
KIAA0247	0	-0.0181	0	0.0382
SLPI	0.0382	0	0	0
SGK2	0	0.0381	0	0
CCL5	0.0376	0	0	0
SYNE4	0	0.0376	0	0
RABAC1	0	-0.0374	0	0
SNAPC1	0	-0.0374	0	0
DYX1C1	0.0374	0	0	0
CD36	0	0	0	0.0373
SCG5	0	-0.0369	0	0
ZBTB7C	0	0	0.0368	0
ASXL1	0	0.0367	0	0
ERO1L	0.0367	0	0	0
REG1A	0	0	0.0367	0
LOC101927458	0	0	0	0.0367
IL22RA1	0	0.0365	0	0
NIPA1	0.0358	0	0	0
TMEM246	0	-0.0356	0	0
TRPA1	0	0	0.0355	0
PRPF39	0.0354	0	0	0
DNAJC5	0	0.0352	0	0
NAPG	0.0352	0	0	0
GOLPH3L	0	0	0.0351	0
KIAA1841	-0.0351	0	0	0
MOCS3	0	0.0349	0	0
IFNGR1	0.0349	0	0	0
ATP6V1B2	0	-0.0348	0	0
PRPF6	0	0.0348	0	0
C1QA	0	-0.0347	0	0
FAM57A	0.0347	0	0	0
BASP1	0	0	0	0.0343
S1PR3	0	0	0	0.0343
PPP1R3C	0	0	0	0.0342
C12orf66	-0.0341	0	0	0
CLEC11A	0	0	0	0.034
KIF1B	0	-0.0339	0	0.0215
CNTN4	0	0	0	0.0337
NPR3	0	0	0	0.0335
GTF2IRD1	0	0.0333	0	0
TNFSF12-TNFSF13	0.0331	0	0	0
STX16	-0.0331	0	0	0
GJB2	0	-0.0331	0	0
CHN1	0	0	0	0.0326
APOL6	0.0326	0	0	0
MAP4K4	0	0	0	0.0325
PSMB10	0.0324	0	0	0
GPR35	0	0.0322	0	0
BTN3A3	0	-0.0322	0	0
PNLIPRP2	0	0.0321	0	0
FCGRT	-0.0022	0.0321	0	0
MS4A4A	0	-0.0321	0	0
TMEM192	-0.032	0	0	0
CERCAM	0	0	0	0.032
ADAMTS1	0	0	0	0.0318
ZNF703	-0.0314	0	0	0
FAM171A1	-0.0314	0	0	0
PSME1	0.0312	0	0	0
ZNF542P	0	0	0	0.031
SLC38A6	0	-0.031	0	0
IRF2BP2	-0.031	0	0	0
RCAN2	0	0	0	0.0307
NREP	0	0	0	0.0306
RQCD1	0.0305	0	0	0
MRVI1	0	0	0	0.0305
BRI3BP	0	0	0	-0.0301
FOXO3	-0.03	0	0	0
ADRM1	0	0.0298	0	0
CEP68	-0.0295	0	0	0
OSER1	0	0.0294	0	0
ELK3	0	0	0	0.0291
RASSF2	0	0	0	0.0289
AKAP5	0	0	0.0288	0
ACSL5	0	0.0287	0	0
ZSWIM3	-2e-04	0.0283	0	0
SNHG11	0	0.0282	0	0
EVI2B	0	-0.0281	0	0
THBD	0	0	0	0.0275
TCFL5	0	0.0269	0	0
COL24A1	0	0	0	0.0267
ABCC6	0	0.0264	0	0
PRAP1	0	0.0264	0	0
MAP3K3	0	0	0	0.0263
SPIRE2	0	0.0263	0	0
HSD11B2	-0.0262	0	0	0
BIRC3	0.0261	0	0	0
MAMDC2	0	0	0	0.0259
GPR116	0	0	0	0.0253
GSR	0.0252	0	0	0
IFIT2	0.0249	0	0	0
NANP	0	0.0249	0	0
GRP	0	0	0	0.0248
GALNT4	0	0	0.0244	0
GABARAPL1	0	-0.0241	0	0.0094
IFNG	0.024	0	0	0
AGPAT4	0	-0.024	0	0
MRGBP	0	0.0237	0	0
C1QBP	0.0234	0	0	0
RGL1	0	0	0	0.0234
DCLK1	0	0	0	0.0233
FHL1	0	0	0	0.0231
TMEM255A	0	0	0	0.0229
ARMCX5-GPRASP2	0	0	0	0.0227
WWC3	0	0	0	0.0225
ACTC1	0	0	0	0.0225
LINC01315	0	0.0222	0	0
FAM168A	0	0	0	0.0217
PDK3	0	0.0214	0	0
PHKB	-0.0214	0	0	0
CBFA2T2	-0.0211	0	0	0
PNMA2	0	-0.0208	0	0
SEC24A	0.0208	0	0	0
DLGAP5	0.0207	0	0	0
CENPM	0.0206	0	0	0
CHD6	-0.0205	0	0	0
ITGA1	0	0	0	0.0204
SAMD9L	0	-0.0204	0	0
TNFRSF11A	0.0204	0	0	0
GPM6A	0	0	0	0.0203
ZNF618	0	-0.0201	0	0
CSF1R	0	0	0	0.02
HCLS1	0	-0.0199	0	0
FEZ1	0	0	0	0.0197
ICAM1	0	-0.0196	0	0
LRRC15	0	0	0	0.0195
SLC41A2	0.0194	0	0	0
DEGS1	0	-0.0193	0	0
AFAP1L2	0.0192	0	0	0
TREM2	0	0	0	0.0192
WBP1L	0	0	0	0.0191
ST6GALNAC5	0	0	0	0.0188
FZD7	0	0	0	0.0188
NEK3	0	0.0187	0	0
LYN	0.0187	0	0	0
GPCPD1	0	0.0185	0	0
VMP1	-0.0183	0	0	0
CLIC4	0	0	0	0.018
SLC25A37	0.0176	0	0	0
C4orf19	0	0	0	-0.0176
LINC00263	0	0.0176	0	0
REG1B	0	0	0.0174	0
GLRB	0	0	0	0.0173
MIR22	0	-0.0171	0	0
KCNQ1	0	0.0166	0	0
GID8	0	0.0165	0	0
ANXA2P2	0	-0.0164	0	0
STS	0	-0.0164	0	0
SKA1	0.0164	0	0	0
GALNT1	0	-0.0162	0	0
SGPP1	0	-0.0162	0	0
KLC1	0	-0.0161	0	0
GCH1	0	-0.016	0	0
ID1	0	0.0159	0	0
RP11-486A14.1	0	0.0158	0	0
EPHA3	0	0	0	0.0157
SCAND1	0	0.0155	0	0
EPHB2	0	0.0155	0	0
TSHZ2	0	0	0	0.0148
CDCA2	0.0145	0	0	0
CACNA2D2	0	0	0.0145	0
TENM4	0	0	0	0.0144
TRIM16	0.0143	0	0	0
LIPH	0.0143	0	0	0
DKK2	0	0	0	0.0143
IL1RN	0.0142	0	0	0
EDNRA	0	0	0	0.0139
FCGR2C	0	-0.0139	0	0
PSMB6	0.0137	0	0	0
MS4A7	0	-0.0137	0	0
DCBLD1	0	-0.0135	0	0
MARCKS	0	0	0	0.0134
SLC1A1	0.0133	0	0	0
CRISPLD2	0	0	0	0.0132
SLC2A8	0	0.013	0	0
PCDHB10	0	0	0	0.0129
SS18L1	0	0.0128	0	0
TOMM34	0	0.0127	0	0
PYGL	0	-0.0125	0	0
PCDHB5	0	0	0	0.0125
BAG4	0.0124	0	0	0
HDGFRP3	0	0	0	0.0123
HOOK1	0	0	0	-0.0123
NEU1	0	0.0118	0	0
CARD6	0	-0.0118	0	0
PTP4A3	0	0.0117	0	0
GPR176	0	0	0	0.0115
MARCH1	0	-0.0114	0	0
FPR3	0	0	0	0.0113
LDLRAD3	0	0.0112	0	0
USP11	-0.0109	0	0	0
CSF2RB	0	-0.0105	0	0
TNFSF13	0.0103	0	0	0
SH3PXD2B	0	0	0	0.0102
ADIPOQ	0	0	0	0.0102
C1QC	0	-0.0101	0	0
ST6GAL1	0	0.01	0	0
C8orf33	0	0.01	0	0
TSPAN2	0	0	0	0.0098
APMAP	0	0.0098	0	0
CD74	0	-0.0092	0	0
PODXL	0	-0.009	0	0
RFTN1	0	0	0	0.009
BOC	0	0	0	0.0089
MAB21L3	0	0.0082	0	0
C20orf24	0	0.0081	0	0
ACTN1	0	-0.008	0	0
VSIG4	0	-0.0021	0	0.008
PGAM1	0.0079	0	0	0
DCHS1	0	0	0	0.0079
AB074162	-0.0077	0	0	0
PRKAR2B	0	-0.0073	0	0
HLA-DQA1	0	-0.0072	0	0
PROX1	-0.007	0	0	0
PCDHB16	0	0	0	0.007
CTNNB1	0.0069	0	0	0
LY75	0	0.0069	0	0
CTSA	0	0.0067	0	0
C16orf54	0	-0.0066	0	0
FAM198B	0	0	0	0.0065
NCAPG	0.0064	0	0	0
ALYREF	0.0061	0	0	0
AK2	0.0059	0	0	0
DUSP10	0	-0.0056	0	0
FHOD3	-0.0053	0	0	0
TMEM55A	-0.0052	0	0	0
ZFHX4	0	0	0	0.0049
SREBF1	0.0048	0	0	0
ALDH1L2	0	0	0	0.0048
PCLO	-0.0046	0	0	0
LINC01094	0	-0.0045	0	0
ZC4H2	-0.0045	0	0	0
P2RX7	0	0	0	0.0045
MIB1	0	-0.0044	0	0
FERMT3	0	-0.0044	0	0
CCDC88A	0	-0.0041	0	0
HSDL2	0	0.004	0	0
ADPRHL2	0.0036	0	0	0
C4BPB	0	-0.0035	0	0
LNX2	0	0.0035	0	0
TMEM63C	0	0.0032	0	0
EVL	0	0	0	0.0031
TICAM2	0	-0.0031	0	0
FTX	-0.0029	0	0	0
LRRFIP1	0	0	0	0.0029
AREG	0	0.0027	0	0
SLIT3	0	0	0	0.0025
PTPN14	0	0	0	0.0022
LOC158402	-0.0021	0	0	0
KNSTRN	0.0019	0	0	0
PTHLH	0	0	0	0.0019
WASF3	0	0	0	0.0018
FER	0	-0.0017	0	0
GLCE	-0.0016	0	0	0
CEP170	0	-0.0016	0	0
B9D1	0.0015	0	0	0
A2M	0	0	0	0.0015
ENOX1	0	0	0	0.0014
IER3IP1	0.0013	0	0	0
IRF7	0.0012	0	0	0
PECAM1	0	0	0	0.0011
SACS	0	-0.001	0	0
AP1S2	0	0	0	0.001
KIF18A	8e-04	0	0	0
FAM49A	0	-7e-04	0	0
SDF2L1	6e-04	0	0	0
TRNP1	6e-04	0	0	0
ITGB5	0	0	0	6e-04
