cpd_name	master_cpd_id	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
GW-405833	375447	BRD-K10705233	130	probe	CNR2	partial agonist of cannabinoid receptor 2	Sigma-Aldrich	G1421	COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1
B02	122255	BRD-K10882151	130	probe	RAD51	inhibitor of RAD51	Vitas-M Laboratory Ltd.	STK856883	O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12
SR-II-138A	411770	BRD-K11172604	33	probe	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	Boston University		CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
BRD-K11533227	389297	BRD-K11533227	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
PF-184	660208	BRD-K11593101	66	probe	IKBKB	inhibitor of IKK-2	Tocris Bioscience	4238	C[C@@]1(CO)CN(C[C@]1(C)CO)c1cc(C(=O)Nc2ccc3CCc4c(nn(c4-c3c2)-c2ccc(F)cc2)C(N)=O)c(Cl)cn1
CIL56	100490	BRD-K11740178	2.5	probe		screening hit	Columbia University		ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1
AT7867	660409	BRD-K12040459	66	probe	AKT1;AKT2;AKT3;RPS6KB2	inhibitor of AKT1/2/3 and S6K	Selleck	S1558	Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1
NVP-BEZ235	348992	BRD-K12184916	17	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	Spanish National Cancer Research Centre		Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1
trametinib	687418	BRD-K12343256	66	clinical	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Selleck	S2673	CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O
TG-101348	411808	BRD-K12502280	37	clinical	JAK2	inhibitor of Janus kinase 2	Selleck	S2736	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
valdecoxib	32372	BRD-K12994359	600	FDA	PTGS2	inhibitor of cyclooxygenase-2 (COX2)	Sigma-Aldrich;Sigma-Aldrich	PA0179;PZ0179	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1
procarbazine	28183	BRD-K13032584	66	FDA		inducer of DNA damage	Selleck	S1995	CNNCc1ccc(cc1)C(=O)NC(C)C
ciclopirox	28784	BRD-K13044802	66	FDA	RRM1	substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase	Sigma-Aldrich	C0415	Cc1cc(C2CCCCC2)n(O)c(=O)c1
BMS-754807	417981	BRD-K13049116	33	probe	IGF1R	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	Active Biochem	A-1013	C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1
BMS-345541	622911	BRD-K13566078	66	probe	IKBKB	inhibitor of IKK-2	Axon Medchem	Axon 1731	Cc1cnc2c(NCCN)nc3ccc(C)cc3n12
dinaciclib	687578	BRD-K13662825	66	clinical	CDK1;CDK2;CDK5;CDK9	inhibitor of cyclin-dependent kinases	Selleck	S2678	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N1CCCC[C@H]1CCO
BRD-K13999467	410270	BRD-K13999467	67	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F
BRD-K14844214	402775	BRD-K14844214	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1
R428	660993	BRD-K14870255	66	probe	AXL	inhibitor of the tyrosine-protein kinase receptor UFO	Symansis Cell Signaling Science	SY-R428/10	Nc1nc(Nc2ccc3CC[C@@H](CCc3c2)N2CCCC2)nn1-c1cc2CCCc3ccccc3-c2nn1
gemcitabine	411863	BRD-K15108141	33	FDA	CMPK1;RRM1;TYMS	"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "	Selleck	S1714	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
NVP-ADW742	660287	BRD-K15179513	66	probe	IGF1R	inhibitor of insulin-like growth factor 1 receptor	Selleck	S1088	Nc1ncnc2n(cc(-c3cccc(OCc4ccccc4)c3)c12)[C@H]1C[C@H](CN2CCCC2)C1
PRIMA-1	50131	BRD-K15318909	170	probe	TP53	re-activator of the pro-apoptotic activity of mutant p53	Tocris Bioscience	1862	OCC1(CO)N2CCC(CC2)C1=O
phloretin	24173	BRD-K15563106	590	probe	SLC5A1	natural product; inhibitor of glucose uptake	Sigma-Aldrich	P7912	Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1
obatoclax	606142	BRD-K15600710	66	clinical	BCL2;BCL2L1;MCL1	"inhibitor of MCL1, BCL2, and BCL-xL"	Selleck	S1057	COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1
BRD-K16147474	447732	BRD-K16147474	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@H](C)CO)C(=O)Cc2c1
CHIR-99021	347812	BRD-K16189898	80	probe	GSK3B	inhibitor of GSK3 beta	Selleck	S1263	Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
PLX-4720	606256	BRD-K16478699	33	probe	BRAF	inhibitor of BRAF	Selleck	S1152	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F
regorafenib	628613	BRD-K16730910	66	FDA	BRAF;KDR;KIT;RET	"inhibitor of BRAF, RET, KIT, and VEGFR2"	Selleck	S1178	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1
sotrastaurin	661032	BRD-K16761703	66	clinical	PRKCB	inhibitor of protein kinase C beta	Axon Medchem	1635	CN1CCN(CC1)c1nc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc2n1
BRD-K17060750	600054	BRD-K17060750	67	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CN(C)CC(=O)N[C@@H]1CC[C@@H](CCNC(=O)Nc2ccc(F)cc2)O[C@H]1CO
bendamustine	374755	BRD-K17068645	66	FDA		DNA alkylator	Selleck	S1212	Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
SCH-79797	375264	BRD-K17140735	37	probe	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	Tocris Bioscience	1592	CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1
HLI 373	481311	BRD-K17349619	33	probe	MDM2	inhibitor of MDM2	Tocris Bioscience	3503	CN(C)CCCNc1c2ccccc2n(C)c2nc(=O)n(C)c(=O)c12
indisulam	411874	BRD-K17610631	33	clinical	CA9	inhibitor of carbonic anhydrase isoform IX	MedKoo Biosciences		NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12
belinostat	60225	BRD-K17743125	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Selleck	S1085	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
staurosporine	50769	BRD-K17953061	3.3	probe		inhibitor of multiple kinases	Sigma-Aldrich;LC Laboratories	S4400;S-9300	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
birinapant	660778	BRD-K18589165	66	clinical	DIABLO;XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	Active Biochem	A-1901	CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1cc2c(C[C@@H]3C[C@H](O)CN3C(=O)[C@H](CC)NC(=O)[C@H](C)NC)cc(F)cc2[nH]1
MK-0752	660332	BRD-K18850819	66	clinical	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Selleck	S2660	OC(=O)CC[C@H]1CC[C@@](CC1)(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
BRD-K19103580	436211	BRD-K19103580	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc2ccc(cc2C1=O)N(C)C
gossypol	25036	BRD-K19295594	37	clinical	BCL2;BCL2L1;LDHA;LDHB;LDHC	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	ChemDiv Inc.;Sigma-Aldrich	N010-0015;G8761	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
prochlorperazine	33166	BRD-K19352500	66	FDA	DRD2	inhibitor of dopamine receptor D2	Tocris Bioscience	3287	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
sitagliptin	58442	BRD-K19416115	66	FDA	DPP4	inhibitor of dipetidyl peptidase-4	Selleck	S4002	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
SGX-523	635882	BRD-K19477839	66	clinical	MET	inhibitor of MET	Selleck	S1112	Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1
saracatinib	606035	BRD-K19540840	66	clinical	ABL1;SRC	inhibitor of SRC and ABL1	Selleck	S1006	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c5OCOc5ccc4Cl)ncnc3c2)CC1
lapatinib	634309	BRD-K19687926	66	FDA	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1028	CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
erismodegib	636425	BRD-K19796430	33	probe		screening hit	Selleck	S2151	C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1
MST-312	411865	BRD-K19894101	33	probe	TERT	inhibitor of telomerase reverse transcriptase	Sigma-Aldrich	M3949	Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O
CIL70	183526	BRD-K20215950	40	probe		screening hit	Columbia University		Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1
tamatinib	417818	BRD-K20285085	33	clinical	SYK	inhibitor of spleen tyrosine kinase	Selleck	S2194	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
SKI-II	375366	BRD-K20755323	130	probe	SPHK1	inhibitor of sphingosine kinase 1	Cayman	10009222	Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
KW-2449	660413	BRD-K21718444	66	clinical	AURKA;FLT3	inhibitor of FLT3 and AURKA	Selleck	S2158	O=C(N1CCNCC1)c1ccc(cc1)\C=C\c1n[nH]c2ccccc12
RO4929097	687577	BRD-K22024824	66	clinical	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Selleck	S1575	CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1c2ccccc2-c2ccccc2NC1=O
simvastatin	27894	BRD-K22134346	33	FDA	HMGCR	inhibitor of HMG-CoA reductase	Tocris Bioscience	1965	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
STF-31	652975	BRD-K22477529	66	probe	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	Broad Institute of MIT and Harvard		CC(C)(C)c1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccnc1
BRD8899	608062	BRD-K22828899	33	probe	STK33	inhibitor of serine/threonine kinasase STK33	Broad Institute of MIT and Harvard		CC(=O)NC[C@@H]1C[C@H](CN1)NS(=O)(=O)c1cccc2cncc(C)c12
CR-1-31B	418209	BRD-K23547378	33	probe	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	Boston University		CONC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
"1S,3R-RSL-3"	609060	BRD-K23853216	33	probe	GPX4	synthetic lethal with HRAS in engineered cells; inhibitor of GPX4	Columbia University		COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@@H](N1C(=O)CCl)c1ccc(cc1)C(=O)OC
sorafenib	349006	BRD-K23984367	66	FDA	BRAF;FLT3;KDR;RAF1	"inhibitor of BRAF, CRAF, and VEGFR2"	Cayman	10009644	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
piperlongumine	39782	BRD-K24132293	33	probe		natural product; modulator of ROS levels	Broad Institute of MIT and Harvard		COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O
SCH-529074	609062	BRD-K24376488	33	probe	TP53	activator of mutant p53	Broad Institute of MIT and Harvard		CN(C)CCCNc1nc(CN2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)nc2ccccc12
ETP-46464	666716	BRD-K24556407	66	probe	ATM;ATR	inhibitor of serine/threonine-protein kinase ATR	Spanish National Cancer Research Centre		CC(C)(C#N)c1ccc(cc1)N1C(=O)OCc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1
BRD-K24690302	641721	BRD-K24690302	66	probe	HDAC1	inhibitor of HDAC1	Stanley Center for Psychiatric Research at the Broad Institute		CN(C)CC1CN(C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1
FSC231	660079	BRD-K24784241	270	probe	PICK1	inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)	Specs	AH-034/11366495	CCOC(=O)NC(=O)C(=C\c1ccc(Cl)c(Cl)c1)\C#N
fluorouracil	25344	BRD-K24844714	130	FDA	TYMS	pyrimidine analog; inhibitor of thymidylate synthase	Selleck	S1209	Fc1c[nH]c(=O)[nH]c1=O
KU-55933	58339	BRD-K25311561	66	probe	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Selleck	S1092	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
OSI-930	628620	BRD-K25340465	66	clinical	KDR;KIT	inhibitor of c-KIT and VEGFR2	Selleck	S1220	FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1
CD-1530	375562	BRD-K25737009	130	probe	RARG	agonist of retinoic acid receptor gamma	Tocris Bioscience	2554	OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2
austocystin D	416775	BRD-K25987073	37	probe		natural product; inducer of DNA damage	Harvard Medical School		CC(C)(O)CCc1ccc(O)c2c1oc1cc3O[C@H]4OC=C[C@@]4(O)c3c(O)c1c2=O
BRD-K26531177	42319	BRD-K26531177	330	probe		analog of the natural product piperlongumine	Broad Institute of MIT and Harvard		COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC
PD 153035	52133	BRD-K26603252	33	probe	EGFR	inhibitor of EGFR	Selleck	S1079	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
cytochalasin B	50163	BRD-K26664453	33	probe		inhibitor of actin polymerization	Sigma-Aldrich	C6762	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
BIX-01294	53705	BRD-K26818574	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	Broad Institute of MIT and Harvard		COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
BRD-K27224038	397964	BRD-K27224038	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1
leptomycin B	660086	BRD-K27624156	66	probe	XPO1	inhibitor of exportin 1	LC Laboratories	L-6100	CCC(\C=C\[C@@H]1OC(=O)C=C[C@@H]1C)=C\[C@H](C)C\C=C\C(C)=C\[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C\C(C)=C\C(O)=O
lomeguatrib	660207	BRD-K27955832	66	clinical	MGMT	inhibitor of methylguanine-DNA methyltransferase	Tocris Bioscience	4359	Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1
BRD-K27986637	452570	BRD-K27986637	66	probe		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCCOc3c2)OCc2cn(CCCC1=O)nn2
TW-37	609596	BRD-K28360340	33	probe	BCL2;BCL2L1	inhibitor of BCL2 and BCL-xL	Tocris Bioscience	4038	CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccccc2C(C)(C)C)c(O)c(O)c1O
AZD4547	660325	BRD-K28392481	66	clinical	FGFR1;FGFR2;FGFR3	inhibitor of fibroblast growth factor receptors	Active Biochem	A-1174	COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1
brivanib	606246	BRD-K28428262	66	clinical	FLT1;KDR	inhibitor of VEGFR 1/2	Selleck	S1084	C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
BRD-K28456706	651642	BRD-K28456706	66	probe	HNF4A	inhibitor of hepatocyte nuclear factor 4 alpha	Broad Institute of MIT and Harvard		Cc1c(oc2ccc3ccccc3c12)[N+]([O-])=O
CD-437	375256	BRD-K28907958	37	probe	RARG	agonist of retinoic acid receptor gamma	Sigma-Aldrich	C5865	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
BRD-K29086754	448891	BRD-K29086754	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2CC1=O
BRD-K29313308	634814	BRD-K29313308	66	probe	HDAC3	inhibitor of HDAC3	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1ccc(F)cc1N
PIK-93	660774	BRD-K29395450	66	probe	PIK3CG	inhibitor of PI3K catalytic subunit gamma	Selleck	S1489	CC(=O)Nc1nc(C)c(s1)-c1ccc(Cl)c(c1)S(=O)(=O)NCCO
chlorambucil	25334	BRD-K29458283	270	FDA		DNA alkylator	Sigma-Aldrich	C0253	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
NSC30930	182395	BRD-K29711668	66	probe	SRD5A2	inhibitor of steroid 5-alpha reductase	National Cancer Institute Chemotherapeutic Agents Repository		OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1
axitinib	348990	BRD-K29905972	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"	Selleck	S1005	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1
KX2-391	660779	BRD-K29968218	66	clinical	SRC	peptide mimetic; inhibitor of SRC activity in cells	Selleck	S2700	O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1
BRD-K30019337	437263	BRD-K30019337	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CC(C)NC(=O)N(C)C[C@H]1Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)N(C)C
Compound 1541A	411827	BRD-K30064966	37	probe	CASP3;CASP6;CASP7	"activators of executioner procaspases 3, 6, and 7"	WuXi AppTec	TH02435-020-1	Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12
BRD-K30748066	689506	BRD-K30748066	66	probe	CDK9	inhibitor of CDK9	Broad Institute of MIT and Harvard		Cc1c(sc(=O)n1C)-c1ccnc(Nc2ccc(cc2)N2CCNCC2)n1
VU0155056	660119	BRD-K31406481	66	probe	PLD1;PLD2	inhibitor of phospholipase D1/D2	"Avanti Polar Lipids, Inc."	857370P	O=C(NCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc2ccccc2c1
ceranib-2	660078	BRD-K31514534	66	probe	ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B	inhibitor of ceramidase activity	Cayman	11092	COc1ccc(\C=C\C(=O)c2c(-c3ccccc3)c3ccccc3[nH]c2=O)cc1
VER-155008	411815	BRD-K32330832	37	probe	HSPA1A;HSPA1B;HSPA1L	inhibitor of HSP70	WuXi AppTec	TH02357-035	Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12
AGK-2	411716	BRD-K32536677	33	probe	SIRT2	inhibitor of sirtuin 2	ChemBridge Corporation;Tocris Bioscience	5857140;3233	Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1
cytarabine hydrochloride	62690	BRD-K33106058	66	FDA		inducer of DNA damage	Selleck	S1648	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
BRD-K33199242	449707	BRD-K33199242	67	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(cc2CC(=O)N(C[C@@H]1C)[C@@H](C)CO)N(C)C
tivantinib	687406	BRD-K33379087	66	clinical	MET	inhibitor of MET; inhibitor of microtubule assembly	Active Biochem	A-1109	O=C1NC(=O)[C@H]([C@@H]1c1c[nH]c2ccccc12)c1cn2CCCc3cccc1c23
BRD-K33514849	401251	BRD-K33514849	34	probe		screening hit	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
isoliquiritigenin	25393	BRD-K33583600	33	probe		natural product	MicroSource Discovery Systems Inc.	1504200	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O
clofarabine	660288	BRD-K34022604	66	FDA		inducer of DNA damage	Selleck	S1218	Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
BRD-K34099515	660064	BRD-K34099515	66	probe		screening hit	Broad Institute of MIT and Harvard		CC(C)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
cimetidine	26870	BRD-K34157611	270	FDA	HRH2	inhibitor of histidine receptor H2	Tocris Bioscience	902	CN\C(NCCSCc1nc[nH]c1C)=N/C#N
BRD-K34222889	688888	BRD-K34222889	66	probe		analog of the natural product piperlongumine	Broad Institute of MIT and Harvard		COc1ccc(cc1)C#CC1=CCCN(C(=O)\C=C\c2cc(OC)c(OC)c(OC)c2)C1=O
BRD-K34485477	446716	BRD-K34485477	33	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CNC[C@@H]1Oc2ccc(NC(=O)CCN3CCOCC3)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
BMS-536924	411859	BRD-K34581968	37	probe	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)	Selleck	S1012	Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1
FQI-2	609091	BRD-K35498412	33	probe		inhibitor of LSF1-mediated transcription	Boston University		CCOc1ccccc1-c1cc(=O)[nH]c2cc3OCOc3cc12
dacarbazine	32622	BRD-K35520305	66	FDA		DNA alkylator	Selleck	S1221	CN(C)\N=N\c1[nH]cnc1C(N)=O
BRD-K35604418	660230	BRD-K35604418	270	probe	MCL1	inhibitor of MCL1	Dana Farber Cancer Institute		Cc1cs\c(=N/C2CCCCC2)n1\N=C\c1ccc(O)c(O)c1O
ouabain	37190	BRD-K35708212	270	probe	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4	cardiac glycoside; inhibitor of the Na+/K+-ATPase	Tocris Bioscience	1076	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
BRD6340	12877	BRD-K35716340	33	probe		screening hit	ChemDiv Inc.	1988-0090	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1
darinaparsin	609121	BRD-K35723520	33	clinical		inducer of ROS; inhibitor of microtubule assembly	Sigma-Aldrich	D2071	C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
niclosamide	32653	BRD-K35960502	33	FDA	STAT3	inhibitor of STAT3 signaling	Sigma-Aldrich	N3510	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O
KU-60019	660411	BRD-K36016295	66	probe	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Selleck	S1570	C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1
I-BET151	660206	BRD-K36363294	66	probe	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	ChemieTek	CT-BET151 .	COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C
StemRegenin 1	609063	BRD-K36739687	66	probe	AHR	inhibitor of aryl hydrocarbon receptor	BioVision	1967-5	CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(nc12)-c1csc2ccccc12
