ccl_name	master_ccl_id	ccle_primary_site	ccle_primary_hist	ccle_hist_subtype_1	growth_mode	culture_media	media_composition	snp_fp_status
JVM2	510	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
JVM3	511	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
K562	513	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	IMDM002	"IMDM, 10% FBS"	SNP-unconfirmed
KARPAS299	515	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KARPAS422	516	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-not-tested
KARPAS620	517	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
KASUMI1	518	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
KASUMI2	519	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KCL22	524	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KE37	525	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KE97	527	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KHM1B	531	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KIJK	532	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMH2	538	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMM1	539	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	mixed	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS11	545	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS12BM	546	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS18	548	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS20	549	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS21BM	550	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS26	551	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS27	552	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS28BM	553	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KMS34	555	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KO52	561	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	MEM001	"MEM, 10% FBS"	SNP-matched-reference
KU812	576	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	chronic_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KYO1	579	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
L1236	590	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
L363	592	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI014	"RPMI, 15% FBS"	SNP-matched-reference
L428	593	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
L540	594	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
LAMA84	595	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
LP1	624	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
M07E	639	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI015	"RPMI, 10% FBS, 10ng/ml GM-CSF"	SNP-matched-reference
MC116	643	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
ME1	662	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MEC1	663	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
MHHCALL3	675	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-not-tested
MHHCALL4	676	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MINO	680	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MJ	681	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Sezary_syndrome; mycosis_fungoides	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
MM1S	688	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	mixed	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MOLM13	692	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MOLM16	693	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MOLM6	694	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MOLP2	695	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MOLP8	696	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	adherent	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MOLT13	697	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MOLT16	698	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MONOMAC1	701	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MONOMAC6	702	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MOTN1	704	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	T_cell_large_granular_lymphocytic_leukaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
MV411	710	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
NALM6	718	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NAMALWA	719	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NB4	721	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NCIH929	128013	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NCO2	851	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	chronic_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NOMO1	858	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NUDHL1	874	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-not-tested
NUDUL1	875	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-unconfirmed
OCIAML2	884	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
OCIAML3	885	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	ALPHAMEM001	"AMEM, 10% FBS"	SNP-matched-reference
OCIAML5	886	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	ALPHAMEM003	"AMEM, 20% FBS, 10ng/ml SCF "	SNP-matched-reference
OCILY10	887	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	IMDM001	"IMDM, 20% human serum, 50 uM beta-mercaptoethanol"	SNP-not-tested
OCILY19	888	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	ALPHAMEM002	"AMEM, 20% FBS"	SNP-matched-reference
OCILY3	889	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
OCIM1	890	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
OPM2	901	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
P12ICHIKAWA	917	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
P31FUJ	918	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
P3HR1	919	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
PEER	941	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
PF382	942	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
PFEIFFER	943	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
PL21	947	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RAJI	955	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
RCHACV	958	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
REC1	964	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
REH	965	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RI1	977	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RL	980	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
RPMI8226	992	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RPMI8402	994	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RS411	995	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SEM	1013	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	IMDM002	"IMDM, 10% FBS"	SNP-matched-reference
SET2	1014	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	essential_thrombocythaemia	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
SIGM5	1028	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	IMDM003	"IMDM, 20% FBS"	SNP-matched-reference
SKM1	1039	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
SKMM2	1050	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SR786	1136	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	suspension	RPMI014	"RPMI, 15% FBS"	SNP-matched-reference
ST486	1137	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
SUDHL1	1139	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SUDHL10	1140	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
SUDHL4	1141	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI014	"RPMI, 15% FBS"	SNP-matched-reference
SUDHL5		haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	
SUDHL6	1143	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
SUDHL8	1144	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
SUPB15	1146	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	suspension	IMDM003	"IMDM, 20% FBS"	SNP-matched-reference
SUPHD1	1147	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	suspension	MCCOYS5A002	"McCoy's 5A, 20% FBS"	SNP-matched-reference
SUPM2	1148	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SUPT1	1149	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SUPT11	1150	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	peripheral_T_cell_lymphoma_unspecified	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
TALL1	1178	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
TF1	1199	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI019	"RPMI, 10% FBS, 2 ng/ml GM-CSF"	SNP-matched-reference
THP1	1201	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
TOLEDO	1206	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
U266B1	1225	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	suspension	RPMI014	"RPMI, 15% FBS"	SNP-matched-reference
U937	1231	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
WSUDLCL2	1274	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
769P	16	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
786O	19	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
A498	33	kidney	carcinoma	renal_cell_carcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
ACHN	43	kidney	carcinoma	renal_cell_carcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
BFTC909	62	kidney	carcinoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
CAKI1	109	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	MCCOYS5A001	"McCoy's 5A, 10% FBS"	SNP-matched-reference
CAKI2	110	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	MCCOYS5A001	"McCoy's 5A, 10% FBS"	SNP-matched-reference
CAL54	118	kidney	carcinoma	renal_cell_carcinoma	adherent	DMEM011	"DMEM, 15% FBS"	SNP-matched-reference
KMRC1	540	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
KMRC2	541	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
KMRC20	542	kidney	carcinoma	renal_cell_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
KMRC3	543	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
OSRC2	902	kidney	carcinoma	renal_cell_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
RCC10RGB	956	kidney	carcinoma	renal_cell_carcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
SNU1272	1088	kidney	carcinoma	clear_cell_renal_cell_carcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
TUHR10TKB	1213	kidney	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
TUHR14TKB	1214	kidney	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
TUHR4TKB	1216	kidney	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
VMRCRCW	1253	kidney	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
VMRCRCZ	1254	kidney	carcinoma	renal_cell_carcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
C2BBE1	102	large_intestine	carcinoma	adenocarcinoma	adherent	DMEM003	"DMEM, 10% FBS, 0.01 mg/mL transferrin, 2 mM glutamine"	SNP-matched-reference
CCK81	132	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
CL11	147	large_intestine	carcinoma	adenocarcinoma	adherent	DMEMF12006	"DMEM:F12 (1:1), 20% FBS"	SNP-matched-reference
CL34	149	large_intestine	carcinoma	adenocarcinoma	adherent	DMEM006	"DMEM, 20% FBS"	SNP-matched-reference
COLO201	155	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
COLO205	156	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
COLO320	157	large_intestine	carcinoma	adenocarcinoma	mixed	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
COLO678	160	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
CW2	190	large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
DLD1	212	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
GP2D	282	large_intestine	carcinoma	adenocarcinoma	mixed	DMEMF12001	"DMEM:F12 (1:1), 10 % FBS, 2 mM L-glutamine"	SNP-matched-reference
HCC56	337	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCT116	343	large_intestine	carcinoma		adherent	MCCOYS5A001	"McCoy's 5A, 10% FBS"	SNP-matched-reference
HCT15	345	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HCT8	346	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-unconfirmed
HT115	447	large_intestine	carcinoma		adherent	DMEM005	"DMEM, 10% FBS, 2 mM L-glutamine"	SNP-matched-reference
HT29	451	large_intestine	carcinoma	adenocarcinoma	adherent	MCCOYS5A001	"McCoy's 5A, 10% FBS"	SNP-matched-reference
HT55	452	large_intestine	carcinoma	adenocarcinoma	adherent	EMEM003	"EMEM, 10% FBS, 0.1 mM NEAA"	SNP-matched-reference
KM12	536	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
LOVO	622	large_intestine	carcinoma	adenocarcinoma	adherent	HAMSF12001	"HamsF12, 10% FBS"	SNP-matched-reference
LS1034	626	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
LS123	627	large_intestine	carcinoma	adenocarcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
LS180	630	large_intestine	carcinoma	adenocarcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
LS411N	631	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
LS513	632	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MDST8	661	large_intestine	carcinoma	adenocarcinoma	adherent	DMEM005	"DMEM, 10% FBS, 2 mM L-glutamine"	SNP-matched-reference
NCIH508	128003	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NCIH716	155348	large_intestine	carcinoma	adenocarcinoma	suspension	199F12001	"Medium 199:F12 (1:1), 10% FBS"	SNP-matched-reference
NCIH747	155356	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
OUMS23	903	large_intestine	carcinoma	adenocarcinoma	adherent	DMEM001	"DMEM, 10% FBS"	SNP-matched-reference
RCM1	960	large_intestine	carcinoma	adenocarcinoma	adherent	RPMIF12001	"RPMI:F12 (1:1), 10% FBS"	SNP-matched-reference
RKO	979	large_intestine	carcinoma	adenocarcinoma	adherent	MEM001	"MEM, 10% FBS"	SNP-matched-reference
SKCO1	1034	large_intestine	carcinoma	adenocarcinoma	adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
SNU1033	1076	large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU1040		large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	
SNU175	1090	large_intestine	carcinoma		mixed	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU283		large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	
SNU407	1102	large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
SNU503	1112	large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU61	1115	large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU81	1124	large_intestine	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNUC1	1130	large_intestine	carcinoma	adenocarcinoma	suspension	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNUC2A	1131	large_intestine	carcinoma	adenocarcinoma	adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
