,TCGA-3C-AAAU-01,TCGA-3C-AALI-01,TCGA-3C-AALJ-01,TCGA-3C-AALK-01,TCGA-4H-AAAK-01
HMGN1P12,0,0,0,0,0
HMGN1P13,0,0,0,0,0
HMGN1P10,0,0,0,0,0
HMGN1P11,0,0,0,0,0
TRBV3-1,0,0,0,0,0
OR4Q1P,0,0,0,0,0
CTXN1,0,0,0,0,0
HMGN1P18,0,0,0,0,0
HMGN1P19,0,0,0,0,0
CCKBR,0,0,0,0,0
MAML2,0,0,0,0,0
MAML3,0,0,0,0,0
SFD,0,0,0,0,0
MAML1,0,0,0,0,0
MSBP3,0,0,0,0,0
MSBP2,0,0,0,0,0
MSBP1,0,0,0,0,0
FAM58CP,0,0,0,0,0
ERVMER61-1,0,0,0,0,0
B3GNT6,0,0,0,0,0
STX18-IT1,0,0,0,0,0
HERC1,0,0,0,0,0
HERC3,0,0,0,0,0
FAM35DP,0,0,0,0,0
HERC5,0,0,0,0,1
HERC4,0,0,0,0,0
MIR4489,0,0,0,0,0
HERC6,0,0,0,0,0
MIR4487,0,0,0,0,0
MIR4486,0,0,0,0,0
MIR4485,0,0,0,0,0
MIR4484,0,0,0,0,0
MIR4483,0,0,0,0,0
RP3-522D1.1,0,0,0,0,0
MIR4481,0,0,0,0,0
MIR4480,0,0,0,0,0
SPCS2P4,0,0,0,0,0
PEX5L,0,0,0,0,0
C17orf59,0,0,0,0,0
C17orf58,0,0,0,0,0
SLCO2B1,0,0,0,0,0
C17orf51,0,0,0,0,0
C17orf50,0,0,0,0,0
C17orf53,0,0,0,0,0
MKNK2,0,0,0,0,0
LCLAT1,0,0,0,0,0
GLYCTK-AS1,0,0,0,0,0
MKNK1,0,0,0,0,0
TRBV7-9,0,0,0,0,0
TRBV7-8,0,0,0,0,0
TRBV7-1,0,0,0,0,0
TRBV7-3,0,0,0,0,0
TRBV7-2,0,0,0,0,0
TRBV7-5,0,0,0,0,0
TRBV7-4,0,0,0,0,0
TRBV7-7,0,0,0,0,0
TRBV7-6,0,0,0,0,0
DEFT4P,0,0,0,0,0
IFNB2,0,0,0,0,0
IFNB3,0,0,0,0,0
IFNB1,0,0,0,0,0
ABCC6P1,0,0,0,0,0
ABCC6P2,0,0,0,0,0
BEAN1,0,0,0,0,0
CD58,0,0,0,0,0
IFNBR,0,0,0,0,0
RN7SL681P,0,0,0,0,0
OSBP2,0,0,0,0,0
LRP2,0,1,0,0,0
LRP3,0,0,0,0,0
LRP1,0,0,0,0,0
LRP6,0,0,0,0,0
LRP7,0,0,0,0,0
MIR3138,0,0,0,0,0
MIR3139,0,0,0,0,0
MIR3136,0,0,0,0,0
MIR3137,0,0,0,0,0
MIR3134,0,0,0,0,0
OR7E58P,0,0,0,0,0
MIR3132,0,0,0,0,0
MIR3133,0,0,0,0,0
MIR3131,0,0,0,0,0
HLA-DOA,0,0,0,0,0
HLA-DOB,0,0,0,0,0
VDD1,0,0,0,0,0
UGT1A8,0,0,0,0,0
CALR3,0,0,0,0,0
STIM1,0,0,0,0,0
STIM2,0,0,0,0,0
ANTXR1,0,0,0,0,0
ANTXR2,0,0,0,0,0
HLA-JY3,0,0,0,0,0
SUCLA2-AS1,0,0,0,0,0
OR51S1,0,0,0,0,0
MAP2,0,0,0,0,0
C8A,0,0,0,0,0
C8B,0,0,0,0,0
TBCCD1,0,0,0,0,0
MAP6,0,0,0,0,0
MAP7,0,1,0,0,0
MAP4,0,0,0,0,0
C8G,0,0,0,0,0
TEAD3,0,0,0,0,0
TEAD2,0,0,0,0,0
TEAD1,0,0,0,0,0
MAP9,0,0,0,0,0
RNU6ATAC18P,0,0,0,0,0
TEAD5,0,0,0,0,0
TEAD4,0,0,0,0,0
PTPN22,0,0,0,0,0
FAM180A,0,0,0,0,0
FAM180B,0,0,0,0,0
CSAG3B,0,0,0,0,0
PLEKHF1,0,0,0,0,0
PLEKHF2,0,0,0,0,0
CHIT1,0,0,0,0,0
AC104135.3,0,0,0,0,0
MTND2P21,0,0,0,0,0
AP000783.1,0,0,0,0,0
MTND2P20,0,0,0,0,0
SERPINI1,0,0,0,0,0
SERPINI2,0,0,0,0,0
MTND2P23,0,0,0,0,0
FANK1,0,0,0,0,0
TMEM220-AS1,0,0,0,0,0
MTND2P22,0,0,0,0,0
VN2R13P,0,0,0,0,0
MTND2P25,0,0,0,0,0
SPATA5L1,0,0,0,0,0
MTND2P24,0,0,0,0,0
MTPN,0,0,0,0,0
SRP54,0,0,0,0,0
MTND2P27,0,0,0,0,0
EPHA10,0,1,0,0,0
MTND2P26,0,0,0,0,0
MAPE,0,0,0,0,0
DMRTA2,0,0,0,0,0
DMRTA1,0,0,0,0,0
EBPL,0,0,0,0,0
YY1AP1,0,0,0,0,0
TOM1L2,0,0,0,0,0
MAPT,0,0,0,0,0
RN7SL539P,0,0,0,0,0
ANTXRL,0,0,0,0,0
HLA-DQA1,0,0,0,0,0
HLA-DQA2,0,0,0,0,0
OFD1P10Y,0,0,0,0,0
UTS2B,0,0,0,0,0
TTTY31P,0,0,0,0,0
C14orf28,0,0,0,0,0
CSNK2B-LY6G5B-1181,0,0,0,0,0
MIR1193,0,0,0,0,0
MIR1197,0,0,0,0,0
UTS2R,0,0,0,0,0
MSR1,0,0,0,0,0
AVIL,0,0,0,0,0
HVBS4,0,0,0,0,0
ANKMY1,0,0,0,0,0
ANKMY2,0,0,0,0,0
HVBS7,0,0,0,0,0
HVBS1,0,0,0,0,0
HVBS8,0,0,0,0,0
PAFAH1B1P1,0,0,0,0,0
HK2,0,0,0,0,0
HK3,0,0,0,0,0
HK1,0,0,0,0,0
RN7SL349P,0,0,0,0,0
MLVAR,0,0,0,0,0
CTD-2116N17.1,0,0,0,0,0
LAX1,0,0,0,0,0
TBX3,0,0,1,0,0
MSRA,0,0,0,0,0
HADHSC,0,0,0,0,0
SUPT4H1,0,0,0,0,0
TBX1,0,0,0,0,0
RNU4-51P,0,0,0,0,0
KRT42P,0,0,0,0,0
RN7SL857P,0,0,0,0,0
U8,0,0,0,0,0
U3,0,0,0,0,0
AC118138.2,0,0,0,0,0
EEK,0,0,0,0,0
EED,0,0,0,0,0
MAPKAPK5,0,0,0,0,0
MAPKAPK3,0,0,0,0,0
MAPKAPK2,0,0,0,0,0
TUBG2,0,0,0,0,0
PDHX,0,0,0,0,0
AL583828.1,0,0,0,0,0
TUBB1P1,0,0,0,0,0
SAMD5,0,0,0,0,0
SAMD7,0,0,0,0,0
WARS2P1,0,0,0,0,0
SAMD1,0,0,0,0,0
PDIA6,0,0,0,0,0
PDHB,0,0,0,0,0
TUBB1P2,0,0,0,0,0
OR4H7P,0,0,0,0,0
PDIA5,0,0,0,0,0
TCRBV2O,0,0,0,0,0
EDDR1,0,0,0,0,0
RP1-170O19.20,0,0,0,0,0
AC010336.1,0,0,0,0,0
SDCBP2-AS1,0,0,0,0,0
SBSPON,0,0,0,0,0
RN7SL272P,0,0,0,0,0
LRRC18,0,0,0,0,0
LRRC19,0,0,0,0,0
LRRC17,0,0,0,0,0
LRRC14,0,0,0,0,0
LRRC15,0,0,0,0,0
LRRC10,0,0,0,0,0
RN7SL323P,0,0,0,0,0
FAM111B,0,0,0,0,0
FAM111A,0,0,0,0,0
NHCP1,0,0,0,0,0
NHCP2,0,0,0,0,0
ATP6N2,0,0,0,0,0
ZNF539,0,0,0,0,0
SVOP,0,0,0,0,0
MAGEA7P,0,0,0,0,0
CCDC101,0,0,0,0,0
FAHD2B,0,0,0,0,0
CCDC103,0,0,0,0,0
DROSHA,0,0,0,0,0
CCDC105,0,0,0,0,0
CCDC104,0,0,0,0,0
CCDC107,0,0,0,0,0
CCDC106,0,0,0,0,0
CCDC108,0,0,0,0,0
IGKV1-13,0,0,0,0,0
SCYAR1,0,0,0,0,0
CHRNA4,0,0,0,0,0
CHRNA5,0,0,0,0,0
CHRNA6,0,0,0,0,0
CHRNA7,0,0,0,0,0
CHRNA1,0,0,0,0,0
CHRNA2,0,0,0,0,0
CHRNA3,0,0,0,0,0
FAUNA@,0,0,0,0,0
CHRNA9,0,0,0,0,0
RN7SKP127,0,0,0,0,0
RN7SKP126,0,0,0,0,0
RN7SKP125,0,0,0,0,0
RN7SKP124,0,0,0,0,0
RN7SKP123,0,0,0,0,0
RN7SKP122,0,0,0,0,0
RN7SKP121,0,0,0,0,0
RN7SKP120,0,0,0,0,0
RN7SKP129,0,0,0,0,0
RN7SKP128,0,0,0,0,0
FEB6,0,0,0,0,0
RP11-423H2.5,0,0,0,0,0
RP11-423H2.1,0,0,0,0,0
POLR3DP1,0,0,0,0,0
CD46P1,0,0,0,0,0
AL591684.1,0,0,0,0,0
ITPKB-IT1,0,0,0,0,0
LENEP,0,0,0,0,0
GS1-124K5.11,0,0,0,0,0
SEPT10P1,0,0,0,0,0
XBP1,0,0,0,0,0
FSHD,0,0,0,0,0
FSHB,0,0,0,0,0
FLG-AS1,0,0,0,0,0
SPATA9,0,0,0,0,0
BCMO1,0,0,0,0,0
TRNAA34,0,0,0,0,0
TRNAA35,0,0,0,0,0
TRNAA36,0,0,0,0,0
TRNAA37,0,0,0,0,0
TRNAA30,0,0,0,0,0
AQP12B,0,0,0,0,0
AQP12A,0,0,0,0,0
FSHR,0,0,0,0,0
TRNAA38,0,0,0,0,0
TRNAA39,0,0,0,0,0
PEF1,0,0,0,0,0
UQCR10,0,0,0,0,0
RN7SL140P,0,0,0,0,0
AP5Z1,0,0,0,0,1
RPL36AP49,0,0,0,0,0
FAM83F,0,0,0,0,0
SPATA7,0,0,0,0,0
ATPBD4,0,0,0,0,0
CWH43,0,0,0,0,0
CTAGE14P,0,0,0,0,0
SPATA5,0,0,0,0,0
LINC00311,0,0,0,0,0
LINC00310,0,0,0,0,0
LINC00313,0,0,0,0,0
LINC00312,0,0,0,0,0
LINC00315,0,0,0,0,0
LINC00314,0,0,0,0,0
METTL11B,0,0,0,0,0
LINC00316,0,0,0,0,0
C3orf83,0,0,0,0,0
C3orf80,0,0,0,0,0
FGFR1OP2,0,0,0,0,0
C3orf84,0,0,0,0,0
DFNA36,0,0,0,0,0
DFNA37,0,0,0,0,0
COX6CP6,0,0,0,0,0
DFNA35,0,0,0,0,0
DFNA32,0,0,0,0,0
DFNA33,0,0,0,0,0
DFNA30,0,0,0,0,0
DFNA31,0,0,0,0,0
DFNA38,0,0,0,0,0
DFNA39,0,0,0,0,0
TPRG1-AS1,0,0,0,0,0
TPRG1-AS2,0,0,0,0,0
PABPN1L,0,0,0,0,0
PTPLA,0,0,0,0,0
PTPLC,0,0,0,0,0
PTPLB,0,0,0,0,0
KDM2A,0,0,0,0,0
KDM2B,0,0,0,0,0
SIRPG,0,0,0,0,0
PPHLN1,0,0,0,0,0
SIRPD,0,0,0,0,0
SIRPA,0,0,0,0,0
LCE2B,0,0,0,0,0
OR7H1P,0,0,0,0,0
UQCR11,0,0,0,0,0
TRAPPC9,0,0,0,0,0
TRAPPC8,0,0,0,0,0
OSBPL10-AS1,0,0,0,0,0
TSPY17P,0,0,0,0,0
OR1P1,0,0,0,0,0
TRAPPC3,0,0,0,0,0
TRAPPC2,0,0,0,0,0
TRAPPC5,0,0,0,0,0
TRAPPC4,0,0,0,0,0
PRPH,0,0,0,0,0
SRD5B1,0,0,0,0,0
TTTY21B,0,0,0,0,0
WASH4P,0,0,0,0,0
RP11-93K22.13,0,0,0,0,0
RN7SL258P,0,0,0,0,0
SIM1,0,0,0,0,0
KRT18P9,0,0,0,0,0
NCRNA00270B,0,0,0,0,0
PSMG4,0,0,0,0,0
ZNF182L,0,0,0,0,0
ABCA17P,0,0,0,0,0
PSMG1,0,0,0,0,0
PSMG2,0,0,0,0,0
PSMG3,0,0,0,0,0
RRN3P3,0,0,0,0,0
RRN3P2,0,0,0,0,0
RRN3P1,0,0,0,0,0
PABPC1P9,0,0,0,0,0
PABPC1P8,0,0,0,0,0
PABPC1P7,0,0,0,0,0
PABPC1P6,0,0,0,0,0
PABPC1P5,0,0,0,0,0
PABPC1P4,0,0,0,0,0
PABPC1P3,0,0,0,0,0
PABPC1P2,0,0,0,0,0
PABPC1P1,0,0,0,0,0
C9orf118,0,0,0,0,0
C9orf113,0,0,0,0,0
C9orf117,0,0,0,0,0
C9orf116,0,0,0,0,0
C9orf114,0,0,0,0,0
MIR4320,0,0,0,0,0
RNU1A3,0,0,0,0,0
MIR4321,0,0,0,0,0
FOXM1,0,0,0,0,0
IGHD6-19,0,0,0,0,0
IGHD6-13,0,0,0,0,0
DLX6-AS1,0,0,0,0,0
GDAP2,0,0,0,0,0
EPHTLG,0,0,0,0,0
DLX6-AS2,0,0,0,0,0
IGHJ6,0,0,0,0,0
IGHJ5,0,0,0,0,0
IGHJ4,0,0,0,0,0
IGHJ3,0,0,0,0,0
IGHJ2,0,0,0,0,0
IGHJ1,0,0,0,0,0
FAHD1,0,0,0,0,0
TUG1,0,0,0,0,0
ILDR2,0,0,0,0,0
ILDR1,0,1,0,0,0
GLTP,0,0,0,0,0
SUGT1P1,0,0,0,0,0
AC009065.1,0,0,0,0,0
SUGT1P3,0,0,0,0,0
SUGT1P2,0,0,0,0,0
IL3RA,0,0,0,0,0
IL3RB,0,0,0,0,0
GGTLC4P,0,0,0,0,0
IGHJ@,0,0,0,0,0
RPL21P132,0,0,0,0,0
RN7SL46P,0,0,0,0,0
OR7E140P,0,0,0,0,0
RPL21P135,0,0,0,0,0
SNORA36B,0,0,0,0,0
NADSYN1,0,0,0,0,0
PIN3,0,0,0,0,0
PDDC1,0,0,0,0,0
AC091801.1,0,0,0,0,0
RNY3P6,0,0,0,0,0
RNY3P7,0,0,0,0,0
RNY3P4,0,0,0,0,0
RNY3P5,0,0,0,0,0
RNY3P2,0,0,0,0,0
ARHGEF38-IT1,0,0,0,0,0
RNY3P1,0,0,0,0,0
UBTF,0,0,0,0,0
RNY3P8,0,0,0,0,0
RNY3P9,0,0,0,0,0
CDCA2,0,0,0,0,0
CDCA3,0,0,0,0,0
TRIM60P16,0,0,0,0,0
TRIM60P17,0,0,0,0,0
CDCA6,0,0,0,0,0
CDCA7,0,0,0,0,0
CDCA4,0,0,0,0,0
CDCA5,0,0,0,0,0
CDCA8,0,0,0,0,0
TRIM60P18,0,0,0,0,0
TRIM60P19,0,0,0,0,0
TUBB4BP4,0,0,0,0,0
MUC7,0,0,0,0,0
RSF1,0,0,0,0,0
ALG3P1,0,0,0,0,0
OR5AC4P,0,0,0,0,0
UBE2V1P9,0,0,0,0,0
UBE2V1P8,0,0,0,0,0
UBE2V1P7,0,0,0,0,0
UBE2V1P6,0,0,0,0,0
UBE2V1P5,0,0,0,0,0
CRB2,0,0,0,0,0
UBE2V1P3,0,0,0,0,0
TRIM60P1Y,0,0,0,0,0
UBE2V1P1,0,0,0,0,0
XXbac-BPG181M17.5,0,0,0,0,0
DEFA11P,0,0,0,0,0
MAPT-AS1,0,0,0,0,0
RNA5SP120,0,0,0,0,0
VN1R102P,0,0,0,0,0
RN7SL460P,0,0,0,0,0
SPRED2,0,0,0,0,0
SPRED3,0,0,0,0,0
OR5B19P,0,0,0,0,0
ASTL,0,0,0,0,0
RELT,0,0,0,0,0
KFSD,0,0,0,0,0
TBC1D3P5,0,0,0,0,0
RELN,0,0,0,0,0
RELB,0,0,0,0,0
RELA,0,0,0,0,0
HDGF,0,0,0,0,0
CRISPLD2,0,0,0,0,0
CRISPLD1,0,0,0,0,0
ARHGAP26-AS1,0,0,0,0,0
PTH2R,0,0,0,0,0
UBE2R2,0,0,0,0,0
FAM69C,0,0,0,0,0
KLK1,0,0,0,0,0
KLK2,0,0,0,0,0
KLK3,0,0,0,0,0
KLK4,0,0,0,0,0
KLK5,0,0,0,0,0
KLK6,0,0,0,0,0
KLK7,0,0,0,0,0
KLK8,0,0,0,0,0
KLK9,0,0,0,0,0
RNU4-61P,0,0,0,0,0
AC011530.4,0,0,0,0,0
ZNF840,0,0,0,0,0
SNORD45A,0,0,0,0,0
RHBDL4,0,0,0,0,0
ZNF843,0,0,0,0,0
RHBDL2,0,0,0,0,0
RHBDL3,0,0,0,0,0
ZNF846,0,0,0,0,0
RHBDL1,0,0,0,0,0
TRIM6-TRIM34,0,0,0,0,0
CMR2A,0,0,0,0,0
COPS8,0,0,0,0,0
COPG2IT1,0,0,0,0,0
COPS2,0,0,0,0,0
COPS3,0,0,0,0,0
SMPD2,0,0,0,0,0
COPS6,0,0,0,0,0
FNTAP2,0,0,0,0,0
FNTAP1,0,0,0,0,0
COPS5,0,0,0,0,0
ZNF592,0,1,0,0,0
ZNF593,0,0,0,0,0
ZNF596,0,0,0,0,0
MDGA1,0,0,0,0,0
MDGA2,0,0,0,0,0
ZNF595,0,0,0,0,0
ZNF598,0,0,0,0,0
ZNF599,0,0,0,0,0
ZSWIM8-AS1,0,0,0,0,0
RN7SL252P,0,0,0,0,0
USP8P1,0,0,0,0,0
ZFR2,0,0,0,0,0
PRSS3P1,0,0,0,0,0
FDFT1,0,0,0,0,0
FAM135A,0,0,0,0,0
FAM135B,0,0,0,0,0
IGF2,0,0,0,0,0
IGF1,0,0,0,0,0
RPL29P20,0,0,0,0,0
RNU5B-5P,0,0,0,0,0
RPL29P23,0,0,0,0,0
SST,0,0,0,0,0
CYP27A1,0,0,0,0,0
ELOVL2-AS1,0,0,0,0,0
DDRGK1,0,0,0,0,0
FBXL20,0,0,0,0,0
FBXL21,0,0,0,0,0
FBXL22,0,0,0,0,0
SSB,0,0,0,0,0
ARGFXP1,0,0,0,0,0
ZNF337,0,0,0,0,0
ZNF334,0,0,0,0,0
ARGFXP2,0,0,0,0,0
FAM168B,0,0,0,0,0
ZNF333,0,0,0,0,0
ZNF330,0,0,0,0,0
FAM168A,0,0,0,0,0
TEX15,0,0,0,0,0
TEX14,0,0,0,0,0
TEX11,0,0,0,0,0
TEX10,0,0,0,0,0
ZNF338,0,0,0,0,0
TEX12,0,0,0,0,0
RACGAP1P,0,0,0,0,0
PSMA2P3,0,0,0,0,0
NOTCH2NL,0,0,0,0,0
PSORS8,0,0,0,0,0
PSORS7,0,0,0,0,0
PSORS6,0,0,0,0,0
PSORS5,0,0,0,0,0
PSORS4,0,0,0,0,0
PSORS3,0,0,0,0,0
PSORS2,0,0,0,0,0
PSORS1,0,0,0,0,0
RP11-1016B18.1,0,0,0,0,0
VN1R91P,0,0,0,0,0
THYN1,0,0,0,0,0
IGLV8-61,0,0,0,0,0
NTF3,0,0,0,0,0
NTF4,0,0,0,0,0
UGDH,0,0,0,0,0
SNRNP40,0,0,0,0,0
RN7SL229P,0,0,0,0,0
SLCO1A2,0,0,0,0,0
TSEN54,0,0,0,0,0
CXADR,0,0,0,0,0
CYP24A1,0,0,0,0,0
GTF3C2,0,0,0,0,0
DVL1P1,0,0,0,0,0
LINC-ROR,0,0,0,0,0
ZNF33B,0,0,0,0,0
ZNF33A,0,0,0,0,0
TTC23,0,0,0,0,0
SNRNP48,0,0,0,0,0
MAD2L2,0,0,0,0,0
MAD2L1,0,0,0,0,0
TATDN2,0,0,0,0,0
CASQ2,0,0,0,0,0
BMPER,0,0,0,0,0
LRP2BP,0,0,0,0,0
RN7SL699P,0,0,0,0,0
BIRC6-AS1,0,0,0,0,0
OR7E93P,0,0,0,0,0
OR13D3P,0,0,0,0,0
GALNS,0,0,0,0,0
GALNR,0,0,0,0,0
RNU6-1128P,0,0,0,0,0
K12T,0,0,0,0,0
RNU7-171P,0,0,0,0,0
SNORA74A,0,0,0,0,0
SNORA74B,0,0,0,0,0
MIR4525,0,0,0,0,0
MIR4526,0,0,0,0,0
MIR4527,0,0,0,0,0
NKS1,0,0,0,0,0
MIR4522,0,0,0,0,0
MIR4523,0,0,0,0,0
MIR4528,0,0,0,0,0
NPY2R,0,0,0,0,0
CDRT15L2,0,0,0,0,0
TUBAP2,0,0,0,0,0
RNU7-54P,0,0,0,0,0
DYNLL1,0,0,0,0,0
DYNLL2,0,0,0,0,0
PRDM5,0,0,0,0,0
MOXD2P,0,0,0,0,0
KHDC1,0,0,0,0,0
RNU5A-2P,0,0,0,0,0
DBIL3,0,0,0,0,0
MIR15A,0,0,0,0,0
MIR15B,0,0,0,0,0
GPS1,0,0,0,0,0
GPS2,0,0,0,0,0
MAN2B1,0,0,0,0,0
OR7E70P,0,0,0,0,0
RP11-470L19.2,0,0,0,0,0
SRD5A1P1,0,0,0,0,0
GLO1,0,0,0,0,0
SNORD115-43,0,0,0,0,0
RN7SL117P,0,0,0,0,0
OR7E34P,0,0,0,0,0
SNORD115-41,0,0,0,0,0
SNORD115-47,0,0,0,0,0
CARHSP1,0,0,0,0,0
MIR3671,0,0,0,0,0
MIR154,0,0,0,0,0
MIR155,0,0,0,0,0
NPY1R,0,0,0,0,0
MIR150,0,0,0,0,0
RPPH1-3P,0,0,0,0,0
MIR152,0,0,0,0,0
TTC14,0,0,0,0,0
TTC17,0,0,0,0,0
MIR3672,0,0,0,0,0
TTC13,0,0,0,0,0
TTC12,0,0,0,0,0
TTC19,0,0,0,0,0
TTC18,0,0,0,0,0
AP000998.2,0,0,0,0,0
EPGN,0,0,0,0,0
SCDOS,0,0,0,0,0
RAP1GN1,0,0,0,0,0
SLC31A1,0,0,0,0,0
SLC31A2,0,0,0,0,0
ZFP92,0,0,0,0,0
ZFP93,0,0,0,0,0
ZFP90,0,0,0,0,0
ZFP91,0,0,0,0,0
OIP5-AS1,0,0,0,0,0
SDF1B,0,0,0,0,0
SDF1A,0,0,0,0,0
EGR2,0,0,0,0,0
EGR3,0,0,0,0,0
EGR1,0,0,0,0,0
EGR4,0,0,0,0,0
AKAP11-IT1,0,0,0,0,0
RCN1P1,0,0,0,0,0
DALRD3,0,0,0,0,0
RCN1P2,0,0,0,0,0
OR4G11P,0,0,0,0,0
TRNAR15,0,0,0,0,0
RN7SL521P,0,0,0,0,0
TRNAR14,0,0,0,0,0
PCDHA10,0,0,0,0,0
PCDHA11,0,0,0,0,0
PCDHA12,0,0,0,0,0
PCDHA13,0,0,0,0,0
PCDHA14,0,0,0,0,0
CDY18P,0,0,0,0,0
DRD5P1,0,0,0,0,0
MIR514A3,0,0,0,0,0
DRD5P2,0,0,0,0,0
PROK1,0,0,0,0,0
PROK2,0,0,0,0,0
TRNAR11,0,0,0,0,0
TRNAR10,0,0,0,0,0
MTL3P,0,0,0,0,0
SLC6A21P,0,0,0,0,0
TRNAR12,0,0,0,0,0
EPG5,0,0,0,0,0
PTDSS1,0,0,0,0,0
PTDSS2,0,1,0,0,0
MLIP,0,0,0,0,0
COL1AR,0,0,0,0,0
SNORD1A,0,0,0,0,0
SNORD1B,0,0,0,0,0
SNORD1C,0,0,0,0,0
CHCHD10,0,0,0,0,0
CNTD1,0,0,0,0,0
CNTD2,0,0,0,0,0
RN7SL288P,0,0,0,0,0
CELIAC2,0,0,0,0,0
CELIAC3,0,0,0,0,0
CELIAC4,0,0,0,0,0
GTF2A1L,0,0,0,0,0
OBSL1,0,0,0,0,0
FBXO45,0,0,0,0,0
KIF16B,0,0,0,0,0
FBXO47,0,0,0,0,0
FBXO46,0,0,0,0,0
FBXO41,0,0,0,0,0
FBXO40,0,0,0,0,0
FBXO43,0,0,0,0,0
FBXO42,0,0,0,0,0
DCDC2B,0,0,0,0,0
DCDC2C,0,0,0,0,0
FBXO48,0,0,0,0,0
SFRP2,0,0,0,0,0
SNORD16,0,0,0,0,0
SFRP1,0,0,0,0,0
SNORD10,0,0,0,0,0
SNORD11,0,0,0,0,0
SFRP4,0,0,0,0,0
SFRP5,0,0,0,0,0
SNORD19,0,0,0,0,0
TP53I11,0,0,0,0,0
COL1A2,0,0,0,0,0
WAPAL,0,0,0,0,0
COL1A1,0,1,0,0,0
LSP1P1,0,0,0,0,0
LSP1P2,0,0,0,0,0
LSP1P3,0,0,0,0,0
KIAA1210,0,0,0,0,0
KIAA1211,0,0,0,0,0
KRTAP10-13P,0,0,0,0,0
SLC31A1P1,0,0,0,0,0
LACRT,0,0,0,0,0
CILD2,0,0,0,0,0
MEP1AP4,0,0,0,0,0
MEP1AP3,0,0,0,0,0
MEP1AP2,0,0,0,0,0
MEP1AP1,0,0,0,0,0
CDC37L1,0,0,0,0,0
EPLG8,0,0,0,0,0
SNF2L3,0,0,0,0,0
EIF1A,0,0,0,0,0
SNF2L4,0,0,0,0,0
C22orf29,0,0,0,0,0
EPLG1,0,0,0,0,0
EPLG3,0,0,0,0,0
EPLG2,0,0,0,0,0
EPLG5,0,0,0,0,0
EPLG4,0,0,0,0,0
EPLG7,0,0,0,0,0
EPLG6,0,0,0,0,0
CTC-429P9.4,0,0,0,0,0
AADAT,0,0,0,0,0
RN7SL710P,0,0,0,0,0
ANXA8L2,0,0,0,0,0
C19orf35,0,0,0,0,0
AIS2,0,0,0,0,0
AIS1,0,0,0,0,0
AADAC,0,0,0,0,0
C19orf31,0,0,0,0,0
C19orf33,0,0,0,0,0
EPCAM,0,0,0,0,0
C19orf38,0,0,0,0,0
AC074389.6,0,0,0,0,0
RNU6-104P,0,0,0,0,0
ALG1L7P,0,0,0,0,0
DPPA3P2,0,0,0,0,0
DPPA3P1,0,0,0,0,0
AOP1,0,0,0,0,0
COL6A1,0,0,0,0,0
SNT2B1,0,0,0,0,0
COL6A3,0,0,0,0,0
COL6A2,0,0,0,0,0
COL6A5,0,0,0,0,0
CBFA3,0,0,0,0,0
WBP5,0,0,0,0,0
COL6A6,0,0,0,0,0
KLK12,0,0,0,0,0
KLK13,0,0,0,0,0
KLK10,0,0,0,0,0
KLK11,0,0,0,0,0
RN7SL676P,0,0,0,0,0
KLK14,0,0,0,0,0
KLK15,0,0,0,0,0
FAM199YP,0,0,0,0,0
BTBD7P1,0,0,0,0,0
BTBD7P2,0,0,0,0,0
FXYD6-FXYD2,0,0,0,0,0
SPATA31D5P,0,0,0,0,0
MORF4,0,0,0,0,0
TMA16,0,0,0,0,0
TRAJ28,0,0,0,0,0
TRAJ27,0,0,0,0,0
TRAJ26,0,0,0,0,0
TRAJ25,0,0,0,0,0
TRAJ24,0,0,0,0,0
TRAJ23,0,0,0,0,0
TRAJ22,0,0,0,0,0
TRAJ21,0,0,0,0,0
SPG20OS,0,0,0,0,0
MIR218-2,0,0,0,0,0
RABL,0,0,0,0,0
MIR218-1,0,0,0,0,0
OR4C17P,0,0,0,0,0
PCM1,0,0,0,0,0
AP006285.6,0,0,0,0,0
RN7SL123P,0,0,0,0,0
MAD2L1P1,0,0,0,0,0
LRRK1,0,0,0,0,0
LRRK2,0,0,0,0,0
ANKL1,0,0,0,0,0
TGFB1I1,0,0,0,0,0
PEG3-AS1,0,0,0,0,0
MRPL10,0,0,0,0,0
MRPL11,0,0,0,0,0
MRPL12,0,0,0,0,0
MRPL13,0,0,0,0,0
MRPL14,0,0,0,0,0
MRPL15,0,0,0,0,0
MRPL16,0,0,0,0,0
MRPL17,0,0,0,0,0
MRPL18,0,0,0,0,0
MRPL19,0,0,0,0,0
PLA1A,0,0,0,0,0
RPL17P,0,0,0,0,0
CCRL1P1,0,0,0,0,0
TMEM71,0,0,0,0,0
RFC3P1,0,0,0,0,0
KDSR,0,0,0,0,0
TCEB1P19,0,0,0,0,0
ANKRD20A2,0,0,0,0,0
ANKRD20A3,0,0,0,0,0
TCEB1P10,0,0,0,0,0
ANKRD20A1,0,0,0,0,0
TCEB1P16,0,0,0,0,0
TCEB1P17,0,0,0,0,0
ANKRD20A4,0,0,0,0,0
TCEB1P15,0,0,0,0,0
SNCG,0,0,0,0,0
SNCB,0,0,0,0,0
RNF128,0,0,0,0,0
RNF126,0,0,0,0,0
RNF125,0,0,0,0,0
RNF123,0,0,0,0,0
LRRC10B,0,0,0,0,0
RNF121,0,0,0,0,0
PHBP15,0,0,0,0,0
PHBP14,0,0,0,0,0
PHBP13,0,0,0,0,0
PHBP12,0,0,0,0,0
